0100000009	1 Mosebok
010101002c	I begynnelsen skapte Gud himmelen og jorden.
0101020062	Og jorden var øde og tom, og det var mørke over det store dyp, og Guds Ånd svevde over vannene.
0101030028	Da sa Gud: Det bli lys! Og det blev lys.
010104003e	Og Gud så at lyset var godt, og Gud skilte lyset fra mørket.
0101050066	Og Gud kalte lyset dag, og mørket kalte han natt. Og det blev aften, og det blev morgen, første dag.
0101060050	Og Gud sa: Det bli en hvelving midt i vannene, og den skal skille vann fra vann.
0101070076	Og Gud gjorde hvelvingen og skilte vannet som er under hvelvingen, fra vannet som er over hvelvingen. Og det blev så.
0101080051	Og Gud kalte hvelvingen himmel. Og det blev aften, og det blev morgen, annen dag.
010109006c	Og Gud sa: Vannet under himmelen samle sig til ett sted, og det tørre land komme til syne! Og det blev så.
01010a006d	Og Gud kalte det tørre land jord, og vannet som hadde samlet sig, kalte han hav. Og Gud så at det var godt.
01010b0099	Og Gud sa: Jorden bære frem gress, urter som sår sig, frukttrær som bærer frukt med deres frø i, på jorden, hvert efter sitt slag. Og det blev så.
01010c00a2	Og jorden bar frem gress, urter som sår sig, hver efter sitt slag, og trær som bærer frukt med deres frø i, hvert efter sitt slag. Og Gud så at det var godt.
01010d0032	Og det blev aften, og det blev morgen, tredje dag.
01010e0089	Og Gud sa: Det bli lys på himmelhvelvingen til å skille dagen fra natten! Og de skal være til tegn og fastsatte tider og dager og år.
01010f0058	Og de skal være til lys på himmelhvelvingen, til å lyse over jorden. Og det blev så.
0101100075	Og Gud gjorde de to store lys, det største til å råde om dagen og det mindre til å råde om natten, og stjernene.
010111003d	Og Gud satte dem på himmelhvelvingen til å lyse over jorden
0101120065	og til å råde om dagen og om natten og til å skille lyset fra mørket. Og Gud så at det var godt.
0101130032	Og det blev aften, og det blev morgen, fjerde dag.
010114005a	Og Gud sa: Det vrimle av liv i vannet, og fugler flyve over jorden under himmelhvelvingen!
01011500bb	Og Gud skapte de store sjødyr og alt levende som rører sig, som det vrimler av i vannet, hvert efter sitt slag, og alle vingede fugler, hver efter sitt slag. Og Gud så at det var godt.
010116007a	Og Gud velsignet dem og sa: Vær fruktbare og bli mange og opfyll vannet i havet, og fuglene skal bli tallrike på jorden!
0101170031	Og det blev aften, og det blev morgen, femte dag.
0101180083	Og Gud sa: Jorden la fremgå levende vesener, hvert efter sitt slag, fe, kryp og ville dyr, hvert efter sitt slag! Og det blev så.
0101190092	Og Gud gjorde de ville dyr, hvert efter sitt slag, og feet efter sitt slag og alt jordens kryp, hvert efter sitt slag. Og Gud så at det var godt.
01011a00d9	Og Gud sa: La oss gjøre mennesker i vårt billede, efter vår lignelse, og de skal råde over fiskene i havet og over fuglene under himmelen og over feet og over all jorden og over alt kryp som rører sig på jorden.
01011b0069	Og Gud skapte mennesket i sitt billede, i Guds billede skapte han det; til mann og kvinne skapte han dem.
01011c00d1	Og Gud velsignet dem og sa til dem: Vær fruktbare og bli mange og opfyll jorden og legg den under eder, og råd over fiskene i havet og over fuglene under himmelen og over hvert dyr som rører sig på jorden!
01011d0098	Og Gud sa: Se, jeg gir eder alle urter som sår sig, alle som finnes på jorden, og alle trær med frukt som sår sig; de skal være til føde for eder.
01011e00a6	Og alle dyr på jorden og alle fugler under himmelen og alt som rører sig på jorden, alt som det er livsånde i, gir jeg alle grønne urter å ete. Og det blev så.
01011f0075	Og Gud så på alt det han hadde gjort, og se, det var såre godt. Og det blev aften, og det blev morgen, sjette dag.
0102010037	Så blev himmelen og jorden med hele sin hær fullendt.
010202008e	Og Gud fullendte på den syvende dag det verk som han hadde gjort, og han hvilte på den syvende dag fra all den gjerning som han hadde gjort.
0102030080	Og Gud velsignet den syvende dag og helliget den; for på den hvilte han fra all sin gjerning, den som Gud gjorde da han skapte.
0102040066	Dette er himmelens og jordens historie, da de blev skapt, den tid da Gud Herren gjorde jord og himmel:
01020500ba	Det var ennu ingen markens busk på jorden, og ingen markens urt var ennu vokset frem; for Gud Herren hadde ikke latt det regne på jorden, og der var intet menneske til å dyrke jorden.
0102060042	Da steg det op en damp av jorden og vannet hele jordens overflate.
010207007a	Og Gud Herren dannet mennesket av jordens muld og blåste livets ånde i hans nese; og mennesket blev til en levende sjel.
0102080060	Og Gud Herren plantet en have i Eden, i Østen, og der satte han mennesket som han hadde dannet.
01020900a1	Og Gud Herren lot trær av alle slag vokse op av jorden, prektige å se til og gode å ete av, og midt i haven livsens tre og treet til kunnskap om godt og ondt.
01020a0058	Og det gikk en elv ut fra Eden og vannet haven; og siden delte den sig i fire strømmer.
01020b0060	Den første heter Pison; det er den som løper omkring hele landet Havila, der hvor det er gull.
01020c0040	Og gullet i dette land er godt; der er bdellium og onyks-stenen.
01020d0049	Den annen elv heter Gihon; det er den som løper omkring hele landet Kus.
01020e005e	Den tredje elv heter Hiddekel; det er den som går østenfor Assur. Og den fjerde elv er Frat.
01020f0050	Og Gud Herren tok mennesket og satte ham i Edens have til å dyrke og vokte den.
0102100045	Og Gud Herren bød mennesket: Du må fritt ete av alle trær i haven;
0102110075	men treet til kunnskap om godt og ondt, det må du ikke ete av; for på den dag du eter av det, skal du visselig dø.
010212006a	Og Gud Herren sa: Det er ikke godt at mennesket er alene; jeg vil gjøre ham en medhjelp som er hans like.
01021300dd	Og Gud Herren hadde dannet av jorden alle dyr på marken og alle fugler under himmelen, og han ledet dem til mennesket for å se hvad han vilde kalle dem; og som mennesket kalte hver levende skapning, så skulde den hete.
010214008f	Så gav mennesket navn til alt feet og fuglene under himmelen og alle ville dyr; men for et menneske fant han ingen medhjelp som var hans like.
0102150079	Da lot Gud Herren en dyp søvn falle på mennesket, og mens han sov, tok han et av hans ribben og fylte igjen med kjøtt.
0102160067	Og Gud Herren bygget av det ribben han hadde tatt av mennesket, en kvinne og ledet henne til mennesket.
0102170080	Da sa mennesket: Dette er endelig ben av mine ben og kjøtt av mitt kjøtt; hun skal kalles manninne, for av mannen er hun tatt.
0102180060	Derfor skal mannen forlate sin far og sin mor og bli hos sin hustru, og de skal være ett kjød.
010219003c	Og de var nakne både Adam og hans hustru, men bluedes ikke.
01030100a1	Men slangen var listigere enn alle dyr på marken som Gud Herren hadde gjort, og den sa til kvinnen: Har Gud virkelig sagt: I skal ikke ete av noget tre i haven?
0103020045	Og kvinnen sa til slangen: Vi kan ete av frukten på trærne i haven;
010303007e	men om frukten på det tre som er midt i haven, har Gud sagt: I skal ikke ete av den og ikke røre ved den, for da skal I dø.
0103040034	Da sa slangen til kvinnen: I skal visselig ikke dø;
