2900000006	Malkus
2901010036	Gopti shilǝn ki Yesu almasihu, yakǝn ki Lya kǝnngu.
2901020095	Kan u nǝɗa ki laci ge' lwatbati ki Ishaya mulnjeshinkǝn u, ti ussu, “In ngu an shin mulshinkǝn i ni tǝnnda kina, mulnǝ ti likǝni ki shitu u.
2901030062	Yal mul tati bi age' dǝlgǝn ti ussu, likǝni Lya shitu nǝ mbatldlwakǝn, likǝnǝ shituwasi.”
29010400ac	Yahaya mul baptisma mbi gawasi ge' dǝlgǝn, ti dlǝp shilǝn ki Lya, “Tǝ mbalǝn za pǝl bezǝn lǝɓa a pǝlsi baptisma tingaki tǝ pacisi bezǝn lǝɓa wasǝn ɗa.”
2901050099	Mbalǝn ki galt ki Yahudiya nǝ kum mbalǝn ki Ulushalima is go' mbǝ' mati, a si dlǝp bezan lǝɓa u nǝs pǝli u, i pǝlsi baptisma a dlilka ki Uldun.
2901060076	Yahaya ti nǝ ulki laki a dli ki medlǝn ki Lakumi, nǝ ulkǝndǝdlom ki bati amisi, ulki ɗami wasi zhita nǝ mal du.
2901070089	Ati dlǝp shilǝn ki Lya, i' usu, “Mulǝn ɗǝ mbǝti ge kalini mul nalti ngǝdlǝni, zhim kaptalan wasi ambǝci ta ngusi a ɓatli wai.
2901080061	A miɓo ge mal kǝn ami pǝlikin baptisma, tiɓo nǝ Yal ki mbatl ki Lya ki zeki ti pǝlikini.”
2901090063	Nǝgu dǝmi Yesu i' mbǝ te' Nazillat ge atl ki Galili, i Yahaya pǝli' baptisma a dlilka ki Uldun.
29010a0057	Ɗǝ petuwasi to' ge mali i' en lya abuli, i Yal ki mbatl ki Lya pesul lya kǝnǝ kulu.
29010b005b	I kum yalon sul lya ɗǝ ussu, “Kiki yakuyini gunǝ ami lyamti, nǝti ami holtugi iye.”
29010c003c	Alǝbi alǝbi i Yalkimbatl ki Lya dloti i' te' ge' dǝlgǝn,
29010d0088	A tiki dǝmi, mutti kutl kutl lǝbi upsi, a Shedan ɗǝ cibǝlti, atine' tlu kige' dǝlgǝn a mi' shinkǝnki Lya ɗǝ pǝlliti kyautǝn.
29010e004b	Kalki dlǝl Yahaya, I Yesu te ge' atli ki Galili, ati dlǝm shilǝn ki Lya.
