0100000008	1 Mojzes
010101002a	V začetku je Bog ustvaril nebo in zemljo.
010102007c	Zemlja pa je bila brez oblike ter prazna in temà je bila na obličju globin in Duh Božji se je premikal na obličju vodá.
0101030037	Bog je rekel: »Naj bo svetloba.« In bila je svetloba.
010104004b	Bog je videl svetlobo, da je bila dobra in Bog je ločil svetlobo od temè.
010105005c	Bog je svetlobo imenoval Dan, temo pa je imenoval Noč. In večer in jutro sta bila dan ena.
0101060052	Bog je rekel: »Naj bo nebesni svod na sredi vodá in naj razdeli vode od vodá.«
0101070087	Bog je naredil nebesni svod in razdelil vode, ki so bile pod nebesnim svodom od vodá, ki so bile nad nebesnim svodom. In bilo je tako.
0101080049	Bog je nebesni svod imenoval Nebo. In večer in jutro sta bila drugi dan.
0101090072	Bog je rekel: »Naj bodo vode pod nebom zbrane skupaj na en kraj in naj se pojavi kopna zemlja.« In bilo je tako.
01010a0077	Bog je kopno zemljo imenoval Zemlja, zbiranje skupnih vodá pa je imenoval Morja, in Bog je videl, da je bilo to dobro.
01010b00a8	Bog je rekel: »Naj zemlja rodi travo, zelišče, ki obrodi seme in sadno drevo, ki obrodi sad po svoji vrsti, čigar seme je v njem samem na zemlji.« In bilo je tako.
01010c00bf	Zemlja je rodila travo in zelišče, ki obrodi seme po svoji vrsti in drevo, ki obrodi sad po svoji vrsti, čigar seme je v njem samem, po njegovi vrsti. In Bog je videl, da je bilo to dobro.
01010d0027	In večer in jutro sta bila tretji dan.
01010e008e	Bog je rekel: »Naj bodo svetilke na nebesnem svodu neba, da razdelijo dan od noči; in naj bodo za znamenja, za letne dobe, za dneve in leta,
01010f0060	in naj bodo za svetilke na nebesnem svodu neba, da na zemljo dajejo svetlobo.« In bilo je tako.
010110007d	Bog je naredil dve veliki luči: svetlejšo luč, da vlada dnevu in šibkejšo luč, da vlada nôči; naredil je tudi zvezde.
0101110045	Bog jih je postavil v nebesni svod neba, da na zemljo dajejo svetlobo
010112006d	in da vladajo nad dnevom in nad nočjo in da ločijo svetlobo od temè. In Bog je videl, da je bilo to dobro.
0101130028	In večer in jutro sta bila četrti dan.
0101140099	Bog je rekel: »Naj vode obilno rodijo gibljivo ustvarjeno bitje, ki ima življenje in perjád, da lahko leti nad zemljo v odprtem nebesnem svodu neba.«
01011500c9	Bog je ustvaril velikanske kite in vsako živo ustvarjeno bitje, ki se giblje, ki so jih vode obilno rodile po svoji vrsti in vsako krilato perjád po svoji vrsti. In Bog je videl, da je bilo to dobro.
0101160085	Bog jih je blagoslovil, rekoč: »Bodite rodovitne in se množite ter napolnite vode v morjih in naj se perjád pomnoži na zemlji.«
0101170025	In večer in jutro sta bila peti dan.
0101180094	Bog je rekel: »Naj zemlja rodi živo ustvarjeno bitje po svoji vrsti, živino in plazečo stvar in žival zemlje po svoji vrsti.« In bilo je tako.
01011900a2	Bog je naredil žival zemlje po svoji vrsti in živino po svoji vrsti in vsako stvar, ki se plazi po zemlji, po svoji vrsti. In Bog je videl, da je bilo to dobro.
01011a00de	Bog je rekel: »Naredimo človeka po naši podobi, po naši podobnosti in naj imata gospostvo nad ribo morja in nad zračno perjádjo in nad živino in nad vso zemljo in nad vsako plazečo stvarjo, ki se plazi na zemlji.«
01011b007e	Tako je Bog ustvaril človeka po svoji lastni podobi, po Božji podobi ga je ustvaril Bog. Moškega in žensko ju je ustvaril.
01011c00ea	Bog ju je blagoslovil in Bog jima je rekel: »Bodita rodovitna in se množita in napolnita zemljo ter si jo podjarmita in imejta gospostvo nad ribami morja in nad zračno perjádjo in nad vsako živo stvarjo, ki se giblje na zemlji.«
01011d00bd	Bog je rekel: »Glejta, dal sem vama vsako zeleno zelišče, ki obrodi seme, ki je na obličju vse zemlje in vsako drevo, na katerem je sad drevesa, ki obrodi seme; naj vama bo to za hrano.
01011e00ad	Vsaki zemeljski živali in vsaki zračni perjádi in vsaki stvari, ki se plazi na zemlji, v kateri je življenje, sem dal za hrano vsako zeleno zelišče.« In bilo je tako.
01011f0073	Bog je videl vsako stvar, ki jo je naredil, in glej, to je bilo zelo dobro. In večer in jutro sta bila šesti dan.
010201003a	Tako sta bila končana nebo in zemlja in vsa njuna vojska.
010202007e	Na sedmi dan je Bog končal svoje delo, ki ga je naredil; in na sedmi dan je počival od vsega svojega dela, ki ga je naredil.
0102030087	Bog je blagoslovil sedmi dan ter ga posvetil, zato ker je na ta [dan] počival od vsega svojega dela, ki ga je Bog ustvaril in naredil.
0102040063	To so rodovi neba in zemlje, ko so bili ustvarjeni, na dan, ko je Gospod Bog naredil zemljo in nebo
01020500b3	in vsako poljsko rastlino, preden je bila na zemlji in vsako poljsko zelišče, preden je zraslo, kajti Gospod Bog na zemljo ni poslal dežja in ni bilo človeka, da obdeluje tla.
0102060046	Toda meglica se je dvigala iz zemlje in namakala celotno obličje tal.
010207007c	Gospod Bog je iz prahu tal oblikoval človeka in v njegove nosnice vdihnil dih življenja, in človek je postal živa duša.
010208005f	Gospod Bog je zasadil vrt proti vzhodu v Edenu in tja je postavil človeka, ki ga je oblikoval.
01020900a5	Gospod Bog je naredil, da iz tal požene vsako drevo, ki je prijetno pogledu in dobro za hrano; tudi drevo življenja v sredi vrta in drevo spoznanja dobrega in zla.
01020a0058	In reka je izvirala iz Edena, da namaka vrt in od tam je bila razdeljena v štiri glave.
01020b0051	Ime prve je Pišón. To je ta, ki obkroža celotno deželo Havilá, kjer je zlato
01020c003b	in zlato te dežele je dobro; tam je bdelij in kamen oniks.
01020d004d	Ime druge reke je Gihon. Ta ista je ta, ki obkroža celotno deželo Etiopijo.
01020e005d	Ime tretje reke je Hidekel. To je ta, ki gre proti vzhodu Asirije. In četrta reka je Evfrat.
01020f005b	Gospod Bog je vzel človeka ter ga postavil v edenski vrt, da ga prirezuje in da ga varuje.
0102100059	Gospod Bog je človeku zapovedal, rekoč: »Od vsakega vrtnega drevesa lahko prosto ješ,
010211007e	toda od drevesa spoznanja dobrega in zla, ne smeš jesti od njega, kajti na dan, ko boš od njega jedel, boš zagotovo umrl.«
0102120062	Gospod Bog je rekel: »To ni dobro, da bi bil človek sam. Naredil mu bom pomoč, primerno zanj.«
01021300da	Iz tal je Gospod Bog oblikoval vsako poljsko žival in vsako zračno perjád in jih privedel k Adamu, da vidi, kako jih bo poimenoval. In kakorkoli je Adam vsako živo ustvarjeno bitje poimenoval, to je bilo njeno ime.
010214007e	Adam je dal imena vsej živini, zračni perjádi in vsaki poljski živali, toda za Adama ni bilo najti pomoči, primerne zanj.
0102150084	Gospod Bog je storil, da je na Adama padlo globoko spanje in je zaspal. Vzel je eno od njegovih reber ter namesto le-tega zaprl meso
0102160062	in [iz] rebra, ki ga je Gospod Bog vzel iz človeka, je naredil žensko in jo privedel k človeku.
0102170082	Adam je rekel: »To je sedaj kost iz mojih kosti in meso iz mojega mesa. Imenovala se bo Ženska, ker je bila vzeta iz Moškega.«
0102180075	Zatorej bo moški zapustil svojega očeta in svojo mater in se bo trdno pridružil svoji ženi in oba bosta eno meso.
010219003c	Oba sta bila naga, mož in njegova žena in ni ju bilo sram.
01030100d2	Torej kača [pa] je bila bolj premetena kakor katerakoli izmed poljskih živali, ki jih je Gospod Bog naredil. In rekla je ženski: »Da, ali je Bog res rekel: ›Ne bosta jedla od vsakega vrtnega drevesa?‹«
0103020045	In ženska je rekla kači: »Midva lahko jeva od sadja vrtnih dreves,
0103030084	toda o sadu drevesa, ki je v sredi vrta, je Bog rekel: ›Ne bosta jedla od njega niti se ga ne bosta dotikala, da ne bi umrla.‹«
0103040032	Kača je ženski rekla: »Zagotovo ne bosta umrla,
0103050085	kajti Bog ve, da se bodo na dan, ko bosta od njega jedla, vajine oči potem odprle in bosta kakor bogovi, poznavajoč dobro in zlo.«
01030600ea	In ko je ženska videla, da je bilo drevo dobro za jed in da je bilo prijetno očem in da si je drevesa želeti, da da nekomu modrost, je vzela od njegovega sadu in jedla ter dala tudi svojemu možu, [ki je bil] z njo, in on je jedel.
0103070077	Oči so se obema odprle in spoznala sta, da sta bila naga. Skupaj sta sešila figove liste ter si naredila predpasnika.
01030800a4	In zaslišala sta šum Gospoda Boga, ki je v svežini dneva hodil po vrtu, in Adam ter njegova žena sta se pred prisotnostjo Gospoda Boga skrila med vrtna drevesa.
0103090035	Gospod Bog je zaklical Adamu in mu rekel: »Kje si?«
01030a0062	Ta je rekel: »Zaslišal sem tvoj šum na vrtu in sem se zbal, ker sem bil nag, in sem se skril.«
01030b007b	Rekel je: »Kdo ti je povedal, da si bil nag? Mar si jedel od drevesa, od katerega sem ti zapovedal, da ne bi smel jesti?«
01030c0063	Mož je rekel: »Ženska, ki si mi jo dal, da je z menoj, ona mi je dala od drevesa in sem jedel.«
01030d0076	Gospod Bog je rekel ženski: »Kaj je to, kar si storila?« Ženska je rekla: »Kača me je preslepila in sem jedla.«
01030e00b5	Gospod Bog je rekel kači: »Ker si to storila, si prekleta nad vso živino in nad vsako poljsko živaljo. Po svojem trebuhu boš šla in prah boš jedla vse dni svojega življenja.
01030f0083	Postavil bom sovraštvo med teboj in žensko in med tvoje seme in njeno seme; to ti zdrobi glavo, ti pa boš ranila njegovo peto.«
01031000b0	Ženski je rekel: »Silno bom pomnožil tvojo bridkost in tvoje spočetje. V bridkosti boš rojevala otroke, in tvoje hrepenenje bo k tvojemu možu in on bo vladal nad teboj.«
