0100000008	Génesis
010101002d	Al principio creó Dios el cielo y la tierra.
010102007c	La tierra era confusión y caos, y tinieblas cubrían la faz del abismo, mas el Espíritu de Dios se movía sobre las aguas.
0101030028	Y dijo Dios: “Haya luz”; y hubo luz.
0101040046	Vio Dios que la luz era buena; y separó Dios la luz de las tinieblas.
0101050064	Llamó Dios a la luz día, y a las tinieblas llamó noche. Y hubo tarde y hubo mañana: primer día.
0101060062	Después dijo Dios: “Haya un firmamento en medio de las aguas que separe unas aguas de otras”.
0101070087	E hizo Dios el firmamento, y separó las aguas que estaban bajo el firmamento de las aguas que estaban sobre el firmamento. Y así fue.
010108004b	Llamó Dios al firmamento cielo; y hubo tarde y hubo mañana: día segundo.
010109005f	Y dijo Dios: “Júntense en un lugar las aguas que quedan bajo el cielo y aparezca lo seco”.
01010a0064	Llamó Dios a lo seco tierra, y a la reunión de las aguas llamó mares. Y vio Dios que estaba bien.
01010b00c3	Después dijo Dios: “Brote la tierra hierba verde, plantas que den semilla, árboles frutales que produzcan fruto según su especie y cuya semilla esté en ellos sobre la tierra”. Y así fue.
01010c00ce	Brotó, pues, la tierra hierba verde, plantas que tenían en sí semilla según su especie, y árboles que producían frutos y cuya semilla se hallaba en ellos según su especie. Y vio Dios que estaba bien.
01010d002a	Y hubo tarde y hubo mañana: día tercero.
01010e009e	Luego dijo Dios: “Haya lumbreras en el firmamento del cielo, que separen el día de la noche y sirvan de señales y (marquen) las estaciones, días y años.
01010f005f	Sirvan también de lumbreras en el firmamento del cielo para alumbrar la tierra”. Y así fue.
0101100091	Hizo, pues, Dios las dos grandes lumbreras: la lumbrera mayor para presidir el día, y la lumbrera menor para presidir la noche, y las estrellas.
0101110041	Púsolas Dios en el firmamento del cielo para alumbrar la tierra,
0101120061	para regir el día y la noche y para separar la luz de las tinieblas. Y vio Dios que estaba bien.
0101130029	Y hubo tarde y hubo mañana: día cuarto.
0101140087	Después dijo Dios: “Pululen las aguas multitud de seres vivientes; y vuelen aves sobre la tierra debajo del firmamento del cielo”.
01011500d7	Y creó Dios los grandes monstruos marinos, y todos los seres vivientes que marchan arrastrándose, de los cuales hierven las aguas, según su especie; y toda ave alada según su especie. Y vio Dios que estaba bien.
010116008d	Y Dios los bendijo, diciendo: “Sed fecundos y multiplicaos y henchid las aguas en los mares; y multiplíquense las aves sobre la tierra”.
0101170029	Y hubo tarde y hubo mañana: día quinto.
010118009d	Luego Dios dijo: “Produzca la tierra seres vivientes según su especie: animales domésticos, reptiles, bestias salvajes, según su especie”. Y así fue.
01011900b0	Hizo, pues, Dios las bestias salvajes según su especie, y los animales domésticos según su especie, y todo reptil de la tierra según su especie. Y vio Dios que estaba bien.
01011a00f0	Después dijo Dios: “Hagamos al hombre a imagen nuestra, según nuestra semejanza; y domine sobre los peces del mar y las aves del cielo, sobre las bestias domésticas, y sobre toda la tierra y todo reptil que se mueve sobre la tierra”.
01011b005a	Y creó Dios al hombre a imagen suya; a imagen de Dios lo creó; varón y mujer los creó.
01011c00d8	Los bendijo Dios; y les dijo Dios: “Sed fecundos y multiplicaos, y henchid la tierra y sometedla; y dominad sobre los peces del mar y las aves del cielo, y sobre todos los animales que se mueven sobre la tierra”.
01011d00cb	Después dijo Dios: “He aquí que Yo os doy toda planta portadora de semilla sobre la superficie de toda la tierra, y todo árbol en que hay fruto de árbol con semilla, para que os sirvan de alimento.
01011e00c6	Y a todos los animales de la tierra, y a todas las aves del cielo, y a todo lo que se mueve sobre la tierra, que tiene en sí aliento de vida, les doy para alimento toda hierba verde”. Y así fue.
01011f006b	Vio Dios todo cuanto había hecho; y he aquí que estaba muy bien. Y hubo tarde y hubo mañana: día sexto.
0102010048	Fueron, pues, acabados el cielo y la tierra con todo el ornato de ellos.
010202007a	El día séptimo terminó Dios la obra que había hecho; y descansó en el día séptimo de toda la obra que había hecho.
0102030083	Y bendijo Dios el séptimo día y lo santificó; porque en él descansó Dios de toda su obra que en la creación había realizado.
0102040074	Esta es la historia de la creación del cielo y de la tierra. El día en que Yahvé Dios creó la tierra y el cielo,
01020500cb	no había aún en la tierra arbusto campestre alguno; y ninguna planta del campo había germinado todavía, pues Yahvé Dios no había hecho llover sobre la tierra, ni había hombre que labrase el suelo;
0102060051	pero brotaba una fuente de la tierra, que regaba toda la superficie de la tierra.
0102070092	Y formó Yahvé Dios al hombre (del) polvo de la tierra e insufló en sus narices aliento de vida, de modo que el hombre vino a ser alma viviente.
0102080062	Y plantó Yahvé Dios un jardín en Edén, al oriente, donde colocó al hombre que había formado.
01020900d0	Yahvé Dios hizo brotar de la tierra toda clase de árboles de hermoso aspecto y (de frutos) buenos para comer, y en el medio del jardín el árbol de la vida, y el árbol del conocimiento del bien y del mal.
01020a006c	De Edén salía un río que regaba el jardín; y desde allí se dividía y se formaban de él cuatro brazos.
01020b005d	El nombre del primero es Fisón, el cual rodea toda la tierra de Havilá, donde está el oro.
01020c005f	El oro de aquella tierra es fino. Allí se encuentra también el bedelio y la piedra de ónice.
01020d0049	El nombre del segundo río es Gihón, que circunda toda la tierra de Cus.
01020e0063	El tercer río se llama Tigris, el cual corre al oriente de Asir. Y el cuarto río es el Éufrates.
01020f0065	Tomó, pues, Yahvé Dios al hombre y lo llevó al jardín de Edén, para que lo labrara y lo cuidase.
010210005a	Y mandó Yahvé Dios al hombre, diciendo: “De cualquier árbol del jardín puedes comer,
0102110080	mas del árbol del conocimiento del bien y del mal, no comerás; porque el día en que comieres de él, morirás sin remedio”.
010212006a	Entonces dijo Yahvé Dios: “No es bueno que el hombre esté solo; le haré una ayuda semejante a él”.
01021300f7	Formados, pues, de la tierra todos los animales del campo y todas las aves del cielo, los hizo Yahvé Dios desfilar ante el hombre para ver cómo los llamaba, y para que el nombre de todos los seres vivientes fuese aquel que les pusiera el hombre.
01021400b8	Así, pues, el hombre puso nombres a todos los animales domésticos, y a las aves del cielo, y a todas las bestias del campo; mas para el hombre no encontró una ayuda semejante a él.
01021500a0	Entonces Yahvé Dios hizo caer un profundo sueño sobre el hombre, el cual se durmió; y le quitó una de las costillas y cerró con carne el lugar de la misma.
0102160066	De la costilla que Yahvé Dios había tomado del hombre, formó una mujer y la condujo ante el hombre.
010217008d	Y dijo el hombre: “Esta vez sí es hueso de mis huesos y carne de mi carne; esta será llamada varona, porque del varón ha sido tomada”.
010218006d	Por eso dejará el hombre a su padre y a su madre y se adherirá a su mujer, y vendrán a ser una sola carne.
0102190041	Estaban ambos desnudos, Adán y su mujer, mas no se avergonzaban.
01030100c8	La serpiente, que era el más astuto de todos los animales del campo que Yahvé Dios había hecho, dijo a la mujer: “¿Cómo es que Dios ha mandado “No comáis de ningún árbol del jardín”?”
010302005b	Respondió la mujer a la Serpiente: “Podemos comer del fruto de los árboles del jardín;
0103030084	mas del fruto del árbol que está en medio del jardín, ha dicho Dios: “No comáis de él, ni lo toquéis, no sea que muráis”.
0103040041	Replicó la serpiente a la mujer: “De ninguna manera moriréis;
0103050088	pues bien sabe Dios que el día en que comiereis de él, se os abrirán los ojos y seréis como Dios, conocedores del bien y del mal”.
01030600f3	Y como viese la mujer que el árbol era bueno para comida y una delicia para los ojos, y que el árbol era apetecible para alcanzar sabiduría, tomó de su fruto y comió y dio también a su marido (que estaba) con ella, y él comió también.
010307009e	Efectivamente se les abrieron a entrambos los ojos, y se dieron cuenta de que estaba desnudos; por lo cual cosieron hojas de higuera y se hicieron delantales.
01030800bf	Cuando oyeron el rumor de Yahvé Dios que se paseaba en el jardín al tiempo de la brisa del día, Adán y su mujer se ocultaron de la vista de Yahvé Dios por entre los árboles del jardín.
010309003c	Yahvé Dios llamó a Adán y le dijo: “¿Dónde estás?”
01030a0069	Este contestó: “Oí tu paso por el jardín y tuve miedo, porque estoy desnudo; por eso me escondí”.
01030b0076	Mas Él dijo: “¿Quién te ha dicho que estás desnudo? ¿Has comido acaso del árbol del cual te prohibí comer?”
01030c0058	Respondió Adán: “La mujer que me diste por compañera me dio del árbol, y comí.”
01030d0083	Dijo luego Yahvé Dios a la mujer: “¿Qué es lo que has hecho?” Y contestó la mujer: “La serpiente me engañó, y comí.”
