0100000006	1 Mose
0101010025	Am Anfang schuf Gott Himmel und Erde.
0101020071	Und die Erde war wüst und leer, und es war finster auf der Tiefe; und der Geist Gottes schwebete auf dem Wasser.
0101030033	Und Gott sprach: Es werde Licht! Und es ward Licht.
0101040051	Und Gott sah, daß das Licht gut war. Da schied Gott das Licht von der Finsternis
010105005e	und nannte das Licht Tag und die Finsternis Nacht. Da ward aus Abend und Morgen der erste Tag.
010106006c	Und Gott sprach: Es werde eine Feste zwischen den Wassern, und die sei ein Unterschied zwischen den Wassern.
0101070073	Da machte Gott die Feste und schied das Wasser unter der Feste von dem Wasser über der Feste. Und es geschah also.
010108004e	Und Gott nannte die Feste Himmel. Da ward aus Abend und Morgen der andere Tag.
010109007f	Und Gott sprach: Es sammle sich das Wasser unter dem Himmel an sondere Örter, daß man das Trockene sehe. Und es geschah also.
01010a006d	Und Gott nannte das Trockene Erde, und die Sammlung der Wasser nannte er Meer. Und Gott sah, daß es gut war.
01010b00de	Und Gott sprach: Es lasse die Erde aufgehen Gras und Kraut, das sich besame, und fruchtbare Bäume, da ein jeglicher nach seiner Art Frucht trage und habe seinen eigenen Samen bei ihm selbst auf Erden. Und es geschah also.
01010c00eb	Und die Erde ließ aufgehen Gras und Kraut, das sich besamte, ein jegliches nach seiner Art, und Bäume, die da Frucht trugen und ihren eigenen Samen bei sich selbst hatten, ein jeglicher nach seiner Art. Und Gott sah, daß es gut war.
01010d002c	Da ward aus Abend und Morgen der dritte Tag.
01010e0085	Und Gott sprach: Es werden Lichter an der Feste des Himmels, die da scheiden Tag und Nacht und geben Zeichen, Zeiten, Tage und Jahre;
01010f005d	und seien Lichter an der Feste des Himmels, daß sie scheinen auf Erden. Und es geschah also.
0101100088	Und Gott machte zwei große Lichter: ein groß Licht, das den Tag regiere, und ein klein Licht, das die Nacht regiere, dazu auch Sterne.
010111004c	Und Gott setzte sie an die Feste des Himmels, daß sie schienen auf die Erde
0101120065	und den Tag und die Nacht regierten und schieden Licht und Finsternis. Und Gott sah, daß es gut war.
010113002c	Da ward aus Abend und Morgen der vierte Tag.
0101140091	Und Gott sprach: Es errege sich das Wasser mit webenden und lebendigen Tieren und mit Gevögel, das auf Erden unter der Feste des Himmels fliege.
01011500e6	Und Gott schuf große Walfische und allerlei Tier, das da lebet und webet und vom Wasser erreget ward, ein jegliches nach seiner Art; und allerlei gefiedertes Gevögel, ein jegliches nach seiner Art. Und Gott sah, daß es gut war.
0101160088	Und Gott segnete sie und sprach: Seid fruchtbar und mehret euch und erfüllet das Wasser im Meer; und das Gevögel mehre sich auf Erden.
010117002d	Da ward aus Abend und Morgen der fünfte Tag.
01011800ad	Und Gott sprach: Die Erde bringe hervor lebendige Tiere, ein jegliches nach seiner Art: Vieh, Gewürm und Tier auf Erden, ein jegliches nach seiner Art. Und es geschah also.
01011900af	Und Gott machte die Tiere auf Erden, ein jegliches nach seiner Art, und das Vieh nach seiner Art und allerlei Gewürm auf Erden nach seiner Art. Und Gott sah, daß es gut war.
01011a00f5	Und Gott sprach: Laßt uns Menschen machen, ein Bild, das uns gleich sei, die da herrschen über die Fische im Meer und über die Vögel unter dem Himmel und über das Vieh und über die ganze Erde und über alles Gewürm, das auf Erden kreucht.
01011b0074	Und Gott schuf den Menschen ihm zum Bilde, zum Bilde Gottes schuf er ihn; und schuf sie ein Männlein und Fräulein.
01011c00ec	Und Gott segnete sie und sprach zu ihnen: Seid fruchtbar und mehret euch und füllet die Erde und macht sie euch untertan, und herrschet über Fische im Meer und über Vögel unter dem Himmel und über alles Tier, das auf Erden kreucht.
01011d00b5	Und Gott sprach: Sehet da, ich habe euch gegeben allerlei Kraut, das sich besamet, auf der ganzen Erde, und allerlei fruchtbare Bäume und Bäume, die sich besamen, zu eurer Speise,
01011e00a5	und allem Tier auf Erden und allen Vögeln unter dem Himmel und allem Gewürme, das da Leben hat auf Erden, daß sie allerlei grün Kraut essen. Und es geschah also.
01011f0079	Und Gott sah an alles, was er gemacht hatte; und siehe da, es war sehr gut. Da ward aus Abend und Morgen der sechste Tag.
010201003a	Also ward vollendet Himmel und Erde mit ihrem ganzen Heer.
010202008b	Und also vollendete Gott am siebenten Tage seine Werke, die er machte, und ruhete am siebenten Tage von allen seinen Werken, die er machte;
010203008b	und segnete den siebenten Tag und heiligte ihn, darum daß er an demselben geruht hatte von allen seinen Werken, die Gott schuf und machte.
010204006d	Also ist Himmel und Erde worden, da sie geschaffen sind, zu der Zeit, da Gott der HERR Erde und Himmel machte
01020500ef	und allerlei Bäume auf dem Felde, die zuvor nie gewesen waren auf Erden, und allerlei Kraut auf dem Felde, das zuvor nie gewachsen war. Denn Gott der HERR hatte noch nicht regnen lassen auf Erden, und war kein Mensch, der das Land bauete.
010206003e	Aber ein Nebel ging auf von der Erde und feuchtete alles Land.
01020700a2	Und Gott der HERR machte den Menschen aus einem Erdenkloß, und er blies ihm ein den lebendigen Odem in seine Nase. Und also ward der Mensch eine lebendige Seele.
0102080071	Und Gott der HERR pflanzte einen Garten in Eden gegen Morgen und setzte den Menschen drein, den er gemacht hatte.
01020900bd	Und Gott der HERR ließ aufwachsen aus der Erde allerlei Bäume, lustig anzusehen und gut zu essen, und den Baum des Lebens mitten im Garten und den Baum des Erkenntnisses Gutes und Böses.
01020a006a	Und es ging aus von Eden ein Strom, zu wässern den Garten, und teilete sich daselbst in vier Hauptwasser.
01020b005b	Das erste heißt Pison, das fleußt um das ganze Land Hevila, und daselbst findet man Gold.
01020c005a	Und das Gold des Landes ist köstlich, und da findet man Bedellion und den Edelstein Onyx.
01020d0044	Das andere Wasser heißt Gihon, das fließt um das ganze Mohrenland.
01020e005e	Das dritte Wasser heißt Hiddekel, das fleußt von Assyrien. Das vierte Wasser ist der Phrath.
01020f0068	Und Gott der HERR nahm den Menschen und setzte ihn in den Garten Eden, daß er ihn bauete und bewahrete.
0102100060	Und Gott der HERR gebot dem Menschen und sprach: Du sollst essen von allerlei Bäumen im Garten;
