0100000005	Ugiti
010101003b	A ayin a̱ ugiti, Ka̱shile ka yaꞋan ta̱ gaɗi n iɗika.
01010200ad	Ana u yaꞋin iɗika, ta i ɗa yi nannai babu ili, ka̱yimbi kaꞋa ka palai mala dem. Ɗa Ayinviki a̱ Ka̱shile a̱ ka̱na̱i kuka̱ra̱Ꞌa̱sa̱ punu a gaɗi vu mini va.
0101030058	Ɗa Ka̱shile ka danai, “YaꞋan ubuta̱ dem wa akana.” Ɗa ta na ubuta̱ wa akanai.
010104004f	Ana Ka̱shile ke enei kutashi ku gaꞋan ta̱, ɗa u pecei ka̱yimbi n kutashi.
01010500b1	Ɗa Ka̱shile ke ɗekei kutashi ka Kanna, ka̱yimbi kpamu Kayin. U yaꞋan ta̱ ili i nampa ya a kanna ka iyain. Kulivi ki ta̱ lo, usana wi ta̱ lo, ele dem kanna ke te kaꞋa.
0101060070	Ɗa Ka̱shile ka danai, “N zuwa ta̱ ka̱ba̱nga̱ ke pece mini ugboku u re, mini ma gaɗi m mini ma ɗaka.”
0101070079	Ɗa ta na ili yo okpoi nannai. Ka̱shile ka yaꞋin nannai adama a na u pecuku mini ma na mi gaɗi m mini ma na mi ɗaka.
01010800a6	Ɗa Ka̱shile ke ɗekei ka̱ba̱nga̱ ka, “Gaɗi.” U yaꞋan ta̱ ili i nampa ya a kanna ke ire. Kulivi ki ta̱ lo, usana wi ta̱ lo: ele dem kanna ke ire kaꞋa.
01010900a3	Ɗa Ka̱shile ka danai, “Ka̱sukpa̱ mini ma na mi ɗaka mo ɓolongu a̱ ubuta̱ u te, adama a na iɗika i ɗekpu yu uta̱ kau.” Ɗa ta na ili yo okpoi nannai.
01010a009c	Ɗa Ka̱shile ke ɗekei ubuta̱ u ɗekpu wa, “Iɗika,” ubuta̱ u mini kpamu, “Mala.” Ɗa Ka̱shile ke enei ili i na u yaꞋin va yi ta̱ n ugaꞋin.
01010b00ec	Ɗaɗa Ka̱shile ka danai, “YaꞋan iɗika dem yu uta̱ka̱ n yutishi, mi ta̱ ma na ma kumatsa icuꞋu i le, ilya i matsa ilya, nɗanga kpamu mu uta̱ka̱ n icuꞋu i na i kumatsa otoku e le nɗanga.” Ɗa ta na ili yo okpoi nannai.
01010c00b8	Ɗa iɗika dem i ka̱na̱i kuta̱ka̱ n ica̱Ꞌa̱shi kakau. IcuꞋu i ka̱na̱i kumatsasa icuꞋu uteku ci le kakau. Ɗa ta na Ka̱shile ke enei ili i na u yaꞋin va i gaꞋan ta̱.
01010d0043	Kulivi ki ta̱ lo, usana wi ta̱ lo: ele dem kanna ka tatsu kaꞋa.
01010e00bd	Ɗa Ka̱shile ka danai, “YaꞋan kutashi kakau gaɗi ka akana, adama a na u pece kanna n kayin. A zuwa le ta̱ o okpo urotu u na u kupece ayin, ayin a̱ lyushi, n ayin a irana, n a̱ya̱.
01010f0065	Ka̱sukpa̱ kutashi kakau gaɗi kpamu ka akana a̱ ubuta̱ dem.” Ɗa ta na ili yo okpoi nannai dem.
01011000b0	Ka̱shile ka yaꞋan ta̱ kutashi ku gbagbaꞋin ku re. Kutashi ku gbayin ku ɗaɗa. Kanna ka lyaꞋa tsugono n kanna, wotoi kpamu n kayin. Ɗa u doku u yaꞋin azangata kpamu.
0101110053	Ka̱shile ka zuwa ta̱ ili i kutashi ya i yongo gaɗi, adama a na a akana a iɗika,
010112007f	ciya̱ a lyaꞋa tsugono n kanna n kayin e pece kpamu kutashi n ka̱yimbi. Ɗa Ka̱shile ke enei ili i nanlo ya i gaꞋan ta̱.
010113004b	Kulivi ki ta̱ lo, usana wi ta̱ lo: na lo dem a kanna ka̱ na̱shi kaꞋa.
0101140081	Ɗa Ka̱shile ka danai, “YaꞋan mini ma shana n adan n ili i wuma dem, ka̱ta̱ gaɗi kpamu u shana n icuꞋu yi nnu kakau.”
01011500a1	Ɗa Ka̱shile ka yaꞋin ili i gbagbaꞋin i mala n icuꞋu ya adan kakau, nu nnu kakau kpamu nannai. Ɗa Ka̱shile ke enei ili i nanlo dem i ɗa i gaꞋan ta̱.
0101160087	Ɗa Ka̱shile ka zuwakai le una̱singai, u danai, “Matsai ka̱ta̱ i shatangu mala, nnu kpamu i yimkpa ka̱ta̱ i shatangu iɗika.”
0101170047	Kulivi ki ta̱ lo, usana wi ta̱ lo: na lo dem a kanna ka tawun kaꞋa.
01011800d6	Ɗa Ka̱shile ka danai, “YaꞋan iɗika yu uta̱ka̱ n ili i wuma yaba dem n vicuꞋu vi ni, nnama ra̱ka̱, nu nnama m kpaꞋa koɓolo n aza a na i o kurono a̱tsuma̱ a iɗika.” Ɗa ta na ili yo okpoi nannai.
01011900c5	Ka̱shile ka yaꞋin icuꞋu yi nnama m kpaꞋa nu n kakamba dem, aza a wawaꞋa n aza a̱ gba̱ra̱-gba̱ra̱ yaba dem a kumatsa icuꞋu i ni. Ɗa Ka̱shile ke enei ili i nanlo dem i gaꞋan ta̱.
01011a0117	Ɗa Ka̱shile ka danai, “YaꞋan ci yaꞋan vuma n iyotsonoi i tsu, ka̱ta̱ a yaꞋan kpamu tsu tsu. Ele ɗa aza a na a kulyaꞋaka adan a na i a mala tsugono, nnu n na mi gaɗi, nu nnama m kpaꞋa nu n kakamba, nu nnama n wawaꞋa n na mi o kurono a̱tsuma̱ a iɗika dem.”
01011b0082	Nannai ɗa Ka̱shile ka yaꞋin vuma uteku tsu na a̱yi wi, n iyoci i Ka̱shile i ɗa u yaꞋin ni, u yaꞋan le ta̱ vuka n vali.
01011c00f0	Ɗa Ka̱shile ka zuwakai le una̱singai, ɗa u danai, “Yimkpai, ka̱ta̱ i shatangu aduniyan, i ka̱na̱ i ɗa ka̱ta̱ i lyaꞋa tsugono tsa adan a na i a mala, nu nnu n gaɗi koɓolo nu nnama n na mi o kurono a̱tsuma̱ a iɗika dem.”
01011d00c8	Ɗa Ka̱shile ka danai, “La̱na̱, n neke ɗa̱ ta̱ mita̱ dem ma na mi a iɗika ma na ma kumatsa icuꞋu, nu nɗanga dem n umaci u le u na wi n icuꞋu punu, adama a na o okpo ilikulya wa̱ ɗa̱.
01011e00e2	N neke ta̱ nnama n na mi a iɗika dem, nu nnu, nu nnama n na kpamu mi o kurono a̱tsuma̱ e le a iɗika, n ili i na yi a kuyinvika dem ica̱Ꞌa̱shi dem, adama a na yo okpo ilikulyaꞋa i le.” Ta ta na ili yo okpoi nannai.
01011f00a7	Ɗa Ka̱shile ka̱ la̱na̱i ili i na u yaꞋin dem, ɗa we enei i ɗa i gaꞋan ta̱ ka̱u. Kulivi ki ta̱ lo, usana wi ta̱ lo: na lo dem a kanna ka̱ ta̱li kaꞋa.
010201004c	Ɗaɗa kuyaꞋan ku gaɗi n iɗika koɓolo n ili i na yi punu dem ku kotsoi.
