2800000005	Matei
280101006c	Yesu Kilisitu aabelekwi mulukolo lwa Daudi, bu'ka mulukolo lwa Bulaimu. Wu'no nga nsisingwa wa lukolo lwake.
2801020053	Bulaimu aampapite Isaki, Isaki aampapite Yakobi, Yakobi aampapite Yuda na alongobe.
2801030067	Yuda aampapite Pelesi na Sela (mau' babe bai Tamali), Pelesi aampapite Esiloni, Esiloni aampapite Lamu,
2801040052	Lamu aampapite Aminadabu, Aminadabu aampapite Nashoni, Nashoni aampapite Salimoni,
280105006e	Salimoni aampapite Boazi (mau' bake Boazi bai Raabu) Boazi na Ruthu bai abelei ba Obedi, Obedi aampapite Yese,
280106007a	Yese aampapite Nkulungwa Daudi. Daudi aampapite Selemani, ywembe mau' bake baai yu'lu' ywaabile nnyumbowe Ulia, Bathsheba.
280107004b	Selemani aampapite Leoboamu, Leoboamu aampapite Abiya, Abiya aampapite Asa,
280108004d	Asa aampapite Yeoshafati, Yeoshafati aampapite Yoramu, Yolamu aampapite Uzia,
2801090044	Uzia aampapite Yotamu, Yotamu aampapite Aazi, Aazi aampapite Ezekia,
28010a0047	Ezekia aampapite Manase, Manase aampapite Amoni, Amoni aampapite Yosia,
28010b0058	Yosia aampapite Yekonia na alongobe. Awo waai nsimu wa Ayahudi pelekelwa Babeli kulwami.
28010c0069	Bu'ka pa Ayahudi pelekelwa kulwami Babeli, Yekonia aampapite Shealtieli, Shealtieli aampapite Zelubabeli,
28010d0053	Zelubabeli aampapite Abihudi, Abihudi aampapite Eliakimu, Eliakimu aampapite Azoli,
28010e0047	Azoli aampapite Sadoki, Sadoki aampapite Akimu, Akimu aampapite Eliudi,
28010f004e	Eliudi aampapite Eleazali, Eleazali aampapite Matani, Matani aampapite Yakobi,
2801100055	Yakobi aampapite Yusupu, ywaabile nsengowe Malia, mau' bake Yesu ywakemelwa Kilisitu.
28011100f0	Kwa nyo, yumulati ya lubelekwo lwoti bu'ka Bulaimu mpaka Daudi yai ku'mi na nsese, bu'ka Daudi mpaka lu'lu' lwami lwa Babeli yai ku'mi na nsese, bu'ka lu'lu' lwami lwa Babeli mpaka ika kwa Nkosopoli ywakemelwage Kilisitu yai ku'mi na nsese.
28011200be	Belekwa kwake Yesu Kilisitu kwaabile nnyanya. Malia mau' bake pabayi'ki'tyanie kobekana na Yusupu, lakini babile balo egelyana, Malia aabonekine abile na ndumbo kwa makakala ga Loo Mpeleteu.
2801130076	Yusupu aai mundu ywabi'ngi'ya salya ya Nnu'ngu', lakini kwa mwanjaa aakani kumwisiya Malia, aabini kunneka kwa kinunu.
