0100000006	Farawa
010101002e	A farko-farko, Allah ya halicci sama da ƙasa.
010102007f	To, ƙasa dai ba ta da siffa, babu kuma kome a cikinta, duhu ne kawai ya rufe ko’ina, Ruhun Allah kuwa yana yawo a kan ruwan.
0101030041	Sai Allah ya ce, “Bari haske yă kasance,” sai kuwa ga haske.
0101040045	Allah ya ga hasken yana da kyau, sai ya raba tsakanin hasken da duhu.
010105007f	Allah ya kira hasken “yini,” ya kuma kira duhun “dare.” Yamma ta kasance, safiya kuma ta kasance, kwana ta fari ke nan.
0101060057	Allah ya ce, “Bari sarari yă kasance tsakanin ruwaye domin yă raba ruwa da ruwa.”
0101070078	Saboda haka Allah ya yi sarari ya raba ruwan da yake ƙarƙashin sararin da ruwan da yake bisansa. Haka kuwa ya kasance.
0101080061	Allah ya kira sararin “sama.” Yamma ta kasance, safiya kuma ta kasance, kwana ta biyu ke nan.
010109008d	Allah ya ce, “Bari ruwan da yake ƙarƙashin sama yă tattaru wuri ɗaya, bari kuma busasshiyar ƙasa tă bayyana.” Haka kuwa ya kasance.
01010a007a	Allah ya kira busasshiyar ƙasar “doron ƙasa,” ruwan da ya taru kuma, ya kira “tekuna.” Allah ya ga yana da kyau.
01010b00b9	Sa’an nan Allah ya ce, “Bari ƙasa tă fid da tsire-tsire, da shuke-shuke, da itatuwa a bisa ƙasa masu ba da amfani da’ya’ya a cikinsu, bisa ga irinsu.” Haka kuwa ya kasance.
01010c00b8	Ƙasar ta fid da tsire-tsire, da shuke-shuke masu ba da’ya’ya bisa ga irinsu, ta fid kuma da itatuwa masu ba da’ya’ya da iri a cikinsu bisa ga irinsu. Allah ya ga yana da kyau.
01010d003e	Yamma ta kasance, safiya kuma ta kasance, kwana ta uku ke nan.
01010e009c	Allah kuma ya ce, “Bari haskoki su kasance a sararin sama domin su raba yini da dare, bari su zama alamu domin su nuna yanayi, da ranaku, da kuma shekaru,
01010f0064	bari kuma haskokin su kasance a sararin sama domin su ba da haske a duniya.” Haka kuwa ya kasance.
0101100074	Allah ya yi manyan haskoki biyu, babban hasken yă mallaki yini, ƙaramin kuma yă mallaki dare. Ya kuma yi taurari.
010111003c	Allah ya sa su a sararin sama domin su ba da haske a duniya,
0101120058	su mallaki yini da kuma dare, su kuma raba haske da duhu. Allah kuwa ya ga yana da kyau.
0101130040	Yamma ta kasance, safiya kuma ta kasance, kwana ta huɗu ke nan.
010114007a	Allah ya ce, “Bari ruwa yă cika da halittu masu rai, bari tsuntsaye kuma su tashi sama a bisa duniya a sararin sama.”
01011500b8	Allah ya halicci manyan halittun teku, da kowane mai rai da abin da yake motsi a ruwa, bisa ga irinsu, da kuma kowane tsuntsu mai fiffike bisa ga irinsa. Allah kuwa ya ga yana da kyau.
010116008e	Allah ya albarkace su ya ce, “Ku yi ta haihuwa ku kuma ƙaru da yawa, ku cika ruwan tekuna, bari kuma tsuntsaye su yi yawa a bisa duniya.”
0101170040	Yamma ta kasance, safiya kuma ta kasance, kwana ta biyar ke nan.
01011800af	Allah kuwa ya ce, “Bari ƙasa tă ba da halittu masu rai bisa ga irinsu; dabbobi da halittu masu rarrafe, da kuma namun jeji, kowane bisa ga irinsa.” Haka kuwa ya kasance.
010119009d	Allah ya halicci namun jeji bisa ga irinsu, dabbobi bisa ga irinsu, da kuma dukan halittu masu rarrafe a ƙasa bisa ga irinsu. Allah kuwa ya ga yana da kyau.
01011a00f4	Sa’an nan Allah ya ce, “Bari mu yi mutum cikin siffarmu, cikin kamanninmu, bari kuma su yi mulki a bisa kifin teku, tsuntsayen sama, da kuma dabbobi, su yi mulki a bisa dukan duniya, da kuma a bisa dukan halittu, da masu rarrafe a ƙasa.”
01011b007c	Saboda haka Allah ya halicci mutum cikin siffarsa. Cikin kamannin Allah, Allah ya halicci mutum. Miji da mace ya halicce su.
01011c00ec	Allah ya albarkace su, ya kuma ce musu, “Ku yi ta haihuwa ku ƙaru da yawa, ku mamaye duniya, ku mallake ta. Ku yi mulki a bisa kifin teku, da tsuntsayen sararin sama, da kuma bisa kowace halitta mai rai wadda take rarrafe a ƙasa.”
01011d00b7	Sa’an nan Allah ya ce, “Ga shi, na ba ku kowane tsiro mai ba da’ya’ya masu kwaya da suke a fāɗin duniya, da dukan itatuwa masu ba da’ya’ya, don su zama abinci a gare ku.
01011e00cd	Na kuma ba da dukan dabbobin ƙasa, da dukan tsuntsayen sama, da dukan abin da yake rarrafe a ƙasa, da dai iyakar abin da yake numfashi; haka kuma na ba da ganyaye su zama abinci.” Haka kuwa ya kasance.
01011f0077	Allah ya ga dukan abin da ya yi, yana da kyau ƙwarai. Yamma ta kasance, safiya kuma ta kasance, kwana ta shida ke nan.
0102010048	Ta haka aka gama yin sammai da duniya da dukan abubuwan da suke cikinsu.
0102020071	Kafin kwana ta bakwai, Allah ya gama aikin da yake yi, saboda haka a kwana ta bakwai, ya huta daga dukan aikinsa.
0102030085	Allah kuwa ya albarkaci kwana ta bakwai, ya kuma mai da ita mai tsarki, saboda a kanta ne ya huta daga dukan aikin halittar da ya yi.
010204007a	Wannan shi ne asalin tarihin sammai da duniya sa’ad da aka halicce su. Sa’ad da Ubangiji Allah ya yi duniya da sammai,
01020500b5	babu tsiro a duniya kuma ganyaye ba su tsira a busasshiyar ƙasa ko ba, gama Ubangiji Allah bai aiko da ruwan sama a kan duniya ba tukuna, babu kuma wani mutumin da zai nome ƙasar,
0102060056	amma dai rafuffuka suna ɓullo da ruwa daga ƙasa suna jiƙe ko’ina a fāɗin ƙasa.
010207008d	Sa’an nan Ubangiji Allah ya yi mutum daga turɓayar ƙasa, ya kuma hura numfashin rai cikin hancinsa, mutumin kuwa ya zama rayayyen taliki.
0102080056	To, fa, Ubangiji Allah ya yi lambu a gabas, a Eden, a can kuwa ya sa mutumin da ya yi.
01020900d9	Ubangiji Allah ya kuma sa kowane irin itace ya tsira daga ƙasa, itace mai kyan gani, mai amfani kuma don abinci. A tsakiyar lambun kuwa akwai itacen rai da kuma itacen sanin abin da yake da kyau da abin da yake mugu.
01020a006f	Akwai wani kogi mai ba da ruwa ga lambun wanda ya gangaro daga Eden, daga nan ya rarrabu, ya zama koguna huɗu.
01020b0062	Sunan kogi na fari, Fishon. Shi ne yake malala kewaye da dukan ƙasar Hawila, inda akwai zinariya.
01020c006b	(Zinariyar wannan ƙasa kuwa tana da kyau, akwai kuma kayan ƙanshi da duwatsun da ake kira onis a can ma.)
01020d0042	Sunan kogi na biyu, Gihon. Shi ne ya malala kewaye da ƙasar Kush.
01020e0072	Sunan kogi na uku Tigris. Wannan ne ya malala ya bi ta gefen gabashin Asshur. Kogi na huɗu kuwa shi ne Yuferites.
01020f0066	Ubangiji Allah ya ɗauko mutumin ya sa shi cikin Lambun Eden domin yă nome shi, yă kuma lura da shi.
0102100062	Ubangiji Allah ya umarci mutumin ya ce, “Kana da’yanci ka ci daga kowane itace a cikin lambun,
010211007d	amma kada ka ci daga itacen sanin abin da yake mai kyau da abin da yake mugu, gama a ranar da ka ci shi, lalle za ka mutu.”
0102120074	Ubangiji Allah ya ce, “Bai yi kyau mutumin yă kasance shi kaɗai ba. Zan yi masa mataimakin da ya dace da shi.”
01021300cc	To, Ubangiji Allah ya yi dukan namun jeji da dukan tsuntsayen sama daga ƙasa. Ya kawo su wurin mutumin don yă ga wanda suna zai kira su; kuma duk sunan da mutumin ya kira kowane mai rai, sunansa ke nan.
010214008c	Saboda haka mutumin ya sa wa dukan dabbobi, da tsuntsayen sama da dukan namun jeji sunaye. Amma ba a sami mataimakin da ya dace da Adamu ba.
01021500a3	Saboda haka Ubangiji Allah ya sa mutumin ya yi barci mai nauyi; yayinda yake barci sai ya ɗauko ɗaya daga cikin haƙarƙarin mutumin, ya kuma rufe wurin da nama.
0102160071	Sa’an nan Ubangiji Allah ya yi mace daga haƙarƙarin da ya ɗauko daga mutumin, ya kuwa kawo ta wurin mutumin.
010217008f	Sai mutumin ya ce, “Yanzu kam wannan ƙashi ne na ƙasusuwana nama kuma na namana. Za a ce da ita ‘mace,’ gama an ciro ta daga namiji.”
010218006a	Wannan ne ya sa mutum yakan bar mahaifinsa da mahaifiyarsa, yă manne wa matarsa, su kuma zama jiki ɗaya.
0102190046	Mutumin da matarsa, dukansu biyu tsirara suke, ba su kuwa ji kunya ba.
01030100aa	To, maciji dai ya fi kowane a cikin namun jejin da Ubangiji Allah ya yi wayo. Ya ce wa macen, “Tabbatacce ne Allah ya ce, ‘Kada ku ci daga kowane itace a lambu’?”
0103020048	Macen ta ce wa macijin, “Za mu iya ci daga’ya’ya itatuwa a lambun,
010303008b	amma Allah ya ce, ‘Kada ku ci daga’ya’yan itacen da yake tsakiyar lambu, kada kuma ku taɓa shi, in ba haka ba kuwa za ku mutu.’”
0103040036	Maciji ya ce wa macen, “Tabbatacce ba za ku mutu ba.
010305009e	Gama Allah ya san cewa sa’ad da kuka ci daga itacen idanunku za su buɗe, za ku kuma zama kamar Allah, ku san abin da yake mai kyau da abin da yake mugu.”
01030600d9	Sa’ad da macen ta ga’ya’yan itacen suna da kyau don abinci, abin sha’awa ga ido, abin marmari kuma don samun hikima, sai ta tsinka ta ci, ta kuma ba da waɗansu wa mijinta wanda yake tare da ita, shi ma ya ci.
010307008d	Sa’an nan idanun dukansu biyu suka buɗe, suka kuma gane tsirara suke; saboda haka suka ɗinɗinka ganyayen ɓaure suka yi wa kansu sutura.
0103080092	Da mutumin da matarsa suka ji motsin Ubangiji Allah yana takawa a lambun a sanyin yini, sai suka ɓuya daga Ubangiji Allah a cikin itatuwan lambu.
010309003a	Amma Ubangiji Allah ya kira mutumin ya ce, “Ina kake?”
01030a005d	Ya ce, “Na ji ka a cikin lambu, na kuwa ji tsoro gama ina tsirara, saboda haka na ɓuya.”
01030b006c	Sai ya ce, “Wa ya faɗa maka cewa kana tsirara? Ko dai ka ci daga itacen da na umarce ka kada ka ci ne?”
01030c006e	Mutumin ya ce, “Macen da ka sa a nan tare da ni, ita ta ba ni waɗansu’ya’ya daga itacen, na kuwa ci.”
01030d0072	Sai Ubangiji Allah ya ce wa matar, “Me ke nan kika yi?” Matar ta ce, “Macijin ne ya ruɗe ni, na kuwa ci.”
01030e00e0	Saboda haka Ubangiji Allah ya ce wa macijin, “Saboda ka yi haka, “Na la’anta ka cikin dukan dabbobi da kuma cikin dukan namun jeji! Daga yanzu rubda ciki za ka yi tafiya turɓaya kuma za ka ci dukan kwanakin rayuwarka.
01030f0085	Zan kuma sa ƙiyayya tsakaninka da macen, tsakanin zuriyarka da zuriyarta. Zai ragargaje kanka, kai kuma za ka sari ɗiɗɗigensa.”
01031000a1	Sa’an nan ya ce wa macen, “Zan tsananta naƙudarki ainun, da azaba kuma za ki haifi’ya’ya. Za ki riƙa yin marmarin mijinki zai kuwa yi mulki a kanki.”
01031100c3	Ga Adamu kuwa ya ce, “Saboda ka saurari matarka, ka kuma ci daga itacen da na ce, ‘Kada ka ci,’ “Za a la’anta ƙasa saboda kai. Da wahala za ka ci daga cikinta dukan kwanakin rayuwarka.
0103120045	Za tă ba ka ƙayayyuwa da sarƙaƙƙiya za ka kuwa ci ganyayen gona.
0103130091	Da zuffan goshinka za ka ci abincinka har ka koma ga ƙasa, da yake daga cikinta aka yi ka. Gama kai turɓaya ne, kuma ga turɓaya za ka koma.”
0103140054	Mutumin ya sa wa matarsa suna, Hawwa’u, gama za tă zama mahaifiyar masu rai duka.
0103150053	Ubangiji Allah ya yi tufafin fata domin Adamu da Hawwa’u, ya kuma yi musu sutura.
01031600de	Ubangiji Allah ya kuma ce, “To, fa, mutum ya zama kamar ɗaya daga cikinmu, ya san abin da yake mai kyau da abin da yake mugu. Kada a yarda yă miƙa hannunsa yă ɗiba daga itacen rai yă ci, yă kuma rayu har abada.”
010317005e	Saboda haka Ubangiji Allah ya kore shi daga Lambun Eden domin yă nome ƙasa wadda aka yi shi.
010318009f	Bayan da ya kori mutumin, sai ya sa kerubobi da takobi mai harshen wuta yana jujjuyawa baya da gaba a gabashin Lambun Eden don yă tsare hanya zuwa itacen rai.
010401007f	Adamu ya kwana da matarsa Hawwa’u, ta kuwa yi ciki ta haifi Kayinu. Sai ta ce, “Da taimakon Ubangiji na sami ɗa namiji.”
0104020097	Daga baya ta haifi ɗan’uwansa, ta kuma ba shi suna Habila. Sa’ad da suka yi girma sai Habila ya zama makiyayin tumaki, Kayinu kuwa ya zama manomi.
010403004f	Ana nan sai Kayinu ya kawo waɗansu amfanin gona a matsayin hadaya ga Ubangiji.
0104040077	Amma Habila ya kawo mafi kyau daga’ya’yan fari na garkensa. Ubangiji ya yi farin ciki da sadakar da Habila ya kawo,
0104050075	amma bai yi farin ciki da sadakar da Kayinu ya kawo ba. Saboda haka Kayinu ya ji fushi sosai, fuskarsa kuma ta ɓace.
010406004d	Sai Ubangiji ya ce wa Kayinu, “Don me kake fushi? Don me fuskarka ta ɓace?
01040700d2	Da ka yi abin da yake daidai, ai, da ka sami karɓuwa. Amma tun da ba ka yi abin da ba daidai ba, zunubi zai yi fakonka don yă rinjaye ka kamar naman jeji. Yana so yă mallake ka, amma tilas ka rinjaye shi.”
0104080086	To, Kayinu ya ce wa ɗan’uwansa Habila, “Mu tafi gona.” Yayinda suke a gona, sai Kayinu ya tasar wa Habila ya buge shi ya kashe.
0104090080	Sai Ubangiji ya ce wa Kayinu, “Ina ɗan’uwanka Habila?” Sai Kayinu ya ce, “Ban sani ba, ni mai gadin ɗan’uwana ne?”
01040a005e	Ubangiji ya ce, “Me ke nan ka yi? Saurara! Ga jinin ɗan’uwanka yana mini kuka daga ƙasa.
01040b0079	Yanzu, kai la’ananne ne, an kuma kore ka daga ƙasa wadda ta buɗe bakinta ta shanye jinin ɗan’uwanka daga hannunka.
01040c0063	In ka nome ƙasa, ba za tă ƙara ba ka hatsinta ba. Za ka kuma zama mai yawo barkatai a duniya.”
01040d0037	Kayinu ya ce wa Ubangiji, “Horon nan ya sha ƙarfina.
01040e0091	Ga shi, yau kana kori na daga ƙasar, zan zama a ɓoye daga fuskarka, zan kuma zama mai yawo barkatai, duk wanda ya same ni kuwa zai kashe ni.”
01040f00c9	Amma Ubangiji ya ce masa, “Ba haka ba ne! Duk wanda ya kashe Kayinu, za a ninƙa hukuncinsa har sau bakwai.” Sa’an nan Ubangiji ya sa wa Kayinu alama don duk wanda ya same shi kada yă kashe shi.
0104100062	Saboda haka Kayinu ya yi tafiyarsa ya rabu da Ubangiji, ya je ya zauna ƙasar Nod a gabashin Eden.
0104110084	Kayinu ya kwana da matarsa, ta kuwa yi ciki, ta haifi Enok. A lokacin Kayinu yana gina birni, sai ya sa wa birnin sunan ɗansa Enok.
010412007a	Aka haifa wa Enok Irad, Irad kuma ya haifi Mehujayel, Mehujayel kuma ya haifi Metushayel, Metushayel kuma ya haifin Lamek.
0104130040	Lamek ya auri mata biyu, ana ce da ɗaya Ada, ɗayan kuma Zilla.
0104140059	Ada ta haifi Yabal, shi ne mahaifi waɗanda suke zama a tentuna, suna kuma kiwon dabbobi.
0104150055	Sunan ɗan’uwansa Yubal, shi ne mahaifin dukan makaɗan garaya da masu hura sarewa.
0104160098	Zilla ma ta haifi ɗa, Tubal-Kayinu, shi ne wanda ya ƙera kowane iri kayan aiki daga tagulla da kuma ƙarfe.’Yar’uwar Tubal-Kayinu ita ce Na’ama.
01041700b1	Wata rana, Lamek ya ce wa matansa, Ada da Zilla, “Ku saurara, matan Lamek, ku ji maganata. Na kashe wani saboda ya yi mini rauni, na kashe wani saurayi saboda ya ji mini ciwo.
0104180064	Idan za a rama wa Kayinu har sau bakwai, lalle za a rama wa Lamek sau saba’in da bakwai ke nan.”
01041900aa	Sai Adamu ya sāke kwana da matarsa, ta haifi ɗa, aka kuma ba shi suna Set, gama ta ce, “Allah ya ba ni wani yaro a madadin Habila, tun da yake Kayinu ya kashe shi.”
01041a0062	Set ma ya haifi ɗa, ya kuma kira shi Enosh. A lokaci ne, mutane suka fara kira ga sunan Ubangiji.
0105010072	Wannan shi ne rubutaccen tarihin zuriyar Adamu. Sa’ad da Allah ya halicci mutum, ya yi shi cikin kamannin Allah.
010502006e	Ya halicce su namiji da ta mace, ya kuma albarkace su. Sa’ad da kuma aka halicce su, ya kira su “Mutum.”
0105030063	Sa’ad da Adamu ya yi shekaru 130, sai ya haifi ɗa wanda ya yi kama da shi, ya kuma kira shi Set.
010504005b	Bayan an haifi Set, Adamu ya yi shekaru 800, ya kuma haifi waɗansu’ya’ya maza da mata.
010505003d	Gaba ɗaya dai, Adamu ya yi shekaru 930, sa’an nan ya mutu.
0105060035	Sa’ad da Set ya yi shekara 105, sai ya haifi Enosh.
010507005b	Bayan ya haifi Enosh, Set ya yi shekara 807, ya kuma haifi waɗansu’ya’ya maza da mata.
010508003b	Gaba ɗaya dai, Set ya yi shekaru 912, sa’an nan ya mutu.
0105090036	Sa’ad da Enosh ya yi shekara 90, sai ya haifi Kenan.
01050a005d	Bayan ya haifi Kenan, Enosh ya yi shekara 815, ya kuma haifi waɗansu’ya’ya maza da mata.
01050b003d	Gaba ɗaya dai, Enosh ya yi shekaru 905, sa’an nan ya mutu.
01050c003a	Sa’ad da Kenan ya yi shekara 70, sai ya haifi Mahalalel.
01050d0060	Bayan ya haifi Mahalalel, Kenan ya yi shekara 840, ya kuma haifi waɗansu’ya’ya maza da mata
01050e003d	Gaba ɗaya dai, Kenan ya yi shekara 910, sa’an nan ya mutu.
01050f003a	Sa’ad da Mahalalel ya yi shekara 65, sai ya haifi Yared.
