1300000006	Psalms
130101007e	MEID pai ol o, me jota alialu ni padak en me doo jan Kot akan o me jo duki on me dipan akan, o me jo mondi ren me malaun akan,
130102004d	A me kin peren kida kapun en leowa o madamadaua duen a kapun ni ran o ni pon!
1301030084	A rajon tuka pot, me padedier ni kailan pilap akan me kin kapareda wa ni a anjau, o ta kan jota kin monala, a karoj a wiawia pwaida.
1301040049	Me doo jan Kot akan jota kin dueta, a re rajon dip me an kin iririp jili.
130105005d	I me doo jan Kot akan jota pan pwai kida nan kadeik, o me dipan akan nan momod en me pun kan.
1301060053	Pwe leowa kotin mani al en me pun kan; a al en ir, me doo jan Kot akan, pan joredi.
1302010048	DA me men liki kan linarinarki, o da me wei kan lamelam eki me mal akan?
1302020072	Nanmarki en jappa kan kin kanudi o jaupeidi kan kapukapun pena, en kaokaoe dodok en leowa o Japwilim a me keidier.
1302030040	Kitail en kawela ara men jaliedi o kaje jan kitail ara jal akan!
1302040049	A me kotikot nanlan, kotin kiparamateki, o Kaun o kotin mamale kin irail.
130205005a	Eu ran a pan kotin kapun on ir ni a onion; o ni a onion lapalap a pan kotin kamajak irail.
1302060035	A nai kajapwilada ai Nanmarki pon dol en Jion jaraui.
1302070071	A nai pan padaki wei duen aude pan kapun en leowa! A kotin majani on ia er: Koe nai Ol, ran wet I kaipwi uk adar!
1302080052	Poeki re i, I ap pan ki on uk, en jojoki men liki kan, o en aneki imwin jappa kan.
1302090049	Koe pan kawe irail ekidi jokon mata, o kamor irail pajan raj on dal akan.
13020a0052	Ari, komail nanmarki kan en dukidi, o komail jaunkapun en jappa kan en lolekonala!
13020b0028	Papan leowa ni lan o pereperen ni majak!
13020c0084	Metik japwilim a Ol, pwe a der onion, o komail ap lokidokila pon al o, pwe a onion kak madan tapida. A meid pai ir karoj, me liki i.
130301003d	O IEOWA, ai imwintiti me toto, o ir me toto, me kanudi on ia!
1303020044	Me toto kin inda duen nen i, me dene jota jauaj pa i ren Kot. (Jela)
130303004a	A komui Ieowa pere pa i, o komui pan kotin kalinana ia da, o kamait ia la.
130304005b	I kin likwiri on Ieowa ki nil laud; o a kotin mani ai nidinid jan ni japwilim a dol jaraui.
1303050040	I kin wonon, o mamair, o pirida, pwe Ieowa kin kotin kolekol ia.
130306003c	I jota kin majak jaunpei nen pak toto, me kin kapil ia pena.
1303070072	Kom kotida Main, Ieowa o jauaj a ia, ai Kot! Pwe kom kotin pikir ai imwintiti karoj, o kawelar ni en me japun kan.
130308004b	Ieowa me jauaj patail Kom kotin kamauiada japwilim omui aramaj akan! (Jela)
130401008d	KOT kapun pa i, kom kotin mani ia ni ai likelikwir. Pwe kom kin kotin kamait ia la ni ai anjau apwal. Kom kotin maki on ia o mani ai kapakap.
130402006d	Komail jaumaj akan! Arai da mar ai pan jujued? Arai da omail pok on me mal kot, o omail perenki likam? (Jela)
1304030076	Komail lolekonala, ap aja, me Ieowa kotin piladar japwilim a lelapok o. Ieowa kin kotin mani ia ni ai likelikwir on i.
130404006f	Ni omail makar, komail der wia dip. Komail madamadauaki monion omail ni omail wendi pon loj o ap auiaui. (Jela)
1304050028	Komail maironki mairon pun o liki Ieowa.
1304060073	Me toto kin inda: Ij me pan kajale on kitail me mau kan? A Ieowa, kom kotin kamaraine kin kit marain en jilan omui!
1304070049	Komui kotin kaperenda monion i laud jan anjaun arail wain o korn me toto.
1304080060	I kin wonon o mamair ni popol; pwe komui ta Main, me kotin jauaj a ia da, pwe i en kak moleilei.
130501003b	IEOWA kom kotin ereki ai lokaia o kotin mani ai madamadaua.
1305020054	O kotin mani ai likelikwir, ai Nanmarki o ai Kot, pwe i pan potoan kapakap on komui.
1305030051	Main Ieowa, kotin mani nil ai nin joran, nin joran i men tu on komui o majamajan.
130504005a	Pwe komui kaidin Kot amen, me kin mauki tiak japun, me morjued jota pan mimieta mo ’mui.
1305050056	Me aklapalap akan jota pan pwaida mon jilan omui, kom kin kotin juede ki me japun kan.
1305060059	Kom pan kotin kamela me likam kan; Ieowa kin kotin tataki me kamela o kotaue aramaj akan.
1305070076	A i pan pedelon on nan tanpaj omui, pweki omui kalanan lapalap, o kaudok ni lan inen won japwilim omui im en kaudok o.
130508005e	Main kom kotin kalua ia ni omui pun, pweki ai imwintiti kan; kom kotin kaineneta al omui mo i.
