2800000006	Matayo
2801010049	Kitabu kya lukholo lwa Yesu Kristu mwana ghwa Daudi, mwana ghwa Ibrahimu.
280102006e	Ibrahimu aj'hele tata ghwa Isaka, ni Isaka aj'hele tata ghwa Yakobo, ni Yakobo tata ghwa Yuda ni bhalongomunu.
2801030068	Yuda aj'hele tata ghwa Peresi ni Sera kwa Tamari, Peresi tata ghwa Hezeroni, ni Hezeroni tata ghwa Ramu.
280104005c	Ramu ajhele tata ghwa Aminadabu, Aminadabu tata ghwa Nashoni, ni Nashoni tata ghwa Salimoni.
2801050061	Salimoni ajhele tata ghwa Boazi kwa Rahabu, Boazi tata ghwa Obedi kwa Ruth, Obedi tata ghwa Yese,
2801060059	Yese ajhele tata ghwa mfalme Daudi. Daudi ajhele tata ghwa Sulemani kwa n'dala ghwa Uria.
2801070054	Sulemani ajhele tata ghwa Rehoboamu, Rehoboamu tata ghwa Abiya, Abiya tata ghwa Asa.
2801080059	Asa ajhele tata ghwa Yehoshafati, Yehoshafati tata ghwa Yoramu, ni Yoramu tata ghwa Uzia.
2801090050	Uzia ajhele tata ghwa Yothamu, Yothamu tata ghwa Ahazi, Ahazi tata ghwa Hezekia.
28010a0051	Hezekia ajhele tata ghwa Manase, Manase tata ghwa Amoni ni Amoni tata ghwa Yosia.
28010b0056	Yosia ajhele tata ghwa Yekonia ni bhalongomunu bhwakati bhwa kutolibhwa kulota Babeli.
28010c0074	Ni baada jha kutolibhwa kul'ota Babeli, Yekonia ajhele tata ghwa Shatieli, Shatieli ajhele kokho munu ni Zerubabeli.
28010d005b	Zerubabeli ajhele tata ghwa Abiudi, Abiudi tata ghwa Eliakimu, ni Eliakimu tata ghwa Azori.
28010e004e	Azori ajhele tata ghwa Zadoki, Zadoki tata ghwa Akimu, Akimu tata ghwa Eliudi.
28010f0053	Eliudi ajhele tata ghwa Elieza, Elieza tata ghwa Matani ni Matani tata ghwa Yakobo.
280110006b	Yakobo ajhele tata ghwa Yusufu n'gosi ghwa Mariamu, ambajhe kwa muene Yesu ahogoliki, j'haikutibhwa Kristu.
28011100cf	Fizazi fyoha kuh'omela Ibrahimu hadi Daudi fyaj'hele fizazi kumi na nne, kuh'omela Daudi hadi kutolibhwa kulota Babeli fizazi kumi na nne, ni kuhomela kutolibhwa kulota Babeli hadi Kristu fizazi kumi na nne.
28011200b7	Kuhogoleka kwa Yesu Kristu kwajhele namna e'j'he. Ndebhuake, Mariamu, achumbilibhu ni Yusufu, lakini kabla bhakhona kubhonana, abhonekene kujha nu luleme kwa ngofo sya Roho Mtakatifu.
