2800000008	Matthieu
2801010044	Table généalogique de Jésus-Christ, fils de David, fils d'Abraham
2801020051	Abraham engendra Isaac; Isaac engendra Jacob; Jacob engendra Juda et ses frères;
2801030063	Juda engendra Pharès et Zara qu’il eut de Thamar; Pharès engendra Esrôm; Esrôm engendra Aram;
280104004b	Aram engendra Aminadab; Aminadab engendra Naasson; Naasson engendra Salmon;
280105006c	Salmon engendra Boès, qu'il eut de Rachab; Boès engendra Jobed, qu'il eut de Ruth; Jobed engendra Jessaï;
2801060056	Jessaï engendra David, le roi David engendra Salomon, qu’il eut de la femme d'Urie;
2801070043	Salomon engendra Roboam; Roboam engendra Abia; Abia engendra Asaph;
2801080047	Asaph engendra Josaphat; Josaphat engendra Joram; Joram engendra Ozeia;
2801090049	Ozeia engendra Joatham; Joatham engendra Achaz; Achaz engendra Ezéchias;
28010a004a	Ezéchias engendra Manassé; Manassé engendra Amon; Amon engendra Josias;
28010b005d	Josias engendra Jéchonias et ses frères (c'était au temps de la déportation à Babylone).
28010c0060	Après la déportation à Babylone: Jéchonias engendra Salathiel; Salathiel engendra Zorobabel;
28010d004f	Zorobabel engendra Abioud; Abioud engendra Eliakeïm; Eliakeïm engendra Azôr;
28010e0046	Azôr engendra Sadok; Sadok engendra Acheïm; Acheïm engendra Elioud;
28010f004c	Elioud engendra Eléazar; Eléazar engendra Matthan; Matthan engendra Jacob;
2801100054	Jacob engendra Joseph, l'époux de Marie, de laquelle est né Jésus, dit le Christ.
28011100d6	En tout donc, d'Abraham jusqu'à David: quatorze générations. — De David jusqu'à la déportation à Babylone: quatorze générations. — De la déportation à Babylone jusqu'au Christ: quatorze générations.
28011200b0	Voici comment Jésus-Christ vint au monde: Marie, sa mère, après avoir été fiancée à Joseph et avant qu'ils eussent vécu ensemble, se trouva enceinte par l'Esprit saint.
2801130074	Or Joseph, son mari, était un juste. Ne voulant pas lui faire affront, il résolut de rompre avec elle sans bruits.
28011400d3	Comme il était en cette pensée, un ange du Seigneur lui apparut en songe et lui dit: «Joseph, fils de David, n'hésite pas à recevoir chez toi, ta femme, Marie, car ce qu'elle a conçu est de l'Esprit saint.
2801150080	Elle mettra un fils au monde et tu lui donneras le nom de Jésus; c'est lui, en effet, qui sauvera son peuple de ses péchés.»
2801160066	(Or tout cela arriva afin que fût accompli ce que le Seigneur avait dit par le prophète en ces mots:
2801170086	«Voici la vierge sera enceinte; elle mettra un fils au monde; Et on lui donnera le nom d'Emmanuel» ce qui signifie: Dieu avec nous.)
2801180064	Joseph, à son réveil, agit d'après les ordres de l'ange du Seigneur: il reçut sa femme chez lui;
2801190062	et il ne la connut point avant qu'elle eût mis au monde un fils auquel il donna le nom de Jésus.
2802010077	Jésus étant né à Bethléem, dans la Judée, aux jours du roi Hérode, des mages arrivèrent d'Orient à Jérusalem.
2802020085	«Où est, demandèrent-ils, le nouveau-né, roi des Juifs? Nous avons vu son étoile en Orient et nous sommes venus pour l'adorer.»
2802030067	En entendant de telles paroles, le roi Hérode fut troublé et, avec lui, toute la ville de Jérusalem;
280204006d	il convoqua tous les chefs des prêtres et scribes du peuple et s'informa d'eux où devait naître le Christ.
280205006f	Ils lui répondirent: «A Bethléem dans la Judée.» (Voici, en effet, ce qui a été écrit par le prophète:
28020600a8	«Et toi, Bethléem, terre de Juda, Tu n'es certainement pas le plus petit des chefs-lieux de Juda, Car de toi sortira un conducteur Qui paîtra mon peuple, Israël.»)
2802070075	Là dessus, Hérode fit appeler les mages en secret et s'informa auprès d'eux de l'époque où l'étoile avait paru.
28020800c4	Puis il les envoya à Bethléem. «Allez, leur dit-il, prenez des informations exactes sur cet enfant et, quand vous l'aurez trouvé, faites-le moi savoir, pour que, moi aussi, j'aille l'adorer.»
28020900b1	Sur ces paroles du roi, ils partirent; et l'étoile qu'ils avaient vue en Orient les précédait jusqu'à ce que, parvenue au-dessus du lieu où était l'enfant, elle s'arrêta.
28020a003c	A la vue de l'étoile, ils se réjouirent d'une grande joie.
28020b00d2	Ils entrèrent dans la maison, ils virent l'enfant avec Marie sa mère; et, se prosternant, ils l'adorèrent. Ensuite, ouvrant leurs trésors, ils lui offrirent en présent de l'or, de l'encens et de la myrrhe.
28020c007c	Ayant été miraculeusement avertis en songe de ne pas revenir vers Hérode, ils regagnèrent leur pays par un autre chemin.
28020d00f9	Après leur départ, un ange du Seigneur apparut en songe à Joseph et lui dit: «Lève-toi! prends l'enfant et sa mère, et fuis en Égypte où tu resteras jusqu'à ce que je te reparle; car Hérode va rechercher l'enfant afin de le faire périr.»
28020e0055	Cette nuit même, Joseph se leva, prit l'enfant et sa mère et partit pour l'Égypte.
28020f00a9	Il y resta jusqu'à la mort d'Hérode. (C'était afin que fût accompli ce que le Seigneur avait dit par le prophète en ces mots: «J'ai rappelé mon fils d'Égypte».)
28021000eb	Quant à Hérode, se voyant joué par les mages, il se mit fort en colère, et envoya tuer tous les enfants de Bethléem et de ses environs âgés de deux ans et au-dessous suivant l'époque dont il s'était informé auprès des mages.
280211005c	(C'est alors que fut accompli ce qui avait été dit par le prophète Jérémie en ces mots:
28021200ac	«Une voix a été entendue dans Rama, Des pleurs et de longs sanglots; C'est Rachel pleurant ses enfants, Et elle ne veut pas être consolée parce qu'ils ne sont plus.»)
2802130051	Quand Hérode fut mort, un ange du Seigneur apparut en songe à Joseph en Égypte
2802140096	et lui dit: «Lève-toi, prends l'enfant et sa mère et retourne dans le pays d'Israël; car ceux qui en voulaient à la vie de l'enfant sont morts.»
2802150051	Joseph se levant donc prit l'enfant et sa mère et rentra dans le pays d'Israël.
28021600b6	Mais ayant appris qu'Archélaüs régnait en Judée à la place d'Hérode son père, il appréhenda d'y aller. Miraculeusement averti en songe, il partit pour la province de Galilée
280217009f	et, y étant arrivé, il habita une ville appelée Nazareth. (C'était afin que fut accompli ce qui a été dit par les prophètes: Il sera appelé Nazaréen).
280301004e	En ces jours-là, parut Jean-Baptiste, prêchant dans le désert de la Judée.
2803020042	Il disait: «Repentez-vous, car le Royaume des cieux est proche.»
280303009b	(C'est Jean que le prophète Ésaïe a annoncé quand il a dit: «Une voix crie dans le désert: Préparez la voie du Seigneur; Aplanissez ses sentiers.»)
