0100000005	Camba
0101010024	Ŋ camba, Kooh fer eel ci na kehƴi.
0101020062	Kehƴi nikee hulang, wa nikka ɓarang. E ñuus muuree masma, te Fuuɗsiŋ Kooh seree ŋ ɗafuk wa.
0101030029	Kooh woosa ne: «Wa wiisaat!» Wa wiissa.
010104003b	A hotta ne siñaari baahiɗ, a nistohha siñaari na ñuusi.
0101050061	A teekka siñaari "noh", a teekka ñuusi "wek". Niin raakka, ɓaaɓ raakka, wa nikka mbeha ɗeɓ.
0101060065	Wa weem coot, Kooh woosa ne: «Raɗsuk raakaat ŋ harmban masuɓ ci, ne wa nistoh masuɓ na masuɓ.»
010107005f	A haɓiɗta raɗsuki. A nistohha masmi ŋ ooɓ raɗsuki na masma ŋ ɗafka. Te wa nikohha ɗaa.
0101080051	A teekka raɗsuki "eel ci". Niin raakka, ɓaaɓ raakka, wa nikka mbeha kanakɗoh.
010109007b	Ŋ finho ineem, Kooh woosa ne: «Masmi ŋ ooɓ eel ci nangɗukohaat ɗisik yino po keheƴ suyiɗ pul.» Te wa nikohha ɗaa.
01010a005d	A teekka ɓaki suyɗi "keheƴ", a teekka masmi nangɗukohɗi "cookom". A hotta ne wa baahiɗ.
01010b00e2	Ngaŋ woo keem, Kooh woyissa ne: «Kehƴi riifaat na in ci na paare: paangiici ɓay tisoh, na kidig ci na ñamse, kidig nu nik na rimiŋ wa na tisohiŋ wa ŋ ɗooƴi, ŋ findi mandohaaɗiŋ wa, ŋ kehƴi.» Te wa nikohha ɗaa.
01010c0099	Kehƴi paarra paangi ɓayiɗ tisoh findi mandohaaɗ ciŋ ca, kidig ci na rime findi mandohaaɗ ciŋ ca, waa nu nik na tisohiŋ wa. A hotta ne wa baahiɗ.
01010d0036	Niin raakka, ɓaaɓ raakka, wa nikka mbeha kaahayɗoh.
01010e0095	Wa mbeheem coot, Kooh woosa ne: «Ngaŋ raɗsukiŋ eel ci, wa raakaat in ci raak siñaar, ne ca nistoh noh na wek, ca teeɓoh jamano na mbeh na kiis.
01010f0056	Ŋ raɗsukiŋ eel ci, ca nikaat siñaar ne ca siñaariɗ kehƴi.» Te wa nikohha ɗaa.
010110006f	Kooh haɓiɗta siñaar kanak yakak, wi yakki ne wa adgoh noh, wi ƴini ne wa adgoh wek. A haɓiɗta yit hor ci.
010111003b	A seriɗta ca ŋ raɗsukiŋ eel ci ne ca siñaariɗ kehƴi,
010112004a	ne ca adgoh noh na wek, ca nistoh siñaar na ñuus. A hotta ne wa baahiɗ.
0101130036	Niin raakka, ɓaaɓ raakka, wa nikka mbeha nikiisɗoh.
0101140083	Ŋ woo keem, Kooh woyissa ne: «Ngaŋ masuɓ ci, cuurund na inaama wiiriis aastiɗohaat, sel pundaat ŋ eel ci, ŋ ɗafuk kehƴi.»
01011500e5	Ŋ ineem, a ferra ɗoopaat ci yakak ci ŋ cookmi, na inaamaaci na huƴe, ca weƴee jen ŋ ɗooƴ masuɓ ci. A ferra ca ŋ findi mandohaaɗ ciŋ ca. A ferra yit in ci raak paɓ jen, findi mandohaaɗ ciŋ ca. A hotta ne wa baahiɗ.
0101160077	A barke'iɗta ca, an: «Nikaat ɓasloh, rimaatɗohaat, riifɗaat masmiŋ cookmi, te yit, sel ci rimaatɗoh ŋ kehƴi.»
0101170036	Niin raakka, ɓaaɓ raakka, wa nikka mbeha yatuusɗoh.
01011800bd	Wa weem coot, Kooh woosa ne: «Kehƴi pulɗaat inaama findi mandohaaɗ ciŋ ca, ɗoopaat ci raakan heɗ, na ci raakanɗi heɗ, na inaama ƴin findi mandohaaɗ ciŋ ca.» Te wa nikohha ɗaa.
01011900c6	A ferra ɗoopaat ci raakanɗi heɗ findi mandohaaɗ ciŋ ca, a ferra ci raakan heɗ findi mandohaaɗ ciŋ ca, a ferra inaamaaci ƴin ci ŋ kehƴi jen findi mandohaaɗ ciŋ ca. A hotta ne wa baahiɗ.
01011a00e1	Ngaŋ woo keem, a woyissa ne: «Ɓoo haɓɗaat ɓo' ŋ ñaamaariŋ ɓoo, findi mandohaaɗiŋ ɓoo, ne ɓa adgoh cuurund ciŋ cookmi, na sel ciŋ eel ci, na ɗoopaat ci, ne ɓa adgoh kehƴi jen, na in ci na yoonde ŋ kehƴi.»
01011b005a	Kooh ferra ɓo' ŋ ñaamaariŋ ɗe. Ngaŋ ñaamaariŋ Kooh, a ferra ɓa, ƴaar na ɓitiɓ.
01011c00b8	A barke'iɗta ɓa, a woosa ɓa ne: «Ɓaslaat, rimaatɗohaat, riifɗaat kehƴi, minaat kehƴi jen, adgohaat cuurund ciŋ cookmi, na sel ciŋ eel ci, na in ci na yoonde ŋ kehƴi jen.»
01011d009c	Kooh dokkissa, woosa ɓa ne: «Ɓayaat, ŋ on ɗu paangi nu nik ne weɗi ŋ kehƴi jen, na kidig nu amboh rim na tisohiŋ wa ɗah. Ca nik pesohaaciŋ ɗu.»
