2800000006	Mathiu
2801010051	Jisu Kristo te awah Dewid sutoom loong, marah Abraham sutoom angta loong ah arah.
280102011c	Abraham dowa ih Dewid tuk ih arah loong te awah rah ang rumta: Abraham, Isak, Jaakob, Juda nyi soophoh loong; erah lilih Perej nyia Jera (Nyi nuh ah Tamar angta), Hejron, Ram, Aminadab, Nason, Salmon, Booj (heh nuh ah Raahab angta), Obed (heh nuh ah Ruth), Jiisi nyia luungwang Dewid.
2801060124	Dewid dowa ih Ijirel mina loong Bebiloon ni doksoon karumta tokdi te awah ah arah loong ah ang rumta: Dewid, Solomon (heh nuh rah langla Uriah minuh angta), Rehoboom, Abijah, Asa, Jehosaphat, Jehoram, Ujiah, Jotham, Ahaj, Hejekiah, Maniseh, Amon, Josiah, Jehochin nyia heh no loong ang rumta.
28010c0106	Bebiloon ni doksoon karumta dowa ih Jisu Kristo tupta mong adi te awah rah arah loong ah ang rumta: Jehoiachin, Siiltil, Jerubabel, Abiud, Eliakim, Ajor, Jaadok, Achim, Eliud, Eliajar, Matthan, Jaakob, nyia Jisu ah Kristo et poon rumta nuh Meeri kapte wah Josep.
28011100fd	Erah ang abah, Dewid dowa ih Abraham chamchi ni mina hasong ah asih roi baji angta, eno Dewid dowa ih Bebiloon ni hamat karumta mong adi asih roi baji angta erah damdi Bebiloon ni hamat karumta dowa ih Jisu tup ra taha chamchi adi uh asih roobaji angta.
28011200ae	Jisu Kristo ah ame tupta. Heh nuh Meeri ah Josep damdi kakhat muita, enoothong maang nookmui nyuuka ngadi, Meeri suh Esa Chiiala nawa ih hemong ni heh sah ejen wok et thukta.
28011300b1	Josep ah saarookwih epun ih reete toongtang mina angta, ang abah uh heh ih Meeri asuh noksong dung nah erakri phoh eah ih thun ano; husah lam ih we paak haatmui suh taat thunta.
28011400ce	Heh ih erah thunta tok adi, Teesu ih Rangsah ah heh mangphe di dongchap ano baat thukta, “Josep, Dewid sutoom, Meeri ah an sanuh et kap suh nakcho uh. Tumeah heh suh Esa Chiiala nawa ih sakjih ang thukla.
2801150083	Heh ih miwasah et dong tup ah, eno an ih heh men ah Jisu et men theng tumeah heh ih heh mina loong neng rangdah nawa puipang ah.”
2801160059	Erah langla Teesu ih khowah suh baatta jengkhaap ah amiisak toom ang raaha ih ang thukla,
2801170085	“Kateng Jaalah esiit heh sah wok ano heh sah ah miwasah ang ah, eno Imanuel et poon ah” (erah langla, “Rangte ah seng damdi”)
2801180049	Eno Josep ah jup nawa saat ano, Rangsah ih baatta jun ih, Meeri ah kapta.
2801190060	Ang abah uh heh sah tup ngah di Meeri damdi taroom jupta. Eno Josep ih heh men ah Jisu et menta.
28020100bb	Jisu ah Judia ni Betlehem hadaang adi tupta, eno erah tokdi Hirod ah luungwang angta. Erah tup damdam, seek di saadongko nawa mararah mina riksih jatsokte loong Jerusalem ni thok rum taha
