2800000003	Mat
2801010048	Enna ewela azaa beting be Yeso Kiristi, kena ka Daoda, kena ka Ibraheng.
2801020057	Ibraheng ate a Ishaku, Ishaku ate a Yakubu, a Yakubu ate a Yahuda kaa arone awai alome.
2801030062	Yahuda ate a Perez kaa Zera andaaka iini onea waye Tamar, Perez ate a Hezron, a Hezron ate a Aram.
2801040043	Aram ate a Aminadab, Aminadab ate a Nashon, aa Nashon ate a Salmon.
2801050064	Salmon ate a Bowaza ka iini wai waye Rahab. Bowaza ate a Obed ka iini wai waye Rut, Obed ate a Yese,
2801060060	a Yese ate a Ogomo Daoda. Daoda ate a Suleimanu ka iini wai waye Batsheba, ondaye Uriya o samba.
2801070042	Suleimanu ate a Rehobowam, Rehobowam ate a Abija, Abija ate a Asa,
2801080044	Asa ate a Yehoshapat, Yehoshapat ate a Yehoram, Yehoram ate a Uziya,
2801090039	Uziya ate a Yotam, Yotam ate a Ahaz, Ahaz ate a Hezekiya,
28010a003c	Hezekiya ate a Manase, Manase ate a Amon, Amon ate a Yosiya,
28010b005b	aa Yosiya ate a Yekoniya ka arone awai, a were aka a bese maYahuda a ale a lezara a Babila.
28010c0059	Malo besa one a lezara a Babila, Yekoniya ate a Sheyaltiyel, Sheyaltiyel ate a Zerubabel,
28010d0043	Zerubabel ate a Abihud, Abihud ate a Eliyakim, Eliyakim ate a Azor,
28010e0036	Azor ate a Zadok, Zadok ate a Akim, Akim ate a Aliyud,
28010f0042	Aliyud ate a Eleyazar, Eleyazar ate a Mattan, Mattan ate a Yakubu,
280110005d	aa Yakubu ate a Yusupu ondaleme Mariya, Mariya kamea ka ngmeng Yeso ka a beya kai na Kiristi.
2801110109	Obena pate sepeza a era Ibraheng a alea Daoda, sepeza betuurua ka she naaze. O era Daoda a alea awere amea a bese maYahuda a alea lezara a Babila, sepeza betuurua ka she naaze, o era were lezara a Babila kangza a ale o ngmenga Kiristi, sepeza betuurua ka she naaze.
280112009f	Nannaa ongmenga o Yeso Kiristi waze. Awere aka Yusupu waya caasa Mariya kamea ka ngmeng Yeso, zongka wa ana kai, na manaa ka ana etumǝ a surǝ a Obere Ashili.
280113007f	Yusupu ondasau kai waye ka boome ba Ashili na wata yeme o kare okai ezǝng a nyimi aromone, nawa eze madoola ma baya kai a suk.
28011400e0	Nangka waya madoola ma nyimi, na otoma Ashili o dera lepung o Ateokora deya awai atolau. Awa bena, “Yusupu kena ka Daoda, tana okone boome bo ana Mariya ka ka itǝ ondaye one, obena etumǝ ka ka ana, e surea Obere Ashilia.
2801150060	Kayo ngmenga kena ka lome, oyo nya kai leze na Yeso, o bena kayo boza aromo aza madinǝ mane.”
2801160061	A eze pate nyimia adorana angmǝ Ateokora pene ka Ondo beya angmǝ ka mawo ma Ashili Ishaya beke.
280117007f	“Laka! Kagala yo ya etumǝ, ka ka ngmeng kena kalome, ka ayo nya kai leze na Emanuwel, o wore obena Ashili ya legwa ka ro.”
2801180086	Nangka Yusupu wa ere atolau, nawa tare epaaka otoma Ashili o dera lepung me wa ote wai na waye, aa wa ana Mariya naka itǝ ondaye wai.
2801190064	Pate ka nyimi, wata wa more ka kai ne, se malo ngmenga kena ka kai. Nawa nya kena kame leze na Yeso.
2802010097	Malo ngmenga Yeso a Baitalami o makeke ma Yahudiya, awere togomo te Hiridus ogomo Ogong, ana orosa ne surea adizi nane deya a Urushalima ane pirkǝ na,
280202007c	“Ondooka a ngmeng, ogomo ma Yahuda ya babaa? Te laka bewerewere be wai a dizi na te deya kate eze kai makili ma Ashili.”
2802030050	Nangka Ogomo Hiridus wa kone nyimi nawa kone oburǝ ka apate aromo a Urushalima.
280204008e	Nawa kurki pate andaamoole magame ma Ashili ka ana obaala angmǝ aka Ashili a nya Mosa, awa pirkǝ ne na, a ruwǝme abena aya ngmenga Kiristi?
2802050084	Nane kabare wai na, “Apeng Betalami a makeke ma Yahudiya,” Ane kang bena, “Nyimia ondo obeya angmǝ ka mawo ma Ashili wa wele,
28020600aa	“‘Bo Betalami o makeke ma Yahudiya ota baate ne a nyimi makeke ma togomo ma Yahudiya, ka ogomo yo surǝa nyimi au ka waya eza togomo azaa aromo ang maIsrela.’”’
2802070056	Na Hiridus rare ana orosa name asuk adorana wa rose awere aka bewerewere beme be suri.
28020800ac	Nawa tong ne a Betalami na, “Ale na ka esoole kena kame a dede. Eedate ka ecǝ kai, deyana ka ebeleng, adorana mima ang ale kang eze makili ma Ashili a begeshe be kai.”
2802090093	Malooka ne mara okona angmǝ ogomo, nane lya izi ka teweno tene, a bewerewere beeka be surǝ ane obora kale ane ba izi a ale araaka kena kame zane.
28020a003f	Nangka ne laka bewerewere beme, nane pene ka okona oleba maleu.
