0100000007	Genesis
0101010037	In the beginning God created the heavens and the earth.
010102008d	And the earth was without form and void, and darkness was upon the face of the deep, and the Spirit of God moved upon the face of the waters.
0101030036	And God said, Let there be light, and there was light.
0101040055	And God saw the light, that it was good. And God divided the light from the darkness.
0101050075	And God called the light Day, and the darkness he called Night. And there was evening and there was morning, one day.
0101060070	And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.
0101070090	And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament. And it was so.
010108005f	And God called the firmament Heaven. And there was evening and there was morning, a second day.
010109007d	And God said, Let the waters under the heavens be gathered together to one place, and let the dry land appear. And it was so.
01010a0079	And God called the dry land Earth, and he called the gathering together of the waters Seas. And God saw that it was good.
01010b00b5	And God said, Let the earth put forth grass, herbs yielding seed, and fruit trees bearing fruit according to their kind (in which is the seed of them) upon the earth. And it was so.
01010c00ba	And the earth brought forth grass, herbs yielding seed according to their kind, and trees bearing fruit in which is the seed of it, according to their kind. And God saw that it was good.
01010d0039	And there was evening and there was morning, a third day.
01010e00a2	And God said, Let there be lights in the firmament of heaven to divide the day from the night, and let them be for signs, and for seasons, and for days and years.
01010f0062	And let them be for lights in the firmament of heaven to give light upon the earth. And it was so.
010110007d	And God made the two great lights, the greater light to rule the day, and the lesser light to rule the night, also the stars.
0101110049	And God set them in the firmament of heaven to give light upon the earth,
0101120075	and to rule over the day and over the night, and to divide the light from the darkness. And God saw that it was good.
010113003a	And there was evening and there was morning, a fourth day.
0101140086	And God said, Let the waters swarm with swarms of living creatures, and let birds fly above the earth in the open firmament of heaven.
01011500dd	And God created the great sea creatures, and every living creature that moves, which the waters brought forth abundantly, according to their kind, and every winged bird according to its kind. And God saw that it was good.
010116007e	And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth.
0101170039	And there was evening and there was morning, a fifth day.
01011800ae	And God said, Let the earth bring forth living creatures according to their kind, cattle, and creeping things, and beasts of the earth according to their kind. And it was so.
01011900c5	And God made the beasts of the earth according to their kind, and the cattle according to their kind, and everything that creeps upon the ground according to its kind. And God saw that it was good.
01011a0100	And God said, Let us make mankind in our image-after our likeness-and let them have dominion over the fish of the sea, and over the birds of the heavens, and over the cattle, and over all the earth, and over every creeping thing that creeps upon the earth.
01011b006e	And God created mankind in his own image, in the image of God he created him, male and female he created them.
01011c00f8	And God blessed them. And God said to them, Be fruitful, and multiply, and fill the earth, and have power over it, and have dominion over the fish of the sea, and over the birds of the heavens, and over every living thing that moves upon the earth.
01011d00c5	And God said, Behold, I have given you every herb yielding seed, which is upon the face of all the earth, and every tree, in which is the fruit of a tree yielding seed. To you it shall be for food,
01011e00b1	and to every beast of the earth, and to every bird of the heavens, and to everything that creeps upon the earth in which there is life, for food-every green herb. And it was so.
01011f0083	And God saw everything that he had made, and, behold, it was very good. And there was evening and there was morning, the sixth day.
0102010046	And the heavens and the earth were finished, and all the host of them.
0102020085	And on the seventh day God finished his work which he had made, and he rested on the seventh day from all his work which he had made.
010203007b	And God blessed the seventh day, and hallowed it, because in it he rested from all his work which God had created and made.
0102040084	These are the generations of the heavens and of the earth when they were created, in the day that Jehovah God made earth and heaven.
01020500c1	And no plant of the field was yet in the earth, and no herb of the field had yet sprung up, for Jehovah God had not caused it to rain upon the earth. And there was not a man to till the ground,
0102060052	but there went up a mist from the earth, and watered the whole face of the ground.
0102070086	And Jehovah God formed man of the dust of the ground, and breathed into his nostrils the breath of life, and man became a living soul.
0102080060	And Jehovah God planted a garden eastward, in Eden, and there he put the man whom he had formed.
01020900cd	And out of the ground Jehovah God made to grow every tree that is pleasant to the sight, and good for food, also the tree of life in the midst of the garden, and the tree of the knowledge of good and evil.
01020a0067	And a river went out of Eden to water the garden, and from there it was divided, and became four heads.
01020b006d	The name of the first is Pishon. That is it which encompasses the whole land of Havilah, where there is gold.
