2800000005	Matej
280101006c	Kava si spisko tare kuštika e Isusese savo si Hrist, savo sasa potomko e Davideso thaj potomko e Avraameso.
280102006e	E Avraamese bijandilo o Isaak. A e Isaakose bijandilo o Jakov. A e Jakovese bijandile o Juda thaj lese phrala.
2801030070	A e Judase i Tamara bijanda e Farese thaj e Zare. A e Faresese bijandilo o Esrom. A e Esromese bijandilo o Aram.
2801040067	A e Aramese bijandilo o Aminadav. A e Aminadavese bijandilo o Naason. A e Naasonese bijandilo o Salmon.
280105006b	A e Salmonese i Raava bijanda e Vooze. A e Voozese i Ruta bijanda e Jovide. A e Jovidese bijandilo o Jesej.
2801060058	A e Jesejese bijandilo o caro o David. A e Davidese, e Urijasi romni bijanda e Solomone.
2801070061	A e Solomonese bijandilo o Rovoam. A e Rovoamese bijandilo o Avija. A e Avijase bijandilo o Asaf.
2801080062	A e Asafese bijandilo o Josafat. A e Josafatese bijandilo o Joram. A e Joramese bijandilo o Ozija.
2801090060	A e Ozijase bijandilo o Joatam. A e Joatamese bijandilo o Ahaz. A e Ahazese bijandilo o Ezekija.
28010a0064	A e Ezekijase bijandilo o Manasija. A e Manasijase bijandilo o Amos. A e Amosese bijandilo o Josija.
28010b0070	A e Josijase bijandile o Jehonija thaj lese phrala. Sasa gova ano vreme kana e Izraelcuren inđarde ano Vavilon.
28010c0072	A palo džajipe ko ropstvo ano Vavilon, e Jehonijase bijandilo o Salatiilo. A e Salatiilose bijandilo o Zorovavel.
28010d0068	A e Zorovavelese bijandilo o Avijud. E Avijudase bijandilo o Elijakim. A e Elijakimese bijandilo o Azor.
28010e005d	A e Azorese bijandilo o Sadok. A e Sadokase bijandilo o Ahim. A e Ahimese bijandilo o Elijud.
28010f0064	A e Elijudase bijandilo o Eleazar. A e Eleazarese bijandilo o Matan. A e Matanese bijandilo o Jakov.
2801100055	A e Jakovese bijandilo o Josif, o rom e Marijako, savi bijanda e Isuse akhardo Hrist.
28011100ca	Golese e kuštika taro Avraam dži o David, dešuštar kuštika, a taro David dži ko džajipe ko ropstvo ano Vavilon, dešuštar kuštika, a taro džajipe ano Vavilon dži o Hrist, dešuštar kuštika.
28011200b1	A o bijandipe e Isuseso e Hristeso sasa gija: Kana i Marija lesi dej sasa mangli romnjaće taro Josif thaj vadži ni lije pe thaj voj sasa čhej, ačhili khamni taro Sveto Duxo.
2801130077	A o Josif lako rom, golese so sasa pravedno manuš thaj kaj ni manglja te ladžarol la, manglja čorale te ačhavol la.
28011400e1	Thaj kana gija dija gođi golestar, zasuta thaj ano suno iklilo lese o anđelo e Gospodeso savo vaćarda: “Josife, čhaveja e Davideso! Ma te dara te le e Marija romnjaće. O čhavoro save voj ađućarol si taro Sveto Duxo.
2801150060	Ka bijanol čhave, a tu de le alav Isus golese kaj ka ikalol pe manušen tare grehura lenđe.”
2801160041	A sa kava sasa te ćerdol kova so o Dol vaćarda prekalo proroko:
2801170084	“Akh, i čhej ka ačhol khamni, thaj ka bijanol čhave thaj von ka den le alav Emanuel” so gova značil: “O Dol si amencar.”
280118008a	Kana o Josif uštilo taro sojipe, ćerda sar so vaćarda lese o anđelo e Gospodeso – anda e Marija pe čhereste thaj lija la romnjaće.
2801190050	Al vov ni suta lasa sa dži kaj ni bijanda murše čhave thaj dija le alav Isus.
2802010088	A kana bijandilo o Isus ano Vitlejem ani regija i Judeja, ko vreme e caroso e Irodeso, gothe avile e mudrakura taro istok ano Jerusalim,
2802020098	thaj pučlje: “Kaj si o jevrejsko caro savo tek bijandilo? Golese kaj dikhljam lesi čereni kaj iklili ko istok thaj aviljam te pera lese ke koča.”
2802030050	Kana gova šunda o caro o Irod, vov but uznemirisajlo thaj savore ano Jerusalim.
2802040093	Golese akharda sa e bare sveštenikuren thaj e učiteljuren e narodose tare Mojsijaso zakon thaj pučlja len: “Kaj trubul te bijandol o Hrist?”
280205004f	A von vaćarde lese: “Ano Vitlejem o Judejsko, golese kaj o proroko pisisada:
28020600bc	‘A tu Vitlejeme, ani phuv e Judaći, naj san nevažno maškar e Judejska thana, golese kaj tutar ka ikljol vladari savo ka inđarol pe manušen ano Izrael, sar o pastiri pe bakren.’”
2802070065	Thaj o Irod čorale bičhalda te den vika e mudrakuren thaj pučlja len kana tačno iklili i čereni.
28020800bf	Tegani bičhalda len ano Vitlejem, vaćarindoj: “Džan tumen thaj pučen šukar bašo čhavoro. Kana ka aračhen le, aven vaćaren manđe, te džav i me te perav angle leste ke me koča.”
2802090094	Von šunde e caro thaj đele. Thaj akh, i čereni sava dikhlje sar ikljol đeli angle lende sa dži kaj ni ačhili upre ko than kaj sasa o čhavoro.
28020a003f	Kana dikhlje i čereni, sesa baxtale, a lenđe ile sesa pherde.
28020b00c9	Đele andre ano čher, dikhlje e čhavore thaj lesa sasa lesi dej i Marija. Pele tele ke pe koča thaj poklonisajle lese. Pale gova putarde pe kutije thaj dije le pe darura: zlato, tamjano thaj smirna.
28020c0064	Thaj ano suno upozorisada len o Dol te ma irin pe ko Irod, golese avere dromesa đele ani piri phuv.
28020d00fb	Kana đele e mudrakura, dikh, avilo o anđelo e Gospodeso e Josifese ano suno thaj vaćarda lese: “Ušti, le e čhave thaj lese deja thaj naš ano Egipat thaj av odori dok me ni vaćarav tuće, golese kaj o Irod ka rodol e čhavore te mudarol le.”
28020e0049	Vov uštilo goja rat lija e čhavore thaj lese da thaj našlo ano Egipat.
28020f0088	Thaj odori ačhilo dži o meripe e Irodeso, te bi pherdola so o Gospod vaćarda prekalo proroko: “Taro Egipat dijem vika me čhave.”
28021000f4	Kana o Irod dikhlja kaj e mudrakura xoxade le, holajlo but thaj bičhalda e vojnikuren te mudaren ano Vitlejem thaj ane pašutne thana e muršane čhavoren dži e duj berš, palo vreme kana iklili i čereni tare savi dodžanglja tare mudrakura.
2802110034	Gija pherdilo kova so vaćarda o proroko o Jeremija:
