2800000007	Mathayi
2801010042	Tala ndala ya Yesu Kidisitu, mwana wa Tavidi yi mwana wa Bulahami.
280102006a	Bulahami kábuta Yizaki amana Yizaki kábuta Yakobi; Yakobi kábuta Yuta yi baphangi bandi ba bayakala;
2801030069	Yuta kábuta Fwalesi yi Zala, ngudi wa bawu Thamadi; Fwalesi kábuta Hesiloni; Hesiloni kábuta Alami;
280104004e	Alami kábuta Aminatabi; Aminatabi wábuta Nasoni; Nasoni kábuta Salamani;
2801050071	amana Salamani kábuta Bowasi, ngudi wandi Lahabi; Bowasi kábuta Yobedi ngudi wandi Luti; Yobedi kábuta Yese
280106005c	Yese kábuta Tavidi wuna wákituka kyamvu. Tavidi Kábuta Solumoni, yi mukhetu wa Wudiye;
280107004a	Solumoni kábuta Lobuwami; Lobuwami kábuta Abiya; Abiya kábuta Azafu;
280108004a	Azafu kábuta Yosafati; Yosafati kábuta Yolami; Yolami kábuta Ozyasi;
280109004d	Ozyasi kábuta Yowatami; Yowatami kábuta Akhazi; Akhazi kábuta Ezekyasi;
28010a0048	Ezekyasi kábuta Manase; Manase kábuta Amosi; Amosi kábuta Yozyasi;
28010b006a	Yozyasi kábuta Yekonya yi baphangi bandi ba bayakala; mu tangwa bákala mu tsi ya kinzenza ku Babiloni.
28010c006b	Amana kunima dya kukota mu kinzenza ku Babiloni, Yekonya kábuta Salasyedi; Salasyedi kábuta Zolubabedi;
28010d0050	Zolubabedi kábuta Abiwudi, Abiwudi kábuta Edyakimi; Edyakimi kábuta Azolu,
28010e0045	Azolu kábuta Satoki; Satoki kábuta Akimi; Akimi kábuta Ediwudi;
28010f004e	Ediwudi kábuta Eleyazadi; Eleyazadi kábuta Matani; Matani kábuta Yakobi;
2801100062	Yakobi kábuta Yozefu, yakala dya Madiya, kwena Madiya kwábutuka Yesu, wuna bisi tela Kidisitu.
280111010f	Disongidila, makula kumi yi maya máhita, tukidila Bulahami tii yi kuna Tavidi, amana makula kumi yi maya hika máhyoka, tukidila Tavidi tii yi kuna kinzenza kya ku Babiloni, amana makula kumi yi maya máhyoka tukidila mu kinzenza kya ku Babiloni tii yi kuna Kidisitu.
28011200bf	Amana tala buna lwákadila lubutuku lwa Yesu Kidisitu. Madiya, ngudi wandi, kákala mbayi wa Yozefu; ku thwala ya kikhunda kya lutu lwa bawu, wádimona ku vumu mu ngolu za Kitembu kyatoma.
280113009d	Amana Yozefu, yakala dyandi, kakala wabukheti yi wasungama amana kátondaku kumuyukisa tsoni ha mbasi, kahanga, wubongi dibanza dya kumuyambula mu kitsweki.
28011400f4	Bwosu kákalabwa banza, hanga wanzyo wa Pfumu wumulubwakidi mu ndosi amana wuzimbudi: «Yozefu, mwana wa Tavidi, kalaku yi bweya bwa kutambula, Madiya, hanga mukhetu waku, mukuma kifundu kya mwana wuna kayimiti, kwena Kitembu Kyatoma kitukini.
2801150082	Amana kabúta mwana mosi wa yakala, amana wamutediki mu khumbu ya Yesu, mukuma yandi wahúlula kikanda kyandi ku masumu mandi.»
2801160053	Moosu mana máhangama ndangu malungila mana kázimbula Pfumu mu nzila ya mbikudi:
28011700b4	«Ndumba wakonda kedi zaya yakala, kayímita vumu amana kabúta mwana mosi wa yakala, amana bamútediki mu khumbu ya Manwedi.» Disongidila: «Nzambi kenina ha kimosi yi betu.»
280118006b	Mu kutokama kwandi, Yozefu wáhanga buna kámulongikila wanzyo wa Pfumu, amana wátambula mukhetu wandi.
2801190066	Kaasi kámuzayaku lutu tii yi kuna kabutila mwana mosi wa yakala, wuna káheka yandi khumbu ya Yesu.
280201009c	Amana kunima lubutuku lwa Yesu, ku Betelemi dya Yuteya, mu tangwa dya kyamvu Eloti, hanga banganga ba bathetimbwa bátuka ku Kola, bisa tula ku Yelusalemi;
280202009a	amana bázimbula: «Akweti kenina kyamvu wa Bayuta wuna wubutukini? Mukuma tumonikini katumbwa kandi kuna Kola, amana thwisi fukama ku thwala ya yandi.»
2802030066	Amana mu kuyuka musamu wuna, kyamvu Eloti wákituka yangalakanu, yi Yelusalemi dyosu kumosi yi yandi.
280204008a	Amana wákhokisa bambuta ba banganga Nzambi boosu yi balongi ba mitsiku mya kanda, mu kubahyula keti kubiki kafwani kubutwakila Kidisitu?
2802050061	Amana bawu bámuzimbwala: «Ku Betelemi dya Yuteya, mukuma tala mana másonama kwena mbikudi:»
28020600d2	"Amana ngeyi, Betelemi, mulambu wa Yuteya, mu kyedika, weku wa khunda muna kati dya mbanza za mbuta za Yuteya; mukuma mwena ngeyi mwalúbwakila mutwadisi mosi wuna wakála muhungudi wa Kiseledi, kanda dyama".
2802070078	«Hanga Eloti wutedisi banganga ba bathetimbwa ku phengu amana wázikisa kwena bawu tangwa dya kumonika kwa katumbwa.»
28020800c7	Amana buna kábatuma ku Betelemi wuzimbudi: «Ndenu lwenda zikisa tsikiningi ya mambu kikuma kya mwana, amana, tangwa lwamúsengumuna, alwisa nzayisa, ndangu meni phi yisa fukama ku thwala yandi.»
28020900ae	Amana kunima dya kuyuka kyamvu, bénda. Kinga katumbwa kana bámona ku Kola wábatekidila kuna thwala; buna katula hana thandu ya homa hana kákala mwana, hanga wutelami.
28020a0036	Amana buna bámona katumbwa, báyuka kyesi kya lawu.
28020b00cd	Bákota muna nzu, bámona mwana yi Madiya ngudi wandi, bábwa muna malu mandi, kikuma kya kufukama ku thwala yandi, kunima bákangula mafuka ma bawu amana bámulambwala makabu: wolu, pfwabidi yi mila.
28020c007f	Kunima, Nzambi wábalwengisa mu ndosi ni bavutwakilaku hika kwena Eloti; hanga, bávutwakila ku nzila ya hika ku tsi ya bawu.
