0100000007	Genesis
0101010037	Pachiyambi Mulungu analenga kumwamba ndi dziko lapansi.
0101020091	Dziko lapansi linali losakonzedwa ndi lopanda kanthu. Mdima wandiweyani unakuta nyanja ndipo Mzimu wa Mulungu unkayendayenda pamwamba pa madziwo.
0101030036	Pamenepo Mulungu anati, “Kuwale” ndipo kunawaladi.
0101040052	Mulungu anaona kuti kuwalako kunali bwino ndipo Iye analekanitsa kuwala ndi mdima.
010105007d	Mulungu anatcha kuwalako “usana” ndipo mdima anawutcha “usiku.” Ndipo panali madzulo ndiponso mmawa pa tsiku loyamba.
0101060070	Kenaka Mulungu anati, “Pakhale thambo pakati pa madzi kuti lilekanitse madzi a mʼmwamba ndi madzi a pansi.”
0101070073	Ndipo Mulungu anapanga thambo nalekanitsa madzi amene anali pansi ndi pamwamba pa thambo lija, ndipo zinachitikadi.
0101080063	Mulungu anatcha thambo lija “kumwamba.” Ndipo panali madzulo ndiponso mmawa pa tsiku lachiwiri.
010109006f	Mulungu anati, “Madzi a pansi pa thambo asonkhane pa malo amodzi kuti mtunda uwoneke,” ndipo zinachitikadi.
01010a0081	Mulungu anawutcha mtundawo “dziko,” madzi osonkhana pamodziwo anawatcha “nyanja.” Ndipo Mulungu anaona kuti zinali bwino.
01010b0091	Kenaka Mulungu anati, “Dziko libereke zomera zobala mbewu, mitengo yobala zipatso za mbewu, molingana ndi mitundu yake.” Ndipo zinachitikadi.
01010c00b7	Dziko linabereka zomera zokhala ndi mbewu monga mwa mitundu yake ndi mitengo yokhala ndi zipatso za mbewu mʼkati mwake monga mwa mitundu yake. Ndipo Mulungu anaona kuti zinali bwino.
01010d0037	Ndipo panali madzulo ndiponso mmawa pa tsiku lachitatu.
01010e0094	Mulungu anati, “Pakhale zowunikira kuthambo kuti zilekanitse usana ndi usiku. Ndipo zimenezi zikhale zizindikiro zoonetsa nyengo, masiku ndi zaka;
01010f004a	zikhale kuthambo kuti ziwunikire pa dziko lapansi. Ndipo zinachitikadi.”
0101100088	Mulungu anapanga zowunikira zazikulu ziwiri; chachikulu chilamulire usana ndi chachingʼono chilamulire usiku. Iye anapanganso nyenyezi.
0101110041	Mulungu anaziyika mlengalenga kuti ziziwunikira pa dziko lapansi,
0101120069	kuti zilamulire usana ndi usiku, ndi kuti zilekanitse kuwala ndi mdima. Mulungu anaona kuti zinali bwino.
0101130037	Ndipo panali madzulo ndiponso mmawa pa tsiku lachinayi.
0101140074	Mulungu anati, “Mʼmadzi mukhale zamoyo zochuluka ndipo mbalame ziwuluke mlengalenga pamwamba pa dziko lapansi.”
01011500c2	Choncho Mulungu analenga zamoyo zikuluzikulu za mʼnyanja ndi chamoyo chamtundu uliwonse chokhala mʼmadzi ndi mbalame iliyonse ya mapiko monga mwa mtundu wake. Mulungu anaona kuti zinali bwino.
0101160075	Mulungu anazidalitsa nati, “Muswane, ndi kudzaza mʼmadzi a mʼnyanja, ndipo mbalame zichuluke pa dziko lapansi.”
0101170037	Ndipo panali madzulo ndiponso mmawa pa tsiku lachisanu.
01011800c0	Kenaka Mulungu anati, “Dziko lapansi litulutse zolengedwa zamoyo monga mwa mitundu yawo: ziweto, zolengedwa zokwawa ndi nyama zakuthengo, iliyonse monga mwa mtundu wake.” Ndipo zinaterodi.
01011900af	Mulungu anapanga nyama zakuthengo monga mwa mitundu yawo, nyama zoweta monga mwa mitundu yawo ndi nyama zokwawa monga mwa mitundu yawo. Ndipo Mulungu anaona kuti zinali bwino.
01011a00e6	Zitatha izi Mulungu anati, “Tipange munthu mʼchifanizo chathu, mofanana ndi ife kuti alamulire nsomba za mʼnyanja, mbalame zamlengalenga, nyama zonse zoweta ndi zonse zokwawa za pa dziko lapansi ndi zamoyo zonse zakutchire.”
01011b0079	Ndipo Mulungu analenga munthu mʼchifanizo chake. Anawalengadi mʼchifanizo cha Mulungu; analenga iwo, mwamuna ndi mkazi.
