2800000006	Matiyu
2801010040	Inyerte tisa kuwunun Yisa Kristi, usaun in Dauda, usaun Ibrahim.
280102005b	Ibrahim wadi uchifin Ishaku, a Ishaku uchifi Yakubu, a Yakubu uchifin Yahuda nin nuanamẹ.
280103005d	uchifin Parez nin Zaraha unuzun kumantin Tamar, Parez uchifin Hasruna, Hasruna uchifin Arama.
2801040048	Arama wa maru Aminadaba ku, Aminadaba mara Nahashuna ku, Nahashuna mara.
2801050078	Salmuna ku, Saalmuna mara Bu'az ku unuzu kumantin Rahab, Bu'az mara Ubida ku, unuzu kumantin Ruth, Ubida mara Jesẹ ku.
280106004e	Jesẹ wadi uchif ngoh Dauda, Dauda mara Solomon ku, unuzun kitin wanin Uriya.
2801070049	Solomon wadi uchifin Rehoboam, Rehoboam mara Abija ku, Abija mara Asa ku.
2801080046	Asa mara Jehoshapat, Jehoshapat mara Joram ku, Joram wa maru Uzaya ku.
2801090047	Uzaya mara Jotham ku, Jotham wa di uchifin Ahaz, Ahaz mara Hizikiya ku.
28010a0042	Hizikiya mara Manasa ku, Manasa mara Amon ku, Amon mara Josaya ku.
28010b0050	Josaya mara Jikoniya ku nin nuanẹ kubin kifuzun nonon Israila udumun u Babila.
28010c0057	Kimalin kifuzu udu u Babilẹ, Jikoniya mara Shealtiel ku, Shealtiel mara Zarubabel ku.
28010d0047	Zarubabel mara Abiud ku, Abiud mara ilayikum ku, Ilayakum mara Azor ku.
28010e0047	Azor mara Zadok ku, Zadok wadi uchifin Achim, Achim wadi uchifin Eliud.
28010f0047	Eliud wadi uchifin Ileza, Ileza mara Mattana ku, Mattana mara Yakub ku.
280110006c	Yakub mara Yusufu ku, ulessin Maremu ulenge na awa maru Yisa ku unuzu kitene, ulenge na idin yicighe Kristi.
28011100a3	Vat naji aji uyiru kitin Ibrahim udak kubin Dauda aji likure nin na nassari, uyiru kubin Dauda udu kubi ko na iwa yiru nani udu u Babila aji likure nin na nassari.
2801120095	Kumanti Yisa Kristi wadi nafo nengenari. Unene Maremu wa yiinnin aba su ilugma nin Yusufu, a na isa su ilugma ba iseghe nin liburin in Fip Kutellẹ.
280113007d	Ulesse Yusufu wadi unan fiu Kutellẹ, na awa di nin su a nighe ncin nan nya nanit ba. Bara nani awa di nin su asughe likire.
