0100000048	ମୋଶାଙ୍କ ଲିଖିତ ପ୍ରଥମ ପୁସ୍ତକ
0101010087	ଆଦ୍ୟରେ ପରମେଶ୍ୱର ସ୍ୱର୍ଗସମୂହ ଓ ପୃଥିବୀକୁ ସୃଷ୍ଟି କଲେ।
010102010d	ପୃଥିବୀ ନିର୍ଜନ ଓ ଶୂନ୍ୟ ଥିଲା, ଆଉ ଗଭୀର ଜଳ ଉପରେ ଅନ୍ଧକାର ଥିଲା; ପୁଣି, ପରମେଶ୍ୱରଙ୍କ ଆତ୍ମା ଜଳ ଉପରେ ବ୍ୟାପ୍ତ ଥିଲେ।
01010300a2	ଏଥିଉତ୍ତାରେ ପରମେଶ୍ୱର କହିଲେ, “ଦୀପ୍ତି ହେଉ,” ତହିଁରେ ଦୀପ୍ତି ହେଲା।
01010400e8	ଆଉ ପରମେଶ୍ୱର ଦୀପ୍ତିକୁ ଦେଖିଲେ ଯେ ତାହା ଉତ୍ତମ; ତହୁଁ ପରମେଶ୍ୱର ଅନ୍ଧକାରରୁ ଦୀପ୍ତିକୁ ଭିନ୍ନ କଲେ।
0101050124	ପୁଣି, ପରମେଶ୍ୱର ଦୀପ୍ତିର ନାମ “ଦିବସ,” ଓ ଅନ୍ଧକାରର ନାମ “ରାତ୍ରି” ଦେଲେ। ତହୁଁ ସନ୍ଧ୍ୟା ଓ ପ୍ରାତଃକାଳ ହୋଇ ପ୍ରଥମ ଦିବସ ହେଲା।
01010600d0	ଏଥିଉତ୍ତାରେ ପରମେଶ୍ୱର କହିଲେ, “ଜଳ ମଧ୍ୟରେ ଶୂନ୍ୟ ଜାତ ହୋଇ ଜଳକୁ ଦୁଇ ଭାଗରେ ଭିନ୍ନ କରୁ।”
0101070127	ଏହିରୂପେ ପରମେଶ୍ୱର ଶୂନ୍ୟ ନିର୍ମାଣ କରି ଶୂନ୍ୟର ଊର୍ଦ୍ଧ୍ୱସ୍ଥ ଜଳରୁ ଶୂନ୍ୟର ଅଧଃସ୍ଥ ଜଳକୁ ଭିନ୍ନ କଲେ; ତହିଁରେ ସେହିରୂପ ହେଲା।
01010800fc	ଆଉ ପରମେଶ୍ୱର ସେହି ଶୂନ୍ୟର ନାମ “ଆକାଶମଣ୍ଡଳ” ଦେଲେ। ପୁଣି, ସନ୍ଧ୍ୟା ଓ ପ୍ରାତଃକାଳ ହୋଇ ଦ୍ୱିତୀୟ ଦିବସ ହେଲା।
010109013c	ଏଥିଉତ୍ତାରେ ପରମେଶ୍ୱର କହିଲେ, “ଆକାଶମଣ୍ଡଳର ଅଧଃସ୍ଥ ସମଗ୍ର ଜଳ ଏକ ସ୍ଥାନରେ ସଂଗୃହୀତ ହେଉ ଓ ସ୍ଥଳ ପ୍ରକାଶ ହେଉ,” ତହିଁରେ ସେହିରୂପ ହେଲା।
01010a00f8	ପୁଣି, ପରମେଶ୍ୱର ସ୍ଥଳର ନାମ “ପୃଥିବୀ,” ଓ ଜଳରାଶିର ନାମ “ସମୁଦ୍ର” ଦେଲେ; ଆଉ ପରମେଶ୍ୱର ତାହା ଉତ୍ତମ ଦେଖିଲେ।
01010b017b	ଏଉତ୍ତାରୁ ପରମେଶ୍ୱର କହିଲେ, “ପୃଥିବୀ ତୃଣ ଓ ସବୀଜ ଶାକ ଓ ବୀଜ ସମ୍ବଳିତ ସ୍ୱ ସ୍ୱ ଜାତି ଅନୁଯାୟୀ ଫଳୋତ୍ପାଦକ ଫଳବୃକ୍ଷ ଭୂମି ଉପରେ ଉତ୍ପନ୍ନ କରୁ,” ତହିଁରେ ସେପରି ହେଲା।
01010c0189	ଅର୍ଥାତ୍‍, ପୃଥିବୀ ତୃଣ ଓ ସ୍ୱ ସ୍ୱ ଜାତି ଅନୁସାରେ ବୀଜଉତ୍ପାଦକ ଶାକ ଓ ସ୍ୱ ସ୍ୱ ଜାତି ଅନୁସାରେ ସବୀଜ ଫଳୋତ୍ପାଦକ ବୃକ୍ଷ ଉତ୍ପନ୍ନ କଲା; ପୁଣି, ପରମେଶ୍ୱର ତାହା ଉତ୍ତମ ଦେଖିଲେ।
01010d007f	ତହିଁରେ ସନ୍ଧ୍ୟା ଓ ପ୍ରାତଃକାଳ ହୋଇ ତୃତୀୟ ଦିବସ ହେଲା।
01010e019a	ଏଥିଉତ୍ତାରେ ପରମେଶ୍ୱର କହିଲେ, “ରାତ୍ରିରୁ ଦିବସକୁ ପୃଥକ କରିବା ପାଇଁ ଆକାଶମଣ୍ଡଳରେ ଜ୍ୟୋତିର୍ଗଣ ଉତ୍ପନ୍ନ ହେଉନ୍ତୁ; ପୁଣି, ସେ ସବୁ ଚିହ୍ନ ଓ ଋତୁ ଓ ଦିବସ ଆଉ ବର୍ଷର କାରଣ ହେଉନ୍ତୁ।
01010f00e1	ଆଉ ପୃଥିବୀରେ ଆଲୁଅ ଦେବା ପାଇଁ ଆକାଶମଣ୍ଡଳରେ ସେହି ଜ୍ୟୋତିର୍ଗଣ ଥାଉନ୍ତୁ,” ତହିଁରେ ସେପରି ହେଲା।
01011001b1	ଏହି ପ୍ରକାରେ ପରମେଶ୍ୱର ଦିବସରେ କର୍ତ୍ତୃତ୍ଵ କରିବାକୁ ଏକ ମହାଜ୍ୟୋତି ଓ ରାତ୍ରିରେ କର୍ତ୍ତୃତ୍ଵ କରିବାକୁ ତାହାଠାରୁ ସାନ ଏକ ଜ୍ୟୋତିଃ, ଏହି ଦୁଇ ମହାଜ୍ୟୋତି, ଆଉ ମଧ୍ୟ ତାରାଗଣ ନିର୍ମାଣ କଲେ।
01011100c4	ତହୁଁ ପୃଥିବୀରେ ଦୀପ୍ତି ଦେବା ପାଇଁ ଓ ଦିବା ଓ ରାତ୍ରି ଉପରେ କର୍ତ୍ତୃତ୍ୱ କରିବା ପାଇଁ,
010112014b	ଆଉ ଦୀପ୍ତିକୁ ଅନ୍ଧକାରରୁ ପୃଥକ କରିବା ପାଇଁ, ପରମେଶ୍ୱର ଆକାଶମଣ୍ଡଳରେ ସେହି ଜ୍ୟୋତିର୍ଗଣ ସ୍ଥାପନ କଲେ; ଆଉ ପରମେଶ୍ୱର ଏହି ସମସ୍ତ ଉତ୍ତମ ଦେଖିଲେ।
0101130082	ତହିଁରେ ସନ୍ଧ୍ୟା ଓ ପ୍ରାତଃକାଳ ହୋଇ ଚତୁର୍ଥ ଦିବସ ହେଲା।
0101140148	ଏଥିଉତ୍ତାରେ ପରମେଶ୍ୱର କହିଲେ, “ଜଳ ବହୁଳ ରୂପେ ଜଙ୍ଗମ ପ୍ରାଣୀବର୍ଗରେ ପ୍ରାଣୀମୟ ହେଉ ଓ ପୃଥିବୀର ଉପରିସ୍ଥ ଆକାଶମଣ୍ଡଳରେ ପକ୍ଷୀଗଣ ଉଡ଼ନ୍ତୁ।”
01011501b9	ଆଉ ପରମେଶ୍ୱର ବୃହତ ତିମିଙ୍ଗିଳ ପ୍ରଭୃତି ଓ ସ୍ୱ ସ୍ୱ ଜାତି ଅନୁସାରେ ବହୁଳ ରୂପେ ଜଳଜ ଜଙ୍ଗମ ପ୍ରାଣୀବର୍ଗ ଓ ସ୍ୱ ସ୍ୱ ଜାତି ଅନୁସାରେ ପକ୍ଷୀଗଣର ସୃଷ୍ଟି କଲେ। ପରମେଶ୍ୱର ଏହି ସମସ୍ତ ଉତ୍ତମ ଦେଖିଲେ।
0101160168	ପୁଣି, ପରମେଶ୍ୱର ସେମାନଙ୍କୁ ଆଶୀର୍ବାଦ କରି କହିଲେ, “ପ୍ରଜାବନ୍ତ ଓ ବହୁବଂଶ ହୋଇ ସମୁଦ୍ରର ଜଳ ପରିପୂର୍ଣ୍ଣ କର, ଆଉ ପୃଥିବୀରେ ପକ୍ଷୀଗଣ ବହୁସଂଖ୍ୟକ ହେଉନ୍ତୁ।”
010117007f	ତହିଁରେ ସନ୍ଧ୍ୟା ଓ ପ୍ରାତଃକାଳ ହୋଇ ପଞ୍ଚମ ଦିବସ ହେଲା।
01011801f2	ଏଥିଉତ୍ତାରେ ପରମେଶ୍ୱର କହିଲେ, “ପୃଥିବୀରେ ସ୍ୱ ସ୍ୱ ଜାତି ଅନୁସାରେ ପ୍ରାଣୀବର୍ଗ, (ଅର୍ଥାତ୍‍), ଗ୍ରାମ୍ୟ ପଶୁ ଓ ଉରୋଗାମୀ ଜନ୍ତୁ ଓ ସ୍ୱ ସ୍ୱ ଜାତି ଅନୁସାରେ ପୃଥିବୀର ବନ୍ୟ ପଶୁଗଣ ଉତ୍ପନ୍ନ ହେଉନ୍ତୁ,” ତହିଁରେ ସେପରି ହେଲା।
01011901e6	ଏହିରୂପେ ପରମେଶ୍ୱର ସ୍ୱ ସ୍ୱ ଜାତି ଅନୁଯାୟୀ ବନ୍ୟ ପଶୁଗଣ ଓ ସ୍ୱ ସ୍ୱ ଜାତି ଅନୁଯାୟୀ ଗ୍ରାମ୍ୟପଶୁଗଣ ଓ ସ୍ୱ ସ୍ୱ ଜାତି ଅନୁଯାୟୀ ପ୍ରତ୍ୟେକ ଭୂଚର ଉରୋଗାମୀ ଜନ୍ତୁ ନିର୍ମାଣ କଲେ; ଆଉ ପରମେଶ୍ୱର ସେସମସ୍ତ ଉତ୍ତମ ଦେଖିଲେ।
01011a0242	ଏଥିଉତ୍ତାରେ ପରମେଶ୍ୱର କହିଲେ, “ଆମ୍ଭେମାନେ ଆପଣା ପ୍ରତିମୂର୍ତ୍ତିରେ ଓ ଆପଣା ସାଦୃଶ୍ୟରେ ମନୁଷ୍ୟକୁ ନିର୍ମାଣ କରୁ। ସେମାନେ ଜଳଚର ମତ୍ସ୍ୟଗଣ ଓ ଖେଚର ପକ୍ଷୀଗଣ ଓ ପଶୁଗଣ ଓ ସମସ୍ତ ପୃଥିବୀ ଓ ଭୂମିରେ ଗମନଶୀଳ ସବୁ ଉରୋଗାମୀ ଜନ୍ତୁ ଉପରେ କର୍ତ୍ତୃତ୍ୱ କରିବେ।”
01011b01a5	ଏଥିଉତ୍ତାରେ ପରମେଶ୍ୱର ଆପଣା ପ୍ରତିମୂର୍ତ୍ତିରେ ମନୁଷ୍ୟକୁ ସୃଷ୍ଟି କଲେ; ପରମେଶ୍ୱରଙ୍କ ପ୍ରତିମୂର୍ତ୍ତିରେ ସେ ତାହାକୁ ସୃଷ୍ଟି କଲେ; ପୁରୁଷ ଓ ସ୍ତ୍ରୀ କରି ସେ ସେମାନଙ୍କୁ ସୃଷ୍ଟି କଲେ।
01011c0229	ଆଉ ପରମେଶ୍ୱର ସେମାନଙ୍କୁ ଆଶୀର୍ବାଦ କଲେ; ପୁଣି, ପରମେଶ୍ୱର ସେମାନଙ୍କୁ କହିଲେ, “ପ୍ରଜାବନ୍ତ ଓ ବହୁବଂଶ ହୁଅ, ପୁଣି, ପୃଥିବୀକୁ ପରିପୂର୍ଣ୍ଣ କରି ବଶୀଭୂତ କର, ଆଉ ଜଳଚର ମତ୍ସ୍ୟଗଣ ଓ ଖେଚର ପକ୍ଷୀଗଣ ଓ ଭୂଚର ଉରୋଗାମୀ ଜନ୍ତୁଗଣ ଉପରେ କର୍ତ୍ତୃତ୍ଵ କର।”
01011d014e	ପରମେଶ୍ୱର ଆହୁରି କହିଲେ, “ଦେଖ, ଆମ୍ଭେ ଭୂମିସ୍ଥ ସବୁ ସବୀଜ ଶାକ ଓ ସବୁ ସବୀଜ ଫଳଦାୟକ ବୃକ୍ଷ ତୁମ୍ଭମାନଙ୍କୁ ଦେଲୁ, ତାହା ତୁମ୍ଭମାନଙ୍କର ଖାଦ୍ୟ ହେବ।
01011e017c	ପୁଣି, ପୃଥିବୀସ୍ଥ ସମସ୍ତ ପଶୁ ଓ ଖେଚର ପକ୍ଷୀ ଓ ଭୂଚର ଉରୋଗାମୀ ଜନ୍ତୁ, ଏହି ସମସ୍ତ ପ୍ରାଣୀଙ୍କ ଭକ୍ଷ୍ୟ ନିମନ୍ତେ ଆମ୍ଭେ ସବୁ ହରିତ୍‍ ଶାକ ଦେଲୁ,” ତହିଁରେ ସେହିପରି ହେଲା।
01011f015d	ପରମେଶ୍ୱର ଆପଣା ନିର୍ମିତ ପ୍ରତ୍ୟେକ ବସ୍ତୁ ପ୍ରତି ଦୃଷ୍ଟି କଲେ, ଆଉ ଦେଖ, ସମସ୍ତ ଅତ୍ୟୁତ୍ତମ ହେଲା। ତହିଁରେ ସନ୍ଧ୍ୟା ଓ ପ୍ରାତଃକାଳ ହୋଇ ଷଷ୍ଠ ଦିବସ ହେଲା।
01020100d9	ଏହିରୂପେ ଆକାଶମଣ୍ଡଳ ଓ ପୃଥିବୀର, ପୁଣି, ସେହି ଦୁଇସ୍ଥିତ ସମସ୍ତ ବସ୍ତୁର ସୃଷ୍ଟି ସମାପ୍ତ ହେଲା।
0102020111	ପରମେଶ୍ୱର ସପ୍ତମ ଦିନରେ ଆପଣାର କାର୍ଯ୍ୟ ସମାପ୍ତ କରି ସେହି ସପ୍ତମ ଦିନରେ ଆପଣାର କୃତ ସମସ୍ତ କାର୍ଯ୍ୟରୁ ବିଶ୍ରାମ କଲେ।
0102030160	ପୁଣି, ପରମେଶ୍ୱର ସପ୍ତମ ଦିନକୁ ଆଶୀର୍ବାଦ କରି ପବିତ୍ର କଲେ। ଯେହେତୁ ସେହି ଦିନରେ ପରମେଶ୍ୱର ସୃଷ୍ଟିକରଣରୂପ ଆପଣାର କୃତ ସମସ୍ତ କାର୍ଯ୍ୟରୁ ବିଶ୍ରାମ କଲେ।
0102040117	ସୃଷ୍ଟିକାଳରେ ଆକାଶମଣ୍ଡଳ ଓ ପୃଥିବୀର ବିବରଣ ଏହି। ଯେଉଁ ସମୟରେ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ଆକାଶମଣ୍ଡଳ ଓ ପୃଥିବୀ ନିର୍ମାଣ କଲେ,
010205019d	ସେହି ସମୟରେ କ୍ଷେତ୍ରରେ କୌଣସି ତୃଣ ନ ଥିଲା ଓ ଭୂମିରେ କୌଣସି ଶାକ ନ ଥିଲା; ଯେହେତୁ ସଦାପ୍ରଭୁ ପରମେଶ୍ୱର ପୃଥିବୀରେ ବୃଷ୍ଟି କରାଇ ନ ଥିଲେ, ଆଉ କୃଷିକର୍ମ କରିବାକୁ ମନୁଷ୍ୟ ହିଁ ନ ଥିଲା।
0102060093	ପୁଣି, ପୃଥିବୀରୁ ଏକ କୁହୁଡ଼ି ଉଠି ସମସ୍ତ ଭୂମିରେ ଜଳ ସିଞ୍ଚିଲା।
