2800000007	Mattiyu
2801010035	Littafin asalin Yesu Almasihu Dan Dauda, Dan Ibrahim.
2801020069	Ibrahim shine mahaifin Ishaku, Ishaku shine mahaifin Yakubu, Yakubu shine mahaifin Yahuza da 'yan'uwansa.
280103007b	Yahuza shine mahaifin Farisa da Zera, ta wurin Tamar. Farisa kuma shine mahaifin Hasruna, Hasruna kuma shine mahaifin Aram.
280104005d	Aram shine mahaifin Amminadab, Amminadab shine mahaifin Nashon, Nashon shine mahaifin Salmon.
2801050072	Salmon shine mahaifin Bo'aza ta wurin Rahab, Bo'aza shine mahaifin Obida ta wurin Rut. Obida shine mahaifin Yesse,
280106005c	Yesse shine mahaifin sarki Dauda. Sarki Dauda shine mahaifin Sulaimanu ta wurin matar Uriya.
280107005d	Sulaimanu shine mahaifin Rehobo'am, Rehobo'am shine mahaifin Abija, Abija shine mahaifin Asa.
2801080060	Asa shine mahaifin Yehoshafat, Yehoshafat shine mahaifin Yoram, Yoram kuma shine mahaifin Uziya.
2801090054	Uziya shine mahaifin Yotam, Yotam shine mahaifin Ahaz, Ahaz shine mahaifin Hezekiya.
28010a0060	Hezekiya shine mahaifin Manassa, Manassa shine mahaifin Amon, sannan Amon shine mahaifin Yosiya.
28010b0062	Yosiya shine mahaifin Yekoniya da 'yan'uwansa, dai dai locacin da aka kwashe su zuwa kasar Babila.
28010c006d	Bayan kwasar su zuwa kasar Babila, Yekoniya shine mahaifin Sheyaltiyel, Sheyaltiyel shine mahaifin Zarubabel.
28010d0068	Zarubabel shine mahaifin Abihudu, Abihudu shine mahaifin Eliyakim, sannan Eliyakim shine mahaifin Azuru.
28010e005d	Azuru shine mahaifin Saduku. Saduku shine mahaifin Akimu, sannan Akimu shine mahaifin Aliyudu
28010f0067	Aliyudu shine mahaifin Ali'azara, Ali'azara shine mahaifin Matana, sannan Matana shine mahaifin Yakubu.
2801100071	Yakubu shine mahaifin Yusufu maigidan Maryamu, wadda ta wurin ta ne aka haifi Yesu, wanda ake ce da shi Almasihu.
28011100de	Tun daga Ibrahim zuwa Dauda, an yi tsara goma sha hudu ne, daga Dauda zuwa lokacin da aka kwashe su zuwa Babila, tsara goma sha hudu ne, sannan daga lokacin da aka kwashe su zuwa Babila zuwa Almasihu tsara goma sha hudu ne
28011200a6	Ga yadda haihuwar Yesu Almasihu ta kasance. Mahaifiyarsa, Maryamu, tana tashi da Yusufu, amma kafin su yi aure, sai aka same ta da juna biyu ta wurin Ruhu Mai Tsarki.
2801130073	Mijinta, Yusufu, adalin mutum ne, amma ba ya so ya kunyatar da ita a sarari. Sai ya yi shawara ya sake ta a asirce.
28011400f0	Yana cikin tunanin wadannan al'amura, sai mala'ikan Ubangiji ya bayyana gareshi a mafarki, ya ce masa, “Yusufu, dan Dauda, kada ka ji tsoron daukar Maryamu a matsayin matarka. Gama abinda ke cikinta, ta wurin Ruhu Mai Tsarki aka same shi.
2801150056	Za ta haifi Da, za ka kira sunansa Yesu, domin za ya ceci mutanensa daga zunubansu.”
280116004a	Duk wannan ya faru ne domin a cika abinda aka fada ta bakin annabin, cewa,
280117007b	“Duba, budurwa za ta sami juna biyu sannan za ta haifi da, za su kira sunansa Immanuel”-ma'ana, “Allah tare da mu.”
2801180073	Yusufu ya farka daga barci, ya yi kamar yadda mala'ikan Ubangiji ya umarce shi, sai ya dauke ta a matsayin matarsa.
280119004e	Amma Yusufu bai sadu da ita ba sai bayan da ta haifi da. Ya kira sunansa Yesu.
280201008e	Bayanda aka haifi Yesu a Baitalami ta kasar Yahudiya, a zamanin sarki Hirudus, sai ga wadansu masana daga gabas suka zo Urushalima, suna cewa,
2802020061	''Ina wanda aka haifa sarkin Yahudawa? Mun ga tauraronsa a gabas mun kuma zo mu yi masa sujada.''
2802030054	Da sarki Hirudus ya ji haka, sai ya damu kwarai, haka kuma dukan mutanen Urushalima.
280204006c	Hirudus ya tara dukan manyan firistoci da marubuta na jama'a, ya tambaye su, “Ina za a haifi Almasihun?”
280205004f	Suka ce masa, ''A Baitalami ne ta kasar Yahudiya, domin haka annabin ya rubuta,
28020600b5	'Ke kuma, Baitalami, ta kasar Yahudiya, ba ke ce mafi kankanta ba a cikin shugabanin Yahudiya, domin daga cikin ki mai mulki zai fito wanda zai zama makiyayin jama'a ta Isra'ila.'''
280207005b	Sai Hirudus ya kira masanan a asirce ya tambaye su aininhin lokacin da tauraron ya bayyana.
2802080095	Ya aike su Baitalami, ya ce, ''Ku je ku binciko mani dan yaron da kyau. Idan kun same shi, ku kawo mani labari, don ni ma in je in yi masa sujada.”
28020900a6	Bayan sun ji maganar sarkin, sai suka yi tafiyar su, ga shi kuwa, tauraron da suka gani a gabas yana tafe a gaban su, har ya zo ya tsaya bisa inda dan yaron nan yake.
28020a0034	Da suka ga tauraron, sai suka yi matukar farin ciki.
28020b00c6	Sai suka shiga gidan, suka ga dan yaron tare da mahaifiyarsa Maryamu. Suka rusuna gabansa suka yi masa sujada. Sa'an nan suka kwance kayansu, suka mika masa kyautar su ta zinariya da lubban, da mur.
28020c0069	Allah kuma ya gargade su a mafarki kada su koma wurin Hirudus, sai suka koma kasarsu ta wata hanya dabam.
28020d00fb	Bayan sun tashi, sai ga wani mala'ikan Ubangiji ya bayyana ga Yusufu a mafarki, ya ce, ''Tashi, ka dauki dan yaron da mahaifiyarsa, ka gudu zuwa kasar Masar, ka zauna a can sai na fada maka, don Hirudus yana shirin binciko dan yaron ya hallaka shi.”
28020e0051	A wannan dare fa Yusufu ya tashi ya dauki dan yaron da mahafiyarsa ya tafi Masar.
28020f008a	Ya zauna a can har mutuwar Hirudus. Wannan kuwa domin a cika abin da Ubangiji ya fada ne ta bakin annabin, ''Daga Masar na kirawo Da na.''
28021000e4	Da Hirudus ya ga masanan nan sun shashantar da shi, sai ya hasala kwarai, ya aika a karkashe dukan 'yan yara maza da suke Baitalami da kewayenta, daga masu shekara biyu zuwa kasa, gwargwadon lokacin da ya tabbatar a gun masanan.
280211002a	A lokacin ne aka cika fadar Annabi Irmiya,
2802120088	''An ji wata murya a Rama, tana kuka da bakin ciki mai zafi, Rahila ce take kuka saboda 'ya'yanta, kuma ta ki ta ta'azantu, domin ba su.
2802130060	Sa'adda Hirudus ya mutu, sai ga mala'ikan Ubangiji ya bayyana ga Yusufu a mafarki a Masar ya ce,
