280000000f	मत्ती
280101014d	अब्राहमेरी औलादी मरां दाऊद राज़ो थियो, दाऊद राज़ेरे औलादी मरां यीशु मसीह थियो। यीशु मसीहेरे दादे-पड़दादां केरां नंव्वां इना आन।
28010200ef	अब्राहमेरू मट्ठू इसहाक थियूं, इसहाकेरू याकूब, याकूबेरां मट्ठां यहूदा ते तैसेरे ढ्ला थिये।
28010300e7	यहूदा ते तामारेरां मट्ठां पेरेस ते जेरह थियां, पेरेसेरू मट्ठू हेस्रोन, हेस्रोनेरू एराम,
280104009f	ते एरामेरू अम्मीनादाब, अम्मीनादाबेरू नहशोन, नहशोनेरू सलमोन,
280105010d	ते सलमोन ते तैसेरी कुआन्श राहाबेरू मट्ठू बोआज थियूं, ते बोआज ते तैसेरी कुआन्श रूतरू ओबेद, ओबेदेरू यिशै,
2801060138	ते यिशैरू मट्ठू दाऊद राज़ो थियो, दाऊद राज़ेरू मट्ठू सुलैमान तैस कुआन्शी सेइं पैदा भोव, ज़ै पेइली ऊरिय्याहरी कुआन्श थी।
2801070092	सुलैमानेरू रहबाम, रहबामेरू अबिय्याह, अबिय्‍याहेरू आसा,
28010800df	ते आसारू यहोशाफात, यहोशाफातेरू योराम, ते योरामेरे खानदानेरे मरां उज्जियाह पैदा भोव।
280109008f	उज्जियाहरू योताम, योतामेरू आहाज, आहाजेरू हिजकिय्‍याह,
28010a00be	ते हिजकिय्‍याहेरू मनश्शे, मनश्शेरू आमोन, आमोनेरू मट्ठू योशिय्याह थियूं
28010b0163	ते योशिय्याहेरां पोट्लड़ां यकुन्याह ते तैसेरे ढ्ला थिये, ज़ैना गिरफ्तार भोइतां बाबेलेरी गुलैमी मां गानेरे वक्ते मां ज़र्मोरां थियां।
28010c0108	गिरफ्तार भोइतां बाबेलेरी गुलैमी मां गानेरे पत्ती यकुन्याहेरू शालतियेल ते शालतियेलेरू जरुब्बाबेल,
28010d00a2	ते जरुब्बाबेलेरू अबीहूद, अबीहूदेरू एलयाकीम, एलयाकीमेरू अजोर,
28010e007d	ते अजोरेरू सादोक, सादोकेरू अखीम, अखीमेरू एलीहूद
28010f0096	ते एलीहूदेरू एलीआजर, एलीआजारेरू मत्तान, मत्तानेरू याकूब,
28011000f1	ते याकूबेरू यूसुफ, ते यूसुफ मरियमरो मुन्श थियो, ते मरियमरू मट्ठू यीशु आए, ज़ैस जो मसीह ज़ोतन।
2801110250	एन्च़रे अब्राहमे करां दाऊद राज़े तगर च़ेवधे पीड़ी भोइ, ते दाऊद राज़े करां यहूदी केरे गिरफ्तार भोइतां बाबेलेरी गुलैमी मां गाने तगर च़ेवधे पीड़ी भोइ, ते गिरफ्तार भोइतां बाबेले मां गाने करां देइतां यीशु मसीह तगर च़ेवधे पीड़ी भोइ।
2801120202	यीशु मसीहेरू ज़र्म एन्च़रे सेइं भोवं, कि ज़ैखन तैसेरी अम्मा मरियमरी कुड़माइ यूसुफ नंव्वे एक्की मैन्हु सेइं भोरी थी, त तैन केरे ड्ला भोने करां पेइले मरियम पवित्र आत्मारे शेक्ति सेइं दोज़ींती भोइ।
280113014c	तैसारो मुन्श यूसुफ ज़ै धर्मी मैन्हु थियो, तै तैस बदनाम केरनि न थियो चातो। तैनी च़ुपच़ारे इन सोचू, कि मीं एस सेइं ड्ला नईं बनानो।
280114024e	हेजू तै एन सोचने लोरो थियो, त प्रभुएरे एक्की स्वर्गदूते तैस सेइं सुपने मां एइतां ज़ोवं, “हे यूसुफ! तू ज़ै दाऊदेरे खानदाने मरां आस, तू मरियम अपनि कुआन्श बनाने करां न डर, किजोकि ज़ैन तैसारे पेटे मां आए तैन पवित्र आत्मारे तरफां आए।
2801150107	तैस मट्ठू भोनूए, ते तू तैसेरू नवं ‘यीशु’ रेखां, किजोकि तैए अपने लोकन तैन केरे पापन करां मुक्ति देलो।”
28011600f0	एन सब किछ एल्हेरेलेइ भोवं, कि ज़ैना वचन प्रभुए यशायाह नेबेरे ज़िरिये ज़ोरे थिये पूरे भोए कि,
2801170156	“हेरा, अक अड्लाई कुई पेटे भारी भोली, ते तैस अक मट्ठू भोलू, ते लोक तैस जो इम्‍मानुएल ज़ोले” ज़ेसेरो मतलब ई आए, परमेशर असन सेइं साथी आए।
280118012a	तैखन यूसुफ निड्लारां बींझ़ो त तैनी परमेशरेरे स्वर्गदूतेरू ज़ोनू मन्नू, ते मरियमी सेइं ड्ला बनाव ते अपने घरे आनी।
280119013e	पन ज़ांतगर तैस मट्ठू न भोवं तांतगर तै तैस सेइं साथी न झ़ुल्लो ते ज़ैखन तैस मट्ठू भोवं त यूसुफे तैस मट्ठेरू नवं यीशु रख्खू।
2802010151	हेरोदेस राज़ेरे ज़माने मां ज़ेइस यहूदिया इलाकेरे बैतलहम नगरे मां यीशु पैदा भोव, त पूर्बेरां किछ जोष्टी लोक यरूशलेम नगरे मां आए।
2802020192	ते तैना लोकन पुच्छ़ने लग्गे, “यहूदी लोकां केरो राज़ो ज़ै ज़र्मोरोए तै कोड़ि आए? किजोकि असेईं पूरबे मां तैसेरो तारो लोरोए, ते आस तैस कां मथ्थो टेकने ओरेम।”
28020300dc	ज़ैखन हेरोदेस राज़े ए गल शुनी, त हेरोदेस राज़ो ते कने यरूशलेम नगरेरे सारे लोक घबराए।
2802040139	ते हेरोदेस, यहूदी लोकां केरे प्रधान याजक ते शास्त्री लोक अकोट्ठे केरतां तैन पुच्छ़ने लगो, “मसीह कोड़ि पैदा भोरो लोड़े?”
280205013e	तैनेईं तैस सेइं ज़ोवं, “यहूदिया इलाकेरे बैतलहम नगरे मां,” किजोकि (बड़े पेइले) मीका नेबे एन्च़रे लिखोरूए, कि परमेशरे ज़ोवं,
