2800000005	Matta
2801010038	Bifimer naniya Yecu Kiritti bibwe Dauda, bibwe Abrahame.
2801020043	Abram co te Icaku, Icaku te Yakub, Yakub te Yahuda kange Yitub ceb.
280103005d	Yahuda co te Farica Kange Jera fiye Tamar wiye, Farica nyori te Hacruna. Hacarua co te Arame.
2801040041	Aram co te Aminadabe, Aminadab co te Nacone, Nacon co te Calmone.
2801050057	Calmon co te Buaja fiye Rahab wiye, Boaja co te Obida fiye Rut nine. Obida co te Yeece.
2801060047	Yecce co te Liya Dauda, Liya Dauda co te Culemanu fiye wii Yuriya wiye.
2801070040	Culemanu co te Rehobwame, Rehobwam co te Abija, Abija co te Aca.
280108003d	Aca co te Yehocafa. Yehocafa co te Yorame, Yorame cote Uziya.
280109003b	Uziya co te Yotame, Yotam co te Ahaze, Ahaz co te Hezekiya.
28010a0045	Hezekiya co te Manacca. Manacca co te Amone, nyori Amon co te Yociya.
28010b0063	Yociya co te Yekoniya kange yitub cebo, dong-dong fiya cuwo ci yem ci, ci yaaken kici biten Babila.
28010c0064	Bwiko ci yem ci, ci yaken ci biten Babila. Yekoniya co te Ceyaltiyele. Ceyaltiyele co te Zarubabele.
28010d004d	Zarubabel co te Abihudu. Abihudu co te Eliyakime, nimre Eliyakim co te Azuru.
28010e0041	Azuru co te Caduku. Caduku co te Akimu, nire Akimu co te Aliyudu.
28010f004b	Aliyudu co te Ali'azara, Ali'azara co te Matana. Nimre Matana co te Yakube.
2801100054	Yakubu co te Yucubu bwe Maryamu wo fiye ci wiye ci bo Yecu wo ci cuwo ti ki Almaciu.
28011100aa	Core tau Ibrahim nin yaken ciko Dauda nineu kaltito kwob culombo naar, kange wo tau fiye yeka ciko ci yaken ki ci Babilau yaken ciko Kiritti nin, kaldo kwob culombo naar.
2801120079	Bor Yecu Kiritti ko bwi nyo wo. Nece Maryamu ciya an nam Yucufu, naci nakangiri Maryamu kweri tum fer yuwa tangbe wucake.
2801130065	Yucufu bwece nii cakcake, cuibo ci neco kwenduwe nuwe nobe, nyori cuiti naci nyangum kang cinen daar.
28011400cb	La ci kwa diker buro tiri, bibwe tomange kwama wucake cerkangu cinen mor dukume. yi coti “Yucufu bi bwe Dauda nuware tai, tum Maryamu wimwe, wori dike ci tum ciko fwereu ca fiya yuwa tangbe wucake nen.
