2800000005	Matej
2801010062	Akavai o spisko oto preci e Isuse Hristesere kovai potomko e Davidesoro hem potomko e Avraamesoro.
280102006c	E Avraamese bijandilo o Isaak. E Isaakese bijandilo o Jakov. E Jakovese bijandilo o Juda hem lesere phralja.
280103006a	E Judase i Tamara bijanđa e Farese hem e Zare. E Faresese bijandilo o Esrom. E Esromese bijandilo o Aram.
2801040061	E Aramese bijandilo o Aminadav. E Aminadavese bijandilo o Naason. E Naasonese bijandilo o Salmon.
2801050068	E Salmonese i Rahava bijanđa e Vooze. E Voozese i Ruta bijanđa e Jovide. E Jovidese bijandilo o Jesej.
280106005d	E Jesejese bijandilo o caro o David. E Davidese e Urijasiri bivšo romni bijanđa e Solomone.
280107005b	E Solomonese bijandilo o Rovoam. E Rovoamese bijandilo o Avija. E Avijase bijandilo o Asaf.
280108005c	E Asafese bijandilo o Josafat. E Josafatese bijandilo o Joram. E Joramese bijandilo o Ozija.
280109005a	E Ozijase bijandilo o Joatam. E Joatamese bijandilo o Ahaz. E Ahazese bijandilo o Ezekija.
28010a005e	E Ezekijase bijandilo o Manasija. E Manasijase bijandilo o Amos. E Amosese bijandilo o Josija.
28010b0081	E Josijase bijandilo o Jehonija hem lesere phralja kad o Vavilonci osvojinde i Judeja hem ćerde o Izraelci te džan ano Vavilon.
28010c0064	Palo progonstvo ano Vavilon, e Jehonijase bijandilo o Salatiil. E Salatiilese bijandilo o Zorovavel.
28010d0064	E Zorovavelese bijandilo o Avijud. E Avijudese bijandilo o Elijakim. E Elijakimese bijandilo o Azor.
28010e0057	E Azorese bijandilo o Sadok. E Sadokese bijandilo o Ahim. E Ahimese bijandilo o Elijud.
28010f005e	E Elijudese bijandilo o Eleazar. E Eleazarese bijandilo o Matan. E Matanese bijandilo o Jakov.
2801100055	E Jakovese bijandilo o Josif, o rom e Marijakoro koja bijanđa e Isuse vičime Hrist.
28011100d3	Adava značini dai ukupno dešu štar generacije taro Avraam đi o caro o David, dešu štar generacije taro David đi o progonstvo ano Vavilon hem dešu štar generacije taro progonstvo ano Vavilon đi o Hrist.
28011200a1	Ače sar inele kad bijandilo o Isus o Hrist: Lesiri daj i Marija inele mangli e Josifese. Ali angleder so te len pe, dodžanđa da ačhili khamni oto Sveto Duho.
280113007a	Lakoro rom o Josif inele pravedno manuš, i adalese so na manglja te lađari la anglo manuša, tajno manglja te ačhaj la.
28011400f0	I sar razmislini ine adalestar, zasuća. Ano suno alo lese o anđeo e Gospodesoro hem phenđa lese: “Josife, čhaveja e Davidesereja, ma dara te le e Marija romnjaće! Adalese so o Sveto Duho ćerđa la te akhari adale čhavore ano vođi.
2801150064	Oj ka bijani čhave hem tu ka de le anav Isus adalese so ka spasini ple narodo lengere grehendar.”
2801160046	Sa adava ulo sar te pherđol okova so o Gospod vaćerđa palo proroko:
2801170079	“Šunen! I čhaj ka ačhol khamni! Ka bijani murše hem ka vičinen le Emanuel” (so značini: “O Devel amencar”).
280118006f	Kad o Josif uštino oto sojba, ćerđa sar so phenđa lese o anđeo e Gospodesoro – lelja e Marija romnjaće.
280119005a	Na suća olaja sar romnjaja đikote na bijanđa e čhave. A tegani ov dinđa le anav Isus.
2802010094	O Isus bijandilo ano gav Vitlejem ani regija Judeja zako e carosoro e Irodesoro vreme. Ko adava vreme, nesave mudraci taro Istok resle ano Jerusalim
