2800000007	Matúš
2801010050	Toto je záznam rodokmeňa Ježiša Krista, syna Dávidovho a syna Abrahámovho.
2801020044	Abrahám mal syna Izáka, Izák Jákoba, Jákob Júdu a jeho bratov,
280103005a	Júda splodil Faresa a Zára (ich matkou bola Tamara), Fares mal syna Hezrona a ten Arama,
2801040048	Aram mal syna Aminadaba, ten mal syna Násona a Náson mal syna Salmona,
2801050054	Salmon mal s Rachabou syna Boaza, Boaz mal s Rút syna Obeda a ten mal syna Jesseho,
280106006d	Jesse bol otcom Dávida, ktorý sa stal kráľom Izraela, Dávid splodil s Uriášovou manželkou Šalamúna,
2801070035	Šalamún splodil Roboáma, Roboám Abiu, Abia Azafa,
280108004b	Azaf bol otcom Jozafata, Jozafat otcom Joráma a Jorám bol otcom Oziáša,
280109003a	Oziáš splodil Joatama, Joatam Achaza, Achaz Ezechiáša,
28010a004f	Ezechiáš mal syna Manasesa, Manases mal syna Amosa a ten bol otcom Joziáša,
28010b0050	Joziáš bol otcom Jechoniáša a jeho bratov (v čase odvlečenia do Babylonu).
28010c004b	Po babylonskom zajatí splodil Jekoniáš Salatiela a Salatiel Zorobábela,
28010d003d	Zorobábel mal syna Abiúda, Abiúd Eliakima a Eliakim Azora,
28010e003c	Azor mal syna Sádoka, ten syna Achima a Achim syna Eliúda,
28010f0048	Eliúd splodil Eleazara, ten mal syna Mátana a Mátan mal syna Jákoba.
2801100058	Jákob bol otcom Jozefa, ktorý bol mužom Márie, matky Ježiša, nazývaného Kristus.
28011100b7	Od Abraháma po Dávida to teda bolo štrnásť generácií, ďalších štrnásť generácií od Dávida po babylonské zajatie a od zajatia v Babylone až po Krista zasa štrnásť.
28011200a5	S narodením Ježiša Krista to bolo takto: Jeho matka Mária bola zasnúbená s Jozefom. No ešte skôr než sa vzali, vysvitlo, že počala z moci Ducha Svätého.
2801130090	Jozef bol muž prísnych zásad, preto sa rozhodol, že sa s ňou rozíde. Chcel to však urobiť v tajnosti, aby ju nevystavil verejnej potupe.
28011400ba	Keď o tom uvažoval, vo sne sa mu zjavil Pánov anjel a povedal: „Jozef, syn Dávidov, neboj sa prijať Máriu za svoju ženu, lebo dieťa, ktoré čaká, pochádza z Ducha Svätého.
2801150059	Narodí sa jej syn a dáš mu meno Ježiš, lebo on vyslobodí svoj ľud z jeho hriechov.
2801160044	Takto sa naplnilo všetko, čo Boh hovoril prostredníctvom proroka:
2801170066	‚Počujte, panna otehotnie, porodí syna a dajú mu meno Emanuel,‘ čo znamená: Boh je s nami.“
2801180061	Keď sa Jozef prebudil, urobil tak, ako mu Pánov anjel prikázal a prijal Máriu za svoju ženu.
2801190051	Ale intímne spolu nežili, kým sa jej nenarodil syn, ktorému dal meno Ježiš.
2802010088	Ježiš sa narodil v meste Betlehem v Judsku za vlády kráľa Herodesa. V tom čase prišli do Jeruzalema mudrci z východných krajín
2802020091	a vypytovali sa: „Kde je ten židovský kráľ, ktorý sa práve narodil? Videli sme na východe jeho hviezdu a prišli sme sa mu pokloniť.“
