0100000003	Mui
010101004b	Musa: hemonega, bisili esoga, Gode da mu amola osobo bagade degabo hahamoi.
010102008e	Osobo bagade da liligi hame galu. Hano gafululi hamonana fawane amo gasi dunasi ganodini ba:i. Gode Ea A:silibu da hano dabua gadodidi lalalu.
0101030052	Amalalu, Gode E amane sia:i, “Hadigi misa.” Ea sia:beba:le, hadigi misi dagoi.
0101040050	Gode da hadigi amo hahawane ba:i. Amalalu, E da hadigi amola gasi dunasi afafai.
0101050092	Hadigi amoma E da “eso” dio asuli. Gasi dunasi amoma E da “gasi” dio asuli. Daeya asili, hahabe doaga:i, amo eso age da baligi dagoi ba:i.
01010600e1	Amalalu, Gode da hamoma:ne sia:beba:le, hisi sogebi amo hano amoga gududili amola hano gadodili amo afafama:ne misi. Hisi sogebi amoma E da ‘mu’ dio asuli. Daeya asili hahabe doaga:i, amo eso ageyadu da baligi dagoi ba:i.
010109009a	Amalalu, Gode E amane hamoma:ne sia:i, “Hano amo mu hagudu gala amo gilisili, osobo hafoga:i ba:ma:ne misa!” E amane sia:beba:le, osobo da ba:i dagoi.
01010a0099	Osobo hafoga:i amoma Gode da ‘Osobo’ dio asuli. Amola hano gilisi amoma E da ‘Hano Wayabo Bagade’ dio asuli. Gode da Ea hamoi da noga:idafa ba:i.
01010b00ca	Amalalu, Gode da amane hamoma:ne sia:i, “Osobo amoga ifa amola gisi heda:ma. Ifa amola gisi ilia aligi hou defele dulu amola fage legema:ne heda:ma:ma!” Amalalu, Gode Ea hamoma:ne sia:i defele ba:i.
01010c009e	Gisi amo ilia aligi defele fage legei amola ifa amo ilia aligi defele dulu (amo ganodini fage ba:i) legei da osoboga heda:i. Gode da Ea hamoi noga:idafa ba:i.
01010d0040	Daeya asili, hahabe doaga:i, amo eso osoda da baligi dagoi ba:i.
01010e00b3	Amola Gode E amane hamoma:ne sia:i, “Mu amoga, gamali amo da gasi amola eso afafamusa:, eso, ode, anegagi oubi amola gibu dasu oubi, amo huluanema defei dawa:ma:ne, gamali misa!
01010f0070	Gamali da mu amoga nenanebeba:le, osobo bagadega hadigi imunu galebe.” Amo hamoma:ne sia:beba:le, gamali ba:i.
0101100088	Gode da gamali bagade aduna hahamoi. Eso da ha ouligima:ne amola oubi da gasi ouligima:ne, E hahamoi. Amola E da gasumuni hahamoi dagoi.
0101110045	Gode da amo gamali osobo bagadega hadigi olelema:ne muagadodi ligisi.
010112008b	Eso amola gasi amoma ouligisu dialoma:ne, amola hadigi amola gasi amo afafamusa:, E da amo gamali ligisi. Gode da Ea hamoi noga:idafa ba:i.
0101130041	Daeya asili, hahabe doaga:i, amo eso biyadu da baligi dagoi ba:i.
01011400a9	Amalalu Gode da amane hamoma:ne sia:i “Hano ganodini esalebe fi osea:idafa hano wayabo huluane nabama:ne misa! Hisi amo ganodini amola sio fi da amo nabama:ne misa!”
