0100000009	Doometsaa
010101002e	S'oossay salotuwaanne sa'aa koyro med'd'eedda.
0101020087	He wode sa'ay giigibeennanne ayaynne baynna mela; c'iimmuwaa bollan d'umay de'ee; S'oossaa Ayyaanay haatsaappe bollanna mayyi utteedda.
0101030065	S'oossay hewaappe guyye hawaadan yaagiide haasayeedda; «Poo'uu Hano» yaageedda; poo'uukka haneedda.
0101040053	Poo'uu lo"a gideeddawaa S'oossay be'eedda; yaatiide poo'uwaa d'umaappe shaakkeedda.
010105008f	S'oossay poo'uwaa «Gallassaa» giide suntseedda; d'umaa «K'ammaa» giide suntseedda. Sa'ay k'ammeeddanne wontteedda; hewenne koyro gallassaa.
0101060140	S'oossay hewaappe guyye hawaadan yaagiide haasayeedda; «Bollanna de'iyaa haatsaa garssanna de'iyaa haatsaappe shaakkiyaa saluwaa guufantsuu hano» yaageedda; geetettowaadankka haneedda. S'oossay saluwaa guufantsuwaa giigissiide, saluwaa guufantsuwaappe bollanna de'iyaa haatsaa garssanna de'iyaa haatsaappe shaakkeedda.
0101080073	S'oossay he guufantsuwaa «Saluwaa» giide suntseedda. Sa'ay k'ammeeddanne wontteedda; hewenne laa'entso gallassaa.
01010900ac	S'oossay hewaappe guyye hawaadan yaagiide haasayeedda; «Saluwaappe garssanna de'iyaa haatsay ittisaan eello; mela sa'ay k'onc'c'o» yaageedda; hewaappe guyyiyaan haneedda.
01010a00a5	S'oossay he mela sa'aa «Biittaa» giide suntseedda; k'ay itti sa'aan eelleedda haatsaa «Abbaa» giide suntseedda. Yaatiide S'oossay hewe lo"a gideeddawaa be'eedda.
01010b00af	Hewaappe simmiide S'oossay, «Biittay mitsaa maataa dolisso; zeretsaa ayfii de'iyaa katsaanne zeretsaa ayfiyaana de'iyaa teeriyaa mitsaa dolisso» yaageedda; hewekka haneedda.
01010c0062	Biittay, mitsaa maataa Aa k'ommuwaan k'ommuwaan doleedda. S'oossay hewe lo"a gideeddawaa be'eedda.
01010d003d	Sa'ay k'ammeeddanne wontteedda; hewenne heezzentso gallassaa.
