2800000005	Matei
2801010045	Cartea genealogiei lui Isus Hristos, fiul lui David, fiul lui Avraam.
280102007b	Avraam a devenit tatăl lui Isaac. Isaac a devenit tatăl lui Iacov. Iacov a devenit tatăl lui Iuda și al fraților săi.
2801030084	Iuda a devenit tatăl lui Pereț și al lui Zerah prin Tamar. Perez a devenit tatăl lui Hezron. Hezron a devenit tatăl lui Berbec.
2801040072	Berbec a devenit tatăl lui Aminadab. Amminadab a devenit tatăl lui Nahșon. Nahșon a devenit tatăl lui Salmon.
2801050075	Salmon a devenit tatăl lui Boaz prin Rahab. Boaz a devenit tatăl lui Obed prin Rut. Obed a devenit tatăl lui Isai.
2801060074	Isai a devenit tatăl regelui David. Regele David a devenit tatăl lui Solomon prin cea care fusese soția lui Urie.
2801070066	Solomon a devenit tatăl lui Roboam. Roboam a devenit tatăl lui Abia. Abiia a devenit tatăl lui Asa.
2801080066	Asa a devenit tatăl lui Iosafat. Iosafat a devenit tatăl lui Ioram. Ioram a devenit tatăl lui Ozia.
2801090064	Ozia a devenit tatăl lui Iotam. Iotam a devenit tatăl lui Ahaz. Ahaz a devenit tatăl lui Ezechia.
28010a0067	Ezechia a devenit tatăl lui Manase. Manase a devenit tatăl lui Amon. Amon a devenit tatăl lui Iosia.
28010b0059	Iosia a devenit tatăl lui Ieconia și al fraților săi în timpul exilului în Babilon.
28010c006b	După exilul în Babilon, Ieconia a devenit tatăl lui Șealtiel. Șealtiel a devenit tatăl lui Zorobabel.
28010d006e	Zorobabel a devenit tatăl lui Abiud. Abiud a devenit tatăl lui Eliachim. Eliachim a devenit tatăl lui Azor.
28010e0066	Azor a devenit tatăl lui Țadoc. Țadoc a devenit tatăl lui Achim. Achim a devenit tatăl lui Eliud.
28010f006a	Eliud a devenit tatăl lui Eleazar. Eleazar a devenit tatăl lui Matan. Mathan a devenit tatăl lui Iacov.
2801100065	Iacov a devenit tatăl lui Iosif, soțul Mariei, din care s-a născut Isus, care se numește Hristos.
28011100e1	Astfel, toate generațiile de la Avraam până la David sunt de paisprezece generații; de la David până la exilul în Babilon, paisprezece generații; și de la exilul în Babilon până la Hristos, paisprezece generații.
28011200ae	Iată cum a fost nașterea lui Isus Hristos: După ce mama Lui, Maria, a fost logodită cu Iosif, înainte de a fi împreună, a fost găsită însărcinată de Duhul Sfânt.
280113007b	Iosif, soțul ei, care era un om drept și care nu voia să facă din ea un exemplu public, a vrut să o renege în secret.
28011400e7	Dar când se gândea la aceste lucruri, iată că un înger al Domnului i s-a arătat în vis și i-a zis: “Iosif, fiul lui David, nu te teme să iei de soție pe Maria, căci ceea ce este conceput în ea este de la Duhul Sfânt.
2801150070	Ea va naște un fiu. Să-i pui numele Isus, căci El este cel care va mântui poporul Său de păcatele sale.”
2801160066	Și toate acestea s-au întâmplat ca să se împlinească ce a spus Domnul prin proorocul care a zis,
28011700a0	“Iată, fecioara va rămâne însărcinată, și va da naștere unui fiu. Îi vor pune numele Emanuel”. care este, fiind interpretat, “Dumnezeu cu noi”.
2801180068	Iosif s-a sculat din somn, a făcut cum îi poruncise îngerul Domnului și a luat la el pe nevastă-sa,
280119005d	și n-a cunoscut-o până ce n-a născut pe fiul ei cel întâi născut. I-a pus numele Isus.
28020100a0	Pe când se născuse Isus în Betleemul Iudeii, în zilele împăratului Irod, iată că au venit la Ierusalim niște înțelepți de la răsărit, care ziceau:
2802020085	“Unde este Cel ce S-a născut Împărat al Iudeilor? Căci am văzut steaua Lui la răsărit și am venit să ne închinăm Lui”.
2802030056	Regele Irod, când a auzit aceasta, s-a tulburat și tot Ierusalimul împreună cu el.
2802040075	Adunând pe toți preoții cei mai de seamă și pe cărturarii poporului, i-a întrebat unde se va naște Hristosul.
280205004d	Ei i-au răspuns: “În Betleemul Iudeii, căci așa este scris prin profet,
28020600b4	“Tu, Betleem, țară a lui Iuda, nu sunt cu nimic mai prejos printre căpeteniile lui Iuda; pentru că din tine va ieși un guvernator care va păstori poporul Meu, Israel.””
2802070059	Irod a chemat pe ascuns pe înțelepți și a aflat de la ei la ce oră a apărut steaua.
28020800a5	I-a trimis la Betleem și le-a zis: “Mergeți și căutați cu grijă pruncul. Când îl veți găsi, aduceți-mi vestea, ca să vin și eu să mă închin lui.”
