2800000006	Matiyu
2801010030	Vuvu u Yesu Kristi ivren Dauda, ivren u Ibrahim.
280102005b	Ibrahim a ngrji Ishaku, Ishaku ka ngrji Yakubu, u Yakubu a ngrji Yahuda ni ba mrli vayi ma.
2801030055	Yahuda a ngrji Perez mba Zerah ngrji u Tamar, Perez ngrji Hezron, u Hezron ngrji Ram.
2801040045	Ram ngrji Amminadah, Amminadah ngrji Nahshon, u Nahshon ngrji Salmon.
2801050056	Salmon ngrji Boaz ngrji Rahab, Baoz ngrji Obadiya ngrji u Rautha, Obadiya ngrji Jesse.
2801060048	U Jesse ngrji ichu Dauda. Ichu Dauda ngrji Suleman wa iyima ana wa Uraya
2801070048	Suleman a nu ngrji Rehoboam, Rehoboam a ngrji Abijah u Abijah ngrji Asa.
2801080041	Asa ngrji Jehoshafat, Jehoshafat ngrji Joram, Joram ngrji Uzziya.
280109003d	Uzziya ngrji Jotham, Jotham ngrji Ahaz u Ahaz ngrji Hezekaya.
28010a0043	Hazekaya a ngrji Manaseh, Manaseh a ngrji Amon u Amon ngrji Yosiya.
28010b0050	Yosiya ngrji Yekoniya ni mrli vayi ma wiere me ni nton wa ba vu ba hi ni Babila.
28010c004c	U wa ba nji ye Babila, Yekoniya ngrji Shealtiel u Shealtiel ngrji Yerubabel.
28010d0041	Yerubabel ngrji Abuid, Abuid ngrji Eliakim, u Eliakim ngrji Azor.
28010e0038	Azor ngrji Zadok, Zadok ngrji Achim u Achim ngrji Eliud.
28010f001c	Eliud ngrji Eleazer, Eleazer
2801100071	ngrji Matthan, u Matthan ngrji Yakubu. U Yakubu ngrji Yusufu illon Maryamu wa a ngrji Yesu wa ba yo'u din Kristi.
28011100c0	To inzan ba wawu rji ni Ibrahim hi Dauda ba wlon don zia, rji ni Dauda hi ntton wa ba vu hi ni Babila bahi izan zia, u rji ni ni ntton u wa bahe ni Babila hi ni ye Kristi ba nzan wlon don zia.
2801120076	Ingrji Yesu Kristi ahe towa: wa ba nna yima Maryamu ni Yusufu gben ntton wa baka gran kpa, u nne Ruhu tsatsar ye riwu.
2801130072	U Yusufu illon ma indi u klu Rji, nda na son nno shan na, a cu sron ma rju ni gran nda kama ni wu niyay'bi (aboye)
28011400a5	Amma, asi tamre towa, u malaika Baci ka ye niwu ni rah nda tre, “Yusufu, ivren Dauda, na klu sisri ban wame Maryamu na, don ikpie a wrji anne ma, a u Ruhu tsatsar.
2801150052	Ani ngrji vrenlon wa u yowu ndi Yesu, don ani kpa ndi ma cuwo ni gbugbu latre mba.
2801160032	To, ahe to yi don ndu tre Baci he na wa a hla din.
2801170086	“To mba, vivren wa ri wa ana to lillona ani ye he nne nda ngrji vrenlon wa ba yo wa ndi Imanuwal” wa hi riri ni “Irji he nita”
2801180059	U Yusufu, gbla sh'me ni nah tie ikpie wa Malaika hla niwu nda hi ka ban wa-a hi ni kpama.
2801190046	Ana rlihe toh wa-a sai wa a ngrji vren ma u mumla. Ayo nde ma di Yesu.
2802010069	Da ba ngrji Yesu ni Betalahim u Yahudiya ni ntton wu chu Fero, indi bi toh bari baa ye rji ni Urushalima,
280202005a	Ba tre ichu Yahudawa wa ba ngrji wu'a he mame? Kie toh Tsitsen ma ni ko Nzan u kie ye chi.
2802030050	Niwo tre yi, Fero ka katie gbododo (wieme) me ni indi bi Urushalima wawu mba wu.
280204005d	Da ayo firist bi ni nkon ni bi nha u ndi mba a mye ba ka bandi toh wrji wa ba ngrji Kristi a?
280205003c	U baka hla wu Ni Batakami u Yahudiya a na ki anabawa ba nha,
2802060080	Iwu me' Batalami, igbu Yahudiya ana hi wuyi u nkle ni mi ba chu bi gbu Yahuda na: to gona wa ani nji ndimu Israila ani rji niwu.
2802070044	Hirudus ka yo shehuna ba ni yaybi nda mla wo inton wa to tsintsen'a.
2802080077	A tonba hi Baitalami nda tre, Hi yi', hu sren me di mla wo tre' u vrenyi, biti tou bika ye hlamu, ndu me ngame ye ciwu.
