0100000009	1 Mosebog
010101002c	I Begyndelsen skabte Gud Himmelen og Jorden.
0101020064	Og Jorden var øde og tom, og der var Mørke over Verdensdybet. Men Guds Aand svævede over Vandene.
0101030031	Og Gud sagde: »Der blive Lys!« Og der blev Lys.
0101040049	Og Gud saa, at Lyset var godt, og Gud satte Skel mellem Lyset og Mørket,
0101050067	og Gud kaldte Lyset Dag, og Mørket kaldte han Nat. Og det blev Aften, og det blev Morgen, første Dag.
0101060055	Derpaa sagde Gud: »Der blive en Hvælving midt i Vandene til at skille Vandene ad!«
010107006d	Og saaledes skete det: Gud gjorde Hvælvingen og skilte Vandet under Hvælvingen fra Vandet over Hvælvingen;
0101080053	og Gud kaldte Hvælvingen Himmel. Og det blev Aften, og det blev Morgen, anden Dag.
010109007e	Derpaa sagde Gud: »Vandet under Himmelen samle sig paa eet Sted, saa det faste Land kommer til Syne!« Og saaledes skete det;
01010a0073	og Gud kaldte det faste Land Jord, og Stedet, hvor Vandet samlede sig, kaldte han Hav. Og Gud saa, at det var godt.
01010b009b	Derpaa sagde Gud: »Jorden lade fremspire grønne Urter, der bærer Frø, og Frugttræer, der bærer Frugt med Kærne, paa Jorden!« Og saaledes skete det:
01010c0096	Jorden frembragte grønne Urter, der bar Frø, efter deres Arter, og Træer, der bar Frugt med Kærne, efter deres Arter. Og Gud saa, at det var godt.
01010d0032	Og det blev Aften, og det blev Morgen, tredje Dag.
01010e009b	Derpaa sagde Gud: »Der komme Lys paa Himmelhvælvingen til at skille Dag fra Nat, og de skal være til Tegn og til Fastsættelse af Højtider, Dage og Aar
01010f0056	og tjene som Lys paa Himmelhvælvingen til at lyse paa Jorden!« Og saaledes sket det:
0101100074	Gud gjorde de to store Lys, det største til at herske om Dagen, det mindste til at herske om Natten, og Stjernerne;
010111003d	og Gud satte dem paa Himmelhvælvingen til at lyse paa Jorden
0101120066	og til at herske over Dagen og Natten og til at skille Lyset fra Mørket. Og Gud saa, at det var godt.
0101130032	Og det blev Aften, og det blev Morgen, fjerde Dag.
0101140097	Derpaa sagde Gud: »Vandet vrimle med en Vrimmel af levende Væsener, og Fugle flyve over Jorden oppe under Himmelhvælvingen!« Og saaledes skete det:
01011500b7	Gud skabte de store Havdyr og den hele Vrimmel af levende Væsener, som Vandet vrimler med, efter deres Arter, og alle vingede Væsener efter deres Arter. Og Gud saa, at det var godt.
0101160085	Og Gud velsignede dem og sagde: »Bliv frugtbare og mangfoldige og opfyld Vandet i Havene, og Fuglene blive mangfoldige paa Jorden!«
0101170031	Og det blev Aften, og det blev Morgen, femte Dag.
0101180095	Derpaa sagde Gud: »Jorden frembringe levende Væsener efter deres Arter: Kvæg, Kryb og vildtlevende Dyr efter deres Arter!« Og saaledes skete det:
010119008d	Gud gjorde de vildtlevende Dyr efter deres Arter, Kvæget efter dets Arter og alt Jordens Kryb efter dets Arter. Og Gud saa, at det var godt.
01011a00d1	Derpaa sagde Gud: »Lad os gøre Mennesker i vort Billede, saa de ligner os, til at herske over Havets Fisk og Himmelens Fugle, Kvæget og alle vildtlevende Dyr paa Jorden og alt Kryb, der kryber paa Jorden!«
01011b0068	Og Gud skabte Mennesket i sit Billede; i Guds Billede skabte han det, som Mand og Kvinde skabte han dem;
