2800000006	Methiu
280101006f	Hì ne Isu Masi pha blangthek, Dawid ro riingthek, hanyie yi Abraham ro riingthek, ithek ro sasab ro boh phabi.
2801020147	Abraham re-è yie dang ne Dawid Saja khama blangthek um pha ne ichiih luii shii zey muii ro: Abraham, Ishak, Jakhob, Juda chiih-è airo khuiinothek, ji pha idoh Pherez nane Zera (ithek amuii ne Thamar ro), Hezron, Ram, Aminadab, Nasa, Salmon, Boaz (ai amuii ne Rahab ro), Obed (Ithek ro amuii ne Ruth ro), Jese nane Dawid Saja.
2801060158	Dawid Saja sieng pha ishak re-è yie dang ne Israel pha bran shii Babylon hà zum ne noh dun pha blangthek de ichiih luii shii zey muii ro: Dawid, Solomon (airo amuii ne Uria yiy ne raijong noh pha bimi ji ro), Rehoboam, Abija, Asa, Zehoshaphath, Zehoram, Uzia, Zotham, Ahaz, Hezekhia, Manase, Amon, Josia nane Jehoiachin nane airo khuiinothek.
28010c015f	Babylon hà zum ne rai marui pha ishak è yie dang ne Isu giak pha ishak thogdang pha blangthek ne ichiih luii shii zey muii ro: Jehoiachin, Shealhthiel, Zerubabel, Abiud, Eliakhim, Azor, Zadokh. Achim, Eluid, Eliazer, Muthan, Jakhob nane Joseph, hanyie è Isu giak pha amuii Mery shii yiy pha bufuii ji ro. Hanyie shii Masaiya rone ho muii pha ji ro.
28011100f5	Ji-è, chiihphado Abraham è Dawid Saja thogdang pha blang ne snawi um ro, chiih-è, Dawid pha ishak è Babylon hà zum ne raidun pha ishak thogdang pha blangthek ne snawi um ro. Babylon è yie dang ne Isu Masi giak pha blangthek de snawi um ro.
28011200c0	Hì ne Isu Masi khi-èrek ne giak pha ji ro. Ai amuii Mery ne Joseph è shadiiegang rekjong ne ruii pha bimi ro. Jishii, ai ne ayiy-agey ba pha ibi shii ai ne Ragung So è ani wiig yi pha doh.
2801130097	Joseph ne idang giang sieng ne rai pha bran ro, jiè ai ne Mery shii ug ne che pha saro, nyieliieshii ai è Mery shii hong ne biwo rek yi pha ayang ro.
28011400e0	Ai è ji è now ramuii shii, Ithong pha hamangkhliie jia ai ibang shii dongkhlei ruii ne aishii yao, “Dawid riing è giak pha Joseph, Mery shii na yiy rek ne noh pha arum chid rabo, ai ani ji ne Ragung So re-è wiig yi ro.
280115009c	Ai è ani bufuii jia giak ruii phro, na ne ji pha ani shii Isu beng bo, nyieliieshii, ai è awai branthek shii awaithek layog è ragia rek phi ruii phro.”
2801160075	Thuh hìthek rey ruii pha ji è Ithong è awai chaigthek è khi-èrek ne yao yi pha jithek zab rey sharuii pha ji ro.
28011700b5	“Ayiy-agey ba pha miliao bimi jia è ani wiig ne dufuii jia giak ruii phro, ai ibeng ne Imanuel beng ruii phro” (Jipha miyaosiu ne, Hamangkhung-aphuii ne gethek rog shii um ro).
280118006b	Ji-è Joseph sieng srane Ithong pha hamangkhliie è khi-èrek ne yao pha duiine Mery shii awai yiy rek noh.
2801190071	Jishii, ji pha ani agiak sapho ne ai è ji pha Mery rog shii ò amen ro. Chiih-è Joseph è aishii Isu rone beng.
28020100c1	Isu ne Juda pha Bethlehem thawun shii Herod è saja khoh ne rai ramuii shii giak. Khthiie ji pha idoh shii, giak branthek hanyie yi dadiangthek gayiig rek pho, bichiu è Jerusalem hà wuii thog
28020200cf	ne sai, “Jewthek pha saja rek ruii pha ani giak pha ji ne khi hà lei? Gathek è airo dadiang ne bichiu è ichiih shii chuang thog pha doh dun ro, jiè gathek de aishii misiasia pha ichiih shii wuii ro.”
280203006d	Herod saja è ji pha chiang yoi mage shii duhug rey dun, chiih-è Jerusalem hà rai pho de zab duhug rey dun.
2802040086	Herod è khama jia pha boh phabithek nane Iphey yua pha masdothek um pho shii male ho srane sai, “Masi ne khi hà giak pha um ga?”
2802050072	“Ji ne Juda pha thawun Bethlehem hà giak ruii phro,” Ithek è chang. Hì ne nyieliieshii chaigthek è zey ro:
28020600e2	Juda pha soh Bethlehem, hà chiih-è Juda hà khama boh rajan um pha ji re-è chiih-è ìu rey sapho nyie chiang oi ro; nyieliieshii na è dumuii jia wuii ruii phro hanyie è guro branthek Israel pho shii gayiig rek ruii phro.
2802070078	Ji-è, Herod saja ne bichiu è wuii pho shii ug srane male ho srane ne dadiang dong pha isbang ishak ji nathek è thieg.
28020800f3	Jipha idoh ai è nathek bichiu è wuii pho shii hì pha muyuathek rog shii Bethlehem thoh ge: “Wuii srane ji pha ani shii gayiig ne sow bo, nathek è aishii doh mage shii, gu shii de thieg yi bo, jiè gu de aishii wuii srane misiasia mua.”
28020900e0	Chiih-è ithek ne dun dun. Din ne nathek bichiu hà doh pha dadiang ji ne dinne doh din. Ithek ji doh mage shii, ithek ne khama sang dun, ithek ne bajo lised dun! Ji ne ithek è ibi wuii ne ani um pha lakhung shii thung dun.
28020b00f8	Ithek è ji pha ani giak pha hò bucho khud ne ani yi awai amuii Mery rog shii iang pha doh mage shii, ithek ne lagiung niing srane aishii misiasia. Ithek è awaithek ro san, bisikho nane remnow pha mana chiih-è lasen yi ji pha ani shii phi marui.
28020c00aa	Jipha idoh ithek ne gai lumuii è dong ne awaithek soh hà dun dun. Nyieliieshii, Hamangkhung-aphuii è ithek shii Herod shii idoh adun rabo ne ibang shii bang ne phriie.
28020d00dd	Ithek dun ched pha idoh shii, Ithong pha hamangkhliie è Joseph ibang shii yao, “Herod ne ani ji ua pha sow ramuii ro, ani nane ai amuii shii noh ne Egyph thiig hà yo ne rai mage bo, nashii aho sbo ne thiisa rai bo.”
28020e0061	Joseph sieng srane ji pha ani nane ai amuii shii noh srane habiu dang shii Egyph thiig hà yodun.
28020f00d3	Ai è thiichiih shii Herod a-iy ba sapho thogdang pha rai marui. Hìthek rey pha ji è Ithong è khi-èrek ne chaig pho è yaojong pha ji izai rey yi pha ji rek ro, “Gune gu dufuii shii Egyph è ho jong ro.”
280210017b	Herod è bichiu re-è wuii pha biwenthek è aishii khinrin marui pha ji thieg ne bajo lijieg dun. Ji-è ai ne awai branthek shii yung ne Bethlehem nane thiichiih nui shii um pha thiig pha aniphiing dam nyi è luii ne khama jia um pho shii zab ua muii bo ne yung. Dadiang dong pha ishak pha chiang è ai ne biwenthek è nyie ìd pha ji pha ishak pha sasab rek ne hì pha blia rek.
2802110040	Hì duiine chaig Jerimia è yao marui pha ji ne izai rey dun ro:
28021200c2	“Rama shii roh pha jia yoi ramuii ro, khewegkho ne cho ramuii ro. Rakhel ne awai ani chiang cho pha yoi muii ro; Ai ne cho pha ne them pha anuii phi ro, nyieliieshii ithek ne zab iy dun ro.”
2802130058	Herod iy dun pha idoh re-è Ithong pha hamangkhliie è Egyph hà Joseph ibang shii bang,
280214009c	ne yao, “Sieng srane ani nane ai muii shii noh ne Israel pha soh hà dun din mage bo, nyieliieshii, ani ji ua pha bidiang pha bran ji ne iyjong dun ro.”
280215005d	Ji-è Joseph ne sieng srane ji pha ani nane ai amuii shii noh ne Israel pha soh hà dun thog.
28021600c6	Jishii, Joseph è Arkhelaus, Herod pha dufuii è Herod chiang Juda shii saja khoh muii rone yoi mage ne rum srane thiichiih adun. Ai ibang shii yua din mage ne jiè ai ne Galili pha soh hà dun dun.
28021700a8	Chiih-è Nazareth beng pha thawun shii hò rung ne raidun. Ji ne chaigthek è khi-èrek ne yao marui pha ji izai rey dun ro: “Ai ne Nazareth pho rone ho ruii phro.”
280301005b	Jipha ishak shii Jon Khowa phi pha bran de Juda pha balimuang shii wuii thog ne jao ne yua,
280302006f	“Nawaithek layogthek re-è khid mage bo, ai è yao, nyieliieshii, hamangkhung pha Sajathua ne inui sha ro!”
28030300cc	Jon Khowa pha bran ji ne Aijaya chaig è khi-èrek ne yao marui pha ji ro, “Bran jia ne balimuang hà ziak muii ro, ‘Ithong wuii ruii pha lumuii saro iang bo; ai lua pha lumuii miang rab phi bo!’”
28030400a4	Jon ne ùd pha iman è rab pha yung guii ne rai ro; ai ne sukhug pha rathang re-è awai rinyi shii riieng ne rai ro; chiih-è ai michie ne muroma nane chimudkho ro.
2803050071	Jerusalem pha branthek de Juda soh pho thek de, chiih-è Jordan khoboh moe shii rai pho thek de aishii wuii thog.
2803060056	Ithek è layog arek sha phro è yao phi ne ai è ithek shii Jordan kho shii Khowo phi.
