2800000007	Matthew
2801010050	The book of the genealogy of Jesus Christ, the son of David, the son of Abraham.
280102006f	Abraham was the father of Isaac, Isaac was the father of Jacob, Jacob was the father of Judah and his brothers,
280103006f	Judah was the father of Perez and Zerah by Tamar, Perez was the father of Hezron, Hezron was the father of Ram,
2801040067	Ram was the father of Amminadab, Amminadab was the father of Nahshon, Nahshon was the father of Salmon,
280105006a	Salmon was the father of Boaz by Rahab, Boaz was the father of Obed by Ruth, Obed was the father of Jesse,
280106006a	and Jesse was the father of David the king. David the king was the father of Solomon by the wife of Uriah,
2801070064	Solomon was the father of Rehoboam, Rehoboam was the father of Abijah, Abijah was the father of Asa,
2801080067	Asa was the father of Jehoshaphat, Jehoshaphat was the father of Joram, Joram was the father of Uzziah,
2801090060	Uzziah was the father of Jotham, Jotham was the father of Ahaz, Ahaz was the father of Hezekiah,
28010a0064	Hezekiah was the father of Manasseh, Manasseh was the father of Amon, Amon was the father of Josiah,
28010b0064	and Josiah was the father of Jechoniah and his brothers, at the time of the Babylonian resettlement.
28010c0071	After the Babylonian resettlement, Jechoniah was the father of Shealtiel, Shealtiel was the father of Zerubbabel,
28010d0064	Zerubbabel was the father of Abiud, Abiud was the father of Eliakim, Eliakim was the father of Azor,
28010e005b	Azor was the father of Zadok, Zadok was the father of Achim, Achim was the father of Eliud,
28010f0064	Eliud was the father of Eleazar, Eleazar was the father of Matthan, Matthan was the father of Jacob,
2801100065	and Jacob was the father of Joseph the husband of Mary, of whom was born Jesus, who is called Christ.
28011100c9	So in all there were fourteen generations from Abraham to David, fourteen generations from David to the Babylonian resettlement, and fourteen generations from the Babylonian resettlement to the Christ.
28011200b8	Now the birth of Jesus Christ took place in this way. When his mother Mary had been betrothed to Joseph, before they came together, she was found to be with child from the Holy Spirit.
280113007e	Because her husband Joseph was a righteous man and did not want to shame her publicly, he intended to send her away privately.
28011400f0	But as he thought about these things, behold, an angel of the Lord appeared to him in a dream and said, “Joseph, Son of David, do not be afraid to receive Mary as yoʋr wife, for the child that is conceived in her is from the Holy Spirit.
280115006c	She will give birth to a son, and yoʋ shall name him Jesus, for he will save his people from their sins.”
280116004c	All this took place to fulfill what the Lord had spoken through the prophet:
2801170081	“Behold, the virgin will conceive and give birth to a son, and they will name him Immanuel” (which means, “God with us”).
2801180064	When Joseph woke from his sleep, he did as the angel of the Lord had commanded him. He took his wife
280119006d	but had no marital relations with her until she had given birth to her firstborn son. And he named him Jesus.
280201007f	After Jesus was born in Bethlehem of Judea, in the days of Herod the king, behold, wise men from the east arrived in Jerusalem,
2802020082	saying, “Where is the child who has been born king of the Jews? For we saw his star in the east and have come to worship him.”
280203004c	When Herod the king heard this, he was troubled, and all Jerusalem with him.
2802040076	So he assembled all the chief priests and scribes of the people, and inquired of them where the Christ was to be born.
280205004d	They told him, “In Bethlehem of Judea, for so it is written by the prophet,
28020600a7	‘But yoʋ Bethlehem, in the land of Judah, are by no means least among the rulers of Judah; for from yoʋ will come a ruler who will shepherd my people Israel.’”
2802070062	Then Herod secretly called the wise men and ascertained from them what time the star had appeared.
280208009e	He sent them to Bethlehem and said, “Go search diligently for the child, and when you have found him, bring me word so that I too may go and worship him.”
28020900ae	They listened to the king and went on their way, and behold, the star they had seen in the east went before them until it came and stopped over the place where the child was.
28020a0041	When they saw the star, they rejoiced with exceedingly great joy.
28020b00bc	As they came into the house and saw the child with his mother Mary, they fell down and worshiped him. Then they opened their treasures and offered him gifts: gold, frankincense, and myrrh.
28020c0067	And being warned in a dream not to return to Herod, they departed for their own country by another way.
28020d00ee	After they were gone, behold, an angel of the Lord appeared to Joseph in a dream, saying, “Rise, take the child and his mother and flee to Egypt, and stay there until I tell yoʋ, for Herod is about to seek the child, to destroy him.”
28020e004f	So Joseph rose, took the child and his mother by night, and departed for Egypt,
28020f008d	where he stayed until the death of Herod. This was to fulfill what the Lord had said through the prophet: “Out of Egypt I called my son.”
28021000f4	When Herod saw that he had been fooled by the wise men, he was greatly enraged and sent men to kill all the boys in Bethlehem and in its vicinity who were two years old and under, according to the time that he had ascertained from the wise men.
2802110040	Then what had been spoken by the prophet Jeremiah was fulfilled:
28021200a6	“A voice was heard in Ramah, wailing, weeping, and great lamentation, Rachel weeping for her children, and she refused to be comforted, because they are no more.”
2802130056	After Herod died, behold, an angel of the Lord appeared in a dream to Joseph in Egypt,
2802140086	saying, “Rise, take the child and his mother, and go to the land of Israel, for those who were seeking the child's life are dead.”
280215004e	So Joseph rose, took the child and his mother, and went to the land of Israel.
28021600b5	But when he heard that Archelaus was reigning over Judea in place of his father Herod, he was afraid to go there. And being warned in a dream, he withdrew to the district of Galilee
