2800000005	Mateu
2801010047	Eyi ebuka no lusika lwa Jesu Kilesite mwanaye Dabida mwanaye Abulahama.
2801020055	Abulahama na kuleya Isaka, mi Isaka na kuleya Jakobo, Jakobo na kuleya Juda na inaye,
280103006d	Juda na kuleya Pelezi ni Zela, woyo inawaye neli Tama, Mi Pelezi na kuleya Heziloni, Heziloni nakuleya Alama,
280104004c	Alama nakuleya Aminadabi, woyo onakuleya Nashoni, Nashoni nakuleya Salumoni.
2801050074	Salomoni nakuleya Boazi, woyo inawaye neli Lahaba. Boazi nakuleya Obedi woyo inawaye neli Lusi, Obedi nakuleya Jese.
280106005e	Cwale Jese nakuleya Mbumu Dabida, Dabida nakuleya Solomoni, woyo inawaye neli moyo waye Uliya.
280107004d	Solomoni nakuleya Lehoboami, Lehoboami nakuleya Abiya, mi Abiya nakuleya Asa,
280108004b	Asa nakuleya Jehosifati, Jehosifati nakuleya Jolami, Jolami nakuleya Uziya.
2801090045	Uziya nakuleya Jotamu, Jotamu nakuleya Ahazi, Akazi nakuleya Ezekiya.
28010a0046	Ezekiya nakuleya Manase, Manase nakuleya Amoni, Amoni nakuleya Josiya.
28010b0066	Mi Josiya nakuleya Jekoniya, nainaye ba nako no mwendo woo ba nako ana kutwaliwa ku ukoba mu Babilona.
28010c005d	Munyima no kutwaliwa ku Babilona, Jekoniya nakuleya Shelutelo, Shelutelo nakuleya Zelubabele.
28010d0052	Zelubabele nakuleya Abihundi, Abihundi nakuleya Aliyakimu, Aliyakimu nakuleya Aza.
28010e0043	Aza nakuleya Zadoki, Zadoki nakuleya Akimi, Akimi nakuleya Elihudi.
28010f004a	Elihudi nakuleya Eliyaza, Eliyaza nakuleya Matani, Matani nakuleya Jakobo.
280110005a	Mi Jakobo nakuleya Josefa munuwaye Maliya, Maliya inawaye Jesu woyo oisaniwa nji Kilesite.
28011100fe	Mi cwale, kame kuli amasika no kukwana likumi ni tunee, okutunda kwa Abulahama okutwala kwa Dabida likumi ni tunee okutunda kwa Dabida okutwala ba kutwaliwa ku Babilona, mi likumi ni tunee okutuda ba kutwaliwa ku Babilona okwiiya ba kuleiwa kwa Kilesite.
28011200dd	Omu omuna kwiyela okuleiwa kwa Jesu Kilesite. Maliya inawaye kame ana kubeleziwa nji akwaliwe ku mulume oisaniwa Josefa, kono abo kaasiku kukwata kale, sebeli olimuka nji kame aimanine mu mundi ku maata no Mebo No Kukena.
2801130073	Josefa neli omunu no kuluka, mi kasikusinga okwenisa Maliya balubala no aanu. Kaba ana kulela oku mukana kumukunda.
28011400fa	Abo yolemine okunahana nji atende ngeeso, omone! Elin̄eloi lya Mbumu Nyambe sebeli liku monahaza kutulo ni kwamba nji, “Josefa mwanaye Dabida, olese kucila okukwata Maliya okumutenda mukatowe, kakuli eso akushimbile kame situnda ku Mebo No Kukena.
2801150066	Mba leye omwana no ndumbana mi mba umutumbu elitina lya Jesu, kakuli mba yoyisa aanu aye kuuyi woo.”
2801160058	Eyi yonje nai kutendahala okwiyateteta eyi ina kwambiwa kwa Mbumu Nyambe ku munuhi waye.
28011700b4	“Komumone, omukatana no kwa kuwana ni mulume mbaikala ba meyi no ubya mi mba leye omwana no ndumbani, mi mbamwisana nji Imanuwele.” (Okutalusa nji, “Nyambe kame ali netu).”
2801180061	Cwale Josefa abana inguka, sebeli otenda kanyi omo linamu ambelele elingeloi, mi sebeli omukwata.
2801190069	Kono kasi kulangananga naye konji aba ana kuleya omwana no ndumbana, mi sebeli omutumba elitina lya Jesu.
