2800000006	Mateus
2801010058	Este livro é o registro da genealogia de Jesus Cristo, filho de Davi, filho de Abraão:
280102004b	Abraão gerou Isaque; Isaque gerou Jacó; Jacó gerou Judá e seus irmãos;
2801030054	Judá gerou Perez e Zera, cuja mãe foi Tamar; Perez gerou Esrom; Esrom gerou Arão;
2801040045	Arão gerou Aminadabe; Aminadabe gerou Naassom; Naassom gerou Salmom;
2801050061	Salmom gerou Boaz, cuja mãe foi Raabe; Boaz gerou Obede, cuja mãe foi Rute; Obede gerou Jessé;
2801060053	Jessé gerou o rei Davi. Davi gerou Salomão, cuja mãe tinha sido mulher de Urias;
280107003d	Salomão gerou Roboão; Roboão gerou Abias; Abias gerou Asa;
280108003c	Asa gerou Josafá; Josafá gerou Jorão; Jorão gerou Uzias;
280109003b	Uzias gerou Jotão; Jotão gerou Acaz; Acaz gerou Ezequias;
28010a0042	Ezequias gerou Manassés; Manassés gerou Amom; Amom gerou Josias;
28010b0054	Josias gerou Jeconias e seus irmãos, no tempo em que houve o exílio na Babilônia.
28010c0051	Após o exílio na Babilônia, Jeconias gerou Salatiel; Salatiel gerou Zorobabel;
28010d0045	Zorobabel gerou Abiúde; Abiúde gerou Eliaquim; Eliaquim gerou Azor;
28010e003d	Azor gerou Sadoque; Sadoque gerou Aquim; Aquim gerou Eliúde;
28010f003e	Eliúde gerou Eleazar; Eleazar gerou Matã; Matã gerou Jacó;
2801100053	E Jacó gerou José, esposo de Maria, da qual nasceu Jesus, que é chamado Messias.
28011100b8	Assim, todas as gerações, desde Abraão até Davi, são quatorze. Desde Davi até o exílio na Babilônia, quatorze. E desde o exílio na Babilônia até Cristo, quatorze gerações.
28011200aa	Foi assim que Jesus Cristo nasceu: sua mãe, Maria, estava prometida em casamento a José, mas, antes que mantivessem relações, ela ficou grávida pelo Espírito Santo.
2801130081	Por ser José, seu noivo, um bom homem, o qual não queria expô-la à desonra pública, decidiu anular secretamente o casamento.
28011400b6	Enquanto assim pensava, um anjo do Senhor apareceu em sonho e lhe disse: “José, filho de Davi, não tenha medo de se casar com Maria, pois ela está grávida pelo Espírito Santo.
280115006d	Ela dará à luz um filho e você deverá chamá-lo Jesus, porque ele salvará as pessoas de seus pecados.”
280116004d	(Tudo isso aconteceu para que se cumprisse o que o Senhor disse pelo profeta:
2801170080	“A virgem ficará grávida e dará à luz um filho, a quem colocarão o nome de Emanuel”, que significa “Deus conosco.”)
2801180040	José despertou e fez o que o anjo do Senhor lhe havia ordenado.
2801190079	Ele se casou com Maria, porém não mantiveram relações até que ela desse à luz um filho, a quem deu o nome de Jesus.
2802010081	Após Jesus nascer na cidade de Belém, na Judeia, durante o reinado de Herodes, magos, vindos do Oriente, chegaram a Jerusalém.
2802020083	“Onde está o rei dos judeus que acaba de nascer?”, perguntaram. “Nós vimos a estrela dele no Oriente e viemos adorá-lo.”
2802030052	Ao ouvir isso, o rei Herodes ficou muito preocupado, assim como toda a Jerusalém.
2802040085	Então, Herodes reuniu todos os chefes dos sacerdotes e educadores religiosos do povo e lhes perguntou onde deveria nascer o Messias.
2802050053	“Na cidade de Belém, na Judeia”, eles responderam, “pois o profeta escreveu:
28020600b7	‘Você, Belém, da terra da Judeia, de forma alguma é a menos importante entre as principais cidades de Judá, pois será o berço do líder que guiará o meu povo de Israel.’”
280207007a	Então, Herodes chamou os magos e os encontrou secretamente, descobrindo assim o exato momento em que a estrela aparecera.
