0100000006	1 Mose
0101010030	Ahyɛaseɛ no Onyankopɔn bɔɔ ɔsoro ne asase.
0101020063	Na asase yɛ sakasaka ne hunu. Na esum kata nsubunu no ani. Na Onyankopɔn honhom butu nsuo no ani.
0101030035	Onyankopɔn hyɛɛ sɛ, ɛnyɛ hann! Na ɛyɛɛ hann.
0101040047	Onyankopɔn hunuu sɛ hann no yɛ enti, ɔtee hann no firii esum no ho.
010105007c	Onyankopɔn frɛɛ hann no sɛ adekyeeɛ, na esum no nso sɛ adesaeɛ. Adeɛ saeɛ na adeɛ kyeeɛ, ɛda a ɛdi ɛkan no no.
010106004f	Onyankopɔn kaa sɛ, “Nkyɛmu mmra nsuo no ntam, na ɛnkyekyɛ nsuo no mu.”
0101070086	Enti, Onyankopɔn yɛɛ nkyɛmu no de kyekyɛɛ nsuo a ɛwɔ nkyɛmu no ase firii nsuo a ɛwɔ nkyɛmu no atifi no mu. Na ɛyɛɛ saa.
010108006f	Onyankopɔn too atifi nkyɛmu no edin ewiem. Na esum duruiɛ ɛnna adeɛ kyeeɛ; yei ne ɛda a ɛtɔ so mmienu.
010109007e	Na Onyankopɔn kaa sɛ, “Nsuo a ɛwɔ nkyɛmu no ase no ano mmoa wɔ faako, na asase kesee nna ne ho adi.” Na ɛyɛɛ saa.
01010a0082	Onyankopɔn too beaeɛ kesee no edin asase. Ɛnna nsuo a ɛboaa ne ho ano no nso, ɔtoo no edin ɛpo. Onyankopɔn hunuu sɛ ɛyɛ.
01010b00b0	Afei, Onyankopɔn kaa sɛ, “Afifideɛ mfifiri asase so; afifideɛ a ɛso aba, nnuaba ahodoɔ a ɛso aba ne deɛ, nʼaba hyehyɛ mu nyinaa mfifiri asase so.” Na ɛyɛɛ saa.
01010c0084	Afifideɛ a ɛso aba ne nnua fifirii asase so na nʼaba no nyini yɛɛ nnua ne afifideɛ sɛ ne sɛso. Onyankopɔn hunuu sɛ, ɛyɛ.
01010d0043	Na adeɛ saeɛ ɛnna adeɛ kyeeɛ. Yei ne ɛda a ɛtɔ so mmiɛnsa.
01010e009f	Na Onyankopɔn kaa sɛ, “Hann mmra nkyɛmu a ɛwɔ ewiem no mu mmɛpae adekyeeɛ ne adesaeɛ mu. Na ɛmmɛyɛ nnyinasoɔ mma ɛberɛ nkyekyɛmu, nna ne mfeɛ
01010f005c	na ɛmma hann mmra nkyɛmu a ɛwɔ ewiem no mu, na ahyerɛn wɔ asase so.” Na ɛyɛɛ saa.
0101100093	Onyankopɔn yɛɛ nkanea akɛseɛ mmienu a ɛyɛ owia ne ɔbosome sɛ, owia no nni adekyeeɛ so na ɔbosome no nni anadwo so. Ɔbɔɔ nsoromma nso.
010111005e	Onyankopɔn de nkanea akɛseɛ mmienu yi sii nkyɛmu ewiem no mu sɛ, ɛnhyerɛn wɔ asase so,
010112006a	na wɔnni adekyeeɛ ne adesaeɛ no so, na ɛnte hann no mfiri esum no ho. Na Onyankopɔn hunuu sɛ, ɛyɛ.
0101130040	Na adeɛ saeɛ, ɛnna adeɛ kyeeɛ. Ɛda a ɛtɔ so ɛnan ne no.
