2800000006	Mateyo
280101005f	Mu emwakonkanine ifikolwe fyakwa Yesu Klistu, umwana wakwa Davidi, uwali mwana wakwa Abulahamu.
2801020055	Abulahamu aafyele Isaaki na Isaaki aafyele Yakobo, na Yakobo aafyele Yuda nabamunina.
2801030061	Kabili Yuda aafyele Paresi na Zara uwaku Tama na Faresi aafyele Esrom, kabili Esrom aafyele Ramu.
280104005b	Kabili Ramu aafyele Aminadabu, Na Aminadabu aafyele Naashoni, na Naashoni aafyele Salumoni,
280105005f	Na Salumoni aafyele Boazi muli Rahabu, na Boazi aafyele Obedi muli Ruti, na Obed aafyele Yesse,
2801060072	Na Yesse aafyele Davidi imfumu, kabili na Davidi imfumu aafyele Solomoni uwali mwana wamukasi wakwe uwaku Uriyasi.
280107004f	Kabili Solomoni aafyele Rehoboam, Rehoboam aafyele Abiya, na Abiya aafyele Asa,
2801080057	kabili Asa aafyele Yehoshafati, na Yehoshafati aafyele Yoramu, na Yoramu aafyele Usaya,
2801090050	Kabili Usaya aafyele Yotamu, na Yotamu aafyele Ahazi, na Ahazi aafyele Hezekiya,
28010a005b	Kabili Hezekiya aafyele Manasse, kabili Manasse aafyele Amoni, kabili Amoni aafyele Yosiya,
28010b004a	Kabili Yosiya aafyele Yekoniya nabamunina, munsita bapiitilwe mu Babiloni.
28010c0065	Kabili panuma babapiita mu Babiloni, Yekoniya aafyele Shiyaliteli, na Shiyaliteli aafyele Zerubabele,
28010d0058	Kabili Zerubabele aafyele Abiudi, na Abiudi aafyele Eliakimu, na Eliakimu aafyele Azori,
28010e004f	Kabili Azori aafyele Zadoki, na Zadoki aafyele Akimu, na Akimu aafyele Eliyudi,
28010f0054	Kabili Eliyudi aafyele Eleyaza, na Eleyaza aafyele Matani, na Matani aafyele Yakobo,
2801100046	Kabili Yakobo aafyele Yosefu muka Mariya, uwafyele Yesu uwitwa Klistu.
28011100cc	Eikyo papitile inkulo ikumi nashine ukufuma pali Abulahamu ukufika pali Davidi, kabili ikumi nashine ukufuma pali Davidi ukufika mubusya mu Babiloni, kabili ikumi nashine ukufika mukufyalwa kwakwa Klistu.
28011200b5	Ifi efintu ukufyalwa kwakwa Yesu Klistu kwali. Nyina Mariya aimenwe kuli Yosefu, lelo ilyo tabalaupana asangilwe ukuti, ali nokukwata umwana ukupitila ku maka yakwa Mupasi Wamusilo.
280113007f	Yosefu ali muntu uwalekita ifyalungama, eikyo talefwaya ukumukanina palwalala kabili aalepinga ukubwesya ubwimashi mubumfisolo.
28011400d0	Kilya aletontonkanya palifi, malaika wa Mfumu amonekele kuli ena mukiloto nokumweba ukuti, “Yosefu, wemwana wakwa Davidi, witiina ukuupa Mariya. Pantu umwana Mariya akakwata akafuma kuli Mupasi Wamusilo.”
2801150068	Akakwata umwana umwaume kabili ukamwinike ukuti, “Yesu pantu akapususya abantu bakwe kumembu syabo.”
280116005d	Fyonse ifi fyakitike pakuti fintu Imfumu yalandile ukupitila muli kasesema fifikilisye ukuti,
2801170078	“Nakisungu akemita nokukwata umwana umwaume kabili akenikwa Imanuele” (ikilepilibula ukuti, “Lesa ali nafwebo”).
280118005e	Eikyo lintu Yosefu asibwike, akitile fintu malaika wa Mfumu amukonkomesye eikyo aupile Mariya.
2801190046	Lelo tabakumenepo mpaka umwana afyalwa elo Yosefu amwinika ukuti Yesu.
2802010082	Lintu Yesu afyelwe mu musumba wa Betelehemu mu Yudeya, munsita Herodi ali imfumu, abamano ukufuma ku kabanga baisile ku Yerusalemu
280202008d	nokwisaipwisya ukuti, “Alipi umwana afyelwe Imfumu yaba Yuda? Twakimona ulutanda lwakwe lintu lwakisa kukabanga, twaisa mukumusinsimuna.”
2802030054	Lintu imfumu Herodi yaumfwile ifi, yalisakamene kumofye nabantu bambi mu Yerusalemu.
2802040067	Yaitile basimapepo mukalamba bonse naba kafundisya bamafunde nokubepusya kuntu Klistu ali nokufyalilwa.
2802050062	Bayaswike ukuti, “Mumusumba wa Betelehemu mu Yudeya. Pantu ifi efintu bakasesema baalemba ukuti,
280206009b	“Iwe we Betelehemu mukyalo kya Yudeya, wilaimona ukukepesyapo pamisumba syamu Yudeya, Pantu muli webo mukafuma intungulusi ikatungulula abena Israeli.”
2802070070	Elo Herodi aitile abamano abafumine kukabanga mubumfisolo, ukuti afwailisye kuli bena insita ulutanda lwamoneke.
280208008f	Abatumine ku Betelehemu nokubeba ukuti, “Kabiyeni kafwayeni umwana bwino bwino, ngamwamusanga mungisibisye pakuti nanebo ndeyamusinsimuna.”
28020900af	Abamano abafumine kukabanga baumfwile fintu imfumu yabebele nokuya. Kabili nolutanda luntu bamwene kukabanga lwatampile ukubatangilila mpaka lwaiminina pankende apaali umwana.
28020a002a	Balitemenwe ngansi lintu bamwene ulutanda.
28020b009f	Baingile muŋanda, kabili lintu bamwene umwana nanyina Mariya bafukeme pansi nokumusinsimuna. Bamuleetele ifyabupe baisile nafyo ifya golide, ububani na murrh.
28020c006d	Pamulandu balisokelwe mukiloto ukuti bekabwelulukila kuli Herodi, baile ku kyalo kyabo ukubomfya insila imbi.
28020d00ec	Panuma abamano baaya, malaika wa Mfumu amonekele kuli Yosefu mukiloto nokumweba ati, “Herodi alatampa ukufwaya umwana pakuti amwipaye. Eikyo ima piita umwana na nyina muye ku Egipiti, mukekale kulya kwine mpaka nkankwebe ukufumako.”
28020e0041	Yosefu aimine nokupiita umwana nanyina nokuya ku Egipiti ubusiku,
28020f0097	uko aikele mpaka Herodi afwa. Ifi fyali kufikilisya ifyo Imfumu yalandile ukupitila muli kasesema ukuti, “Naitile Umwana wandi ukufuma mu Egipiti.”
28021000d9	Lintu Herodi ailwike ukuti abamano nabamuteya, alisakamene. Akonkomesye ukwipaya abana abaume mu Betelehemu nabapalamineko abakwete imyaka ibili nokuya pesamba, akitile ifi ukulingana nensita intu asambilile kubamano.
2802110042	Muli iyi nsila ifyalandile kasesema Yeremaya fyalifikilisye ukuti,
280212007e	“Ikiunda kyaumfwikile mu Ramah, ikiunda kyaulelosya mubukali. Rashele alelila abaana, nakana ukumutalalika pantu nabafwa.”
280213004e	Panuma Herodi afwa, malaika wa Mfumu amonekele kuli Yosefu mukiloto mu Egipiti
