010000000a	Yaradiliş
0101010031	Başlanğıcda Allah göyləri və yeri yaratdı.
010102007a	Yer quruluşsuz və boş idi. Dərin sular üzərində qaranlıq var idi. Allahın Ruhu suların üzərində dolaşırdı.
010103002f	Allah dedi: «Qoy işıq olsun». İşıq oldu.
010104004f	Allah gördü ki, işıq yaxşıdır. Sonra O, işığı qaranlıqdan ayırdı.
010105007d	Allah işığı «gündüz», qaranlığı isə «gecə» adlandırdı. Axşam oldu, səhər açıldı; bu, birinci gün idi.
0101060063	Sonra Allah dedi: «Qoy suların arasında bir qübbə olsun və suları bir-birindən ayırsın».
0101070072	Allah qübbəni düzəltdi və qübbənin altındakı suları onun üstündəki sulardan ayırdı. Belə də oldu.
010108005b	Allah qübbəni «göy» adlandırdı. Axşam oldu, səhər açıldı; bu, ikinci gün idi.
0101090070	Sonra Allah dedi: «Qoy göyün altındakı sular bir yerə yığılsın ki, quru görünsün». Belə də oldu.
01010a006e	Allah qurunu «yer», su yığınlarını isə «dənizlər» adlandırdı. Allah gördü ki, bu, yaxşıdır.
01010b00e0	Sonra Allah dedi: «Qoy yer üzü bitkilər yetirsin: toxumlar bitirən ot-ələf və torpaqda hər növ bəhərli ağaclar yetişsin. Ağaclar meyvə gətirsin və toxumları meyvələrinin içində olsun». Belə də oldu.
01010c00c7	Yer üzü bitkilər yetirdi: hər növ toxum bitirən ot-ələf və hər növ ağac yetişdi. Ağaclar meyvə gətirirdi və toxumları meyvələrinin içində idi. Allah gördü ki, bu, yaxşıdır.
01010d0038	Axşam oldu, səhər açıldı; bu, üçüncü gün idi.
01010e009e	Sonra Allah dedi: «Qoy göy qübbəsində gecəni gündüzdən ayıran çıraqlar olsun. Onlar işarələri, fəsilləri və günlərlə illəri göstərsin.
01010f005a	Qoy onlar göy qübbəsində çıraq olub, yer üzünə işıq saçsın». Belə də oldu.
01011000a9	Allah iki böyük çıraq düzəltdi: gündüzü idarə etmək üçün böyük çıraq, gecəni idarə etmək üçün kiçik çıraq. O həmçinin ulduzları düzəltdi.
0101110047	Allah onları göy qübbəsinə qoydu ki, yer üzünə işıq saçsın,
0101120069	gündüzü və gecəni idarə etsin, işığı qaranlıqdan ayırsın. Allah gördü ki, bu, yaxşıdır.
0101130039	Axşam oldu, səhər açıldı; bu, dördüncü gün idi.
010114007b	Sonra Allah dedi: «Qoy sular çoxlu canlı məxluqlarla qaynaşsın, yer üstündəki göy qübbəsində quşlar uçsun».
01011500c3	Allah nəhəng su əjdahalarını və suda qaynaşan hər növ bütün sürünən canlı məxluqları, həmçinin hər növ bütün qanadlı quşları yaratdı. Allah gördü ki, bu, yaxşıdır.
010116008a	Allah onlara bərəkət verərək dedi: «Törəyib çoxalın və dənizlərdəki suları doldurun, quşlar da yer üzündə çoxalsın».
0101170036	Axşam oldu, səhər açıldı; bu, beşinci gün idi.
01011800ac	Sonra Allah dedi: «Qoy yer üzü hər növ canlı məxluqlar – hər növ ev heyvanları, sürünən canlılar və çöl heyvanları əmələ gətirsin». Belə də oldu.
0101190098	Allah hər növ çöl heyvanlarını, hər növ ev heyvanlarını və yerdə sürünən bütün canlıları yaratdı. Allah gördü ki, bu, yaxşıdır.
01011a00f0	Sonra Allah dedi: «Öz surətimizə və bənzərimizə görə insanı yaradaq. Qoy o, dənizdəki heyvanlara, göydəki quşlara, yerdəki heyvanlara, bütün yer üzünə və yerdə sürünən canlıların hamısına hökmranlıq etsin».
01011b0070	Allah insanı Öz surətində yaratdı, Allahın surətində yaratdı, onları kişi və qadın olaraq yaratdı.
01011c00d7	Allah onlara xeyir-dua verərək dedi: «Törəyib çoxalın və yer üzünü bürüyüb ona sahib olun: dənizdəki heyvanlar, göydəki quşlar, yerdə sürünən bütün canlılar üzərində hökmranlıq edin».
01011d00a5	Allah dedi: «Budur, yer üzündə toxum verən bütün ot-ələfi və meyvələrində toxumu olan bütün ağacların bəhərini sizə verirəm ki, qidalanasınız.
01011e00c9	Yerdəki heyvanların, göydəki quşların və yerdə sürünən canlıların hamısına – nəfəsi olan bütün canlılara isə yem olmaq üçün bütün yaşıl otları verirəm». Belə də oldu.
01011f0072	Allah gördü ki, yaratdığı hər şey çox yaxşıdır. Axşam oldu, səhər açıldı; bu, altıncı gün idi.
010201003a	Göylər və yer, oradakı hər şey beləcə tamamlandı.
010202007f	Allah yeddinci günə qədər gördüyü işləri qurtardı və yeddinci gün gördüyü işlərdən ayrılıb istirahət etdi.
010203008d	Allah yeddinci günə bərəkət verdi və onu təqdis etdi, çünki gördüyü bütün yaratma işini qurtarıb həmin gün istirahət etdi.
010204006d	Rəbb Allahın göyləri və yeri yaratmasının hekayəti belədir: Rəbb Allah göyləri və yeri yaradanda
