0100000007	Genesis
0101010035	Long, long ago God created the heavens and the earth.
01010200c2	When he began to create the earth, it was shapeless and completely desolate/chaotic. Darkness covered the deep water that surrounded the earth. And the Spirit of God was hovering over the water.
0101030037	God said, “I want light to shine!” And light shone.
010104007d	God was pleased with the light. Then he made the light to shine in some places, and in other places there was still darkness.
01010500d5	He gave to the light the name ‘day’, and he gave to the darkness the name ‘night’. After that, there was an evening which was followed by a morning. He called that whole period of time ‘the first day’.
01010600a1	Then God said, “I command that there be an empty space like a huge dome to separate the water that is above it from the water on the earth that is below it!”
0101070044	And that is what happened. God gave to the space the name ‘sky’.
010108007a	Then there was another evening, which was followed by another morning. He called that period of time ‘the second day’.
010109009b	Then God said, “I want the water that is below the sky to come together, and dry ground to appear and rise above the water.” And that is what happened.
01010a009e	God gave to the ground the name ‘earth’, and he gave to the water that came together the name ‘oceans’. God was pleased with the earth and the oceans.
01010b00b7	Then God said, “I want the earth to produce plants, including plants that will produce seeds and trees that will produce fruit. Each kind of tree will bear its own kind of fruit.”
01010c0058	Then plants grew on the earth; each kind of plant began to produce its own kind of seed.
01010d0079	Then there was another evening which was followed by another morning. God called that period of time ‘the third day’.
01010e0153	Then God said, “I want a sun, a moon, and many stars to shine in the sky. The sun will shine in the daytime and the moon and stars will shine during the nighttime. By the changes in their appearance they will indicate the various seasons (OR, the times for special celebrations), and will enable people to know when days and years begin.
01010f0069	I want them also to be like lights in the sky that will shine on the earth.” And that is what happened.
01011000ae	God made two of them that were like big lights. The bigger one, the sun, shines during the day and the smaller one, the moon, shines during the night. He also made the stars.
0101110035	God set all of them in the sky to shine on the earth,
010112009a	to rule the day and the night, and to separate the light of the daytime from the darkness of the nighttime. God was pleased with these things he had made.
0101130079	Then there was another evening which was followed by another morning. He called that period of time ‘the fourth day’.
010114007e	Then God said, “I want many creatures to live in all the oceans, and I also want birds to fly in the sky above the earth.”
01011500d5	So God created huge sea creatures and every other kind of creature that moves in the water, and caused them to live in all the oceans. He also created many kinds of birds. God was pleased with all those creatures.
01011600cc	God blessed them. He said, “Produce offspring and become very numerous. I want the creatures in the water to live in all the oceans, and birds also to become very numerous.” And that is what happened.
0101170077	Then there was another evening that was followed by another morning. He called that period of time ‘the fifth day’.
01011800e4	Then God said, “I want various kinds of creatures to appear on the earth. There will be many kinds of (livestock/domestic animals), creatures that scurry across the ground, and large wild animals.” And that is what happened.
01011900a7	God made all kinds of wild animals and (livestock/domestic animals) and all kinds of creatures that scurry across the ground. God was pleased with all these creatures.
01011a00fe	Then God said, “Now we will make human beings that will be like us in many ways. I want them to rule over the fish in the sea, over the birds, over all the (livestock/domestic animals), and over all the other creatures that scurry across the ground.”
01011b008f	So God created human beings that were like him in many ways. He made them to be like himself. He created some to be male and some to be female.
01011c00cf	God blessed them, saying, “Produce many children, who will live all over the earth and rule over it. I want them to rule over the fish and the birds and over all creatures that scurry across the ground.”
01011d00c1	God said to the humans, “Listen! I have given you all the plants that produce seeds, all over the earth, and all the trees that have seeds in their fruit. All these things are for you to eat.
01011e00ce	I have given all the green plants to all the wild animals and to the birds and to all the creatures that scurry across the ground, to everything that breathes, for them to eat.” And that is what happened.
01011f00c7	God was pleased with everything that he had made. Truly, it was all very good. Then there was another evening, that was followed by another morning. He called that period of time ‘the sixth day’.
0102010036	That is the way God created the heavens and the earth.
010202007e	By the time it was the seventh day, God had finished the work of creating everything, so he did not work any more on that day.
01020300b8	God blessed each seventh day, and he set those days apart to be special days, because on the seventh day God did not work any more, after finishing all his work of creating everything.
010204006d	That is how God created the heavens and the earth. God, whose name is Yahweh, made the heavens and the earth.
01020500ad	At first there were no plants growing, because Yahweh God had not yet caused rain to fall on the ground. Furthermore, there was no one to till the ground for planting crops.
0102060054	Instead, mist rose up from the ground, so that it watered the surface of the ground.
01020700a6	Then Yahweh God took some soil and formed a man. He breathed into the man’s nostrils his own breath that gives life, and as a result the man became a living person.
0102080088	Yahweh God made a park/garden in a place named Eden, which was east of the land of Canaan, and he put there the man that he had created.
010209017e	Yahweh God also put there every kind of tree that is beautiful to see and that produced fruit that was good to eat. He also placed in the middle of the park/garden a tree [whose fruit would enable those who ate it] to live forever. He also placed there another tree whose fruit would enable those who ate it to know what actions were good [to do] and what actions were evil [to do].
01020a0073	A river flowed from Eden to provide water for the park/garden. Outside of Eden, the river divided into four rivers.
01020b006d	The name of the first river is Pishon. That river flows through all the land of Havilah, where there is gold.
01020c0088	That gold (is very pure/has no impurities in it). There is [also a sweet-smelling gum called] bdellium, and valuable stones called onyx.
01020d0055	The name of the second river is Gihon. That river flows through all the land of Cain.
01020e0078	The name of the third river is Tigris. It flows east of [the city of] Asshur. The name of the fourth river is Euphrates.
01020f0061	Yahweh God took the man and put him in Eden park/garden to till/cultivate it and take care of it.
0102100148	But Yahweh said to him, “You must not eat the fruit of the tree that will enable you to know what actions are good to do and what actions are evil to do. If you eat any fruit from that tree, on that day your relationship with me will end. But I will permit you to eat the fruit of any of the other trees in the park/garden.”
0102120083	Then Yahweh God said, “It is not good for this man to be alone. So I will make someone who will be a suitable partner for him.”
