0100000018	ઊત્પત્તિ
010101007f	પ્રારંભે ઈશ્વરે આકાશ તથા પૃથ્વી ઉત્પન્ન કર્યાં.
01010200dd	પૃથ્વી અસ્તવ્યસ્ત તથા ખાલી હતી. પાણી પર અંધારું હતું. ઈશ્વરનો આત્મા પાણી પર ફરતો હતો.
010103008a	ઈશ્વરે કહ્યું, “ત્યાં અજવાળું થાઓ” અને અજવાળું થયું.
01010400c2	ઈશ્વરે અજવાળું જોયું કે તે સારું છે. તેમણે અજવાળું તથા અંધારું અલગ કર્યાં.
01010500e0	ઈશ્વરે અજવાળાંને “દિવસ” અને અંધારાને “રાત” કહ્યું. આમ સાંજ થઈ તથા સવાર થઈ, પ્રથમ દિવસ.
01010600b7	ઈશ્વરે કહ્યું, “પાણીની વચ્ચે અંતરિક્ષ થાઓ અને પાણીને પાણીથી અલગ કરો.”
010107011b	ઈશ્વરે અંતરિક્ષ બનાવ્યું અને અંતરિક્ષની નીચેના પાણીને અંતરિક્ષની ઉપરના પાણીથી અલગ કર્યાં. એ પ્રમાણે થયું.
01010800a6	ઈશ્વરે અંતરિક્ષને “આકાશ” કહ્યું. સાંજ થઈ તથા સવાર થઈ, બીજો દિવસ.
01010900f3	ઈશ્વરે કહ્યું, “આકાશ નીચેનાં પાણી એક જગ્યામાં એકત્ર થાઓ અને કોરી ભૂમિ દેખાઓ.” એ પ્રમાણે થયું.
01010a0102	ઈશ્વરે કોરી જગ્યાને “ભૂમિ” કહી અને એકત્ર થયેલા પાણીને “સમુદ્રો” કહ્યા. તેમણે જોયું કે તે સારું છે.
01010b0156	ઈશ્વરે કહ્યું, “પૃથ્વી પર બીજદાયક શાક તથા ફળવૃક્ષ પોતપોતાની જાત પ્રમાણે, જેનાં બીજ પોતામાં છે તેઓને પૃથ્વી ઉગાવે.” એ પ્રમાણે થયું.
01010c0190	ઘાસ તથા પોતપોતાની જાત પ્રમાણે બીજદાયક શાક, પોતપોતાની જાત પ્રમાણે ફળદાયક વૃક્ષ, જેનાં બીજ પોતામાં છે તેઓને પૃથ્વીએ ઉગાવ્યાં. ઈશ્વરે જોયું કે તે સારું છે.
01010d0053	સાંજ થઈ તથા સવાર થઈ, ત્રીજો દિવસ.
01010e012e	ઈશ્વરે કહ્યું, “રાત અને દિવસ જુદાં પાડવા સારુ આકાશમાં જ્યોતિઓ થાઓ અને તેઓ ચિહ્નો, ઋતુઓ, દિવસો તથા વર્ષોને અર્થે થાઓ.
01010f00ca	પૃથ્વી પર અજવાળું આપવા માટે આકાશના અંતરિક્ષમાં જ્યોતિઓ થાઓ.” એ પ્રમાણે થયું.
010110019c	ઈશ્વરે જ્યોતિ આપવા માટે બે મોટી પ્રકાશ બનાવી. દિવસ પર અમલ ચલાવનારી એક મોટી પ્રકાશ અને રાત પર અમલ ચલાવનારી તેનાથી નાની એક પ્રકાશ બનાવી. તેમણે તારાઓ પણ બનાવ્યા.
0101110056	ઈશ્વરે પૃથ્વી પર અજવાળું આપવાને,
0101120149	દિવસ અને રાત પર અમલ ચલાવવાને, અને અંધારામાંથી અજવાળાંને જુદાં કરવાને આકાશમાં તેઓને સ્થિર કર્યાં. ઈશ્વરે જોયું કે તે સારું છે.
010113004d	સાંજ થઈ તથા સવાર થઈ, ચોથો દિવસ.
01011400bc	ઈશ્વરે કહ્યું, “પાણી પુષ્કળ જીવજંતુઓને ઉપજાવો અને આકાશમાં પક્ષીઓ ઉડો.”
0101150219	ઈશ્વરે સમુદ્રમાંના મોટા જીવો બનાવ્યા, દરેક પ્રકારનાં જીવજંતુઓ, જે પોતપોતાની જાત પ્રમાણે પાણીએ પુષ્કળ ઉપજાવ્યાં અને પોતપોતાની જાત પ્રમાણે દરેક જાતનાં પક્ષીને ઉત્પન્ન કર્યાં. ઈશ્વરે જોયું કે તે સારું છે.
