0100000009	UGenesisi
010101002e	Ekuqaleni uNkulunkulu wadala amazulu lomhlaba.
0101020075	Njalo umhlaba wawungelasimo ungelalutho, lobumnyama babuphezu kokujula; loMoya kaNkulunkulu wayendiza phezu kwamanzi.
010103004b	UNkulunkulu wasesithi: Kakube khona ukukhanya; kwasekusiba khona ukukhanya.
0101040068	UNkulunkulu wasebona ukukhanya ukuthi kuhle; uNkulunkulu wasesehlukanisa phakathi kokukhanya lobumnyama.
0101050090	UNkulunkulu wasebiza ukukhanya ngokuthi yimini, lobumnyama wabubiza ngokuthi yibusuku. Kwasekusiba yikuhlwa, njalo kwaba yikusa, usuku lokuqala.
0101060068	UNkulunkulu wasesithi: Kakube khona umkhathi phakathi kwamanzi; kawehlukanise phakathi kwamanzi lamanzi.
0101070083	UNkulunkulu wasesenza umkhathi, wasesehlukanisa phakathi kwamanzi angaphansi komkhathi lamanzi aphezu komkhathi; kwasekusiba njalo.
010108006c	UNkulunkulu wasebiza umkhathi ngokuthi ngamazulu. Kwasekusiba yikuhlwa, njalo kwaba yikusa, usuku lwesibili.
0101090089	UNkulunkulu wasesithi: Kakuqoqelwe amanzi avela ngaphansi kwamazulu ndawonye, njalo kakubonakale umhlabathi owomileyo; kwasekusiba njalo.
01010a0092	UNkulunkulu wasebiza umhlabathi owomileyo ngokuthi ngumhlaba, lenhlangano yamanzi wayibiza ngokuthi zinlwandle. UNkulunkulu wasebona ukuthi kuhle.
01010b00bc	UNkulunkulu wasesithi: Umhlaba kawumilise utshani, imibhida ethela inhlanyelo, isihlahla sesithelo sisenza isithelo ngohlobo lwaso, onhlanyelo yaso ikuso phezu komhlaba. Kwasekusiba njalo.
01010c00ac	Umhlaba wasuveza utshani, imibhida ethela inhlanyelo ngohlobo lwayo, lesihlahla sisenza isithelo, esinhlanyelo yaso ikuso ngohlobo lwaso. UNkulunkulu wasebona ukuthi kuhle.
01010d003c	Kwasekusiba yikuhlwa, njalo kwaba yikusa, usuku lwesithathu.
