2800000007	Matthew
2801010067	Ikkaan tettaenin rhaepeton Jesus Kristus, iiy erhaep saengi David, iwe nge David erhaep saengi Abraham.
280102005f	Nge Abraham semaen Isaac, nge Isaac semaen Jacob, nge Jacob semaen Judah me mwaaen kkewe pwiin.
280103006c	Nge Judah semaen Peres me Zerah (itaen ineer nge Tamar), iwe nge Peres semaen Hezron, nge Hezron semaen Ram.
2801040052	Nge Ram semaen Amminadab, nge Amminadab semaen Nahshon, nge Nahshon semaen Salmon.
2801050071	Nge Salmon semaen Boaz (itaen inan nge Rahab), nge Boaz semaen Obed (itaen inan nge Ruth), nge Obed semaen Jesse,
2801060064	nge Jesse semaen king David. Nge David semaen Solomon, iwe e naini me wooan niewe pwiuniuwaen Uriah,
280107004f	nge Solomon semaen Rehoboam, nge Rehoboam semaen Abijah, nge Abijah semaen Asa.
2801080056	Nge Asa semaen Jehoshaphat, nge Jehoshaphat semaen Jehoram, nge Jehoram semaen Uzziah.
280109004b	Nge Uzziah semaen Jotham, nge Jotham semaen Ahaz, nge Ahaz semaen Hezekiah.
28010a004f	Nge Hezekiah semaen Manasseh, nge Manasseh semaen Amon, nge Amon semaen Josiah.
28010b0056	Nge Josiah semaen Jehoiachin me mwaaen kkewe pwiin ikkiwe re asiiur nong noan Babylon.
28010c005c	Mwirin aar asiiur noa Babylon: Jehoiachin semaen Shealtiel, nge Shealtiel semaen Zerubbabel.
28010d0047	Zerubbabel semaen Abiud, Abiud semaen Eliakim, nge Eliakim semaen Azor.
28010e003e	Azor semaen Zadok, Zadok semaen Achim, nge Achim semaen Eliud.
28010f0047	Eliud semaen Eleazar, Eleazar semaen Matthan, nge Matthan semaen Jacob.
280110005c	Jacob semaen Joseph iwe pwiuniuwaen Maria, niewe a nainitiw Jesus iwe re faingi pwe Kristus.
28011100f5	Seig me faawu saeren aeremas saengi Abraham ngaeni David, pwan seig me faawu saeren aeremas saengi David ngaeni oaton aar asiiur noa noan Babylon, pwan seig me faawu saeren aeremas saengi oaton we re asiiur noa Babylon ngaeni wupwutiwen Kristus.
28011200b3	Ieen wunuunun aaen Jesus Kristus wupwutiw. Maria we inan a kkefoat ngaeni Joseph, nge igiwe resaaen pwiuppwiuniuw mwo nge a pwae pwe niewe a pwoopwo reen kkemenaen Espritu Santus.
28011300a2	Nge Joseph erhai mwaaen wenewen, ese mwerhaen aessaewa Maria me weni mmweer aeremas, iwe a niunniuwaennei epwene siusaengi, nge epwe feeori rhag noan mwoanomwoan.
28011400f2	Igiwe e rhiuwen niunniuwaennei wunuunun, erhai naiun Soamwoon angkenus a pwae ngaeni noan aan ttan nge a aengaeni pwe, “Joseph we tettaenin David, wosoapw mesag oamw wopwe pwiuniuwaeni Maria, pwe iiy a pwoopwo reen kkemenaen Espritu Santus.
280115007d	Epwene naini erhai aetemwaaen, iwe wopwe aeita ngaeni Jesus, pwe iga iiy epwe aemenewaar naiun aeremas saengi aar monofit.”
