0100000009	ኡመመ
010101003a	ጀልቀበት ዋቅን ሰሚወኒፊ ለፈ ኡሜ።
010102009a	ለፍት ከን ብፈ ህንቀብኔፊ ዱዋ ቱርቴ፤ ዱከንስ ቱጁበረ ቱሬ፤ ሀፉር ዋቃስ ብሻንረ ሶሶቾአ ቱሬ።
010103004d	ዋቅንስ፣ “እፍን ሃተኡ” ጄዼ፤ እፍንስ ንተኤ።
010104006d	ዋቅንስ አከ እፍን ሱን ጋሪ ተኤ አርጌ፤ እፋፊ ዱከነስ ገርገር ባሴ።
01010500b7	ዋቅንስ እፈ ሰናን “ጉያ” ጄዼ፤ ዱከነ ሰናንሞ “ሀልከን” ጄዼ ሞጋሴ። ገልገለስ ተኤ፤ ገነመስ ተኤ፤ ጉያ ቶኮፋ።
010106007b	ዋቅንስ፣ “ብሻኒፊ ብሻን ገርገር ባሱፍ በንቲን ብሻኖተ ግዱ ሃጅራቱ” ጄዼ።
0101070094	ከናፉ ዋቅን በንቲ ቶልቼ ብሻን በንቲ ጀላቲፊ ከን በንቲን ኦሊ ገርገር ባሴ። አከሱመስ ተኤ።
0101080083	ዋቅንስ በንቲ ሰነ “ሰሚ” ጄዼ ሞጋሴ። ገልገለስ ተኤ፤ ገነመስ ተኤ፤ ጉያ ለመፋ።
01010900ad	ዋቅንስ፣ “ብሻን ሰሚዻ ገድ ጅሩ እዶ ቶኮት ወልት ሃቀበሙ፤ ለፍት ጎጋንስ ሃሙልአቱ” ጄዼ። አከሱመስ ተኤ።
01010a00c0	ዋቅን ለፈ ጎጋ ሰናን “ለፈ” ጄዼ፤ ብሻንቸ ወልት ቀበሜንሞ “ገላነ” ጄዼ ሞጋሴ። ዋቅንስ ወን ኩን አከ ጋሪ ተኤ አርጌ።
01010b0151	አመስ ዋቅን፣ “ለፍት ብቅልቱወን ሃባስቱ፤ ብቅልቱወን አኩመ ጎሰ ጎሰሳኒት ሰኚ ባሰን፣ ሙኬን እጀ ኬነኒ እጅሳኒሞ ሰኚ ኦፍ ኬሳ ቀቡ አዱመ አዳን አኩመ ጎሰ ጎሰሳኒት ለፈረት ሃአርገመን” ጄዼ። አከሱመስ ተኤ።
