130000000c	Псалми
13010100d2	Блаженна та людина, що не ходить на раду нечестивих, не стоїть на дорозі грішників і не сидить на зборищі глумливих!
130102008a	Але в Законі Господнім її насолода і про Закон Його роздумує вдень та вночі.
13010300f8	І буде вона як дерево, посаджене над водними потоками, що плід свій дає вчасно, і листя його не зів’яне. Що б вона не робила, щаститиме їй.
1301040072	Не так нечестиві! [Вони] – як полова, що вітер розносить [усюди].
130105007f	Тому не встоять нечестиві на суді ані грішники – на зборах праведних.
130106007e	Адже знає Господь[життєвий] шлях праведних, а шлях нечестивих загине.
130201005d	Чому бентежаться народи і племена задумують марне?
13020200a6	Повстають царі землі, і можновладці гуртуються разом проти Господа й проти Його Помазанця.
1302030072	«Розірвемо їхні кайдани, – [кажуть вони], – скинемо їхні пута!»
1302040069	Той, Хто сидить на небесах, сміється, Володар глузує з них.
130205008f	Тоді Він промовить до них у гніві Своєму і полум’ям [люті] Своєї настрашить їх:
1302060067	«Ось Я поставив царя Мого над Сіоном, Моєю святою горою».
13020700a5	Сповіщу-но я постанову Господню: Він промовив до мене: «Ти Мій Син, Я сьогодні породив Тебе.
1302080092	Проси в Мене – і Я дам Тобі народи у спадок, і володіння Твоє – аж до країв землі.
130209007d	Ти уразиш їх жезлом залізним, як посуд, [виріб] гончаря, розіб’єш їх».
13020a0054	Отже, царі, схаменіться, отямтеся, судді землі!
13020b0060	Служіть Господеві зі страхом і радійте з тремтінням.
13020c0104	Цілуйте Сина, щоб Він не розгнівався і щоб ви не загинули на своєму шляху, бо гнів Його спалахне вмить. Блаженні ті, хто на Нього надію покладає!
1303010102	Псалом Давидів, коли він втікав від свого сина Авесалома. Господи, як багато супротивників у мене стало! Як багато тих, хто повстає проти мене!
1303020074	Багато хто каже про мене: «Немає йому порятунку від Бога». (Села)
1303030078	Але Ти, Господи, – щит для мене, слава моя, [Ти] підносиш мою голову.
1303040094	Голосом моїм я кличу до Господа, і Він відповідає мені зі святої гори Своєї. (Села)
1303050070	Я лягаю і сплю, прокидаюся знову, адже Господь мене підтримує.
130306007b	Не боятимусь я десятків тисяч людей, що з усіх боків мене обступили.
13030700c2	Повстань, Господи! Врятуй мене, Боже мій! Адже Ти вражав усіх ворогів моїх у щелепу, трощив зуби нечестивих.
1303080093	Тільки в Господа спасіння! Над народом Твоїм благословення Твоє, [Господи]. (Села)
130401015f	Керівнику хору. На струнних інструментах. Псалом Давидів. Коли я кличу, дай мені відповідь, Боже моєї правди! Коли мені [було] тісно, Ти давав мені простір. Змилуйся наді мною і почуй мою молитву.
13040200c1	О сини людські, доки ви честь мою безчестити будете? [Доки] будете любити марне [й] прагнути неправди? (Села)
130403009d	Знайте ж, що Господь відокремив для Себе вірного [слугу], Він чує, коли я кличу до Нього.
13040400af	Тремтіть [перед Ним] і не грішіть; поміркуйте в серцях ваших на ложах ваших і заспокойтеся. (Села)
1304050064	Принесіть жертви правди і надію на Господа покладайте.
1304060099	Багато хто каже: «Хто нам покаже добро?» Пролий на нас світло Твого обличчя, Господи!
13040700ab	Ти дав моєму серцю більшу радість, ніж у них в той час, коли зарясніло їхнє зерно й молоде вино.
130408008f	У повному спокої я ляжу й засну, бо тільки Ти, Господи, даєш мені жити в безпеці.
13050100d0	Керівнику хору. Для виконання в супроводі сопілок. Псалом Давидів. Зваж на слова мої, Господи, зрозумій мій стогін!
1305020080	Прислухайся до звуків мого зойку, Царю мій і Боже мій, бо Тобі я молюся.
1305030089	Господи, вранці Ти почуй мій голос, вранці я постану перед Тобою й чекатиму.
1305040091	Адже Ти не той Бог, Якому до вподоби беззаконня, зло не мешкатиме поряд із Тобою.
130505009d	Не встоять пихаті перед Твоїми очима, Ти ненавидиш усіх тих, хто поводиться свавільно.
13050600ad	Ти знищиш тих, що промовляють неправду; людина кровожерна й підступна гидка [для Тебе], Господи.
13050700f9	Але я, завдяки великій Твоїй милості, увійду до дому Твого, поклонюся у бік Храму святині Твоєї, [сповнений] страхом побожним перед Тобою.
130508009b	Господи, веди мене Твоєю правдою заради ворогів моїх; вирівняй шлях Твій переді мною.
13050900da	Адже немає у вустах їхніх щирості, їхній внутрішній [світ] – руїна, гортань у них – відкрита могила, язики у них слизькі.
13050a0108	Оголоси їм вирок, Боже! Нехай впадуть вони через підступні задуми свої, відкинь їх через численні беззаконня їхні, адже вони повстали проти Тебе.
13050b0129	І тоді радітимуть усі, хто на Тебе надію покладає; їхні вигуки щастя лунатимуть вічно. Простягни Свій покров над ними, і звеселяться Тобою ті, що ім’я Твоє люблять.
13050c00af	Бо Ти благословляєш праведного, Господи, наче великим щитом, вкриваєш його [Твоєю] прихильністю.
13060100f7	Керівнику хору. У супроводі струнних інструментів. Псалом Давидів. Господи, не докоряй мені у гніві Твоєму, І не карай мене в люті Своїй.
1306020090	Помилуй мене, Господи, бо я знемігся. Зціли мене, Господи, бо кістки мої зомліли.
130603006a	Душа моя вкрай збентежена. А Ти, Господи, доки [мовчатимеш]?
1306040091	Повернися [до мене], Господи, визволи мою душу, врятуй мене заради милості Твоєї.
1306050088	Адже в смерті немає згадки про Тебе. Хто прославить Тебе в царстві мертвих?
13060600b4	Я виснажився від стогнання мого, щоночі обливаю постіль свою [плачем], сльозами ложе своє зволожую.
130607008b	Очі мої змарніли від смутку, виснажилися через [погрози] моїх супротивників.
13060800ad	Відступіться геть від мене всі ті, хто поводиться свавільно, бо почув Господь голос плачу мого!
1306090067	Почув Господь благання моє, Господь прийняв молитву мою.
