1300000005	Psalm
1301010081	MEID pai ol o, me sota alialu ni padak en me doo sang Kot akan, o me so duki ong me dipan akan, o me so mondi ren me malaun akan,
1301020050	A me kin peren kida kapung en Ieowa o madamadaua duen a kapung ni ran o ni pong!
1301030087	A rasong tuka pot, me padedier ni kailan pilap akan, me kin kapareda wa ni a ansau, o ta kan sota kin mongala, a karos a wiawia pwaida.
130104004c	Me doo sang Kot akan sota kin dueta, a re rasong dip me ang kin iririp sili.
130105005f	I me doo sang Kot akan sota pan pwai kida nan kadeik, o me dipan akan nan momod en me pung kan.
1301060056	Pwe Ieowa kotin mangi al en me pung kan; a al en ir, me doo sang Kot akan, pan soredi.
130201004a	DA me men liki kan lingaringarki, o da me wei kan lamelam eki me mal akan?
1302020074	Nanmarki en sappa kan kin kangudi o saupeidi kan kapukapung pena, en kaokaoe dodok en Ieowa o Sapwilim a me keidier.
1302030041	Kitail en kawela ara men saliedi o kase sang kitail ara sal akan!
130204004a	A me kotikot nanlang, kotin kiparamateki, o Kaun o kotin mamale kin irail.
1302050060	Eu ran a pan kotin kapung ong ir ni a ongiong; o ni a ongiong lapalap a pan kotin kamasak irail.
1302060036	A ngai kasapwilada ai Nanmarki pon dol en Sion saraui.
1302070074	A ngai pan padaki wei duen aude pan kapung en Ieowa! A kotin masani ong ia er: Koe nai Ol, ran wet I kaipwi uk adar!
1302080053	Poeki re i, I ap pan ki ong uk, en sosoki men liki kan, o en aneki imwin sappa kan.
130209004a	Koe pan kawe irail ekidi sokon mata, o kamor irail pasang rasong dal akan.
13020a0054	Ari, komail nanmarki kan en dukidi, o komail saunkapung en sappa kan en lolekongala!
13020b0029	Papang Ieowa ni lan o pereperen ni masak!
13020c0089	Metik sapwilim a Ol, pwe a der ongiong, o komail ap lokidokila pon al o, pwe a ongiong kak madang tapida. A meid pai ir karos, me liki i.
130301003f	O IEOWA, ai imwintiti me toto, o ir me toto, me kangudi ong ia!
1303020045	Me toto kin inda duen ngen i, me dene sota sauas pa i ren Kot. (Sela)
130303004b	A komui Ieowa pere pa i, o komui pan kotin kalingana ia da, o kamait ia la.
1303040068	I kin likwiri ong Ieowa ki ngil laud; o a kotin mangi ai ngidingid sang ni sapwilim a dol saraui. (Sela)
1303050040	I kin wonon, o mamair, o pirida, pwe Ieowa kin kotin kolekol ia.
130306003c	I sota kin masak saunpei nen pak toto, me kin kapil ia pena.
1303070074	Kom kotida Maing, Ieowa o sauasa ia, ai Kot! Pwe kom kotin pikir ai imwintiti karos, o kawelar ngi en me sapung kan.
130308004c	Ieowa me sauas patail. Kom kotin kamauiada sapwilim omui aramas akan! (Sela)
1304010091	KOT kapung pa i, kom kotin mangi ia ni ai likelikwir. Pwe kom kin kotin kamait ia la ni ai ansau apwal. Kom kotin maki ong ia o mangi ai kapakap.
130402006e	Komail saumas akan! Arai da mar ai pan susued? Arai da omail pok ong me mal kot, o omail perenki likam? (Sela)
1304030079	Komail lolekongala, ap asa, me Ieowa kotin piladar sapwilim a lelapok o. Ieowa kin kotin mangi ia ni ai likelikwir ong i.
1304040071	Ni omail makar, komail der wia dip. Komail madamadauaki mongiong omail ni omail wendi pon los o ap auiaui. (Sela)
130405002b	Komail mairongki mairong pung o liki Ieowa.
1304060075	Me toto kin inda: Is me pan kasale ong kitail me mau kan? A Ieowa, kom kotin kamaraine kin kit marain en silang omui!
130407004c	Komui kotin kaperenda mongiong i laud sang ansaun arail wain o korn me toto.
1304080060	I kin wonon o mamair ni popol; pwe komui ta Maing, me kotin sauasa ia da, pwe i en kak moleilei.
130501003c	IEOWA kom kotin ereki ai lokaia o kotin mangi ai madamadaua.
1305020056	O kotin mangi ai likelikwir, ai Nanmarki o ai Kot, pwe i pan potoan kapakap ong komui.
1305030055	Maing Ieowa, kotin mangi ngil ai nin soran, nin soran i men tu ong komui o masamasan.
130504005b	Pwe komui kaidin Kot amen, me kin mauki tiak sapung, me morsued sota pan mimieta mo ’mui.
1305050058	Me aklapalap akan sota pan pwaida mon silang omui, kom kin kotin suede ki me sapung kan.
1305060059	Kom pan kotin kamela me likam kan; Ieowa kin kotin tataki me kamela o kotaue aramas akan.
130507007a	A i pan pedelong ong nan tanpas omui, pweki omui kalangan lapalap, o kaudok ni lan inen wong sapwilim omui im en kaudok o.
1305080060	Maing kom kotin kalua ia ni omui pung, pweki ai imwintiti kan; kom kotin kaineneta al omui mo i.
130509008c	Pwe sota me melel kot ni au arail; o lol arail rokeki kaopa. Kapinwor arail rasong sousou me so ser pena; o re kin aksansale mauki lo arail.
13050a008d	Kom kotin kadeik irail da, Maing Kot, pwe ren pup kidi pein arail inong. Sikin ir wei, pweki arail dip lapalap, pwe re kin kangudi ong komui.
13050b0091	Karos, me liki komui ap pan peren kida, re pan pereperen kokolata, pwe kom kin kotin sinsila irail. Irail pan pereperen, me kin pok ong mar omui.
13050c0066	Pwe komui Maing kin kapaiada me pung kan. Komui kin kotin nekid ir ala ki omui kalangan dueta pere eu.
1306010057	MAING, kom der kotin kaloke kin ia omui ongiong, o der kame kin ia omui ongiong lapala!
1306020072	Maing, kom kotin maki ong ia, pwe ngai me luet. Maing, kom kotin kamau ia la, Maing Ieowa, pwe ti kan me luetalar.
1306030029	O ngen i waponda melel. O Maing, arai da?
1306040055	Maing, kom kotin saupei dong ia, dorela ngen i. Kom kotin sauasa ia ni omui kalangan!
1306050051	Pwe murin melar solar me pan tamanda komui; o is me pan kapinga komui wasan mela?
1306060059	I panga kida ai sangesang sang sautik lel mansang; i kawisokisokela ai los pil en mas ai.
130607004a	Mom ai suede kilar ai insensued, o i malar, pweki kamakamasak pai me toto.
1306080054	Komail aramas morsued akan karos kaiwei sang ia, pwe Ieowa kotin mangi ai sangesang.
1306090041	Ieowa kotin mangi ai ngidingid, o Ieowa kotin mangier ai kapakap.
13060a0053	Ai imwintiti karos pan namenokela o masakada melel, re pan tangwei o madang sarodi.
130701006a	MAING, i kin liki komui Ieowa, ai Kot. Kom kotin sauasa ia ong ai imwintiti kan karos, o kotin dore ia la,
1307020055	Pwe ren der dueta laien amen kol ia di o tapeng ia pasang, pwe sota pil amen saundor.
1307030040	Maing, ai Kot, ma i wiadar mepukat, o ma pa i kat wiadar sapung,
1307040067	O ma i depukki mesued en akai ar wiawia mau ong ia, pwe i dorelar, me imwintiti ong ia, ap sota karepa,
1307050068	A ma so due, ai imwintiti en kaloke ia, o kol ia di, o tiakedi maur i nani pwel, o kawela mar ai. (Sela)
