2a00000004	Luke
2a0101004f	Mundumbe Tofile, batu bapwele bamamaange urende mambu amamalabene va ghari etu.
2a01020077	Bamarende nane dimatutsingululu na bambedji abamalabe na misu, vane dibandu, na abamaveghu mufune ulonze musamu Nzambi.
2a01030081	Nyimalabe yi diwelimine mewami, mu rombe burange mu motsu amamavyoghe ubongile va dibandu, mu wusonighile dyoni, mundumbe Tofile.
2a0104004d	Nyighurendili mambu meni, mumbari wukedjabe yi malongi ame wumadile mangenze.
2a010500c3	Mu temu adji Yirode amabilaange kaghe dji Sudé, wukebe muvaghulitsi paghu amanengulungu Sakari. Amabe mu dibuli di bavaghulitsi ba paghu di Abya. Mughatsi andi Lisabete, amabe mu kule dji Arone.
2a0106007b	Sakari na mughatsi andi, bamabangaange basungeme va wusu Nzambi na bamaghobisaange mighaghe myotsu na marume motsu ma Fumu.
2a0107005f	Tumbe basamabe na baane mumbari Lisabete amabe yingume, na djowubotsu babedji mbé bake binunu.
2a0108006a	Mwa yilumbu Sakari amasalilaange Nzambi, mumba temu dyandi dibuli di bavaghulitsi ba paghu mbé djimatole.
2a01090080	Mu nzalusulu bavaghulitsi ba paghu, Sakari akesolu mu ukote o ghari yibuku ayi syeme yi Fumu mu yenyenze bime bi mbunge djiboti.
2a010a005c	O dulombili, yinombu yi batu yikesambilaange mu temu adji Sakari amawendile mu uyébinyenze.
2a010b007a	Vane-vane, yanze yi Fumu yikesundughe na yikelabene na Sakari wune ghari ndaghu, diteli o mabaale ma yivaghululu yi paghu.
2a010c0036	Ave amayilabile, akeregheme na akebe na ghome djineni.
2a010d00a1	Tumbe yanze yikemutsingule rye: «Sakari uyabe na ghome, mumbari Nzambi amawulu dusambu dwaghu. Mughatsi aghu Lisabete owuburile mwane dibaale, na wumulughe San.
2a010e0056	Mwane eni obe nzangu o murime aghu na bapwele wandi bobase na nzangu mu duburu dwandi.
2a010f0071	Mumbari obe musatsi wuneni wu Fumu. Djandi, aghonwaangange malamu amelanzi. Ne akeburu, obasu na Yinyuni Yisyeme.
2a0110003f	Oghabuse mirime mipwele mi bise Yisrayele ombu Fumu Nzambi owu.
2a011100eb	Orughe nane yilumbi yi Nzambi abasu na Yinyuni na mangolu ma Eli mubiyitsi Nzambi. Oghabuse dinonge va ghari baane na batadji bowu na obeghe bango dilenze o dighobe di batu abasungeme. Otsonzighe mukute awube uwelimine mu uduke Fumu.»
2a01120076	Tumbe Sakari akewivule yanze rye: «Tsyeni nyudjabile yiri dyoni dingenze? Mumbari menu na mughatsi ami tuke binunu.»
2a01130092	Yanze yike muwaghule rye: «Menu, la Ghabiryele, nyidji va wusu Nzambi na nyimusalili, atsinzindighe mu uyighuvosile na mu udjabise musamu wuboti.
2a0114008d	Kaboghu wube dibabe, kwange na temu adji mambu meni molabinine, mumba wughasinge mambu ame nziwutsingule, amodughusu mu temu adjimasikughu.»
2a0115007d	Vane yanze amavosilaange nandi, abamabe o dulombili bamavivaange Sakari, bakekambulu mu yitsingu yandi o ghari ndaghu Nzambi.
2a011600a4	Na epali, asamabwérunguse wuvosile batu, na djowu baketase bwena Sakari amadile dulasu o ghari ndaghu eni. Akebavosilaange yike na milembu mumbari mbé ake dibabe.
2a0117004b	Sakari na emani bilumbu byandi byusalile Nzambi, akeghabughe o ndaghu andi.
2a01180079	Mu temu adjimadukaange, mughatsi andi Lisabete akabe na dimi na akesweme o ndaghu andi mu miweli miranu. Akevosaange rye:
2a01190054	«Labanu yese ayi Fumu amalase mu menu, amaghusule yisoni yami va wusu batu botsu.»
2a011a007b	Mu muweli awu musyamunu wu dimi di Lisabete, Nzambi akesindighe yanze Ghabiryele o musyengi Nasarete mu yinange yi Ngalile.
2a011b0090	Wune, wumabe tsyemi dji mughetu omabe yibande yi dibaale dimanengulungu Sosefe, awu amabe mu yifumbe yi Davide. Na tsyemi eni, dine dyandi Mari.
2a011c0072	Yanze yikerasune Mari o ghari ndaghu andi na yikemusimbe rye: «Mbolwa Mari! Fumu adji naghu amawubase na myule.»
2a011d007f	Mari amaregheme na akekambulu mu munongu mbolu adji yanze amamuveghe, na vane-vane, akekéwivulaange divindughulu di mbolu eni.
2a011e0049	Yanze yikemutsingule rye: «Wuyalabe ghome Mari, wumadile yese yi Nzambi.
2a011f003f	Na mapape, wube na dimi na wubure mwane dibaale awulughe Djesu.
2a0120006e	Djandi obe muneni na onengulu Mwane Nzambi-Pungu. Fumu Nzambi omubyatse kaghe nane Davide kule andi abilaange.
2a01210064	Na djandi obyamaange mutubu na mutubu mu mukute Sakobe, na bukaghe bwandi bughobe tena disukusulu.»
2a01220057	Mari akewivule yanze rye: «Dyoni tsyeni dyurungulile ubile, menu awu nyikivu tsyemi?»
2a012300a1	Yanze yike muwaghule rye: «Yinyuni Yisyeme yurughe mu ndedju na mangolu ma Nzambi-Pungu mowughumbe. Ladibandu mwane awubure wube wusyeme, onengulu Mwane Nzambi.
2a01240098	Lisabete yiburu yaghu ne nane ake yinunu, djawandi ekelisi ubure mwane andi dibaale. Djandi awu bamanengilaange yingume ake na dimi di miweli misyamunu.
2a0125002a	Mumbari vagha dyambu divure ombu Nzambi.»
2a01260073	Mu dyoni, Mari akevose rye: «Nyidji musatsi Fumu, kaboghu motsu madughusu nane wutsivosile.» Na yanze yikemusile.
2a01270065	Mu bilumbu abimadukaange, Mari amareleme nowende mbangu-mbangu o mikongu o musyengi yinange yi Sudé.
2a0128002b	Anokote o ndaghu Sakari, akesimbe Lisabete.
2a01290074	Lisabete anowulu mbolu Mari, mwane andi akekunge o ghari modji andi. Vane-vane, Lisabete akebase na Yinyuni Yisyeme.
2a012a0090	Na akebwaghe mughamu wuneni novose rye: «Mari, Nzambi amawupuyile myule wuvyoghulile baghetu botsu na mwane wandi amadile myule o modji aghu!»
2a012b0057	Mu dyoni, Lisabete akewivule rye: «Tembusu menu yi nyivu, mulabene na ngudji Fumu ami?
2a012c0049	Labati, ave nyiwululu mbolu aghu, mwane nosangughe na nzangu o modji ami.
2a012d005e	Mari, myule ombu ndedju awutsisinge mambu amanziwulu mumbari Fumu omadughusu nane amavosile.»
2a012e003a	Mari akevose rye: «Nyuyitsaange Fumu, mu monyu ami wotsu,
2a012f002f	na nyibase na nzangu mu Nzambi, Mughobutsi ami.
2a01300080	Nyudivaghanga, mumbari amatsune tembusu menu musatsi andi. Kaboghu, ubandile na muni, kule na kule bondengilaange mughetu myule,
2a01310044	mumbari Nzambi Mangolu amapayile mambu amaneni. Dine dyandi disyeme,
2a0132003b	na yingebe yandi yubangage kule na kule mu djowu abemudumi.
2a0133003e	Amalase mambu maneni na mangolu mandi, amapanze bango dunangu,
2a0134003e	amarambuse bakaghe mu bitsighe byowu, na amabyatse abakesunze.
2a01350045	Amabase maboti ombu bango nzale, na akeghabuse bisine myowu na myowu.
2a01360045	Amawamuse Yisrayele, musalitsi andi, asamalibene ulase yingebe yandi,
2a01370056	nane amavangenine na bakule betu, ombu Aberaame na bateghule bandi mutubu na mutubu.»
2a0138004d	Mari akevyose miweli miryeru ombu Lisabete, mbana akeghabughe o dimbu dyandi.
2a01390035	Temu ubure djinotole, Lisabete akebure mwane dibaale.
2a013a0073	Biburu na bambatsi ba dimbu na bédjabi bwena Fumu amalase yingebe yandi ombu Lisabete, bakeyésaghe va mosi nandi.
2a013b0077	Yisambwali yi bilumbu yinovyoghe, ayi munane, bamarughe mu yirebe mwane na bamaronde umunengile Sakari nane tadji andi.
2a013c0036	Tumbe ngudji andi akevose rye: «Nesi, onengulu San.»
