010000000c	Ӂенеза
010101005b	Ла ынчепут, Думнезеу а фэкут черуриле ши пэмынтул.
01010200d9	Пэмынтул ера пустиу ши гол; песте фаца адынкулуй де апе ера ынтунерик, ши Духул луй Думнезеу Се мишка пе дясупра апелор.
010103005a	Думнезеу а зис: „Сэ фие луминэ!” Ши а фост луминэ.
0101040092	Думнезеу а вэзут кэ лумина ера бунэ ши Думнезеу а деспэрцит лумина де ынтунерик.
01010500ef	Думнезеу а нумит лумина зи, яр ынтунерикул л-а нумит ноапте. Астфел, а фост о сярэ ши апой а фост о диминяцэ: ачаста а фост зиуа ынтый.
010106008d	Думнезеу а зис: „Сэ фие о ынтиндере ынтре апе ши еа сэ деспартэ апеле де апе.”
01010700fe	Ши Думнезеу а фэкут ынтиндеря, ши еа а деспэрцит апеле каре сунт дедесубтул ынтиндерий де апеле каре сунт дясупра ынтиндерий. Ши аша а фост.
01010800bd	Думнезеу а нумит ынтиндеря чер. Астфел, а фост о сярэ ши апой а фост о диминяцэ: ачаста а фост зиуа а доуа.
01010900cf	Думнезеу а зис: „Сэ се стрынгэ ла ун лок апеле каре сунт дедесубтул черулуй ши сэ се арате ускатул!” Ши аша а фост.
01010a00c3	Думнезеу а нумит ускатул пэмынт, яр грэмада де апе а нумит-о мэрь. Думнезеу а вэзут кэ лукрул ачеста ера бун.
01010b012d	Апой Думнезеу а зис: „Сэ дя пэмынтул вердяцэ, ярбэ ку сэмынцэ, помь родиторь, каре сэ факэ род дупэ союл лор ши каре сэ айбэ ын ей сэмынца лор пе пэмынт.” Ши аша а фост.
01010c011e	Пэмынтул а дат вердяцэ, ярбэ ку сэмынцэ дупэ союл ей ши помь каре фак род ши каре ышь ау сэмынца ын ей, дупэ союл лор. Думнезеу а вэзут кэ лукрул ачеста ера бун.
01010d0083	Астфел, а фост о сярэ ши апой а фост о диминяцэ: ачаста а фост зиуа а трея.
01010e0118	Думнезеу а зис: „Сэ фие ниште луминэторь ын ынтиндеря черулуй, ка сэ деспартэ зиуа де ноапте; ей сэ фие ниште семне каре сэ арате времуриле, зилеле ши аний
01010f00a5	ши сэ служяскэ де луминэторь ын ынтиндеря черулуй, ка сэ луминезе пэмынтул.” Ши аша а фост.
0101100136	Думнезеу а фэкут чей дой марь луминэторь, ши ануме: луминэторул чел май маре, ка сэ стэпыняскэ зиуа, ши луминэторул чел май мик, ка сэ стэпыняскэ ноаптя; а фэкут ши стелеле.
0101110078	Думнезеу й-а ашезат ын ынтиндеря черулуй, ка сэ луминезе пэмынтул,
01011200c2	сэ стэпыняскэ зиуа ши ноаптя ши сэ деспартэ лумина де ынтунерик. Думнезеу а вэзут кэ лукрул ачеста ера бун.
0101130085	Астфел, а фост о сярэ ши апой а фост о диминяцэ: ачаста а фост зиуа а патра.
01011400c8	Думнезеу а зис: „Сэ мишуне апеле де вецуитоаре ши сэ збоаре пэсэрь дясупра пэмынтулуй пе ынтиндеря черулуй.”
0101150156	Думнезеу а фэкут пештий чей марь ши тоате вецуитоареле каре се мишкэ ши де каре мишунэ апеле, дупэ союриле лор; а фэкут ши орьче пасэре ынарипатэ дупэ союл ей. Думнезеу а вэзут кэ ерау буне.
01011600e8	Думнезеу ле-а бинекувынтат ши а зис: „Крештець, ынмулцици-вэ ши умплець апеле мэрилор; сэ се ынмулцяскэ ши пэсэриле пе пэмынт.”
0101170084	Астфел а фост о сярэ ши апой а фост о диминяцэ: ачаста а фост зиуа а чинчя.
01011800de	Думнезеу а зис: „Сэ дя пэмынтул вецуитоаре дупэ союл лор; вите, тырытоаре ши фяре пэмынтешть дупэ союл лор.” Ши аша а фост.
010119010d	Думнезеу а фэкут фяреле пэмынтулуй дупэ союл лор, вителе дупэ союл лор ши тоате тырытоареле пэмынтулуй дупэ союл лор. Думнезеу а вэзут кэ ерау буне.
01011a0192	Апой Думнезеу а зис: „Сэ фачем ом дупэ кипул Ностру, дупэ асемэнаря Ноастрэ; ел сэ стэпыняскэ песте пештий мэрий, песте пэсэриле черулуй, песте вите, песте тот пэмынтул ши песте тоате тырытоареле каре се мишкэ пе пэмынт.”
01011b00d5	Думнезеу а фэкут пе ом дупэ кипул Сэу, л-а фэкут дупэ кипул луй Думнезеу; парте бэрбэтяскэ ши парте фемеяскэ й-а фэкут.
01011c0182	Думнезеу й-а бинекувынтат ши Думнезеу ле-а зис: „Крештець, ынмулцици-вэ, умплець пэмынтул ши супунеци-л ши стэпыниць песте пештий мэрий, песте пэсэриле черулуй ши песте орьче вецуитоаре каре се мишкэ пе пэмынт.”
01011d013b	Ши Думнезеу а зис: „Ятэ кэ в-ам дат орьче ярбэ каре фаче сэмынцэ ши каре есте пе фаца ынтрегулуй пэмынт ши орьче пом каре аре ын ел род ку сэмынцэ: ачаста сэ фие храна воастрэ.
01011e0156	Яр тутурор фярелор пэмынтулуй, тутурор пэсэрилор черулуй ши тутурор виетэцилор каре се мишкэ пе пэмынт, каре ау ын еле о суфларе де вяцэ, ле-ам дат ка хранэ тоатэ ярба верде.” Ши аша а фост.
