010000000d	1 Mojžišova
0101010027	Na počátku stvořil Bůh nebe a zemi.
0101020064	Země pak byla nesličná a pustá, a tma byla nad propastí, a Duch Boží vznášel se nad vodami.
010103002b	I řekl Bůh: Buď světlo! I bylo světlo.
0101040047	A viděl Bůh světlo, že bylo dobré; i oddělil Bůh světlo od tmy.
0101050056	A nazval Bůh světlo dnem, a tmu nazval nocí. I byl večer a bylo jitro, den první.
0101060042	Řekl také Bůh: Buď obloha u prostřed vod, a děl vody od vod!
0101070078	I učinil Bůh tu oblohu, a oddělil vody, kteréž jsou pod oblohou, od vod, kteréž jsou nad oblohou. A stalo se tak.
0101080042	I nazval Bůh oblohu nebem. I byl večer a bylo jitro, den druhý.
010109007a	Řekl také Bůh: Shromažďte se vody, kteréž jsou pod nebem, v místo jedno, a ukaž se místo suché! A stalo se tak.
01010a006c	I nazval Bůh místo suché zemí, shromáždění pak vod nazval mořem. A viděl Bůh, že to bylo dobré.
01010b00b4	Potom řekl Bůh: Zploď země trávu, a bylinu vydávající símě, a strom plodný, nesoucí ovoce podlé pokolení svého, v němž by bylo símě jeho na zemi. A stalo se tak.
01010c00c0	Nebo země vydala trávu, a bylinu nesoucí semeno podlé pokolení svého, i strom přinášející ovoce, v němž bylo símě jeho, podlé pokolení jeho. A viděl Bůh, že to bylo dobré.
01010d0027	I byl večer a bylo jitro, den třetí.
01010e0087	Opět řekl Bůh: Buďte světla na obloze nebeské, aby oddělovala den od noci, a byla na znamení a rozměření časů, dnů a let.
01010f0046	A aby svítila na obloze nebeské, a osvěcovala zemi. A stalo se tak.
0101100098	I učinil Bůh dvě světla veliká, světlo větší, aby správu drželo nade dnem, a světlo menší, aby správu drželo nad nocí; též i hvězdy.
010111003c	A postavil je Bůh na obloze nebeské, aby osvěcovala zemi;
0101120069	A aby správu držela nade dnem a nocí, a oddělovala světlo od tmy. A viděl Bůh, že to bylo dobré.
0101130028	I byl večer a bylo jitro, den čtvrtý.
010114007d	Řekl ještě Bůh: Vydejte vody hmyz duše živé v hojnosti, a ptactvo, kteréž by létalo nad zemí pod oblohou nebeskou!
01011500e7	I stvořil Bůh velryby veliké a všelijakou duši živou, hýbající se, kteroužto v hojnosti vydaly vody podlé pokolení jejich, a všeliké ptactvo křídla mající, podlé pokolení jeho. A viděl Bůh, že to bylo dobré.
010116007a	I požehnal jim Bůh, řka: Ploďtež se a množte se, a naplňte vody mořské; též ptactvo ať se rozmnožuje na zemi!
0101170026	I byl večer a bylo jitro, den pátý.
01011800a4	Řekl též Bůh: Vydej země duši živou, jednu každou podlé pokolení jejího, hovada a zeměplazy, i zvěř zemskou, podlé pokolení jejího. A stalo se tak.
01011900aa	I učinil Bůh zvěř zemskou podlé pokolení jejího, též hovada vedlé pokolení jejich, i všeliký zeměplaz podlé pokolení jeho. A viděl Bůh, že bylo dobré.
01011a00ea	Řekl opět Bůh: Učiňme člověka k obrazu našemu, podlé podobenství našeho, a ať panují nad rybami mořskými, a nad ptactvem nebeským, i nad hovady, a nade vší zemí, i nad všelikým zeměplazem hýbajícím se na zemi.
01011b0065	I stvořil Bůh člověka k obrazu svému, k obrazu Božímu stvořil jej, muže a ženu stvořil je.
01011c00da	A požehnal jim Bůh, a řekl jim Bůh: Ploďtež se a rozmnožujte se, a naplňte zemi, a podmaňte ji, a panujte nad rybami mořskými, a nad ptactvem nebeským, i nad všelikým živočichem hýbajícím se na zemi.
01011d00d1	Řekl ještě Bůh: Aj, dal jsem vám všelikou bylinu, vydávající símě, kteráž jest na tváři vší země, a všeliké stromoví, (na němž jest ovoce stromu), nesoucí símě; to bude vám za pokrm.
01011e00c2	Všechněm pak živočichům zemským, i všemu ptactvu nebeskému, a všemu tomu, což se hýbe na zemi, v čemž jest duše živá, všelikou bylinu zelenou dal jsem ku pokrmu. I stalo se tak.
01011f0062	A viděl Bůh vše, což učinil, a aj, bylo velmi dobré. I byl večer a bylo jitro, den šestý.
010201003d	A tak dokonána jsou nebesa a země, i všecko vojsko jejich.
0102020080	A dokonal Bůh dne sedmého dílo své, kteréž dělal; a odpočinul v den sedmý ode všeho díla svého, kteréž byl dělal.
010203008d	I požehnal Bůh dni sedmému a posvětil ho; nebo v něm odpočinul Bůh ode všeho díla svého, kteréž byl stvořil, aby učiněno bylo.
010204006a	Tiť jsou rodové nebes a země, (když stvořena jsou v den, v němž učinil Hospodin Bůh zemi i nebe),
01020500cb	I každé chrastiny polní, dříve než byla na zemi, i všeliké byliny polní, prvé než vzcházela; nebo ještě byl nedštil Hospodin Bůh na zemi, aniž byl který člověk, ješto by dělal zemi.
010206004a	A aniž pára vystupovala z země, aby svlažovala všecken svrchek země.
010207007c	I učinil Hospodin Bůh člověka z prachu země, a vdechl v chřípě jeho dchnutí života, i byl člověk v duši živou.
0102080064	Štípil pak byl Hospodin Bůh ráj v Eden na východ, a postavil tam člověka, jehož byl učinil.
01020900aa	A vyvedl Hospodin Bůh z země všeliký strom na pohledění libý, a ovoce k jídlu chutné; též strom života u prostřed ráje, i strom vědění dobrého a zlého.
01020a0067	(A řeka vycházela z Eden, k svlažování ráje, a odtud dělila se, a byla ve čtyři hlavní řeky.
01020b004a	Jméno jedné Píson, ta obchází všecku zemi Hevilah, kdež jest zlato.
01020c0047	A zlato země té jest výborné; tam jest i bdelium, a kámen onychin.
01020d003e	Jméno pak druhé řeky Gihon, ta obchází všecku zemi Chus.
01020e0076	A jméno řeky třetí Hiddekel, kteráž teče k východní straně Assyrské země. A řeka čtvrtá jest Eufrates.)
01020f0065	Pojav tedy Hospodin Bůh člověka, postavil jej v ráji v zemi Eden, aby jej dělal a ostříhal ho.
0102100062	I zapověděl Hospodin Bůh člověku, řka: Z každého stromu rajského svobodně jísti budeš;
010211006f	Ale z stromu vědění dobrého a zlého nikoli nejez; nebo v který bys koli den z něho jedl, smrtí umřeš.
0102120078	Řekl byl také Hospodin Bůh: Není dobré člověku býti samotnému; učiním jemu pomoc, kteráž by při něm byla.
01021300fc	(Nebo když byl učinil Hospodin Bůh z země všelikou zvěř polní, i všecko ptactvo nebeské, přivedl je k Adamovi, aby pohleděl na ně, jaké by jméno kterému dáti měl; a jak by koli nazval Adam kterou duši živou, tak aby jmenována byla.
0102140097	I dal Adam jména všechněm hovadům, i ptactvu nebeskému, a všeliké zvěři polní; Adamovi pak není nalezena pomoc, kteráž by při něm byla.)
0102150073	Protož uvedl Hospodin Bůh tvrdý sen na Adama, i usnul; a vyňal jedno z žeber jeho, a to místo vyplnil tělem.
0102160060	A z toho žebra, kteréž vyňal z Adama, vzdělal Hospodin Bůh ženu, a přivedl ji k Adamovi.
010217007b	I řekl Adam: Teď tato jest kost z kostí mých a tělo z těla mého; tato slouti bude mužatka, nebo z muže vzata jest.
0102180075	Z té příčiny opustí muž otce svého i matku svou, a přídržeti se bude manželky své, i budou v jedno tělo.
010219003b	Byli pak oba dva nazí, Adam i žena jeho, a nestyděli se.
01030100c6	Had pak byl nejchytřejší ze všech živočichů polních, kteréž byl učinil Hospodin Bůh. A ten řekl ženě: Tak-liž jest, že vám Bůh řekl: Nebudete jísti z každého stromu rajského?
0103020033	I řekla žena hadu: Ovoce stromů rajských jíme;
010303007d	Ale o ovoci stromu, kterýž jest u prostřed ráje, řekl Bůh: Nebudete ho jísti, aniž se ho dotknete, abyste nezemřeli.
010304002d	I řekl had ženě: Nikoli nezemřete smrtí!
010305007f	Ale ví Bůh, že v kterýkoli den z něho jísti budete, otevrou se oči vaše; a budete jako bohové, vědouce dobré i zlé.
01030600bc	Viduci tedy žena, že dobrý jest strom k jídlu i příjemný očima, a k nabytí rozumnosti strom žádostivý, vzala z ovoce jeho a jedla; dala také i muži svému s sebou, a on jedl.
010307007b	Tedy otevříny jsou oči obou dvou, a poznali, že jsou nazí; i navázali lístí fíkového a nadělali sobě věníků.
01030800aa	A v tom uslyšeli hlas Hospodina Boha chodícího po ráji k větru dennímu; i skryl se Adam a žena jeho před tváří Hospodina Boha, u prostřed stromoví rajského.
0103090037	I povolal Hospodin Bůh Adama, a řekl jemu: Kdež jsi?
01030a0068	Kterýžto řekl: Hlas tvůj slyšel jsem v ráji a bál jsem se, že jsem nahý; protož skryl jsem se.
01030b0071	I řekl Bůh: Kdožť oznámil, že jsi nahý? Nejedl-lis ale z toho stromu, z něhožť jsem jísti zapověděl?
01030c0063	I řekl Adam: Žena, kterouž jsi mi dal, aby byla se mnou, ona mi dala z stromu toho, a jedl jsem.
01030d0062	I řekl Hospodin Bůh ženě: Což jsi to učinila? I řekla žena: Had mne podvedl, i jedla jsem.
01030e00d7	Tedy řekl Hospodin Bůh hadu: Že jsi to učinil, zlořečený budeš nade všecka hovada a nade všecky živočichy polní; po břiše svém plaziti se budeš, a prach žráti budeš po všecky dny života svého.
01030f0093	Nad to, nepřátelství položím mezi tebou a mezi ženou, i mezi semenem tvým a semenem jejím; ono potře tobě hlavu, a ty potřeš jemu patu.
01031000b1	Ženě pak řekl: Velice rozmnožím bolesti tvé a počínání tvá, s bolestí roditi budeš děti, a pod mocí muže tvého bude žádost tvá, a on panovati bude nad tebou.
01031100e9	Adamovi také řekl: Že jsi uposlechl hlasu ženy své, a jedl jsi z stromu toho, kterýžť jsem zapověděl, řka: Nebudeš jísti z něho; zlořečená země pro tebe, s bolestí jísti budeš z ní po všecky dny života svého.
0103120045	Trní a bodláčí tobě ploditi bude, i budeš jísti byliny polní.
0103130092	V potu tváři své chléb jísti budeš, dokavadž se nenavrátíš do země, poněvadž jsi z ní vzat. Nebo prach jsi a v prach se navrátíš.
0103140053	Dal pak byl Adam jméno ženě své Eva, proto že ona byla mátě všech živých.
010315004d	I zdělal Hospodin Bůh Adamovi a ženě jeho oděv kožený, a přioděl je.
01031600d8	Tedy řekl Hospodin Bůh: Aj, člověk učiněn jest jako jeden z nás, věda dobré i zlé; pročež nyní, aby nevztáhl ruky své, a nevzal také z stromu života, a jedl by, i byl by živ na věky, vyžeňme jej.
010317004f	I vypustil jej Hospodin Bůh z zahrady Eden, aby dělal zemi, z níž vzat byl.
010318009b	A tak vyhnal člověka a osadil zahradu Eden cherubíny k východní straně s mečem plamenným blýskajícím se, aby ostříhali cesty k stromu života.
0104010071	Adam pak poznal Evu ženu svou, kterážto počavši, porodila Kaina a řekla: Obdržela jsem muže na Hospodinu.
0104020051	A opět porodila bratra jeho Abele. I byl Abel pastýř ovcí, a Kain byl oráč.
0104030054	Po mnohých pak dnech stalo se, že obětoval Kain z úrody zemské obět Hospodinu.
010404007f	Ano i Abel také obětoval z prvorozených věcí stáda svého, a z tuku jejich. I vzhlédl Hospodin na Abele a na obět jeho.
0104050063	Na Kaina pak a na obět jeho nevzhlédl. Protož rozlítil se Kain náramně, a opadla tvář jeho.
010406005e	I řekl Hospodin Kainovi: Proč jsi se tak rozpálil hněvem? A proč jest opadla tvář tvá?
01040700b7	Zdaliž nebudeš příjemný, budeš-li dobře činiti? Pakli nebudeš dobře činiti, hřích ve dveřích leží; a pod mocí tvou bude žádost jeho, a ty panovati budeš nad ním.
0104080081	I mluvil Kain k Abelovi bratru svému. Stalo se pak, když byli na poli, že povstav Kain proti Abelovi bratru svému, zabil jej.
0104090080	I řekl Hospodin Kainovi: Kdež jest Abel bratr tvůj? Kterýž odpověděl: Nevím. Zdaliž jsem já strážným bratra svého?
01040a004c	I řekl Bůh: Co jsi učinil? Hlas krve bratra tvého volá ke mně z země.
01040b007d	Protož nyní zlořečený budeš i od té země, kteráž otevřela ústa svá, aby přijala krev bratra tvého z ruky tvé.
01040c0067	Když budeš dělati zemi, nebude více vydávati moci své tobě; tulákem a běhounem budeš na zemi.
01040d005b	I řekl Kain Hospodinu: Většíť jest nepravost má, než aby mi odpuštěna býti mohla.
01040e00ab	Aj, vyháníš mne dnes z země této, a před tváří tvou skrývati se budu, a budu tulákem a běhounem na zemi. I přijde na to, že kdo mne koli nalezne, zabije mne.
01040f00ba	I řekl mu Hospodin: Zajisté kdo by koli zabil Kaina, nad tím sedmnásobně mštěno bude. Pročež vložil Hospodin znamení na Kaina, aby ho žádný nezabil, kdo by jej koli nalezl.
010410005f	Tedy odšed Kain od tváři Hospodinovy, bydlil v zemi Nód, k východní straně naproti Eden.
010411008a	Poznal pak Kain ženu svou, kterážto počala a porodila Enocha. I stavěl město, a nazval jméno města toho jménem syna svého Enoch.
0104120072	I narodil se Enochovi Irád, a Irád zplodil Maviaele, Maviael pak zplodil Matuzaele, a Matuzael zplodil Lámecha.
010413004c	Vzal sobě pak Lámech dvě ženy; jméno jedné Ada, a jméno druhé Zilla.
010414005b	I porodila Ada Jábale, kterýž byl otec přebývajících v staních a stádo pasoucích.
010415005a	A jméno bratra jeho Jubal; ten byl otec všech hrajících na harfu a nástroje hudebné.
0104160089	A Zilla také porodila Tubalkaina, kterýž byl řemeslník všelikého díla od mědi a od železa. Sestra pak Tubalkainova byla Noéma.
01041700ac	I řekl Lámech ženám svým, Adě a Zille: Slyšte hlas můj, ženy Lámechovy, poslouchejte řeči mé, že jsem zabil muže k ráně své a mládence k zsinalosti své.
0104180062	Jestližeť sedmnásobně pomštěno bude pro Kaina, tedy pro Lámecha sedmdesátekrát sedmkrát.
0104190099	Poznal pak ještě Adam ženu svou, i porodila syna a nazvala jméno jeho Set; nebo řekla: Dal mi Bůh jiné símě místo Abele, kteréhož zabil Kain.
01041a006e	Setovi pak také narodil se syn, a nazval jméno jeho Enos. Tehdáž začalo se vzývání jména Hospodinova.
0105010076	Tato jest kniha rodů Adamových. V ten den, v kterémž stvořil Bůh člověka, ku podobenství Božímu učinil ho.
0105020067	Muže a ženu stvořil je a požehnal jim, a nazval jméno jejich Adam v ten den, když stvořeni jsou.
010503007f	Byl pak Adam ve stu a třidcíti letech, když zplodil syna ku podobenství svému a k obrazu svému, a nazval jméno jeho Set.
010504004c	I bylo dnů Adamových po zplození Seta osm set let, a plodil syny a dcery.
010505005f	A tak bylo všech dnů Adamových, v kterýchž byl živ, devět set a třidceti let, i umřel.
0105060037	Set pak byl ve stu a pěti letech, když zplodil Enosa.
010507004c	A po zplození Enosa živ byl Set osm set a sedm let, a plodil syny a dcery.
0105080042	I bylo všech dnů Setových devět set a dvanácte let, i umřel.
0105090039	Byl pak Enos v devadesáti letech, když zplodil Kainana.
01050a0054	A po zplození Kainana živ byl Enos osm set a patnácte let, a plodil syny a dcery.
01050b003e	I bylo všech dnů Enosových devět set a pět let, i umřel.
01050c003f	Kainan pak byl v sedmdesáti letech, když zplodil Mahalaleele.
01050d005d	A po zplození Mahalaleele živ byl Kainan osm set a čtyřidceti let, a plodil syny a dcery.
01050e0041	I bylo všech dnů Kainanových devět set a deset let, i umřel.
01050f0046	Mahalaleel pak byl v šedesáti a pěti letech, když zplodil Járeda.
010510005a	A po zplození Járeda živ byl Mahalaleel osm set a třidceti let, a plodil syny a dcery.
010511004d	I bylo všech dnů Mahalaleelových osm set devadesáte a pět let, i umřel.
0105120045	Járed pak byl ve stu šedesáti a dvou letech, když zplodil Enocha.
0105130049	A po zplození Enocha živ byl Járed osm set let, a plodil syny a dcery.
010514004e	I bylo všech dnů Járedových devět set šedesáte a dvě létě, i umřel.
0105150045	Enoch pak byl v šedesáti a pěti letech, když zplodil Matuzaléma.
010516005b	A chodil Enoch stále s Bohem po zplození Matuzaléma tři sta let, a plodil syny a dcery.
010517003e	I bylo všech dnů Enochových tři sta šedesáte a pět let.
0105180046	A chodil Enoch stále s Bohem a nebyl více vidín; nebo vzal ho Bůh.
010519004a	Matuzalém pak byl ve stu osmdesáti sedmi letech, když zplodil Lámecha.
01051a0065	A po zplození Lámecha živ byl Matuzalém sedm set osmdesáte a dvě létě, a plodil syny a dcery.
01051b0051	I bylo všech dnů Matuzalémových devět set šedesáte a devět let, i umřel.
01051c0044	Lámech pak byl ve stu osmdesáti a dvou letech, když zplodil syna,
01051d00a2	Jehož jméno nazval Noé, řka: Tento nám odpočinutí způsobí od díla našeho, od práce rukou našich, kterouž máme s zemí, jížto zlořečil Hospodin.
01051e0065	A živ byl Lámech potom, když zplodil Noé, pět set devadesáte a pět let, a plodil syny a dcery.
01051f004b	I bylo všech dnů Lámechových sedm set sedmdesáte a sedm let, i umřel.
0105200045	A když byl Noé v pěti stech letech, zplodil Sema, Chama a Jáfeta.
010601004e	Stalo se pak, když se počali množiti lidé na zemi, a dcery se jim zrodily,
010602006e	Že vidouce synové Boží dcery lidské, any krásné jsou, brali sobě ženy ze všech, kteréž oblibovali.
010603008e	Pročež řekl Hospodin: Nebude se nesnaditi duch můj s člověkem na věky, proto že také tělo jest, a bude dnů jeho sto a dvadceti let.
01060400b9	Obrové pak byli na zemi v těch dnech; ano i potom, když vcházeli synové Boží k dcerám lidským, ony rodily jim. To jsou ti mocní, kteříž zdávna byli, muži na slovo vzatí.
