010000000a	Yaritilish
0101010030	Muqeddemde Xuda asmanlar bilen zéminni yaratti.
01010200a5	U chaghda yer bolsa shekilsiz we qupquruq halette boldi; qarangghuluq chongqur sularning yüzini qaplidi; Xudaning Rohi chongqur sular üstide lerzan perwaz qilatti.
0101030039	Xuda: «Yoruqluq bolsun!» déwidi, yoruqluq peyda boldi.
0101040056	Xuda yoruqluqning yaxshi ikenlikini kördi; Xuda yoruqluq bilen qarangghuluqni ayridi.
010105007c	Xuda yoruqluqni «kündüz», qarangghuluqni «kéche» dep atidi. Shu teriqide kech bilen seher ötti, bu tunji kün boldi.
010106006d	Andin Xuda: — Sularning ariliqida bir boshluq bolsun we sular [yuqiri-töwen] ikkige ayrilip tursun, dédi.
0101070080	Shuning bilen Xuda bir boshluq hasil qilip, sularni boshluqning astigha we boshluqning üstige ayriwetti; ish ene shundaq boldi.
0101080063	Xuda bu boshluqni «asman» dep atidi. Shu teriqide kech bilen seher ötti, bu ikkinchi kün boldi.
0101090072	Andin Xuda: «Asmanning astidiki sular bir yerge yighilsun, quruq tupraq körünsun!» déwidi, del shundaq boldi.
01010a007b	Xuda quruq tupraqni «yer», yighilghan sularni bolsa «déngizlar» dep atidi. Xuda bularning yaxshi bolghanliqini kördi.
01010b00c7	Andin Xuda yene: «Yer herxil ösümlüklerni, uruqluq otyashlarni, méwe béridighan derexlerni türliri boyiche özide ündürsun! Méwilerning ichide uruqliri bolsun!» déwidi, del shundaq boldi;
01010c00e5	yerdiki ösümlüklerni, yeni uruq chiqidighan otyashlarni öz türliri boyiche, méwe béridighan, yeni méwilirining ichide uruqliri bolghan derexlerni öz türliri boyiche ündürdi. Xuda bularning yaxshi bolghanliqini kördi.
01010d003d	Shu teriqide kech bilen seher ötti, bu üchinchi kün boldi.
01010e009f	Xuda yene: «Kündüz bilen kéchini ayrip bérish üchün asmanlarda yoruqluq jisimlar bolsun. Ular künler, pesillar we yillarni ayrip turushqa belge bolsun;
01010f0068	ular asmanlarda turup nur chiqarghuchi bolup, yer yüzige yoruqluq bersun!» déwidi, del shundaq boldi.
01011000bf	Xuda ikki chong nur chiqarghuchi jisimni yaratti; chong nur chiqarghuchini kündüzni bashquridighan, kichik nur chiqarghuchni kéchini bashquridighan qildi. Hemde yene yultuzlarnimu yaratti.
01011100c0	Xuda bularni yerge yoruqluq bérip, kündüz bilen kéchini bashqurup, yoruqluq bilen qarangghuluqni ayrisun dep asmanlarning gümbizige orunlashturdi. Xuda buning yaxshi bolghanliqini kördi.
010113003d	Shu teriqide kech bilen seher ötti, bu tötinchi kün boldi.
0101140072	Xuda yene: «Sularda migh-migh janiwarlar bolsun, uchar-qanatlar yerning üstide, asman boshluqida uchsun» dédi.
