2800000006	iMatiu
280101003d	Odzɛ etɔ mgbi iYesu iKrestu Ongwɛ iDevedi, ongwɛ Abrahan.
2801020059	Abrahan li otsɔ Adziki, Adziki li otsɔ iJeko, iJeko li otsɔ iJuda bɛyi emi ongwunɔn,
280103006d	iJuda li otsɔ iPeredzi bɛyi iDzera, onɔ ma li iTama, iPeredzi li otsɔ iHezrɔn, iHerizɔn li otsɔ iRama,
280104004c	iRama li otsɔ Aminada, Aminada li otsɔ iNashɔn; iNashɔn li otsɔ iSamon,
2801050074	iSamon li otsɔ iBoadzi, ongwu onɔn li iRaha, iBoadzi li otsɔ Obɛdi, ongwu onɔn li iRutu, Obɛdi li otsɔ iJese;
280106004e	iJese li otsɔ Utɔ iDevedi; iDevedi li otsɔ iSolomu ongwu onɔn li owa Uria,
280107004b	iSolomu li otsɔ iRehobuan, iRehobuan li otsɔ Abyija, Abyija li otsɔ Asa,
280108004b	Asa li otsɔ iJehoshafa, iJehoshafa li otsɔ iJoran, iJoran li otsɔ Udzia;
2801090049	Udzia li otsɔ iJotan, iJotan li otsɔ Ahadzi, Ahadzi li otsɔ iHedzekia;
28010a004a	iHedzekia li otsɔ iManase, iManase li otsɔ Amɔn, Amɔn li otsɔ iJosia,
28010b0058	iJosia li otsɔ iJekonia bɛyi emi ongwunɔn. Taman a kwu ma ofyɛɛ lu ɛsɛ iBabyilon.
28010c005e	Ngwi egbe mgbi ama mi iBabyilon wa ngyɛ nɛ; iJekonia mba iShetiɛ, iShetiɛ mba iDzerubabɛ,
28010d003d	iDzerubabɛ mba Abyidu, Abyidu mba Eliakin, Eliakin mba Azɔ;
28010e003d	Azɔ na di mba iDzadɔku, iDzadɔku mba Akin, Akin mba Elidu,
28010f0038	Elidu mba Eliadza, Eliadza mba iMatan, iMatan mba iJeko;
2801100055	iJeko mba iJose oba iMeri; li iMeri ongwu nmba iYesu ongwu a li kwun di iKrestu nani.
28011100f1	Etɔ nwita mbi Abrahan nghataa kɛ mbi iDevedi li iwyodenɛ; Wita mbi iDevedi nghataa kɛ onɔ ngwi a gbe ma lu iBabyilon li etɔ iwyodenɛ yi onɔ ngwi a tɔ abɔ ofyɛɛ mi iBabyilon nghataa ba onɔ mgbi iMedzaya na kpaa li etɔ iwyodenɛ.
28011200a8	Nɛnɛ li ngha ngwi ombaamba mgbi iYesu iKrestu dzɛ aani: Onɔn iMeri, ngwu iJose tsikwɔn dzɛ esɛ, kpaa duuse no kyon yɔ, a din yi ifewo mi mfye mgbi Onodzi Osaan.
2801130074	Nghaduu iJose oban li inggisɛ osuse, i minan onun ayiwi mi ododa ba nɛ, o kye weka gbɛɛ ongwu ka gha yan fyɛɛ.
28011400dd	Dafi o le tsɛwodzɛ nɛ ngha nɛ, ongyesɔ mgbi Otsɛ wa tsetun mi elela, nyan gbɛɛ, “IJose ongwɛ iDevedi, ka mio okyi kyelu iMeri lu udɛ abu gbɛɛ no li owa abu ba, ikyesinɛ ifu ngwi o byi na li mi Onodzi Osaan.
2801150072	O ka wa mba ongwongyulɔ, ta abu ka kwun iyi gbɛɛ iYesu, lubana o ka dulu emidan tɔ mi ali ibwubwe mgbi ama.”
2801160063	Ungwɔ ntonɛ duu kyɔ ikye ombwo ondu odzɛɛdzɛ mgbi Otsɛ ongwi o gbɔ nyɛ mbi oyegbɔ gbɛɛ,
280117007d	“Ongwongyaa ibidrua ka wa byifu mba ongwongyulɔ, a ka kwun iyi di Imanue,” itan gbɛɛ, “Imgbasho dzɛ yi eyi nani.”
2801180071	Ngwi iJose kyɛ una nɛta, o kyɔ dafi ongyesɔ mgbi Otsɛ nyan mani, o kyi kyelu iMeri lu udɛ mgban yɛɛ owan.
2801190052	Kpaa o gbewo yan ba nghataa iMeri wa mba ongwongyulɔ, o si kwun iyi gbɛɛ iYesu.
2802010085	Ngwi a mba iYesu mi iBɛtlɛhɛn mi iJudia duu nɛta, iHerude li utɔ mi onɔ nani, inggisɛ ama oyodzɛ mi onosa wa kaka iJerosalin,
2802020098	le byita gbɛɛ, “Ongwɛ ongwu a mba nli Utɔ mgbi emi iJuda nɛ, a kyon ladzɛ ole? Lubana eyi di mcɛ mgban mi onosa, ngwi eyi ba owa sunun aani.”
280203004f	Ngwi utɔ iHerude fwo odzɛ nɛ ngha nɛ, i kakan ewo bɛyi emi iJerosalin duu.
280204007b	O kwu engyukwo ama ofifɛ mgbi Imgbasho bɛyi ama otso ola duu kwakye, o byi ma gbɛɛ li mi ole ngwi a ka mba iMedzaya ma?
2802050061	A nyan gbɛɛ: “Li mi iBɛtlɛhɛn mi iJudia, Lubana li ungwɔ ngwi oyegbɔ tsekise lɔ gbɛɛ:
28020600b9	“‘Kpaa abu, iBɛtlɛhɛn, mi ikpɛsɛ mgbi iJudia, o ka yama li igeli oyɛyikpa mi iJudia ba; lubana li mbi abu ngwi inggisɛ ogbe inggisɛ teyi ka tɔ nka ngyo emidani Israi.’”
280207006e	Ta iHerude kwu ama oyodzɛ ntona ela daada di byi ma ita klɛklɛ ni ongwu ye onɔ ngwi mcɛ na tsetu ma mani.
280208008c	O si nu ma ofɛ lu iBɛtlɛhɛn di nya ma gbɛɛ, “Lu ka pitan saan na. Ni ema ka din taman yɛ wa nya ani, adzi ni ani kpaa ka su nun.”
2802090093	Ngwi a fwo odzɛ ngwi utɔ gbɔ nɛ, a tasɛ lu ta mcɛ ongwi a di mi onosa ma gbe ma teyi nghataa ka kwulɛsɛ mi imbe ngwi ongwɛ na ladzɛ mani.
28020a0030	Onɔ ngwi a di mcɛ na ma, a dzɛ yi atsa kwuba.
28020b0093	Ta ama oyodzɛ kaka ozu di ongwɛ yi onɔn iMeri, a kwɛsɛ su nun, nɛ a kwulu igbe mgbi ama dulu abashi, engyie ogbungbɛ yi iMire gbe ghan umba.
28020c0093	Nɛ ama oyodzɛ ntona yɛ nyɛ ofɛ oka lu ɛsɛ udɛ ma, lubana Imgbasho tsekise woma elela kwo ma adɔ gbɛɛ nu ma ka yɛ nyɛ mbi iHerude wuba.
28020d0123	Onɔ ngwi ama oyodzɛ lu dzita emi iMeri nɛ, ongyesɔ mgbi Otsɛ wa tsetu iJose mi elela owoowo nyan gbɛɛ: “IHerude ka wa pita ongwɛ nɛ gbɛɛ ni ongwu ngwɔn. Nghanɛ kyato, kyelu ongwɛ yi onɔn tsinya lu Igyibiti, to ele na nghataa ni ani wa nya ema gbɛɛ ni ema kyɛɛ yɛ se.”
28020e0042	IJose kyato una mi otu na, kyi kyelu ongwɛ yi onɔn, lu Igyibiti.
28020f00c0	O dzɛ ele nghataa ba onɔ ngwi iHerude wa kwulu. Ungwɔnɛ kyɔ ikye onu odzɛ ngwi Otsɛ Imgbasho gbɔ nyɛ mbi oyegbɔ gbɛɛ, “Ani kwu Ongwani ela tasɛ mi Igyibiti,” ma yɛɛ otsitsi.
2802100121	Onɔ ngwi iHerude difwi dafi ama oyodzɛ ntona kyɔn ikwangha ewo nɛ, eka kplɔkɔ lon. O noola gbɛɛ nu ma kye ngwɔlu ali ongwongyulɔ ama mmɛ onova efa yɛyikpa sini mi iBɛtlɛhɛn bɛyi agwɔ ama nwatse dɔn duu. O gbɔdzɛ nɛ mi ikye odzɛ ngwi ongwu fwo mbi ama oyodzɛ ntonani.
2802110041	Ta odzɛ ngwi oyegbɔ iJeremia teyi gbɔ ma yɛɛ otsitsi gbɛɛ:
2802120087	“A fwo ela akwɔ mi iRama, akwɔ ikwu otseetse kpakpa iRacɛ le makwɔ ikye ɛngbɛ mgban, o fwa onu ma gyilan, ikyesinɛ a kwulu.”
280213005a	Ngwi iHerude kwulu nyɛ nɛ, ongyesɔ mgbi Otsɛ kɛ mbi iJose mi elela owoowo mi Igyibiti
2802140077	ka gbɛɛ, “kyato, kyelu ongwɛ yi onɔn, yɛ lu ɛsɛ Israi, ikyesinɛ ama nle fya ongwɔ ongwɛ nɛ ma kwulu wa.”
280215003a	Man iJose kyato, kyi kyelu ongwɛ yi onɔn yɛ luba Israi.
28021600a2	Nghaduu ngwi iJose fwo gbɛɛ Acelusi gyutɔ gbikye otsɔn iHerude mi iJudia nɛ, o wimio oka kaka ele, a di won elela kwon adɔ nɛman, o yɛ lu ayɛsɛ iGalalia
280217008d	ka dzɛ igeli ngwi a kwun di iNadzareti nani. Nɛ odzɛ ngwi oyegbɔ tsekise gbɔgbɛɛ: “A ka kwun di inggisɛ iNadzareti,” na mbwumbwo.
2803010046	Mi onɔ na iJɔn okyɔ iBatisima badzɛ okwɛsɛ mi iJudia le gbeesɔ.
280302005a	O gbɛɛ, “Kyata mi ali ibwubwe mgbi ema na ikyekyɛ Esutɔ ongwi esho dzɛ kwɛkwɛ.”
28030300a1	IJɔn li ongwu oyegbɔ Adzaya tsekise gbɔdzan mi onɔ ngwi o gbɛɛ: “Inggisɛ le kweela mi okwɛsɛ gbɛɛ, ‘mɛlu ofɛ ikye Otsɛ, no byi yɛyɛ na.’”
2803040061	A mɛ angwuto mgbi iJɔn mi andu ilakwumyi; o kye okpa bwa oshi, ungwogye mgban li okpa yi enewo.
