2a00000005	Luuka
2a01010065	Waliha Teofiile, bantu banene bachihangaanire kuyandika emyaazi ya byooshi byagerere ahagarhi keerhu.
2a01020085	Abayandikaga, babibalire nk'oku rhwabalirwaga n'abalibibwene ko gurhenga oku ntangiriro, banahinduka bakozi b'eChinwa cha Nnamahanga.
2a010300aa	Nchimala gushonda n'okubaza kw'eyi myaazi yooshi, byansimiisize naani nkubalire yo gurhenga oku ntangiriro ya yo. Bobunoola waliha Teofiile nkuyandikiire yo bwinjabwinja.
2a01040037	Njirire ntyo y'omenya okuli kw'enyigirizo wayankiriire.
2a010500c5	Amango Heroode aliiri mwami w'eYudeeya, haliiri mudaahwa muguma oyirikwa Zakariya, muguma w'omu badaahwa b'echigusho cha Abiya. Mukaage aliiri muguma w'omu banyere ba Haruuni, ayirikwaga Luzabeeti.
2a01060083	Oku bali babiri balikwaneene embere za Nnamahanga. Babaaga bakenga bwinja amarhegeko mooshi ma Nnaweerhu n'okujira nk'oku aderhere.
2a01070068	Aliko, nta mwana baligwerhe, kwenge Luzabeeti aliiri ngumba na kandi eyi booshi babaaga bakola bashaaja.
2a0108007b	Lusiku luguma, Zakariya aliiri akola akaasi kaage k'obudaahwa embere za Nnamahanga, kwenge chaali gihe ch'echigusho chaage.
2a0109005b	Gukulikirana n'emicho y'obudaahwa, alondoolwa kuja omu Nju ya Nnaweerhu gusireeza obubaani.
2a010a005c	Amango Zakariya aliiri gusireeza obubaani, echigusho ch'abemeezi baliiri embuga omu masaala.
2a010b004a	Malahika wa Nnaweerhu amuhulukira, ayimanga emalyo w'entuuliro y'obubaani.
2a010c0038	Zakariya abeere amubona, ashalama n'okuyuubaha bweneene.
2a010d00ad	Malahika amubwira ntya: «Zakariya, orhayuubahaga, kwenge Nnamahanga ayunviirhe esaala lyawe, na mukaawe Luzabeeti akuburhira omwana w'obuzaana. Nj'omuhe eziino lya Yohaana.
2a010e0051	Nji wagwarha obusiime n'omwishingo. N'abantu banene nji bamogera okuburhwa kwage.
2a010f009c	Kwenge nj'aba mukulu embere za Nnaweerhu. Arhakanywa divaayi changwa amaavu makalihire. Gurhengera omu nda ya nyina, nj'aba ey'ayunjwizwe Muuka-Mutagatiifu.
2a01100040	Nj'agalula aBaisraheeli banene emwa Nnaweerhu, Nnamahanga waabo.
2a011100e7	Nj'agenda embere za Nnaweerhu haguma n'omurhima n'obuhashe bwa Eliya, y'agalula haguma abaana n'abazeere baabo. Nj'ahindamula abagome yi bagwarha obwenge nk'abakwaneene. Ntyo, arheganyiziza Nnaweerhu olubaga lurheganyizwe bwinja.»
2a0112008e	Zakariya abaza malahika ntya: «Gichi nji charhuma naamenya oku ebyoola biri by'okuli? Nyoono nkola ndi mushaaja na mukaani akola mugeekulu.»
2a01130084	Malahika amushubiza ntya: «Nyoono nye Gabriyeeri, nyimanga embere za Nnamahanga, ntumirwe gukubwira n'ogukubalira ogu mwazi mwinja.
2a01140092	Aliko yunva, waaba nyamugama. Orhakaderha kugera olusiku eyi myaazi nji yaaba okwenge orhayemereere eyi myaazi yaani, nji yaaba omu mango maayo.»
2a0115006a	Mw'ebyo bishanji olo lubaga lwaliiri kulinga Zakariya lwasoomerwa okubona alegamire omu Nju ya Nnamahanga.
2a01160097	Abeere ahuluka, arhachigalaga kuganiira nabo. Aliiri kubasimira n'ebishushanyo, ayoorha nyamugama. Baava bamenya oku abonekeerwe omu Nju ya Nnamahanga.
2a0117003b	Esiku za Zakariya z'ogukola zabeere zaahwa, agaluka emwage.
2a01180066	Enyuma w'ezo siku, mukaage Luzabeeti aheeka obukule. Amala myeezi erhaano burhahuluka n'okuderha ntya:
2a01190068	«Tala oku Nnaweerhu anjiriire: asimiisizwe kunkuula ko ehyagendaga hyankoza eshoni ahagarhi k'abantu.»
2a011a0092	Obukule bwa Luzabeeti bwabeere buli bwa myeezi ndarhu, malahika Gabriyeeri arhumwa na Nnamahanga omu gishagala ch'eGalilaaya chiyirikwa Nazareeti.
2a011b00ab	Amurhuma oku munyere orhazimenya abalume. Oyo munyere ali ashambaazizwe n'omurhabana oyirikwa Yozefu w'omu mulala gwa mwami Daawudi. Eziino ly'oyo munyere lyaliiri Mariya.
2a011c0097	Malahika abeere aja omu mwabo oyo munyere, amubwira ntya: «Nkulamwise, obe n'omwishingo, w'eyunjwire n'omugisho, bulaala Nnaweerhu ali haguma naawe.»
2a011d005b	Mariya abeere ayunva echo chinwa, chamushalamya. Achiibaza bichi okulamuswa ntyo kuderhere.
2a011e005d	Malahika amubwira ntya: «Mariya, orhayuubahaga kwenge wabwene omugisho embere za Nnamahanga.
2a011f0046	Tala, waaba bukule. Waburha omuzaana n'eziino lyaage wamuyirika Yeesu.
2a0120008c	Nj'aba mukulu na nj'ahamagalwa Mugala wa Nnamahanga w'Elugulu Bweneene. Nnaweerhu Nnamahanga nj'amuha entebe y'obwami bw'eshekuliza Daawudi.
2a01210046	Nj'arhegeka enju ya Yakobo esiku n'amango n'obwime bwage burhagahwa.»
2a01220052	Mariya abaza malahika ntya: «Gurhe ebiila nji byagalikana na nta mulume nyinji?»
2a012300f3	Malahika amushubiza ntya: «Muuka-Mutagatiifu nj'akuyandagalira ko n'obuhashe bwa Nnamahanga w'Elugulu Bweneene nji bwagushukulira n'egichuuchu chaabo. Chi nji charhuma n'omwana waaburhwa nj'aba mutagatiifu; nj'ahamagalwa Mugala wa Nnamahanga.
2a0124009c	Tala oku na Luzabeeti w'omu mulala gwawe, naye ali bukule b'omwana w'obuzaana omu bugeekulu bwage. Ola wayirikwaga ngumba, mwezi gwa ndarhu guno ali bukule.
2a0125002f	Kwenge ntaacho girhakagalika emwa Nnamahanga.»
2a01260076	Mariya ava aderha ntya: «Nyoono ndi muja wa Nnaweerhu, byooshi bimbeere nk'oku oderhere.» Ho n'aho malahika amuleka.
2a0127006c	Omu siku zakulikiraga, Mariya agenda jubaajuba, aja omu gishagala chiguma ch'emisozi omu gihugo ch'eYudeeya.
2a0128002b	Aja omu nju ya Zakariya, alamusa Luzabeeti.
2a01290075	Luzabeeti abeere ayunva endamuso ya Mariya, omwana ashambagarha omu nda yaage. Luzabeeti ayunjuzwa Muuka-Mutagatiifu.
2a012a0072	Aliika omulenge munene elugulu n'okuderha ntya: «Ogishirwe omu bakazi booshi n'omwana oli omu nda yawe agishirwe.
2a012b003d	Nyoono ndi nde okuderha mpu nyina wa Nnaweerhu andambagirire?
2a012c0085	Tala okw'amango nayunvaga omulenge g'okulamusa kwawe omu marhwi maani, omwana oli omu nda yaani amashambagarha n'obushagaluke bunene.
2a012d0044	Ogishirwe kwenge wayemereere oku Nnaweerhu ajira eby'akulaganyaga.»
2a012e003b	Mariya ava aderha ntya: «Omurhima gwani gukuuze Nnaweerhu.
2a012f004a	Na kandi gwayunjwire n'omwishingo elugulu wa Nnamahanga, Muchunguzi waani.
2a01300077	Kwenge alolere n'olukogo obwirhondesi b'omuja waage. Gurhengera buno abantu ba ngasi gihe bagenda bampamagala mugishwa.
2a0131005e	Kwenge Nnamahanga Ogala Byooshi anjiriire ebintu binja binene. Eziino lyaage liri litagatiifu.
2a0132002c	Ngasi mango ajira obubabale oku bamuyuubaha.
2a0133004a	Kugerera emisi y'okuboko kwage, ashandeeze abantu b'omurhima gw'erumerume.
2a0134004b	Akuulire abantu b'emisi oku ntebe zaabo z'obwami, n'okuzamuula abirhondesi.
2a01350048	Abaliiri nzara abayunjwize n'ebikulo n'abachire abagalwire maboko moomu.
2a0136004c	Agwasize omukozi waage Israheeli: arhayibiriraga kuyeerekana obubabale bwage
2a01370052	nk'oku alaganyaga bashookuluza beerhu, Abrahaamu n'omulala gwage esiku n'amango.»
2a01380056	Mariya abeera haguma na Luzabeeti emyeezi yakagera kw'esharhu. Buzinda agaluka emwabo.
2a01390045	Egihe ch'okuburha cha Luzabeeti chagera ho, aburha omwana w'obuzaana.
2a013a0083	Abatuuranyi na beene baabo Luzabeeti babeere bamenya oku Nnaweerhu amuyerekere obubabale bwage, basiima n'ogushagaluka haguma naye.
2a013b0069	Hagerere siku munaane aburhire, bayinja gukembuula omwana n'ogushonda kumuyirika eziino ly'eshe Zakariya.
2a013c0035	Aliko nyina aderha ntya: «Nanga, ayirikwe Yohaana.»
2a013d0043	Bamubwira ntya: «Oku ntaaye omu mulala gwenyu ogwerhe eri ziino!»
2a013e004a	Baabaza eshe bugamagama ntya: «Gurhe oshondere omwana waawe ayirikwage?»
2a013f0067	Zakariya ahema bamuleerhere ehipaho, ayandika ko ntya: «Eziino lyaage ye Yohaana.» Booshi basoomerwa.
2a0140006a	Ho n'aho obuunu bwage bwabumbuulwa n'olulimi lwage lwashwekuulwa, arhondera kuderha n'ogukuuza Nnamahanga.
2a01410077	Abatuuranyi baage booshi bagwarhwa n'obuuba. Eyoola myaazi yooshi yalambagizwa omu misozi yooshi y'egihugo ch'eYudeeya.
