0100000008	Génesis
0101010033	En el principio, Dios creó los cielos y la tierra.
0101020098	La tierra estaba sin forma y vacía. Las tinieblas cubrían la superficie del abismo y el Espíritu de Dios se cernía sobre la superficie de las aguas.
0101030032	Dios dijo: “Hágase la luz”, y la luz se hizo.
0101040045	Dios vio que la luz era buena y separó Dios la luz de las tinieblas.
0101050077	Dios llamó a la luz “día”, y a las tinieblas las llamó “noche”. Y hubo tarde y hubo mañana: el primer día.
010106005f	Dios dijo: “Haya un firmamento en medio de las aguas, y que separe las aguas de las aguas”.
010107008d	Dios hizo el firmamento y separó las aguas que estaban debajo del firmamento de las aguas que estaban por encima del firmamento; y así fue.
0101080054	Dios llamó al firmamento “cielo”. Y hubo tarde y hubo mañana: el segundo día.
0101090078	Dios dijo: “Que las aguas que están bajo el cielo se reúnan en un solo lugar, y que aparezca lo seco”; y así fue.
01010a0071	Dios llamó a lo seco “tierra”, y a la reunión de las aguas la llamó “mares”. Y vio Dios que era bueno.
01010b00b8	Dijo Dios: “Produzca la tierra hierba verde, plantas que den semilla y árboles frutales que den fruto según su especie, cuya semilla esté en ellos, sobre la tierra”; y así fue.
01010c00ae	La tierra produjo hierba verde, plantas que dan semilla según su especie, y árboles que dan fruto, cuya semilla está en ellos, según su especie; y vio Dios que era bueno.
01010d002c	Y hubo tarde y hubo mañana: el tercer día.
01010e009f	Dios dijo: “Haya lumbreras en el firmamento del cielo para separar el día de la noche; y sirvan de señales para las estaciones, para los días y los años;
01010f005d	y sean por lumbreras en el firmamento del cielo para alumbrar sobre la tierra”; y así fue.
01011000a4	Dios hizo las dos grandes lumbreras: la lumbrera mayor para que dominase en el día, y la lumbrera menor para que dominase en la noche. Hizo también las estrellas.
0101110047	Dios las puso en el firmamento del cielo para alumbrar sobre la tierra,
010112006a	y para dominar en el día y en la noche, y para separar la luz de las tinieblas. Y vio Dios que era bueno.
010113002c	Y hubo tarde y hubo mañana: el cuarto día.
0101140087	Dios dijo: “Produzcan las aguas seres vivientes en abundancia, y vuelen las aves sobre la tierra en el ancho firmamento del cielo”.
01011500b4	Dios creó los grandes monstruos marinos y todo ser viviente que se mueve, que las aguas produjeron según su especie, y toda ave alada según su especie. Y vio Dios que era bueno.
0101160088	Dios los bendijo, diciendo: “Sed fecundos y multiplicaos, y llenad las aguas de los mares, y multiplíquense las aves en la tierra”.
010117002c	Y hubo tarde y hubo mañana: el quinto día.
010118008e	Dios dijo: “Produzca la tierra seres vivientes según su especie: ganado, reptiles y animales de la tierra según su especie”; y así fue.
01011900a9	Dios hizo los animales de la tierra según su especie, el ganado según su especie y todo lo que se arrastra sobre la tierra según su especie. Y vio Dios que era bueno.
01011a00f0	Dios dijo: “Hagamos al hombre a nuestra imagen, conforme a nuestra semejanza; y tenga dominio sobre los peces del mar, sobre las aves del cielo, sobre el ganado, sobre toda la tierra y sobre todo reptil que se arrastra sobre la tierra”.
01011b0056	Dios creó al hombre a su imagen, a imagen de Dios lo creó; varón y mujer los creó.
01011c00cf	Dios los bendijo y les dijo: “Sed fecundos y multiplicaos; llenad la tierra y sometedla; dominad sobre los peces del mar, sobre las aves del cielo y sobre todo ser viviente que se mueve sobre la tierra”.
01011d00b8	Dios dijo: “Mirad, os he dado toda planta que da semilla, que está sobre la superficie de toda la tierra, y todo árbol en el que hay fruto que da semilla. Os servirán de alimento.
01011e00af	Y a toda bestia de la tierra, a toda ave de los cielos y a todo lo que se arrastra sobre la tierra, en que hay vida, toda hierba verde les servirá de alimento”; y así fue.
01011f006c	Dios vio todo lo que había hecho, y he aquí que era muy bueno. Y hubo tarde y hubo mañana: el sexto día.
010201003f	Así fueron terminados los cielos y la tierra y todo su ornato.
0102020076	Y acabó Dios en el séptimo día la obra que hizo; y descansó el día séptimo de toda la obra que había realizado.
0102030073	Y bendijo Dios el día séptimo y lo santificó, porque en él descansó de toda la obra que había creado y hecho.
0102040084	Éstos son los orígenes de los cielos y de la tierra cuando fueron creados, el día en que Yahvé Dios hizo la tierra y los cielos.
