010000000a	Бытие
010101003d	В начале сотвори Бог небо и землю.
010102009c	Земля же бе невидима и неустроена, и тма верху бездны, и Дух Божий ношашеся верху воды.
0101030045	И рече Бог: да будет свет. И бысть свет.
0101040078	И виде Бог свет, яко добро, и разлучи Бог между светом и между тмою.
010105008f	И нарече Бог свет день, а тму нарече нощь. И бысть вечер, и бысть утро, день един.
01010600ae	И рече Бог: да будет твердь посреде воды, и да будет разлучающи посреде воды и воды. И бысть тако.
01010700b6	И сотвори Бог твердь, и разлучи Бог между водою, яже бе под твердию, и между водою, яже бе над твердию.
010108009d	И нарече Бог твердь небо. И виде Бог, яко добро. И бысть вечер, и бысть утро, день вторый.
010109011a	И рече Бог: да соберется вода, яже под небесем, в собрание едино, и да явится суша. И бысть тако. И собрася вода, яже под небесем, в собрания своя, и явися суша.
01010a0084	И нарече Бог сушу землю, и собрания вод нарече моря. И виде Бог, яко добро.
01010b0128	И рече Бог: да прорастит земля былие травное, сеющее семя по роду и по подобию, и древо плодовитое творящее плод, емуже семя его в нем, по роду на земли. И бысть тако.
01010c011b	И изнесе земля былие травное, сеющее семя по роду и по подобию, и древо плодовитое творящее плод, емуже семя его в нем, по роду на земли. И виде Бог, яко добро.
01010d0048	И бысть вечер, и бысть утро, день третий.
01010e0114	И рече Бог: да будут светила на тверди небесней, освещати землю и разлучати между днем и между нощию: и да будут в знамения и во времена, и во дни и в лета,
01010f008f	и да будут в просвещение на тверди небесней, яко светити по земли. И бысть тако.
01011000be	И сотвори Бог два светила великая: светило великое в начала дне, и светило меншее в начала нощи, и звезды:
0101110064	и положи я Бог на тверди небесней, яко светити на землю,
0101120096	и владети днем и нощию, и разлучати между светом и между тмою. И виде Бог, яко добро.
010113004e	И бысть вечер, и бысть утро, день четвертый.
01011400b8	И рече Бог: да изведут воды гады душ живых, и птицы летающыя по земли, по тверди небесней. И бысть тако.
01011500fa	И сотвори Бог киты великия, и всяку душу животных гадов, яже изведоша воды по родом их, и всяку птицу пернату по роду. И виде Бог, яко добра.
01011600c9	И благослови я Бог, глаголя: раститеся и множитеся, и наполните воды, яже в морях, и птицы да умножатся на земли.
0101170046	И бысть вечер, и бысть утро, день пятый.
01011800b9	И рече Бог: да изведет земля душу живу по роду, четвероногая и гады, и звери земли по роду. И бысть тако.
01011900b8	И сотвори Бог звери земли по роду, и скоты по роду их, и вся гады земли по роду их. И виде Бог, яко добра.
01011a0150	И рече Бог: сотворим человека по образу Нашему и по подобию, и да обладает рыбами морскими, и птицами небесными, (и зверми) и скотами, и всею землею, и всеми гады пресмыкающимися по земли.
01011b0088	И сотвори Бог человека, по образу Божию сотвори его: мужа и жену сотвори их.
01011c0194	И благослови их Бог, глаголя: раститеся и множитеся, и наполните землю, и господствуйте ею, и обладайте рыбами морскими, (и зверми) и птицами небесными, и всеми скотами, и всею землею, и всеми гадами пресмыкающимися по земли.
01011d011c	И рече Бог: се, дах вам всякую траву семенную сеющую семя, еже есть верху земли всея: и всякое древо, еже имать в себе плод семене семеннаго, вам будет в снедь:
01011e011e	и всем зверем земным, и всем птицам небесным, и всякому гаду пресмыкающемуся по земли, иже имать в себе душу живота, и всяку траву зелену в снедь. И бысть тако.
01011f009b	И виде Бог вся, елика сотвори: и се добра зело. И бысть вечер, и бысть утро, день шестый.
0102010054	И совершишася небо и земля, и все украшение их.
01020200b8	И соверши Бог в день шестый дела Своя, яже сотвори: и почи в день седмый от всех дел Своих, яже сотвори.
01020300b1	И благослови Бог день седмый, и освяти его: яко в той почи от всех дел Своих, яже начат Бог творити.
01020400a1	Сия книга бытия небесе и земли, егда бысть, в оньже день сотвори Господь Бог небо и землю,
010205011a	и всякий злак селный, прежде даже быти на земли, и всякую траву селную, прежде даже прозябнути: не бо одожди Господь Бог на землю, и человек не бяше делати ю:
0102060066	источник же исхождаше из земли и напаяше все лице земли.
