2800000007	Matthew
2801010067	Isinduna thamliba asi David amadi Abraham-gi charon suron oiriba Jisu Christtagi pari purigi maramdani.
2801020064	Abraham-na Isaac pok-i, Isaac-na Jacob pok-i, Jacob-na Judah amasung mahakki machin manaosing pok-i.
280103007d	Aduga Judah-na Perez amasung Zerah pok-i, amasung Tamar-na makhoigi mamani. Aduga Perez-na Hezron pok-i, Hezron-na Ram pok-i.
2801040052	Aduga Ram-na Amminadab pok-i, Amminadab-na Nahshon pok-i, Nahshon-na Salmon pok-i.
2801050067	Salmon-na Rahab louduna Boaz pok-i. Aduga Boaz-na Ruth louduna Obed pok-i. Adudagi Obed-na Jesse pok-i.
280106005f	Jesse-na David ningthou pok-i; aduga David-na Uriah-na louramba nupi adu louduna Solomon pok-i.
280107004f	Aduga Solomon-na Rehoboam pok-i, Rehoboam-na Abijah pok-i, Abijah-na Asa pok-i.
2801080056	Aduga Asa-na Jehoshaphat pok-i, Jehoshaphat-na Jehoram pok-i. Jehoram-na Uzziah pok-i.
280109004b	Aduga Uzziah-na Jotham pok-i, Jotham-na Ahaz pok-i, Ahaz-na Hezekiah pok-i.
28010a004f	Aduga Hezekiah-na Manasseh pok-i, Manasseh-na Amon pok-i, Amon-na Josiah pok-i.
28010b0074	Aduga makhoibu Babylon-da lanpha oina puba matam aduwaida Josiah-na Jeconiah amasung mahakki machin-manaosing pok-i.
28010c0076	Adudagi makhoibu Babylon-da lanpha oina pukhraba matungda, Jeconiah-na Shealtiel pok-i, Shealtiel-na Zerubbabel pok-i.
28010d004f	Aduga Zerubbabel-na Abiud pok-i, Abiud-na Eliakim pok-i, Eliakim-na Azor pok-i.
28010e0043	Aduga Azor-na Zadok pok-i, Zadokna Akim pok-i, Akim-na Eliud pok-i.
28010f004f	Aduga Eliud-na Eleazar pok-i, Eleazar-na Matthan pok-i, Matthan-na Jacob pok-i.
2801100054	Aduga Jacob-na Mary-gi mapuroiba Joseph pok-i. Mary-na Christta kouba Jisu-bu pok-i.
28011100f8	Asumna Abrahamda-gi houraga David phaobagi miron pumnamak asi taramarini. Aduga David-tagi houraga makhoibu Babylon-da lanpha oina pukhiba phaoba miron taramarini. Aduga Babylon-da lanpha oina pukhibadagi Christta pokpa phaoba adu miron taramarini.
28011200bf	Jisu Christta asi matou asumna pokkhi. Ibungogi mama Mary asi Joseph-ka luhongnabagi waroinaraga, makhoi ani leiminadringeigi mamangda mahak Thawai Asengbagi mapanna mironle haiba khanglakle.
28011300b9	Adubu Joseph achumba chatpa mi ama oiba maramna, Marybu miyam mangda phongdoktuna ikai phiruk khumhanninglamde. Maram aduna mahakna mana-manin naidana Mary-bu thadoklage haina leplammi.
28011400e9	Aduga mahakna asumna khallingeida, yeng-u, Mapu Ibungogi dut amana mamangda uhanbiduna asumna hairak-i, “He David-ki macha Joseph, Mary-bu nahakki nupi oina loubada kiganu, Maramdi mahakna naopuriba angang adu Thawai Asengbadagini.
280115008f	Aduga mahakna machanupa ama pokkani, nahakna mahakki maming Jisu thon-gadabani. Maramdi mahakna mahakki misingbu makhoigi paptagi kanbigani.”
280116007e	Mapu Ibungona Tengban Mapugi wa phongdokpa maichousinggi mapanna phongdokpikhiba wasing adu thungnanaba pumnamak asi thoklare,
28011700ad	“Yeng-u, leisabi asengbi amana mironduna machanupa ama pokkani, aduga mahakki maming Immanuel kougani, masigi wahanthokti ‘Eikhoiga leiminaba Tengban Mapu’ haibani.”
2801180084	Aduga Joseph-na tumlambadagi hougatlaga, Mapu Ibungogi dut aduna piramba yathang adugi matung inna mahakna Mary-bu luhongduna loure.
280119007c	Adubu Mary-na machanupa adu poktriba phaoba Joseph-na mahakka phidinnaramde. Aduga mahakna angang adugi maming Jisu thonkhi.
2802010095	Herod Ningthougi haktakta, Judea-gi Bethlehem-da Jisu poklaba matungda, yeng-u, nongpoklomdagi khang-heiraba misingna Jerusalem-da laktuna hanglak-i,
28020200b9	“Jihudigi ningthou oina pokkhraba angang adu kadaida leibage? Maramdi nongpoklomda Ibungo mahakki thawanmichak thokpa eikhoina ure. Aduna eikhoina Ibungobu khurumjaba lakcharibani.”
2802030076	Madu tabada Herod ningthou wakhal yamna langtaknarammi aduga Jerusalem-da leiriba mi pumnamaksu wakhal langtaknarammi.
280204008f	Adudagi mahakna athoiba purohitsing amasung Wayel Yathanggi ojasing pumnamak kouraduna Christta pokkadaba mapham adu kadaidano haina hanglammi.
2802050085	Maduda makhoina mangonda khumlak-i; “Judea-gi Bethlehem-da pokkani. Maramdi Tengban Mapugi wa phongdokpiba maichouna asumna haikhi:
28020600b1	‘Judea-gi lamda leiba Bethlehem, nahakti Judah-gi leingakpasinggi maraktagi hanthaba natte; maramdi nangondagi eigi mi Israel-bu chingbigadaba leingakpa ama thoklakkani.’”
2802070086	Maduda Herod-na khang-heiraba mising adubu lonna kouraduna karamba matamda thawanmichak adu thokkhibage haibadu makhoidagi khangdokle.
28020800da	Adudagi mahakna makhoibu Bethlehem-da tharaduna hairak-i, “Nakhoina chattuna, pikliba angang adubu cheksinna thiyu; aduga nakhoina mahakpu hek phangbaga eihaknasu laktuna mahakpu khurumjanaba eingonda pao pirak-u.”
28020900e0	Makhoina ningthougi wa adu taraba matungda mapham adu thadoktuna chatkhre. Amasung makhoina nongpoklomda ukhiba thawanmichak aduna angang aduna leiriba mapham aduphaoba laktuna leptriphaoba makhoigi mamang thaduna chatlammi.
28020a0047	Makhoina thawanmichak adu uba matamda hainingngai leitana haraojarammi.
28020b010c	Adudagi makhoina yum adugi manungda changlaklammi. Amasung makhoina pikliba angang aduna mama Mary-ga loinana leiramba adu ubada khuru-khudak kunduna Ibungobu khurumjare. Aduga makhoina sana, kunduru amadi myrrh-gi khudonpot adu louthokchaduna Ibungoda khudol tamjare.
28020c00a2	Adudagi Tengban Mapuna makhoida Herod-ki manakta amuk halluraganu haina mamang amada khanghanbirabada makhoina atoppa lambi amada chattuna mareibakta hankhirammi.
28020d012a	Amasung makhoina chatkhraba tungda, Mapu Ibungogi dut amana Joseph-ki mamangda uhanbiduna hairak-i, “Hougatlu, pikliba angang adu mamaga loinana puduna Egypt-ta chellu. Aduga eina nangonda amuk hallak-u haidriba phaoba mapham aduda leiyu. Maramdi Herod-na angang asibu hatnanaba thirakkadouri.”
28020e0062	Adudagi Joseph-na hougattuna ahing adumaktada angang adu mamaga loinana puraduna Egypt-ta chatkhi.
28020f00da	Aduga Herod-na sidriba phaoba makhoina mapham aduda leirammi. Masi Tengban Mapugi wa phongdokpiba maichousinggi mapanna Mapu Ibungona haikhiba “Eina eigi Ichanupabu Egypt-tagi kouthok-i” haiba wa adu thungnanabani.
2802100140	Herod-na khang-heiraba mising aduna mahakpu namthak toukhre haiba khanglaklabada mahak yamna saorammi. Aduga mahakna khang-heirabasing aduna hairamba thawanmichak adu thokkhiba matam adu yenglaga Bethlehem amasung madugi akoibada leiba chahi ani amasung chahi anigi makhada leiba nupamachasingbu hatnanaba yathang pikhi.
2802110057	Matou asumna Tengban Mapugi wa phongdokpiba maichou Jeremiah-na haikhiba adu thunglare.
28021200bb	“Takhi Ramah-da, khonjel ama, Hikna hikna kappagi amasung yamna kanna tengtha-naoibagi khonjel. Rachel-na machasinggidamak kappi; Yaramde mahakpu themjinba, maramdi makhoi leikhidre.”
280213005a	Herod-na siraba matungda, Egypt-ta Tengban Mapugi dut amana Joseph-ki mamangda uhanbiduna,
2802140098	hairak-i, “Hougatlu, pikliba angang adu mamaga loinana puraduna Israel leibakta hallo; maramdi angang adubu hatke hotnaramba makhoising adu sikhre.”
2802150061	Adudagi Joseph-na hougatlaga pikliba angang adu mamaga loinana puraduna Israel leibakta hallakle.
28021600d4	Adubu Judea-da Archelausna mapa Herod-ki mahutta palli haiba Joseph-na tarabada, mahakna mapham aduda chatpa kirammi. Adudagi mahakki mamangda Tengban Mapuna khanghanbiraba matungda Galilee-gi lamda chatkhirammi.
