2800000007	Matthew
2801010051	The book of the generation of Jesus Christ, the son of David, the son of Abraham.
2801020053	Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judah and his brothers;
280103005a	And Judah begat Phares and Zara from Thamar; and Phares begat Esrom; and Esrom begat Aram;
280104004e	and Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;
2801050053	and Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;
2801060062	and Jesse begat David the king; and David the king begat Solomon of her who was the wife of Uriah;
2801070044	and Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;
2801080045	and Asa begat Josaphat; and Josaphat begat Joram; Joram begat Hozias;
2801090044	Hozias begat Joatham; and Joatham begat Achaz; Achaz begat Hezekiah;
28010a004c	and Hezekiah begat Manasses; and Manasses begat Amon; and Amon begat Josiah;
28010b0048	and Josiah begat Jechonias and his brothers in the captivity of Babylon.
28010c005e	And after the captivity of Babylon, Jechonias begat Salathiel; and Salathiel begat Zorababbel;
28010d0048	Zorababbel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;
28010e0041	and Azor begat Sadoc; and Sadoc begat Acheim; Acheim begat Eliud;
28010f004c	and Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;
280110005c	and Jacob begat Joseph the husband of Mary, from whom Jesus, who is called Christ, was born.
28011100da	Therefore all the generations from Abraham unto David are fourteen generations; from David unto the captivity of Babylon are fourteen generations; and from the captivity of Babylon unto Christ are fourteen generations.
28011200a0	The birth of Jesus Christ was thus: His mother Mary, having been betrothed to Joseph, before they came together, was found having gestation from the Holy Ghost.
2801130075	And Joseph her husband, being righteous and not wishing to expose her publicly, determined to send her away secretly.
28011400d9	And he meditating on these things, behold an angel of the Lord appeared unto him in a dream, saying; Joseph, son of David, do not fear to receive Mary thy wife; for that which is begotten in her is of the Holy Spirit;
280115006d	she shall bring forth a son; and thou shalt call his name Jesus; for He will save His people from their sins.
280116007f	And all this took place in order that the Word, having been spoken by the Lord through the prophet, might be fulfilled, saying;
280117008a	Behold, the virgin shall have gestation and bring forth a son, and they will call his name Emmanuel, which is interpreted, God is with us.
2801180048	And Joseph rising from sleep did as the angel of the Lord commanded him;
280119006f	and he took his wife to himself, and did not know her until she brought forth a son, and called his name Jesus.
2802010086	Jesus having been born in Bethlehem of Judea in the days of Herod the king, behold, wise men from the east came into Jerusalem saying;
280202006f	Where is He that is born King of the Jews? for we have seen His star in the east, and have come to worship Him-
280203004a	And Herod the king having heard, was troubled, and all Jerusalem with him,
2802040069	and gathering together all the chief priests and scribes, inquired with them where Christ should be born.
280205005b	And they said unto him, In Bethlehem of Judea; for thus it has been written by the prophet;
28020600a7	And thou, Bethlehem, the land of Judea, art by no means the least among the princes of Judah; for out of thee shall come a leader, who will shepherd my people, Israel.
2802070063	Then Herod secretly calling the wise men, inquired with them the time of the appearing of the star,
28020800b3	and sending them to Bethlehem he said; Having gone search diligently for the young child; and when you may find Him, notify me, in order that I, having gone, may worship Him also.
28020900a3	And hearing the king they departed, and, behold, the star which they saw in the east went before them, until having come, it stood above where the young child was.
28020a003d	And seeing the star they rejoiced with exceedingly great joy.
28020b00cd	And having come into the house they saw the young child with Mary His mother, and having fallen down they worshiped Him, and opening their treasures they offered Him gifts, gold and frankincense and myrrh.
28020c006e	And having been warned in a dream not to return to Herod, they departed into their own country by another way.
28020d0117	And they having gone away, behold, the angel of the Lord appears in a dream to Joseph, saying; Having arisen, take the young child and His mother, and fly into Egypt; and be thou there until I may speak to thee; for Herod is about to seek the young child in order to destroy Him.
28020e0064	And having arisen, he took with him the young child and His mother by night and departed into Egypt;
28020f00b2	and was there until the death of Herod: in order that the Word, having been spoken by the Lord through the prophet, might be fulfilled, saying; Out of Egypt have I called my son.
28021000fd	Then Herod, seeing that he was mocked by the wise men, became exceedingly angry; and having sent forth, he slew all the boys in Bethlehem and in all its boundaries, from two years old and under, according to the time which he inquired with the wise men.
280211004f	Then the word having been spoken by Jeremiah the prophet was fulfilled, saying:
28021200a3	A voice was heard in Ramah, lamentation and weeping and great mourning; Rachel weeping for her children; and was not willing to be comforted, because they are not.
2802130063	And Herod having died, behold, the angel of the Lord appears to Joseph in Egypt in a dream, saying;
2802140098	Having arisen, take with you the young child and His mother, and depart into the land of Israel; for those seeking the life of the young child are dead.
2802150063	And having arisen he took with him the young child and His mother and came into the land of Israel.
28021600b4	And having heard that Archelaus reigns over Judea instead of Herod his father, he was afraid to depart thither; and being warned in a dream he departed into the regions of Galilee.
28021700a3	And having come, he went down into the city called Nazareth, in order that the words spoken by the prophets might be fulfilled, that He shall be called a Nazarene.
280301004b	In those days comes John the Baptist, preaching in the wilderness of Judea,
280302003d	saying, Repent ye, for the kingdom of the heavens is at hand.
28030300a4	This is the one, who is spoken of by Isaiah the prophet saying, The voice of one roaring in the wilderness; Prepare ye the way of the Lord; make straight His paths.
2803040084	And the same John had his raiment from camel's hair, and a leathern girdle about his loins; and his food was locusts and wild honey.
280305005a	Then Jerusalem and all Judea, and all the region about the Jordan, were coming out to him,
280306004a	and were being baptized by him in the river Jordan, confessing their sins.
28030700a5	And seeing many of the Pharisees and Sadducees coming to his baptism, he said unto them; O generations of vipers, who hath warned you to flee from the wrath to come?
2803080031	Therefore bring forth fruit worthy of repentance;
280309009a	and think not to say among yourselves; We have Abraham, our father; for I say unto you that God is able of these stones to raise up children unto Abraham.
