2800000007	MATHIƠ
280101003c	Xinoe da Jesus Christ, kon xau bùa Đawit, kon xau Apraham.
280102004c	Apraham baq da Ysac, Ysac baq da Jacôp, Jacôp baq da Juđa xam wì oh haq.
2801030063	Juđa baq da Pharê xam Sara, Thama aih miq wa haq. Pharê baq da Êch rôm, Êch rôm baq da Aram,
2801040050	Aram baq da Aminađap, Aminađap baq da Na-ach son, Na-ach son baq da Sanh môn.
2801050086	Sanh môn baq da Bô-ô, miq da haq aih Rahap, Bô-ô baq da Ôbet, miq da haq aih Ruto, Ôbet baq da Jêse, Jêse baq bùa da Đawit.
280106002d	Đawit baq da Salômôn, miq haq aih mai Uri.
2801070042	Salômôn baq da Rôbôam, Rôbôam baq da Abija, Abija baq da Asa
2801080043	Asa baq da Jôsaphat, Jôsaphat baq da Jôram, Jôram baq da Ôxia.
280109003f	Ôxia baq da Jôtam, Jôtam baq da Acha, Acha baq da Êxêchia.
28010a0042	Êxêchia baq da Manase, Manase baq da Amôn, Amôn baq da Jôsia.
28010b004b	Jôsia baq da Jêchônia xam wì oh haq, jò wì lam broq dìc ta Babilôn.
28010c0065	Jò khoe lam broq dìc ta Babilôn, Jêchônia baq da Sala thi-ên, Sala thi-ên baq da Xôrôbabên,
28010d0046	Xôrôbabên baq da Abi-ut, Abi-ut baq da Êliakim, Êliakim baq Axô.
28010e003e	Axô baq da Sađoc, Sađoc baq da Achim, Achim baq da Êli-ut,
28010f0049	Êli-ut baq da Êlê-axa, Êlê- axa baq da Mathan, Mathan baq da Jacôp.
2801100053	Jacôp baq da Jôsep, ŏng Mari. Mari mangai ma hauang Chuaq Jesus, aih raq Christ.
2801110107	Qmang aih, patep enh Apraham trùh Đawit, dìq dŏng jah moeq jàt pôn qnhòng; patep enh Đawit trùh jò lam broq dìc ta Babilôn hanoh jah moeq jàt pôn qnhòng; pang jò lam broq dìc ta Babilôn trùh Chuaq Jesus Christ, hadai jah moeq jàt pôn qnhòng.
28011200ac	Bìac ma hauang ka Chuaq Jesus aih rameh, Mari miq haq, khoe tèu bàu yŏc Jôsep, mahaq qnhòq acaq oe moeq qmang ti dabau, yàng aih haq khoe hadràp enh Yeang Hadròeh.
2801130093	Jôsep ŏng haq aih mangai i manoh, ùh enh dôq haq pòq bàu qmèq, ta manoh haq khoe hèm ka cađac ma haq broq qmang leq ma ùh hìaq ta-uàng.
28011400ee	Mahaq, jò haq qnang hèm trùh trong aih, i moeq bình plình Chuaq trùh ti haq jò haq apô, doe ka haq: “Jôsep, kon xau Đawit, ìh apaq hòq ka yŏc Mari broq mai, ma jah qmang aih kon haq ma hadràp qmat trùh enh Yeang Hadròeh.
280115008b	Haq aih èh ma hauang loh moeq ngai kon calô, ìh yiniq am ka haq Jesus. Kon calô aih èh ma jah dèch dèh mangai loh khoe ka yiniq lui.
2801160068	Rìm yiniq khoe loh qmang aih dôq xìt troeq bàu Boc plình ma thê ƀài mangai pajàu haq khoe anoe:
280117009a	“Kô oq, i mòeq ngai adrùh sriu chìuq hadràp, èh ha-uang mòeq ngai kon calô, Khoe aih wì yiniq ka haq Imanuli” (aih la Boc plình oe ti bèn).
2801180070	Jò Jôsep khoe cadrat enh kùi, haq broq tiaq bàu ƀình plình Chuaq ma khoe thê, ahlài Mari broq dèh mai.
280119006a	Mahaq ùh kùi oe ti da bau trùh jò Mari ha-uang mòeq ngai kon calô, haq hi yiniq ka kon aih la Jesus.
280201008e	Jò Chuaq Jesus khoe ha-uang ta Bêtlêhem, gùng Juđê, qnhòng aih Hêrôt broq bùa, ƀài ƀŏcsi oe gùng mahì loh, trùh ta Jêrusalem
28020200a7	bòch rameh: Bùa da mangai Juđa ma neo ha-uang oe taleq? Nhèn khoe hnoq halŏng Haq oe pah gùng mat mahì loh, kô ìq nhèn majah khoe trùh đòeq kùh waiq haq.
2802030052	Tàng bàu aih bùa Hêrôt xam dìq mangai oe ta Jêrusalem dìq jaq crè hamàih
2802040070	Bùa creo ka ƀài broq cla craq pajàu xam mangai hnài ranenh ta aih, haq bòch: Christ kô ìq ha-uang taleq?
280205005f	Wì padreo bàu: Oe ta bêtlêhem gùng Juđê majah qmang aih khoe i bàu pajàu achìh rameh:
28020600d9	“Ìh, Bêtlêhem, gùng Juđê. Joq qnàng ìh ùh i yeo hamoq ka ƀài plài ma kàn ta gùng Juđê, Majah qmang aih, enh ìh kô èh loh mòeq ngai broq Cla craq. Haq aih ma wèq ban Isorali, aih mangai da au.”
2802070052	Bùa Hêrôt creo atùng ka ƀài ƀŏcsi, bòch panhìn halŏng khoe loh jò leq.
28020800bd	Khoe èh bùa thê wì aih lam ta Bêtlêhem, rai tanap: Pì drah lam beq, taƀoe chaq kon qyoh aih ma ro haq, jò pì khoe hnoq, patìn ka au loq diq, dôq au hadai trùh hu kùh waiq haq.
280209009d	Khoe ka ƀàu bùa thê, wì loh lam. Hatau, halŏng wì haq ma khoe hnoq enh gùng mat mahì loh, lam adroe ka wì haq trùh nòe kon qyoh oe men waq yòng.
28020a002a	Wì aih hnoq halŏng, manè oe i jaq cleq.
28020b00c2	Jò khoe mùt ta hnem, hnoq kon qyoh xam Mari miq haq, tajòe qmòe wì haq hacùn cràng ta haqneq đòeq kùh waiq. Khoe aih qnoh deh hang canaq dèch am ka haq: Wang, gahnàu, dàu xua thùm.
28020c0080	Khoe aih, jò apô Boc plình doe ka wì haq apaq wìh hlài dèh ta Hêrôt, wì aih hi tawìh trong qnoeq hu bròc dèh gùng.
28020d0117	Jò wì aih khoe lam, i moeq bình plình da Chuaq trùh ti Jôsep, jò haq apô, doe rameh: “Drah yòng beq, qnung kon qyoh qmat hloe xam miq haq lam amot ta diac Êdip, oe ta aih trùh jò leq au creo ka ìh, majah qmang aih kô èh bùa Hêrôt chaq jêh đac kon qyoh qmat.
28020e0049	Jôsep drah yòng, jò oe raq damang, qnung wa miq kon lam ta diac Êdip.
28020f00a0	Haq oe ta gùng aih trùh jò Hêrôt cachìt, dôq xìt ka bàu Chuaq ma khoe thê dèh ƀài pajàu tapoch: “Au khoe creo dèh ka kon loh enh diac Êdip.”
2802100104	Bùa Hêrôt hnoq ƀài ƀŏcsi khoe qnùt rađeh, haq nòeh pi ka jaq, haq thê jêh ka cachìt dŏng qyoh calô pang baiq hanam dang loh oe ta Bêtlêhem hloe xam dìq dŏng ka kon qyoh ta cròng aih. Tiaq troq hì troq khê ƀài ƀŏcsi ma khoe am haq loq.
2802110048	Qmang aih, khoe xìt troeq bàu Jêrêmi pajàu Boc Plình ma khoe anoe:
28021200a5	“Wì tàng bàu breo, cajiah. Ta-oeh, hmoe tagùng Rama Aih bàu Rachen hmoe dèh ka wì kon Mahaq ùh dôq cabô alòng rađeh, majah qmang aih wì haq khoe pi i.
280213007d	Mahaq khoe ka bùa Hêrôt cachìt, i moeq bình plình Chuaq trùh ti Jôsep jò haq apô, jò oe ta diac Êdip, thê rameh:
2802140091	“Drah yòng beq, qnung kon qyoh hloe xam miq haq hlài tagùng Isorali, majah qmang aih mangai ma chaq jêh đac kon qyoh qmat khoe cachìt.”
2802150047	Jôsep drah yòng, qnung kon qyoh xam miq haq wìh hlài gùng Isorali.
