2800000007	Matthew
2801010050	The book of the genealogy of Jesus Christ, the son of David, the son of Abraham.
2801020053	Abraham begat Isaac, and Isaac begat Jacob, and Jacob begat Judah and his brethren;
2801030040	and Judah had Phares and Zara by Thamar; and Phares begat Esrom,
2801040064	and Esrom begat Aram, and Aram begat Aminadab, and Aminadab begat Naasson, and Naasson begat Salmon,
2801050038	and Salmon had Booz by Rahab, and Booz had Obed by Ruth,
2801060072	and Obed begat Jesse, and Jesse begat David the king, and David had Solomon by her who had been the wife of Uriah.
2801070030	And Solomon begat Roboam, and Roboam begat Abia,
2801080045	and Abia begat Asa, and Asa begat Josaphat, and Josaphat begat Joram,
2801090060	and Joram begat Ozias, and Ozias begat Joatham, and Joatham begat Ahaz, and Ahaz begat Ezechias,
28010a0035	and Ezechias begat Manasses, and Manasses begat Amon,
28010b0091	and Amon begat Josias, and Josias begat Jakim, and Jakim begat Jechonias and his brethren, about the time of their being carried away to Babylon.
28010c003e	And after the captivity of Babylon, Jechonias begat Salathiel,
28010d006a	and Salathiel begat Zorobabel, and Zorobabel begat Abiud, and Abiud begat Eliakim, and Eliakim begat Azor,
28010e002c	and Azor begat Sadok, and Sadok begat Achim,
28010f0063	and Achim begat Eliud, and Eliud begat Eleazar, and Eleazar begat Matthan, and Matthan begat Jacob,
2801100058	and Jacob begat Joseph the husband of Mary, of whom was born Jesus who is called Christ.
28011100d6	All the generations therefore from Abraham to David are fourteen generations: and from David until the captivity of Babylon fourteen generations: and from the Babylonish captivity unto Christ, fourteen generations.
28011200aa	Now the birth of Jesus Christ was in wise: when Mary his mother was promised in marriage to Joseph, before they came together, she was found with child by the Holy Ghost:
280113008c	but Joseph her husband, being a just man, and not willing publicly to expose her, was inclined to break off the contract with her privately;
28011400ec	and when he was thinking on these things, behold an angel of the Lord appeared to him in a dream, saying, Joseph thou Son of David, scruple not to take unto thee Mary thy wife; for that which is conceived in her is from the Holy Spirit.
2801150072	And she shall bring forth a son, and thou shalt call his name Jesus, for he shall save his people from their sins.
2801160064	(Now all this came to pass, that it might be fulfilled, which the Lord spake by the prophet, saying,
280117006e	"Behold a virgin shall conceive and bear a son, and they shall call his name Emmanuel," which is God with us.)
280118006b	So Joseph, when he awoke from his sleep, did as the angel of the Lord directed him, and took home his wife:
2801190061	and he knew her not, till she brought forth her Son the first-born, and he called his name Jesus.
2802010089	Now when Jesus was born in Bethlehem of Judea, in the days of king Herod, behold, there came certain wise men from the east to Jerusalem,
280202007b	saying, Where is the king of the Jews that is born here? for we have seen his star in the east and are come to worship Him.
280203004e	And when Herod the king heard it, he was troubled, and all Jerusalem with him:
28020400ad	and having summoned together all the chief priests and scribes of the people, he enquired of them where the Messiah was to be born: and they told him, at Bethlehem in Judea;
2802050026	for thus it is written by the prophet,
28020600b1	"And thou Bethlehem in the land of Juda art not the meanest among the cities of the princes of Juda; for out of thee shall come forth a ruler, that shall feed my people Israel."
280207006f	Then Herod called the wise men to him privately, and inquired of them exactly the time of the star's appearing:
28020800a1	and sending them to Bethlehem, he said, Go and make diligent search for the child, and when ye have found Him, let me know, that I also may come and worship Him.
28020900a6	When they had heard the king, they went: and lo, the star, which they saw in the east, went on before them, till it came and stood over the place where the child was.
28020a0043	And when they saw the star, they rejoiced with exceeding great joy;
28020b00d3	and coming into the house, they found the child with Mary his mother, and they fell down and worshipped Him: and when they had opened their treasures, they brought Him presents, of gold, frankincense, and myrrh.
28020c006d	And being warned of God in a dream not to return to Herod, they went back into their own country another way.
28020d00fd	And when they were departed, behold an angel of the Lord appeareth to Joseph in a dream, saying, Rise and take the child and his mother, and flee into Egypt, and continue there, untill I tell thee to return: for Herod will seek the child to destroy Him.
28020e0052	And he arose and took the child and his mother by night, and went away into Egypt:
28020f0097	and stayed there till the death of Herod: that it might be fulfilled which the Lord spake by the prophet, saying, " Out of Egypt have I called my Son."
2802100107	Then Herod, when he saw that he was baffled by the wise-men, was very much enraged; and he sent and slew all the male-children in Bethlehem, and in all its borders, from two years old and under, according to the time which he had exactly inquired of the wise-men.
2802110041	Then was fulfilled that which was spoken by Jeremias the prophet,
28021200a7	saying, In Rama was there a voice heard, lamentation, and weeping, and great mourning, Rachel bewailing her children, and would not be comforted, because they are not.
280213005e	But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt,
2802140082	saying, Arise and take the child and his mother, and go into the land of Israel: for they, that sought the child's life, are dead.
2802150052	And he arose, and took the child and his mother, and came into the land of Israel:
28021600c2	but when he heard that Archelaus reigned over Judea in the room of Herod his father, he was afraid to go thither; however being warned of God in a dream, he retired into the district of Galilee.
280217008c	And he came and dwelt in a city called Nazareth, that it might be fulfilled which was spoken by the prophets, He shall be called a Nazarene.
280301004e	Now in those days came John the baptist preaching in the desert part of Judea,
2803020039	and saying, Repent, for the kingdom of heaven is at hand:
28030300a1	for this is He who was spoken of by Esaias the prophet, saying, The voice of one crying in the desert, "Prepare ye the way of the Lord, make his paths straight."
280304007d	And this John had his clothes of camels hair, and a leathern girdle about his loins, and his food was locusts and wild honey.
2803050051	Then went, out to him Jerusalem, and all Judea, and all the country about Jordan,
280306003f	and they were baptized by him in Jordan, confessing their sins.
28030700a9	But when he saw many of the pharisees and sadducees coming to his baptism, he said unto them, O generation of vipers, who hath warned you to flee from the wrath to come?
2803080054	Bring forth therefore fruits becoming: penitents: and do not say within your selves,
2803090073	"We have Abraham for our father:" for I tell you, that God is able of these stones to raise up children to Abraham.
28030a0089	And now the ax is laid to the root of the trees; every tree therefore, which yieldeth not good fruit, is cut down and cast into the fire.
28030b00c0	I indeed baptize you with water unto repentance; but He that cometh after me, is mightier than I, whose shoes I am not worthy to carry: He shall baptize you with the holy Spirit and with fire.
28030c009d	Whose fan is in his hand, and He will thoroughly cleanse his floor, and gather the wheat into his granary, but will burn up the chaff with unquenchable fire.
28030d0068	Then cometh Jesus from Galilee to Jordan unto John, to be baptized by him: but John refused Him, saying,
28030e003a	I have need to be baptized by thee, and comest thou to me?
28030f0066	And Jesus answering said unto him, Permit it now; for thus it becometh us to fulfil all righteousness.
28031000cb	Then he permitted Him. And Jesus as soon as He was baptized came up from the water; and behold, the heavens were opened unto Him, and he saw the Spirit of God descending like a dove, and coming upon Him:
2803110057	and lo, a voice from heaven, saying, This is my beloved Son, in whom I am well pleased.
2804010051	Then was Jesus led by the spirit into the wilderness, to be tempted by the devil:
280402004f	and when He had fasted forty days and forty nights, at last He was very hungry.
2804030067	And the tempter came to Him and said, If thou art the Son of God, command these stones to become bread:
2804040080	but He answered and said, It is written, "Man shall not live upon bread only, but on whatever proceedeth from the mouth of God."
2804050056	Then the devil taketh Him into the holy city, and setteth Him on a wing of the temple,
28040600f3	and saith unto Him, If thou art the Son of God, cast thyself down; for it is written, He will give his angels charge concerning thee, and they shall bear thee up as in their hands, least at any time thou shouldst dash thy foot against a stone:
2804070053	but Jesus said unto him, it is also written, Thou shalt not tempt the Lord thy God.
2804080079	Again the devil taketh Him to a very high mountain, and sheweth Him all the kingdoms of the world, and the glory of them;
280409005d	and saith unto Him, All these things will I give thee, if thou wilt fall down and worship me:
28040a0062	then Jesus saith unto him, Be gone, Satan; for it is written, Thou shalt worship the Lord thy God,
28040b0060	and Him only shalt thou serve. Then the devil left Him, and behold angels came and attended Him.
28040c0048	Now when Jesus heard that John was imprisoned, He departed into Galilee:
28040d006e	and leaving Nazareth He came and dwelt in Capernaum a maritime town, on the borders of Zabulon and Nephthalim:
28040e0060	that it might be fulfilled which was spoken by Esaias the prophet, saying, "The land of Zabulon,
28040f0026	and Nephthalim, by the way of the sea,
28041000a7	about Jordan, Galilee of the gentiles, the people that sat in darkness, saw a great light, and to them, who sat in the region and shadow of death, light is sprung up."
280411005f	From that time Jesus began to preach, and to say, Repent, for the kingdom of heaven is at hand.
28041200a7	Now as Jesus was walking by the sea of Galilee, He saw two brethren, Simon called Peter, and Andrew his brother, casting a net into the sea; (for they were fishermen:)
2804130049	and He saith unto them, Come with me, and I will make you fishers of men:
2804140037	and they immediately left their nets, and followed Him.
280415009c	And going on from thence He saw two other brethren, James the son of Zebedee, and John his brother, in a ship with Zebedee their father, mending their nets;
2804160060	and He called them also; and they immediately left the ship, and their father, and followed Him.
28041700b1	And Jesus went through all Galilee, teaching in their synagogues, and preaching the gospel of the kingdom of heaven, and healing every disease and every malady among the people.
28041800e4	And his fame spread abroad into all Syria; and they brought unto Him all their sick, that laboured under various diseases and torments; even those who were possessed with devils, and lunatics, and paralytics; and he healed them:
280419007e	and great multitudes of people followed Him from Galilee, and Decapolis, and Jerusalem, and Judea, yea and from beyond Jordan.
2805010068	And seeing the multitudes He went up to a mountain, and when He was set down, His disciples came to Him,
2805020030	and He opened his mouth and taught them, saying,
2805030044	Blessed are the poor in spirit; for theirs is the kingdom of heaven.
2805040039	Blessed are they that mourn; for they shall be comforted.
2805050037	Blessed are the meek; for they shall inherit the earth.
2805060059	Blessed are they that hunger and thirst after righteousness; for they shall be satisfied.
2805070036	Blessed are the merciful; for they shall obtain mercy.
2805080036	Blessed are the pure in heart; for they shall see God.
280509004b	Blessed are the peace-makers; for they shall be called the children of God.
28050a0061	Blessed are they, who are persecuted for righteousness sake; for theirs is the kingdom of heaven.
28050b0079	Blessed are ye when men shall revile and persecute you, and utter all manner of reproach against you falsly, for my sake:
28050c0082	rejoice and be exceeding glad; for great will be your reward in heaven: for so they persecuted the prophets, that were before you.
28050d00b9	Ye are the salt of the earth, but if the salt be grown insipid, wherewith shall it be seasoned? it is no longer fit for any thing, but to be thrown out of doors, and trodden under foot.
28050e0051	Ye are the light of the world: a city, that is situated on a hill, cannot be hid.
28050f0078	Nor do men light a candle, to put it under a bushel, but on a candlestick: and then it giveth light to all in the house.
2805100071	So let your light shine before men, that they may see your good works, and glorify your father, who is in heaven.
280511006e	Think not that I am come to abrogate the law, or the prophets: I am not come to abolish, but to compleat them:
2805120087	for verily I say unto you, Till heaven and earth pass away, not one jot nor one tittle shall pass from the law, till all be compleated.
2805130103	Whosoever therefore shall break one of the left of these commandments, and thereby teach men so to do, he shall be esteemed very little in the kingdom of heaven: but whoever shall do as well as teach them, he shall be accounted great in the kingdom of heaven.
2805140087	For I tell you, that unless your righteousness exceed that of the scribes and pharisees, ye shall not enter into the kingdom of heaven.
2805150087	Ye have heard, that it was said to the ancients, Thou shalt not kill; and whosoever committeth murder, shall be liable to the judgment:
