0100000008	Postanak
0101010024	U početku stvori Bog nebo i zemlju.
0101020061	Zemlja bijaše pusta i prazna; tama se prostirala nad bezdanom i Duh Božji lebdio je nad vodama.
0101030037	I reče Bog: “Neka bude svjetlost!” I bi svjetlost.
0101040043	I vidje Bog da je svjetlost dobra; i rastavi Bog svjetlost od tame.
0101050054	Svjetlost prozva Bog dan, a tamu prozva noć. Tako bude večer, pa jutro - dan prvi.
0101060050	I reče Bog: “Neka bude svod posred voda da dijeli vode od voda!” I bi tako.
010107003e	Bog načini svod i vode pod svodom odijeli od voda nad svodom.
010108003f	A svod prozva Bog nebo. Tako bude večer, pa jutro - dan drugi.
0101090063	I reče Bog: “Vode pod nebom neka se skupe na jedno mjesto i neka se pokaže kopno!” I bi tako.
01010a0048	Kopno prozva Bog zemlja, a skupljene vode mora. I vidje Bog da je dobro.
01010b00b8	I reče Bog: “Neka proklija zemlja zelenilom - travom sjemenitom, stablima plodonosnim, koja, svako prema svojoj vrsti, na zemlji donose plod što u sebi nosi svoje sjeme. I bi tako.
01010c00b7	I nikne iz zemlje zelena trava što se sjemeni, svaka prema svojoj vrsti, i stabla koja rode plodovima što u sebi nose svoje sjeme, svako prema svojoj vrsti. I vidje Bog da je dobro.
01010d0028	Tako bude večer, pa jutro - dan treći.
01010e0079	I reče Bog: “Neka budu svjetlila na svodu nebeskom da luče dan od noći, da budu znaci blagdanima, danima i godinama,
01010f0046	i neka svijetle na svodu nebeskom i rasvjetljuju zemlju!” I bi tako.
010110005d	I načini Bog dva velika svjetlila - veće da vlada danom, manje da vlada noću - i zvijezde.
0101110038	I Bog ih postavi na svod nebeski da rasvjetljuju zemlju,
0101120055	da vladaju danom i noću i da rastavljaju svjetlost od tame. I vidje Bog da je dobro.
010113002a	Tako bude večer, pa jutro - dan četvrti.
0101140078	I reče Bog: “Nek' povrvi vodom vreva živih stvorova, i ptice nek' polete nad zemljom, svodom nebeskim!” I bi tako.
0101150083	Stvori Bog morske grdosije i svakovrsne žive stvorove što mile i vrve vodom i ptice krilate svake vrste. I vidje Bog da je dobro.
0101160072	I blagoslovi ih govoreći: “Plodite se i množite i napunite vode morske! I ptice neka se namnože na zemlji!”
0101170026	Tako bude večer, pa jutro - dan peti.
