0100000007	Genèse
0101010032	Au commencement, Dieu créa les cieux et la terre.
010102008c	La terre était informe et vide: il y avait des ténèbres à la surface de l’abîme, et l’esprit de Dieu se mouvait au-dessus des eaux.
0101030033	Dieu dit: Que la lumière soit! Et la lumière fut.
010104005b	Dieu vit que la lumière était bonne; et Dieu sépara la lumière d’avec les ténèbres.
0101050086	Dieu appela la lumière jour, et il appela les ténèbres nuit. Ainsi, il y eut un soir, et il y eut un matin: ce fut le premier jour.
0101060065	Dieu dit: Qu’il y ait une étendue entre les eaux, et qu’elle sépare les eaux d’avec les eaux.
010107009d	Et Dieu fit l’étendue, et il sépara les eaux qui sont au-dessous de l’étendue d’avec les eaux qui sont au-dessus de l’étendue. Et cela fut ainsi.
0101080064	Dieu appela l’étendue ciel. Ainsi, il y eut un soir, et il y eut un matin: ce fut le second jour.
010109007d	Dieu dit: Que les eaux qui sont au-dessous du ciel se rassemblent en un seul lieu, et que le sec paraisse. Et cela fut ainsi.
01010a005c	Dieu appela le sec terre, et il appela l’amas des eaux mers. Dieu vit que cela était bon.
01010b00ce	Puis Dieu dit: Que la terre produise de la verdure, de l’herbe portant de la semence, des arbres fruitiers donnant du fruit selon leur espèce et ayant en eux leur semence sur la terre. Et cela fut ainsi.
01010c00c5	La terre produisit de la verdure, de l’herbe portant de la semence selon son espèce, et des arbres donnant du fruit et ayant en eux leur semence selon leur espèce. Dieu vit que cela était bon.
01010d0049	Ainsi, il y eut un soir, et il y eut un matin: ce fut le troisième jour.
01010e00b7	Dieu dit: Qu’il y ait des luminaires dans l’étendue du ciel, pour séparer le jour d’avec la nuit; que ce soient des signes pour marquer les époques, les jours et les années;
01010f0068	et qu’ils servent de luminaires dans l’étendue du ciel, pour éclairer la terre. Et cela fut ainsi.
01011000a5	Dieu fit les deux grands luminaires, le plus grand luminaire pour présider au jour, et le plus petit luminaire pour présider à la nuit; il fit aussi les étoiles.
0101110043	Dieu les plaça dans l’étendue du ciel, pour éclairer la terre,
0101120079	pour présider au jour et à la nuit, et pour séparer la lumière d’avec les ténèbres. Dieu vit que cela était bon.
0101130049	Ainsi, il y eut un soir, et il y eut un matin: ce fut le quatrième jour.
