2800000008	מתיו
280101008b	לפניכם ספר קורות חייו של ישוע המשיח, אשר מוצאו מיוחס לדוד המלך ולאברהם אבינו:
280102008c	אברהם היה אביו של יצחק; יצחק היה אביו של יעקב; יעקב היה אביהם של יהודה ואֶחָיו;
280103009b	יהודה היה אביהם של פרץ וזרח (אמם הייתה תמר); פרץ היה אביו של חצרון; חצרון היה אביו של רם;
2801040081	רם היה אביו של עמינדב; עמינדב היה אביו של נחשון; נחשון היה אביו של שלמון;
28010500ad	שלמון היה אביו של בועז (אמו הייתה רחב); בועז היה אביו של עובד (אמו הייתה רות); עובד היה אביו של ישי;
280106008c	ישי היה אביו של דוד המלך; דוד היה אביו של שלמה (אמו הייתה אלמנתו של אוריה החתי).
2801070079	שלמה היה אביו של רחבעם; רחבעם היה אביו של אביה; אביה היה אביו של אסא;
280108007f	אסא היה אביו של יהושפט; יהושפט היה אביו של יורם; יורם היה אביו של עוזיה;
2801090077	עוזיה היה אביו של יותם; יותם היה אביו של אחז; אחז היה אביו של חזקיה;
28010a007b	חזקיה היה אביו של מנשה; מנשה היה אביו של אמון; אמון היה אביו של יאשיה;
28010b0060	יאשיה היה אביהם של יכניה ואחיו (שנולדו בזמן גלות בבל).
28010c007f	לאחר הגלות לבבל: יכניה היה אביו של שאלתיאל; שאלתיאל היה אביו של זרובבל;
28010d008b	זרובבל היה אביו של אביהוד; אביהוד היה אביו של אליקים; אליקים היה אביו של עזור;
28010e007b	עזור היה אביו של צדוק; צדוק היה אביו של יכין; יכין היה אביו של אליהוד;
28010f007b	אליהוד היה אביו של אלעזר; אלעזר היה אביו של מתן; מתן היה אביו של יעקב;
280110006a	יעקב היה אביו של יוסף (שהיה בעלה של מרים, אמו של ישוע המשיח).
28011100f0	אם כן, ארבעה־עשר דורות חלפו מאברהם אבינו ועד דוד המלך, ארבעה־עשר דורות מאז דוד המלך ועד גלות בבל וארבעה־עשר דורות מגלות בבל עד המשיח.
28011200b4	זהו סיפור הולדתו של ישוע המשיח: אמו מרים הייתה מאורסת ליוסף, אולם עוד כשהייתה בתולה הרתה מרוח הקודש.
28011300d4	יוסף ארוסה, שהיה איש ישר וערכי, החליט משום כך לבטל את האירוסין, אולם בחר לעשות זאת בסתר, כי לא רצה לבייש את מרים בציבור.
28011400ea	לאחר שהחליט יוסף לגרש את מרים נגלה אליו בחלום מלאך ה׳ ואמר:”יוסף בן־דוד, אל תהסס להתחתן עם מרים, כי התינוק שבבטנה נוצר מרוח הקודש!
2801150095	מרים תלד בן, ועליך לקרוא לו’ישוע‘(כלומר, מושיע), כי הוא יושיע את בני־עמו מחטאיהם.“
2801160060	לידתו של ישוע קיימה את מה שאמר אלוהים באמצאות נביאיו:
2801170052	”הנה העלמה הרה ויולדת בן, וקראת שמו עמנו אל.“
280118006a	כשיוסף התעורר, הוא עשה מה שציווה עליו המלאך והתחתן עם מרים.
2801190065	אולם מרים נשארה בתולה עד שנולד בנה, ויוסף קרא לו”ישוע“.
28020100f8	ישוע נולד בעיר בית־לחם שבאזור יהודה, בימי המלך הורדוס. זמן קצר לאחר לידתו, הופיעו בירושלים מספר חוזי־כוכבים שבאו מארץ רחוקה במזרח, ושאלו:
2802020090	”היכן התינוק שנועד להיות מלך היהודים? ראינו את כוכבו במזרח ובאנו להשתחוות לו.“
2802030062	הורדוס נבהל מאוד משאלתם, וכמוהו נבהלו כל אנשי ירושלים.
2802040090	הוא כינס את מנהיגי היהודים ושאל אותם:”האם אמרו לנו הנביאים היכן ייוולד המשיח?“
2802050048	ענו לו:”כן, בבית לחם. הרי מיכה הנביא אמר:
28020600a7	’ואתה, בית־לחם בארץ יהודה, אינך צעיר באלופי יהודה, כי ממך יצא מושל אשר ירעה את־עמי ישראל‘. “
2802070099	הורדוס הזמין את חוזי־הכוכבים לפגישה סודית, ושאל אותם מתי בדיוק ראו לראשונה את הכוכב.
28020800d8	לאחר מכן אמר להם:”לכו לבית־לחם וחפשו את הילד. כשתמצאו אותו, שובו אלי והודיעו לי זאת, כדי שאוכל גם אני ללכת להשתחוות לו.“
280209010a	לאחר הפגישה עם המלך יצאו חוזי־הכוכבים לדרך, ולפתע הכוכב שראו במזרח הופיע לנגד עיניהם. הם הלכו בעקבות הכוכב עד שנעמד בדיוק מעל המקום שבו היה התינוק.
28020a0017	הם שמחו מאוד.
28020b00f7	כשנכנסו חוזי־הכוכבים אל הבית שבו היה התינוק ומרים אמו, נפלו לפניו, השתחוו לו, ולאחר מכן פתחו את חבילותיהם ונתנו לו מתנות: זהב, לבונה ומור.
28020c00ad	בינתיים הזהיר אותם אלוהים בחלום שלא לחזור אל הורדוס, ומשום כך שבו חוזי־הכוכבים לארצם בדרך אחרת.
28020d00f5	לאחר שעזבו, נגלה מלאך ה׳ ליוסף בחלום ואמר:”קום, ברח למצרים עם התינוק ועם אמו, והישאר שם עד שאומר לך לחזור, כי הורדוס רוצה להרוג את הילד.“
28020e004f	באותו לילה יצא יוסף עם מרים ועם הילד למצרים,
28020f0082	ונשאר אתם שם עד מותו של הורדוס. כך התקיימה הנבואה:”וממצרים קראתי לבני.“
2802100174	כשהורדוס הבין שחוזי־הכוכבים התחמקו ממנו, הוא מאוד כעס. הוא שלח חיילים לבית־לחם וציווה עליהם להרוג כל ילד זכר עד גיל שנתיים (כי החוזים סיפרו לו שראו את הכוכב כשנתיים קודם לכן), בבית לחם עצמה ובכל כפרי הסביבה.
2802110058	מעשה אכזרי זה של הורדוס קיים את הנבואה של ירמיהו:
2802120091	”קול ברמה נשמע, נהי בכי תמרורים, רחל מבכה על בניה, מאנה להינחם על בניה כי איננו.“
280213006d	לאחר מותו של הורדוס נגלה מלאך ה׳ בחלום ליוסף במצרים, ואמר לו:
280214007d	”קום, קח את התינוק ואת אמו לישראל, כי אלה שרצו להרוג את הילד כבר מתו.“
2802150054	יוסף לקח את ישוע ואת מרים ויצא אתם בדרך לישראל.
28021600f1	בהיותם בדרך שמעו שהמלך החדש אינו אלא ארכילאוס, בנו של הורדוס, ופחדו מאוד. בחלום נוסף יוסף הוזהר שלא להתיישב ביהודה, אז הם המשיכו לגליל
2802170078	והשתקעו בנצרת. זה קרה כדי לקיים את דברי הנביאים שכינו אותו”נצרי“.
2803010080	בימים ההם, כשישוע והוריו גרו בנצרת, החל יוחנן המטביל להטיף במדבר יהודה.
280302006f	”חיזרו בתשובה!“קרא יוחנן.”שובו אל ה׳ כי מלכות השמים קרובה!“
280303009f	ישעיהו הנביא ניבא על פעילותו של יוחנן כשאמר:”קול קורא במדבר פנו דרך ה׳, ישרו מסילותיו.“
2803040087	בגדיו היו עשויים שער גמלים והייתה לו חגורת עור; הוא נהג לאכול ארבה ודבש־בר.
