2800000006	Matayu
2801010062	Yesu Kristu kaweriti mwiwuka gwa Dawudi na mwiwuka gwa Aburahamu. Ayi ndo walanga ya ukowu wakuwi,
2801020065	Aburahamu kamwiwuliti Isaka na Isaka kamwiwuliti Yakobu na Yakobu kamwiwuliti Yuda na walongu wakuwi,
2801030077	Yuda kamwiwuliti Peresi na Zera mawu gwawu kaweriti Tamari na Peresi kamwiwuliti Hesironi na Hesironi kamwiwuliti Rami,
280104005b	Rami kamwiwuliti Aminadabu na Aminadabu kamwiwuliti Nashoni na Nashoni kamwiwuliti Salumoni
280105007d	na Salumoni kamwiwuliti Boazi mawu gwakuwi kaweriti Rahabu, Boazi na Rutu waweriti walera wa Obedi na Obedi kamwiwuliti Yese.
2801060068	Na Yese kamwiwuliti Mfalumi Dawudi na Dawudi kamwiwuliti Selemani mawu gwakuwi kaweriti mdala gwa Uriya,
2801070059	Selemani kamwiwuliti Rehobowamu na Rehobowamu kamwiwuliti Abiya na Abiya kamwiwuliti Asa.
280108003c	Asa kamwiwuliti Yehoshafati na Yehoshafati kamwiwuliti Uziya
2801090056	na Uziya kamwiwuliti Yosamu na Yosamu kamwiwuliti Ahazi na Ahazi kamwiwuliti Hezekiya.
28010a0053	Hezekiya kamwiwuliti Manasi na Manasi kamwiwuliti Amoni na Amoni kamwiwuliti Yosiya
28010b007c	na Yosiya kamwiwuliti Yekoniya na walongu wakuwi. Ashi shiweriti shipindi Wayawudi pawawajegiti kugenda muluhamiru Babiloni.
28010c0079	Pa Wayawudi kuwatola kugenda muluhamiru Babiloni na Yekoniya kamwiwuliti Sheatiyeli na Sheatiyeli kamwiwuliti Zerubabeli,
28010d005f	Zerubabeli kamwiwuliti Abiyudi na Abiyudi kamwiwuliti Eliyakimu na Eliyakimu kamwiwuliti Azori.
28010e0052	Azori kamwiwuliti Sadoki na Sadoki kamwiwuliti Akimu na Akimu kamwiwuliti Eliwudi.
28010f005b	Eliwudi kamwiwuliti Eleyazari na Eliyazari kamwiwuliti Matati na Matati kamwiwuliti Yakobu.
2801100050	Yakobu kamwiwuliti Yosefu, mpalu gwa Mariya mawu gwakuwi Yesu yawamshema Kristu.
28011100fc	Su kuweriti na nyiwuku lilongu na msheshi kwanjira Aburahamu mpaka Dawudi na nyiwuku lilongu na msheshi kwanjira Dawudi mpaka Wayawudi pawawalopoliti kugenda Babiloni na nyiwuku lilongu na msheshi kwanjira pawawatoliti lopola mpaka shipindi sha Kristu.
28011200d1	Hangu ndo Yesu Kristu ntambu yakiwukiti, Mariya mawu gwakuwi Yesu kaweriti kahetitwi na Yosefu. Kumbiti pamberi pa kulikala pamuhera gambira mpalu na mdala, kawonikaniti kana yinda kwa uwezu wa Rohu Mnanagala.
280113008c	Yosefu mpalu gwakuwi kaweriti kamfiriziya Mlungu, kafiriti ndiri kumlanguziya kwa wantu kuwera kana vidoda, Hangu kafiriti kumleka kwa bada.
28011400df	Pakaweriti kankali kankulihola hangu, ntumintumi gwa kumpindi gwa Mtuwa kamulawira mukulota na kumgambira, “Yosefu mwana gwa Dawudi, nagutira kumtola Mariya kaweri mdala gwaku. Mana kana yinda kwa uwezu wa Rohu Mnanagala.
2801150074	Hakamwiwuli mwana mpalu, nagwenga hagumshemi Yesu, toziya yomberi ndo hakawalopoziyi wantu kulawa muvidoda vyawu.”
2801160063	Vinu, vyoseri avi vilawira su viweri nakaka visoweru vyakatakuliti Mtuwa kupitira mbuyi gwa Mlungu,
2801170096	“Mwali hakaweri na yinda, hakamwiwuli mwana mpalu na womberi hawamshemi litawu lyakuwi Imanuweri.” Mana yakuwi, “Mlungu kapamuhera na twenga”.
2801180083	Su, Yosefu pakimkiti mumpota katenditi gambira vyakamgambiriti ulii ntumintumi gwa kumpindi gwa Mtuwa, kamtola mdala gwakuwi ukaya.
2801190071	Kumbiti Yosefu waliwoniti ndiri na Mariya mpaka pakamwiwuliti mwana mpalu. Yosefu kamupananiti mwana litawu Yesu.
28020100d7	Yesu kiwukiti mlushi lwa Betirehemu, muliboma lya Yudeya, shipindi Herodi pakaweriti mfalumi. Kamkamu hera pakiwukiti kala, wantu wana malifa ga ntondu wiziti kulawa kwagulawa mshenji kwa kutali wasokiti Yerusalemu,
280202008e	wakosiyiti, “Kakoshi mwana, Mfalumi gwa Wayawudi yakiwukiti? Tuyiwona ntondu yakuwi kulawa kwagulawa mshenji, na twiza kumguwira yomberi.”
2802030061	Mfalumi Herodi pakapikaniriti aga, kalisheriti, yomberi pamuhera na woseri yawalikala Yerusalemu.
280204007e	Su kawashemiti watambika wakulu woseri pamuhera na wafunda wa Malagaliru na kuwakosiya, “Kristu Mlopoziya hakiwuki koshi?”
280205007b	Womberi wamwankula, “Hakiwuki mlushi lwa Betirehemu, muliboma lya Yudeya. Hangu ndo ntambu yawalembiti wambuyi wa Mlungu,
28020600b1	‘Gwee Betirehemu isi ya Yuda, Gwenga gwa mdidini ndiri mulushi lumanikana lwa Yudeya, Toziya kwa gwenga hakalawili mlongoziya njira, Yakawalongoziya wantu wangu Israeli.’”
2802070075	Su Herodi kawashemiti mubada wahenga yawalawiti kwagulawa mshenji, kawakosiyiti shipindi sheni ntondu payiwalawiriti.
28020800aa	Shakapanu kawagambiriti wagendi Betirehemu pakalonga, “Mgendi mwakaloli weri visoweru vya mwana ayu, pamvimana kala munjegeli visoweru su naneni hang'endi kumguwira.”
28020900ad	Pawampikaniriti kala mfalumi, wamana ntondu walii wagenditi. Su ntondu ilii yawayiwoniti kwagulawa mshenji iwalonguleliti hata igenda kugoloka pahala palii pakaweriti mwana.
28020a002c	Pawayiwoniti ndondi ilii wanemeleriti nentu.
28020b00b1	Su, wingiriti mnumba, wamwoniti mwana ulii pamuhera na Mariya mawu gwakuwi, wasuntama pasi na wamguwira. Shakapanu wavugula na kumupa mafupu gawu ga zahabu na ubani na manemane.
28020c005c	Mlungu kawabeliziiyti mumpota nawamwuyira Herodi, su wawuyiti kuisi kwawu kwa njira yamonga.
28020d0104	Pawawukiti kala wahenga walii, ntumintumi gwa kumpindi gwa Mtuwa Mlungu kamlawiriti Yosefu mukulota, kamgambiriti, “Gwimuki! Gumtoli mwana pamuhera na mawu gwakuwi, mtugili Misri. Mulikali kulii mpaka panukugambira, toziya Herodi kafira kumlaga mwana ayu.”
28020e005c	Su, Yosefu kimukiti, kamtola mwana pamuhera na mawu gwakuwi, kawukiti pashiru kugenda Misri.
28020f00bd	Kalikaliti kulii mpaka pakahowiti Herodi. Shitwatila ashi shitendikiti su shisoweru shakatakuliti Mtuwa kwa njira ya mbuyi gwa Mlungu shitendeki, “Numshemiti mwana gwangu kulawa Misri.”
2802100144	Shakapanu Herodi pakavimaniti wahenga walii yawalawiti kwagulawa mshenji wamzyanga, kakalariti nentu. Kalagaliriti wanonu woseri wapalu mulushi lwa Betirehemu na mumpeku mwakuwi yawawera na umuli wa mivinja miwili na pasi pawu walagwi. Katenditi hangu kulawirana na shilii shakamaniti kulawa kwa wahenga walii wamana ntondu.
2802110064	Hangu ndo ntambu ya vitimiyiti visoweru vya umbuyi wa Mlungu kwa njira ya mbuyi gwa Mlungu Yeremiya,
280212008f	“Liziwu lipikanika aku Rama, Shiwembu na kudaya kuvuwa. Raheri kankuwalilira wana wakuwi, Na kafira ndiri kunyamala, Toziya woseri wahowa.”
2802130068	Herodi pakahowiti kala, ntumintumi gwa kumpindi gwa Mtuwa Mlungu kamlawiriti Yosefu mundotu kulii Misri,
