0100000009	UGenesisi
010101002e	Ekuqaleni uNkulunkulu wadala amazulu lomhlaba.
0101020086	Umhlaba wawungelasimo njalo ungelalutho, ubumnyama babengame phezulu kolwandle njalo uMoya kaNkulunkulu wayehambahamba phezu kwamanzi.
0101030057	Ngakho uNkulunkulu wasesithi, “Akubekhona ukukhanya,” lakanye kwabakhona ukukhanya.
0101040055	UNkulunkulu wabona ukuthi ukukhanya kwakukuhle, wasesehlukanisa ukukhanya lobumnyama.
0101050099	UNkulunkulu wabiza ukukhanya ngokuthi “yimini,” ubumnyama wabubiza ngokuthi “yibusuku.” Ngakho kwabakhona ukuhlwa lokusa, kwaba lusuku lwakuqala.
0101060068	Njalo uNkulunkulu wathi, “Kakube lomkhandlu phakathi kwamanzi ukwehlukanisa amanzi kwamanye amanzi.”
0101070068	Ngakho uNkulunkulu wehlukanisa amanzi angaphansi komkhandlu kulawo amanzi angaphezulu kwawo. Kwabanjalo.
010108007d	UNkulunkulu wabiza umkhandlu lo ngokuthi “ngumkhathi.” Njalo kwabakhona ukuhlwa, kwabakhona njalo ukusa, usuku lwesibili.
010109008c	Njalo uNkulunkulu wathi, “Kakuthi amanzi angaphansi komkhathi abuthane ndawonye njalo kakuvele umhlabathi owomileyo.” Ngakho kwabanjalo.
01010a0097	UNkulunkulu wabiza umhlaba owomileyo ngokuthi “ngumhlabathi,” lamanzi abutheneyo wathi “lulwandle.” Njalo uNkulunkulu wabona ukuthi kwakukuhle.
01010b00c1	UNkulunkulu wasesithi, “Umhlabathi kawuthele izimila: imlimela ethela intanga lezihlahla emhlabathini ezithela izithelo ezilentanga phakathi, kusiya ngemihlobo yazo ehlukeneyo.” Kwabanjalo.
01010c00c2	Umhlaba wathela izimila: izihlahla ezilentanga kusiya ngemihlobo yazo, lezihlahla ezithela izithelo ezilentanga phakathi kwazo kusiya ngemihlobo yazo. Njalo uNkulunkulu wabona ukuthi kwakukuhle.
01010d0033	Kwabakhona njalo ukuhlwa lokusa, usuku lwesithathu.
01010e00a2	UNkulunkulu wasesithi, “Akube lezibane emkhandlwini womkhathi ukwehlukanisa imini lobusuku, njalo zibe luphawu lokubonisa izigaba zomnyaka, lezinsuku leminyaka,
01010f0057	njalo zibe yizibane emkhandlwini womkhathi ukuletha ukukhanya emhlabeni.” Kwabanjalo.
010110008b	UNkulunkulu wenza izibane ezimbili ezinkulu, isibane esikhulu ukubusa emini lesibane esincinyane ukubusa ebusuku. Wenza futhi lezinkanyezi.
0101110049	UNkulunkulu wazibeka emkhandlwini womkhathi ukuletha ukukhanya emhlabeni,
010112006e	ukubusa imini lobusuku, kanye lokwahlukanisa ukukhanya lobumnyama. Njalo uNkulunkulu wabona ukuthi kwakukuhle.
010113002f	Njalo kwabakhona ukuhlwa lokusa, usuku lwesine.
0101140097	Njalo uNkulunkulu wathi, “Akube lezidalwa eziphilayo emanzini, njalo akuthi izinyoni ziphaphe ngaphezulu komhlaba zidabule emkhandlwini womkhathi.”
01011500e2	Yikho uNkulunkulu wadala izidalwa ezinkulu zolwandle layo yonke into ephilayo lehambayo lenyakazelayo emanzini, kusiya ngemihlobo yazo, lezinyoni zonke ezilamaphiko, ngemihlobo yazo. Njalo uNkulunkulu wabona ukuthi kwakukuhle.
0101160086	UNkulunkulu wazibusisa wathi, “Zalanani lande ngobunengi ligcwalise amanzi olwandle, njalo akuthi lezinyoni lazo zande emhlabeni.”
010117003e	Kwabakhona ukuhlwa, kwabakhona njalo lokusa, usuku lwesihlanu.
01011800d8	UNkulunkulu wabuya wathi, “Akuthi umhlaba uveze izidalwa eziphilayo kusiya ngemihlobo yazo: izinanakazana ezihuquzela emhlabathini, kanye lezinyamazana zeganga, yilezo kusiya ngemihlobo yazo.” Lakanye kwabanjalo.
01011900d5	UNkulunkulu wenza izinyamazana zeganga kusiya ngemihlobo yazo, izifuyo kusiya ngemihlobo yazo, njalo zonke izinanakazana ezihuquzela emhlabathini kusiya ngemihlobo yazo. Njalo uNkulunkulu wabona ukuthi kwakukuhle.
01011a00f2	UNkulunkulu wasesithi, “Asenze umuntu ngesimo sethu langomfanekiso wethu ukuze abuse phezu kwenhlanzi zolwandle lezinyoni zemkhathini, phezu kwezifuyo, phezu kwawo wonke umhlaba laphezu kwazo zonke izinanakazana ezihuquzela emhlabathini.”
01011b0070	Ngakho uNkulunkulu wadala umuntu ngomfanekiso wakhe, ngomfanekiso kaNkulunkulu wabadala, owesilisa lowesifazane.
01011c00cd	UNkulunkulu wababusisa wathi kubo, “Zalanani lande ngobunengi; liwugcwalise umhlaba, liwubuse. Busani phezu kwenhlanzi zolwandle lezinyoni zemkhathini laphezu kwezidalwa zonke ezihambayo emhlabathini.”
01011d00a8	UNkulunkulu wasesithi, “Ngilinika zonke izihlahla ezithela intanga ezisemhlabeni wonke lazozonke izihlahla ezilezithelo ezilentanga phakathi. Zingezenu ukuba lizidle.
01011e00ee	Njalo nginika zonke izihlahla eziluhlaza kuzozonke izinyamazana zomhlaba lakuzo zonke izinyoni zemkhathini lakuzo zonke izidalwa ezihambayo emhlabathini, yonke into ephefumula impilo phakathi kwayo ukuba zibe yikudla kwazo.” Kwabanjalo.
01011f0077	UNkulunkulu wakubona konke lokho ayesekwenzile, njalo kwakukuhle kakhulu. Kwabakhona ukuhlwa lokusa, usuku lwesithupha.
010201004b	Kanjalo amazulu lomhlaba kwapheleliswa ngakho konke ukuhlotshiswa okukhulu.
0102020073	Ngosuku lwesikhombisa uNkulunkulu wayesewuqedile umsebenzi ayewenza; ngakho wasephumula kuwo wonke umsebenzi wakhe.
010203008a	Njalo uNkulunkulu walubusisa usuku lwesikhombisa walwenza lwaba ngcwele ngoba waphumula kuwo wonke umsebenzi wokudala lokho ayesekwenzile.
0102040067	Lo ngumlando wamazulu lomhlaba ekudalweni kwakho, lapho uThixo uNkulunkulu enza khona umhlaba lamazulu.
01020500c8	Kwakungakabi lesihlahlakazana seganga emhlabathini njalo kungakamili loba yini emila emhlabathini, ngoba uThixo uNkulunkulu wayengakanisi izulu emhlabeni, njalo kwakungelamuntu wokusebenza umhlabathi,
0102060042	kodwa inkungu yayisenyuka emhlabathini, ithelele umhlabathi wonke.
010207009b	Ngakho uThixo uNkulunkulu wasebumba umuntu ngothuli lomhlabathi, waphefumulela emakhaleni akhe umphefumulo wokuphila, umuntu wasesiba yisidalwa esiphilayo.
010208006f	Ngalesosikhathi uThixo uNkulunkulu wayelungise isivande empumalanga, e-Edeni; wambeka khona umuntu ayembumbile.
01020900e9	Njalo uThixo uNkulunkulu wenza yonke imihlobo yezihlahla ukuthi zikhule emhlabathini, izihlahla ezazibukeka emehlweni njalo zizinhle ekudleni. Phakathi laphakathi kwesivande kwakulesihlahla sokuphila lesihlahla sokwazi okuhle lokubi.
01020a0064	Umfula owawuthelela isivande wawugeleza usuka e-Edeni; usuka lapho wehlukana waba yimifudlana emine.
01020b0057	Ibizo lowokuqala yiPhishoni; ozungeze lonke ilizwe laseHavila, lapho okulegolide khona.
01020c0043	(Igolide lalelolizwe lihle; amakha erezini le-onikisi lawo akhona.)
01020d0048	Ibizo lomfudlana wesibili yiGihoni; usekele kulolonke ilizwe laseKhushi.
01020e006c	Ibizo lomfudlana wesithathu yiThigrisi; ubhoda ngempumalanga kwe-Asiriya. Njalo umfudlana wesine yiYufrathe.
01020f0064	Uthixo uNkulunkulu wamthatha umuntu wambeka eSivandeni se-Edeni ukuthi asisebenze njalo asinakekele.
0102100068	Njalo uThixo uNkulunkulu wamlaya umuntu wathi, “Ukhululekile ukudla loba yisiphi isihlahla esivandeni;
0102110057	kodwa ungadli isihlahla sokwazi okuhle lokubi, ngoba ungaze usidle uzakufa ngempela.”
0102120062	UThixo uNkulunkulu wathi, “Kakukuhle ukuba indoda ibe yodwa. Ngizayenzela umsizi oyifaneleyo.”
01021300e6	UThixo uNkulunkulu wayesezibumbile ngomhlabathi zonke izinyamazana zeganga lazozonke izinyoni zemoyeni. Waziletha emuntwini ukuthi aziphe amabizo; kwathi loba yiliphi ibizo asibiza ngalo isidalwa esiphilayo, kwaba yilo ibizo laso.
010214008d	Ngakho umuntu wapha amabizo zonke izifuyo, lezinyoni zemkhathini lazozonke izinyamazana zeganga. Kodwa u-Adamu wayengelaye umsizi omfaneleyo.
0102150097	Ngakho uThixo uNkulunkulu wenza indoda yalala ubuthongo bokufa; kwathi khonapho isalele wathatha olunye ubhambo lwendoda waseyivala leyondawo ngenyama.
0102160066	Emva kwalokho uThixo uNkulunkulu wasesenza umfazi ngobhambo ayeluthethe endodeni, wasemletha endodeni.
0102170089	Indoda yathi, “Lo manje uselithambo lamathambo ami lenyama yenyama yami; usezabizwa ngokuthi ‘mfazi,’ ngoba wakhitshwa endodeni.”
010218004d	Ngalesisizatho indoda izatshiya uyise lonina imanyane lomkayo, babe nyamanye.
010219002e	Indoda lomkayo babehambaze, bengelazo inhloni.
01030100cc	Inyoka yayiliqili ukwedlula zonke izinyamazana zeganga uThixo uNkulunkulu ayezenzile. Yathi kowesifazane, “Kambe uNkulunkulu watsho ngeqiniso ukuthi, ‘Lingadli noma yisiphi isihlahla esivandeni’?”
0103020047	Owesifazane wathi enyokeni, “Singadla izithelo zezihlahla esivandeni,
