2a00000005	Lucas
2a01010077	Á cána que sares han penchabado chibar de pacuaró a narracion es buchías que andré amángue han sinado quereladas.
2a01020081	Sásta junos as penáron á amángue sos desde o principio as diqueláron sa’ desquerias aquías, y sináron ministres e varda.
2a0103009f	Pre o matéjo ha parecido lachó á mángue, despues de orotar mistós sasta se las quereláron desde o principio, libanartelas de pacuaró, ó baro Theophilo.
2a01040056	Somia que pincharéles a chachipen de ocolas buchías andré que has sinado instruido.
2a010500b3	Sinaba andré os chibéses de Herodes, Crállis de Judea; yeque erajai, sos se hetó Zacharias, e baji de Abías, y desqueri romi es dugidas de Aaron, y o nao de ocóna Elisabeth.
2a01060073	Y sinaban os dui lachés anglal de Debél, pirando bi grecos andré os sares mandamientos y eschastras e Erañoró.
2a01070065	Y na terelaban chaboro, presas Elisabeth sinaba estéril, y os dui chalados dur andré sus chibéses.
2a01080068	Y anacó que querelando Zacharias desquero ministerio anglal de Debél andré o orden de desqueri begai,
2a01090074	Segun o costumbre es erajais, sicabó por desquerí baji á chibar o incienso, chalando andré a cangri e Erañoró.
2a010a0054	Y os hambés catanés sinaban abrí manguelando á Un-debél á la ocana e incienso.
2a010b0057	Y dicó al Manfariel e Erañoró, sinando en pindré á la bastarí e altar e incienso.
2a010c0037	Y Zacharias al dicarle cangueló, y peró dal opré ó.
2a010d00bd	Tami o Manfariel le penó: Na darañeles Zacharias, presas tirias ocanagimias han sinado juneladas: y tiri romi Elisabeth chindará á tucue yeque chaboro, y araquelarás desquero nao Juan.
2a010e0063	Y terelarás pesquital y alegría, y se asaselarán baribustres manuces andré desquero nacimiento.
2a010f0082	Presas sinará haro anglal o Erañoró; y na piyará mol ni peñacoró, y sinará perelaló e Peniche desde as poriás de sun dai.
2a0110005c	Y á baribústres es chabores de Israel querelará limbidiar al Erañó, o Debél de junós.
