2800000007	Mathayo
280101003f	Echitabho cho luganda lwa Yesu Kristo omwana wa Daudi omwana wa
280102006d	Ibrahimu; Ibrahimu aliga esemwene Isaka na Isaka esemwene Yakobo na Yakobo alisemwene Yuda na bhamula bhabho.
280103006f	Yuda aliga ali esemwene Peresi na Sera ku Tamari Peresi ali esemwene waHezroni na Hezroni ali esemwene wa Ramu,
280104005c	Ramu aliga ali semwene Aminadabu. Aminadabu alisemwene Nashoni. Nashoni alisemwene Salimoni.
2801050062	Salimoni alisemwene wa Boazi ku Rahabu, Bohazi alisemwene wa Obedi ku Ruth, Obedi alisemwene Yese.
2801060051	Yese alisemwene omkama Daudi. Daudi aliga alisemwene Selemani ku mugasi wa Huria.
280107005f	. Sulemani aliga alisemwene Rehoboamu, Rehobohamu alisemwene wa Abiya, Abiya alisemwene wa Asa.
2801080064	Asa aliga alisemwene wa Yehoshafati, Yehoshafati alisemwene wa Yoramu, na Yoramu alisemwene wa Uzia.
280109005b	Uzia aliga alisemwene wa Yothamu, Yothamu alisemwene wa Ahazi, Ahazi alisemwene wa Hezekia.
28010a0058	Hezekia aliga alisemwene wa Manase, Manase alisemwene wa Amoni na Amoni alisemwene Yosia
28010b0056	Yosia aligaesemwene Yekonia na bhamula bhabho omwanya gunu bhagegelwe okusilwa Babeli.
28010c0082	Omwanya gunu bhaliga bhamalile ogegwa okuja Babeli, Yekonia aliga alisemwene Shatieri, Shatieri aliga ali jaji wabhona Zelubabeli.
28010d0064	Zerubabeli aliga alisemwene Abiudi, Abiudi alisemwene wa Eliakimu, na Eliakimu ali semwene wa Azori.
28010e0053	Azori aliga alisemwene Zadoki, Zadoki alisemwene Akimu, na Akimu alisemwene Eliudi.
28010f0057	Eliudi aliga alisemwene Elieza, Elieza ali esemwene Matani na Matani alisemwene Yakobo.
2801100065	Yakobo aliga alisemwene Yusufu omulume wa Mariamu unu kusoka kumwene Yesu ebhuhye unu katogwa Kristo.
28011100eb	Jinyibhulo jona okusoka ku Ibrahimu okukinga ku Daudi jaliga nyibhulo ekumi nena, okusoka ku Daudi okukinga okugegwa okuja Babeli ni nyibhulo ekumi nena, no kusoka anu bhagegibhwe okuja Babeli okukinga ku Kristo ni nyibhulo ekumi nena.
28011200b8	Okwibhulwa kwa Yesu Kristo kwaliga kulikutya, nyila wae, Mariamu aliga nasandwa na Yusufu, akatungu bhachali kubhonana chi mubhili nabhonekana ati alinainda kubhutulo bhwo mwoyo mwelu.
2801130075	Omulume wae Yusufu aliga munu mulengelesi atendele kumuswasha abhwelu. Alamuye okubhusiga obhuko obhwo kwo bhwitebhe.
28011400e5	Anu aliga acheganilisha ingulu ya magambo ago, Maraika wa Nyamuanga namubhonekela mu chiloto naika, Yusufu mwende Daudi utajakubhaya okumugega Mariamu kuti mugasi wao kulwokubha inda inu alinayo ni kulwo bhuturo bhwo Mwoyo mweru.
2801150083	Kaja okwibhula omwana we chilume umubhilikile lisina lyae Yesu, kulwokubha niwe kaja okubhachungula abhanu bhae ne bhibhibhi byebwe
2801160052	Gona ganu gasokana okukumisha jinu jaikilwe na Nyamuanga ku njila yo mulagi naika,
2801170081	Lola omuyala aligega inda no kwibhula omwana mulume na bhalimubhilikila lisina lyae Imanuel insonga yendemo Nyamuanga amwi neswe.
280118006f	Yusufu emukile okusoka muntilo nakola kutyo Malaika wa Nyamuanga kutyo amulagilie na amugegele kuti mugasi wae.
280119007b	Kulwejo nolo jabhee kutyo atamamile nage katungu kone okukinga ao ebhulie omwana we chilume namubhilikila lisina lyae Yesu.
28020100ad	Ejile Yesu amala okwibhulwa mu chalo cha Bethelehemu yo Bhuyahudi mukatungu ko bhukama bwa Herode, abhanu bhengeso okusoka ebhutuluka ya kula bhakingile Yerusalemi nibhaika,
2802020069	Alyaki omwene unu ebhulwa omkama wa Bhayahudi? Chamailola injota yae ebhutuluka eswe ona chaja okumlamya.
280203005a	Akatungu kanu omkama Herode onguhye amagambo ago nasulumbala na Yerusalemu yona amwi nage.
2802040070	Herode nabhakumanya abhakulu bha bhagabhisi bhona na bhandiki bha bhanu, omwene nabhabhusha Kristo kebhulwa aki?
2802050055	Nibhamubhwila mu Bethelemu yo bhuyahudi, kulwokubha kutyo nikwo jandikilwe no mulagi,
28020600a9	Awe betelehemu mu chalo cha Yuda utali mutyali amwi mu bhatangasha bha Yuda kwokubha okusoka kwawe kaja okuja omutangasha unu kaja okubhatangasha abhanu bhani Israel.”
2802070072	Kulwejo Herode nabhabhilikila bhalia abhengeso kulwobhwitebhe no kubhabhusha ni mwanyaki injota yaliga nibhonekana
28020800ab	. Nabhatuma Betelehemu, naika,”Mugende kwo bhwengeso mujomulonda omwana unu ebhulwa. Akatungu kanu mulamubhona, mundetele amagambo koleleki anyona nigende okumulamya.”
28020900ba	Bhejile bhamtegelesha omkama, bhagendelee no lugendo lwebhwe, na injota eyo inu bhaliga bhalolele ebhutuluka yabhatangatie nikinga niimelegulu ingulu yo lubhala lunu omwana aligaebhuhye.
28020a0041	Omwanya gunu bhailole injota bhakondelewe ekondelelwa enene muno.
28020b00c0	Bhengie munyumba nibhamulola omwana unu ebhuyhwe na Mariamu nanyila mwene. Bhamwifukamie no kumulamhya. Bhasulumue emigemu jebhwe no kumusosisha ebhiyanwa bya jijaabhu, obhuvumba, na manemane.
28020c007f	Nyamuanga abhaganyishe mu chiloto bhasige osubha ku Herode, Kulwejo bhemukile okusubha mu chalo chebhwe bhalabhile injila indi.
28020d00ee	Akatungu kanu bhemukile, Malaika wa Nyamuanga namusokela Yusufu mu chiloto naikati, Imuka umugege omwana nanyilamwene mubhilimile Misri. Musigaleyo okukinganu nakabhabwilile kulwokubha Herode kaja okumuyenja omwana koleleki amusingalishe.
28020e004e	Ingetaheyo Yusufu emukile no kumugega omwana na nyilamwene nokubhilimilaMisri.
