0100000007	Genesis
0101010038	In the beginning, God created the heavens and the earth.
010102008e	The earth was without form and empty. Darkness was upon the surface of the deep. The Spirit of God was moving above the surface of the waters.
0101030038	God said, “Let there be light,” and there was light.
010104004c	God saw the light, that it was good. He divided the light from the darkness.
0101050074	God called the light “day,” and the darkness he called “night.” This was evening and morning, the first day.
0101060069	God said, “Let there be an expanse between the waters, and let it divide the waters from the waters.”
0101070081	God made the expanse and divided the waters which were under the expanse from the waters which were above the expanse. It was so.
010108004f	God called the expanse “sky.” This was evening and morning, the second day.
0101090077	God said, “Let the waters under the sky be gathered together to one place, and let the dry land appear.” It was so.
01010a006b	God called the dry land “earth,” and the gathered waters he called “seas.” He saw that it was good.
01010b00aa	God said, “Let the earth sprout vegetation: plants yielding seed and fruit trees bearing fruit whose seed is in the fruit, each according to its own kind.” It was so.
01010c00a0	The earth produced vegetation, plants producing seed after their kind, and trees bearing fruit whose seed was in it, after their kind. God saw that it was good.
01010d002c	This was evening and morning, the third day.
01010e0087	God said, “Let there be lights in the sky to divide the day from the night and let them be as signs, for seasons, for days and years.
01010f0049	Let them be lights in the sky to give light upon the earth.” It was so.
0101100081	God made the two great lights, the greater light to rule the day, and the lesser light to rule the night. He made the stars also.
0101110035	God set them in the sky to give light upon the earth,
010112006d	to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.
010113002d	This was evening and morning, the fourth day.
010114008d	God said, “Let the waters be filled with great numbers of living creatures, and let birds fly above the earth in the expanse of the sky.”
01011500cf	God created the great sea creatures, as well as every living creature after its kind, creatures that move and which fill the waters everywhere, and every winged bird after its kind. God saw that it was good.
010116007b	God blessed them, saying, “Be fruitful and multiply, and fill the waters in the seas. Let birds multiply on the earth.”
010117002c	This was evening and morning, the fifth day.
01011800b7	God said, “Let the earth produce living creatures, each according to its own kind, livestock, creeping things, and beasts of the earth, each according to its own kind.” It was so.
01011900a7	God made the beasts of the earth after their kind, the livestock after their kinds, and everything that creeps upon the ground after its kind. He saw that it was good.
01011a00ed	God said, “Let us make man in our image, after our likeness. Let them have dominion over the fish of the sea, over the birds of the sky, over the livestock, over all the earth, and over every creeping thing that creeps on the earth.”
01011b0063	God created man in his own image. In his own image he created him. Male and female he created them.
01011c00dc	God blessed them and said to them, “Be fruitful, and multiply. Fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves upon the earth.”
01011d00b2	God said, “See, I have given you every plant yielding seed which is upon the surface of all the earth, and every tree with fruit which has seed in it. They will be food to you.
01011e00d1	To every beast of the earth, to every bird of the heavens, and to everything that creeps upon the earth, and to every creature that has the breath of life I have given every green plant for food.” It was so.
01011f006b	God saw everything that he had made. Behold, it was very good. This was evening and morning, the sixth day.
0102010059	Then the heavens and the earth were finished, and all the living things that filled them.
010202007c	On the seventh day God came to the end of his work which he had done, and so he rested on the seventh day from all his work.
010203007b	God blessed the seventh day and sanctified it, because in it he rested from all his work which he had done in his creation.
010204008e	These were the events concerning the heavens and the earth, when they were created, on the day that Yahweh God made the earth and the heavens.
01020500bd	No bush of the field was yet in the earth, and no plant of the field had yet sprouted, for Yahweh God had not caused it to rain upon the earth, and there was no man to cultivate the ground.
010206004e	But a mist went up from the earth and watered the whole surface of the ground.
0102070084	Yahweh God formed man from the dust of the ground, and breathed into his nostrils the breath of life, and man became a living being.
010208005b	Yahweh God planted a garden eastward, in Eden, and there he put the man whom he had formed.
01020900d9	Out of the ground Yahweh God made every tree to grow that is pleasant to the sight and good for food. This included the tree of life that was in the midst of the garden, and the tree of the knowledge of good and evil.
01020a005b	A river went out of Eden to water the garden. From there it divided and became four rivers.
